ORF,Ribo_Prints,RNA_Prints
YAL008W,895,709
YBR255W,350,638
YGR131W,31,165
YPL144W,579,721
YBR135W,749,380
YBR160W,1401,1426
YJL082W,729,326
YPL191C,293,315
YGL215W,761,428
YKL074C,688,1088
YJL077C,11,21
YKL096W-A,54647,15320
YIL124W,3272,1993
YPL039W,186,364
YGL141W,668,725
YJL179W,1041,978
YDR316W-A,0,0
YDR316W-B,0,0
YOR009W,42,104
YKL029C,5552,2687
YPL166W,208,99
YLR220W,1519,1476
YHR025W,4921,1618
YOL034W,312,803
YBL008W,520,594
YIL062C,3221,2358
YOL116W,378,472
YDR196C,874,1413
YNL255C,7751,4692
YNR032W,326,803
YNR045W,180,198
YML105C,2022,1499
YNL288W,942,517
YIL004C,722,625
YNR018W,2140,897
YNL003C,405,829
YFR047C,1543,1932
YHR078W,249,659
YJR115W,34,35
YLR355C,56658,10256
YGR099W,339,843
YLR300W,12571,4268
YBL003C,9698,10896
YJR140C,630,764
YOR033C,370,1081
YOR062C,174,410
YBR043C,192,1179
YHR112C,768,624
YLR011W,266,349
YIL044C,1539,905
YKR103W,16,196
YKR084C,2210,1346
YER121W,59,93
YCR046C,1028,716
YNL144C,265,181
YKL204W,2297,611
YOR266W,257,483
YDR393W,278,625
YGR186W,2854,2306
YPR194C,38,322
YGR019W,1254,1476
YNL208W,8717,4047
YLL057C,20,121
YOL097W-A,6,43
YNL277W,287,313
YMR040W,42,283
YDR077W,27210,4189
YMR266W,2043,1401
YKR064W,337,623
YPL089C,369,391
YGR277C,898,1140
YDL139C,245,395
YDR246W,607,349
YOR288C,838,354
YCR028C,418,474
YML054C,39,218
YPR070W,506,646
YOR141C,1402,784
YPL280W,0,0
YBL106C,206,358
YGL044C,920,788
YER107C,1347,1190
YBR038W,2028,583
YEL047C,5116,2449
YPR016C,4088,1992
YOR208W,161,237
YDL055C,53694,13849
YML009C,818,486
YML072C,8394,2744
YDR142C,199,352
YFL044C,845,319
YKL019W,625,597
YJL130C,28841,3834
YBL085W,1349,938
YFL011W,11,25
YHR212W-A,0,0
YDR082W,66,691
YDR348C,1723,1297
YKL182W,48056,6408
YDR333C,1095,1095
YKL018C-A,283,547
YPL027W,2,6
YIR012W,2450,1962
YLR363C,716,494
YDR179C,295,360
YLR431C,98,285
YKR046C,537,336
YJR005W,635,691
YJL116C,106,46
YER030W,1794,1518
YHR041C,587,552
YJR072C,2038,2725
YDR515W,739,369
YKR039W,188,265
YGL003C,334,594
YPL009C,3036,2217
YDR268W,526,727
YGL192W,5,24
YDL117W,855,862
YMR131C,4047,2933
YMR293C,207,393
YJL214W,61,42
YIL105C,1032,687
YML126C,13492,1655
YLR189C,893,1333
YIL150C,393,170
YGL250W,200,284
YBR212W,1836,315
YJR109C,2603,622
YLR254C,302,800
YGR085C,8775,2074
