ORF,RNA_Prints,Ribo_Prints
YAL001C,1451,1389
YAL002W,1198,681
YAL003W,61082,91405
YAL005C,8249,61685
YAL007C,3286,4901
YAL008W,399,1088
YAL009W,346,346
YAL010C,508,506
YAL011W,1224,360
YAL012W,9904,29600
YAL013W,1378,931
YAL014C,823,715
YAL015C,377,380
YAL016W,3312,7998
YAL017W,1637,1756
YAL019W,4151,2631
YAL020C,595,283
YAL021C,2408,4477
YAL022C,1567,1923
YAL023C,6334,12829
YAL024C,1034,717
YAL025C,5345,2914
YAL026C,2580,2953
YAL027W,329,313
YAL028W,367,152
YAL029C,4571,2468
YAL030W,543,1352
YAL031C,477,701
YAL032C,351,646
YAL033W,938,1017
YAL034C,532,80
YAL034W-A,338,395
YAL035W,24554,26370
YAL036C,4452,5520
YAL037W,75,44
YAL038W,259820,598145
YAL039C,569,870
YAL040C,3266,837
YAL041W,2015,2020
YAL042W,5000,5346
YAL043C,1736,2089
YAL044C,2953,6028
YAL044W-A,322,842
YAL046C,388,525
YAL047C,593,501
YAL048C,446,506
YAL049C,563,1581
YAL051W,1041,1318
YAL053W,1962,3395
YAL054C,81,129
YAL055W,240,270
YAL056W,961,594
YAL058W,959,923
YAL059W,1254,1534
YAL060W,1065,2419
YAL061W,297,947
YAL062W,285,83
YAL063C,28,21
YAL063C-A,31,0
YAL067C,18,8
YAL068C,5,29
YAR002C-A,4636,6388
YAR002W,1881,3317
YAR003W,800,671
YAR007C,1032,4727
YAR008W,421,428
YAR014C,2284,1663
YAR015W,14670,6382
YAR018C,806,720
YAR019C,457,468
YAR020C,10,0
YAR023C,83,9
YAR027W,792,1169
YAR028W,571,908
YAR029W,76,4
YAR031W,267,355
YAR033W,115,191
YAR035W,103,86
YAR042W,3738,1990
YAR050W,123,6
YAR068W,914,21
YAR071W,321,16
YBL001C,1681,3036
YBL002W,5706,26648
YBL003C,15835,17060
YBL004W,7323,8131
YBL005W,1445,1663
YBL006C,968,953
YBL007C,6207,13465
YBL008W,752,787
YBL008W-A,5,5
YBL009W,1188,1747
YBL010C,443,529
YBL011W,2523,1847
YBL013W,125,235
YBL014C,1347,379
YBL015W,505,982
YBL016W,2084,1498
YBL017C,4537,9198
YBL018C,683,1074
YBL019W,519,277
YBL020W,1092,1263
YBL021C,379,619
YBL022C,4085,7751
YBL023C,1068,2469
YBL024W,6317,10261
YBL025W,318,311
YBL026W,1597,2720
YBL027W,62515,66668
YBL028C,3975,3004
YBL029C-A,652,372
YBL029W,285,151
YBL030C,4774,11492
YBL031W,420,511
YBL032W,6405,6159
YBL033C,1183,1133
YBL034C,1080,1687
YBL035C,755,1838
YBL036C,1244,3095
YBL037W,1005,1664
YBL038W,643,1372
YBL039C,9844,14085
YBL039W-B,359,106
YBL040C,950,3273
YBL041W,2188,7167
YBL042C,2071,1987
YBL043W,111,6
YBL044W,11,0
YBL045C,2252,3762
YBL046W,1298,749
YBL047C,6231,14509
YBL049W,24,77
YBL050W,2466,3385
YBL051C,4252,6981
YBL052C,2571,470
YBL054W,2736,1459
YBL055C,1253,975
YBL056W,4615,5063
YBL057C,1259,1276
YBL058W,4295,7156
YBL059C-A,1179,997
YBL059W,253,308
YBL060W,1206,508
YBL061C,1971,1647
YBL063W,1031,842
YBL064C,685,2024
YBL066C,652,412
YBL067C,1829,1390
YBL068W,3103,2548
YBL069W,922,1591
YBL071C-B,1,0
YBL071W-A,662,1312
YBL072C,16992,23954
YBL074C,340,432
YBL075C,512,34
YBL076C,13880,46116
YBL078C,397,707
YBL079W,3418,3396
YBL080C,206,267
YBL081W,1927,1103
YBL082C,1144,1089
YBL084C,595,535
YBL085W,1576,2030
YBL086C,953,567
YBL087C,6247,24935
YBL088C,1936,356
YBL089W,311,693
YBL090W,790,1224
YBL091C,7754,5784
YBL091C-A,250,496
YBL092W,42365,94069
YBL093C,1204,1438
YBL095W,226,145
YBL097W,980,798
YBL098W,818,842
YBL099W,11393,19168
YBL100W-C,4,0
YBL101C,1028,1668
YBL102W,728,2358
YBL103C,1085,979
YBL104C,1074,1068
YBL105C,3627,2177
YBL106C,780,776
YBL107C,1292,726
YBL113C,263,13
YBR001C,826,1197
YBR002C,1440,695
YBR003W,576,1046
YBR004C,746,1318
YBR005W,1499,402
YBR006W,170,761
YBR007C,1102,949
YBR008C,495,31
YBR009C,8509,13647
YBR010W,9712,25258
YBR011C,28031,52183
YBR013C,416,353
YBR014C,1229,1596
YBR015C,2959,4218
YBR016W,1496,2300
YBR017C,4321,4977
YBR018C,39,29
YBR019C,18,46
YBR020W,77,0
YBR021W,182,365
YBR022W,368,892
YBR023C,2356,3205
YBR024W,341,903
YBR025C,11761,33011
YBR026C,2045,3290
YBR028C,1122,1305
YBR029C,1904,3269
YBR030W,1188,493
YBR031W,36741,31311
YBR033W,51,51
YBR034C,2499,4394
YBR035C,4138,4287
YBR036C,2499,4313
YBR037C,291,1160
YBR038W,1601,4515
YBR039W,4591,5938
YBR040W,17,53
YBR041W,2180,2776
YBR042C,1263,1829
YBR043C,1098,391
YBR044C,473,435
YBR045C,120,35
YBR046C,377,1795
YBR047W,132,476
YBR048W,33325,43650
