ORF,Ribo_Prints,RNA_Prints
YAL001C,843,1846
YAL002W,304,1325
YAL003W,37270,19635
YAL004W,0,2
YAL005C,45627,8128
YAL007C,2134,1894
YAL008W,1088,890
YAL009W,157,1008
YAL010C,252,693
YAL011W,283,821
YAL012W,12192,3764
YAL013W,584,2258
YAL014C,495,1488
YAL015C,236,892
YAL016C-A,4,4
YAL016C-B,0,0
YAL016W,3592,3753
YAL017W,1193,1900
YAL018C,1,15
YAL019W,1188,1355
YAL019W-A,1,3
YAL020C,256,1765
YAL021C,1964,1190
YAL022C,864,2423
YAL023C,6385,5655
YAL024C,353,619
YAL025C,1042,2723
YAL026C,1386,1332
YAL026C-A,2,211
YAL027W,194,723
YAL028W,94,634
YAL029C,1064,2079
YAL030W,1005,1204
YAL031C,342,945
YAL031W-A,0,1
YAL032C,282,977
YAL033W,409,1225
YAL034C,86,464
YAL034C-B,0,3
YAL034W-A,191,719
YAL035W,11869,8352
YAL036C,1664,1902
YAL037C-A,0,7
YAL037C-B,2,3
YAL037W,29,410
YAL038W,306099,86366
YAL039C,763,1588
YAL040C,321,434
YAL041W,735,2125
YAL042C-A,0,5
YAL042W,3035,5239
YAL043C,920,1787
YAL044C,9770,20663
YAL044W-A,597,1079
YAL045C,1,21
YAL046C,743,1091
YAL047C,210,484
YAL047W-A,1,49
YAL048C,313,228
YAL049C,1042,1641
YAL051W,584,1220
YAL053W,1325,1516
YAL054C,40,462
YAL055W,251,690
YAL056C-A,0,0
YAL056W,339,2389
YAL058W,352,1022
YAL059C-A,0,19
YAL059W,460,1441
YAL060W,4458,5729
YAL061W,1871,2645
YAL062W,97,839
YAL063C,7,54
YAL063C-A,0,34
YAL064C-A,3,3
YAL064W,0,8
YAL064W-B,0,12
YAL065C,0,6
YAL066W,0,4
YAL067C,12,74
YAL067W-A,0,0
YAL068C,1,0
YAL068W-A,0,0
YAL069W,0,0
YAR002C-A,3118,4676
YAR002W,1254,1984
YAR003W,337,1194
YAR007C,2127,1564
YAR008W,222,740
YAR009C,7,50
YAR010C,18,24
YAR014C,1097,2197
YAR015W,13854,20274
YAR018C,297,918
YAR019C,171,507
YAR019W-A,4,24
YAR020C,2,91
YAR023C,7,367
YAR027W,655,1977
YAR028W,337,802
YAR029W,2,231
YAR030C,1,59
YAR031W,67,157
YAR033W,79,218
YAR035C-A,0,4
YAR035W,84,304
YAR042W,1321,1187
YAR047C,1,21
YAR050W,1,105
YAR053W,1,9
YAR060C,0,0
YAR061W,0,0
YAR062W,0,0
YAR064W,0,0
YAR066W,0,0
YAR068W,0,1
YAR069C,0,0
YAR070C,0,11
YAR071W,119,561
YAR073W,1,7
YAR075W,0,7
YBL001C,2384,3444
YBL002W,8448,13648
YBL003C,7559,18067
YBL004W,1787,2145
YBL005W,414,1091
YBL005W-A,0,0
YBL005W-B,6,111
YBL006C,714,2475
YBL006W-A,0,15
YBL007C,6983,3932
YBL008W,374,907
YBL008W-A,3,4
YBL009W,591,936
YBL010C,249,706
YBL011W,789,1690
YBL012C,0,6
YBL013W,161,57
YBL014C,131,760
YBL015W,743,943
YBL016W,511,1300
YBL017C,4564,3653
YBL018C,362,982
YBL019W,143,798
YBL020W,377,1126
YBL021C,309,987
YBL022C,3784,3318
YBL023C,1095,1437
YBL024W,3338,3265
YBL025W,250,601
YBL026W,1005,1552
YBL027W,29050,25375
YBL028C,806,1643
YBL029C-A,265,995
YBL029W,195,838
YBL030C,10587,5044
YBL031W,148,546
YBL032W,2977,2116
YBL033C,949,1674
YBL034C,501,709
YBL035C,599,1046
YBL036C,1329,2016
YBL037W,667,1218
YBL038W,930,1830
YBL039C,3620,3767
YBL039C-A,0,0
YBL039W-B,69,309
YBL040C,1281,2578
YBL041W,3442,4121
YBL042C,1106,2668
YBL043W,20,47
YBL044W,4,37
YBL045C,3046,2056
YBL046W,530,1616
YBL047C,6280,3581
YBL048W,1,44
YBL049W,30,64
YBL050W,2436,2879
YBL051C,2011,1027
YBL052C,192,1106
YBL053W,0,55
YBL054W,235,990
YBL055C,303,1526
YBL056W,2787,3736
YBL057C,740,2357
YBL058W,3415,3239
YBL059C-A,682,948
YBL059W,211,626
YBL060W,221,1312
YBL061C,601,1764
YBL062W,0,49
YBL063W,342,462
YBL064C,1949,2092
YBL065W,0,52
YBL066C,207,292
YBL067C,634,1415
YBL068W,733,2705
YBL068W-A,0,0
YBL069W,749,1151
YBL070C,2,38
YBL071C,4,21
YBL071C-B,1,317
YBL071W-A,582,1158
YBL072C,9204,7295
YBL073W,0,1
YBL074C,186,170
YBL075C,33,1589
YBL076C,16404,9643
YBL077W,0,1
YBL078C,510,433
YBL079W,1402,2505
YBL080C,201,718
YBL081W,423,1130
YBL082C,503,880
YBL083C,1,46
YBL084C,309,756
YBL085W,952,1695
YBL086C,482,1423
YBL087C,11350,15654
YBL088C,152,1356
YBL089W,309,1188
YBL090W,720,1563
YBL091C,3251,4285
YBL091C-A,350,721
YBL092W,38950,34428
YBL093C,650,1839
YBL094C,0,32
YBL095W,167,2057
YBL096C,0,22
YBL097W,475,467
YBL098W,687,1087
YBL099W,14058,5557
YBL100C,0,5
YBL100W-A,0,0
YBL100W-B,2,27
YBL100W-C,5,10
YBL101C,1116,2460
YBL102W,1035,1833
YBL103C,455,980
YBL104C,457,1317
YBL105C,1375,1667
YBL106C,146,620
YBL107C,523,1524
YBL107W-A,0,1
YBL108C-A,0,0
YBL108W,1,2
YBL109W,0,5
YBL111C,0,1
YBL112C,0,0
YBL113C,1,167
YBL113W-A,0,0
YBR001C,1032,2267
YBR002C,448,2157
YBR003W,735,1954
YBR004C,292,1029
YBR005W,250,1293
YBR006W,509,902
