,ORF,Ribo_Prints,RNA_Prints
161,YBL038W,102.1001716,36.3813121
162,YBL039C,114.8450896,17.53830149
163,YBL039C-A,84.96192851,0.0
164,YBL039W-B,39.64889997,0.0
165,YBL040C,21.62667271,208.0680313
166,YBL041W,73.72729333,126.10183719999999
167,YBL042C,170.9858811,71.52338576
168,YBL043W,115.8347223,13.14239647
169,YBL044W,38.68185363,0.0
170,YBL045C,205.1700719,96.2436632
171,YBL046W,93.41967705,34.52109117
172,YBL047C,175.5797886,98.14003728
173,YBL048W,0.0,0.0
174,YBL049W,17.11463308,24.39380063
175,YBL050W,101.4903583,57.86242812
176,YBL051C,112.0125874,136.8459399
177,YBL052C,20.015069699999998,12.22621979
178,YBL053W,47.57867996,0.0
179,YBL054W,49.749570299999995,19.33881153
180,YBL055C,11.35529355,8.092454148
181,YBL056W,136.9535564,112.060647
182,YBL057C,73.98598559,32.44725635
183,YBL058W,148.68337490000002,63.97619412
184,YBL059C-A,108.1333636,107.8871273
185,YBL059W,12.26254638,0.0
186,YBL060W,17.28876452,19.713594699999998
187,YBL061C,18.77207603,14.59428245
188,YBL062W,0.0,0.0
189,YBL063W,11.76631024,7.623062697999999
190,YBL064C,49.93945416,135.88836650000002
191,YBL065W,0.0,0.0
192,YBL066C,18.63394777,10.32861968
193,YBL067C,39.75491307,24.93189918
194,YBL068W,25.46259631,0.0
195,YBL068W-A,158.0937151,42.92073782
196,YBL069W,87.13537319,23.65631364
197,YBL070C,0.0,0.0
198,YBL071C,0.0,0.0
199,YBL071C-B,0.0,0.0
200,YBL071W-A,57.3237108,40.85226853
201,YBL072C,1061.563837,1985.0999530000001
202,YBL073W,0.0,0.0
203,YBL074C,13.36479774,23.81136438
204,YBL075C,25.46679344,23.47434199
205,YBL076C,419.0293809,327.0656224
206,YBL077W,0.0,0.0
207,YBL078C,141.1232033,215.5130268
208,YBL079W,61.728826299999994,27.07176278
209,YBL080C,8.778354237,15.63993675
210,YBL081W,19.34092681,41.35046693
211,YBL082C,42.75861761,7.3872293860000005
212,YBL083C,20.94132041,0.0
213,YBL084C,6.268600786,22.33687937
214,YBL085W,44.86266969,34.5641008
215,YBL086C,33.11150105,10.89102234
216,YBL087C,242.8289901,1117.9608119999998
217,YBL088C,24.31837122,16.41856775
218,YBL089W,12.92898912,7.371170192
219,YBL090W,33.41199436,28.57363726
220,YBL091C,101.4711184,160.6984971
221,YBL091C-A,40.55001133,38.53111691
222,YBL092W,762.7116635,2666.000333
223,YBL093C,48.43983254,15.34270719
224,YBL094C,0.0,0.0
225,YBL095W,48.28094829999999,6.255974701
226,YBL096C,0.0,0.0
227,YBL097W,40.96177745,20.20969841
228,YBL098W,77.40566155,95.61734869
229,YBL099W,381.2394228,419.1846785
230,YBL100C,0.0,0.0
231,YBL100W-A,22.29750658,119.35994609999999
232,YBL100W-B,109.4631537,170.0508263
233,YBL100W-C,0.0,0.0
234,YBL101C,52.13227456,27.29574651
235,YBL102W,60.57470829,70.640381
236,YBL103C,39.07899792,52.21876214
237,YBL104C,13.73782867,11.42212128
238,YBL105C,50.5936484,26.49014288
239,YBL106C,9.412201773,0.0
240,YBL107C,30.18951774,51.63560845
241,YBL107W-A,0.0,20.65098225
242,YBL108C-A,0.0,0.0
243,YBL108W,0.0,0.0
244,YBL109W,0.0,0.0
245,YBL111C,32.7257634,16.43561982
246,YBL112C,22.28199931,52.97343784
247,YBL113C,56.84184627,82.97065103
248,YBL113W-A,0.8691757390000001,2.282096035
249,YBR001C,25.12958449,43.415343
250,YBR002C,24.8669059,35.44325737
251,YBR003W,35.13193668,39.34400967
252,YBR004C,24.66636634,19.53190258
253,YBR005W,127.83991110000001,15.84457144
254,YBR006W,28.6618554,3.4043557110000005
255,YBR007C,24.20896199,55.20876453
256,YBR008C,64.99819667,18.52862453
257,YBR009C,778.4133966,1438.955449
258,YBR010W,992.5932409,1297.013377
259,YBR011C,437.78993719999994,629.8767306
260,YBR012C,33.9847714,0.0
261,YBR012W-A,60.4018595,233.1230892
262,YBR012W-B,263.7959649,208.74813659999998
263,YBR013C,0.0,0.0
264,YBR014C,23.32288234,83.10633059
265,YBR015C,95.47561197,90.72209466
266,YBR016W,82.9860697,52.56958586
267,YBR017C,65.90675543,42.43034855
268,YBR018C,0.0,0.0
269,YBR019C,0.0,0.0
270,YBR020W,11.24259924,6.40971321
271,YBR021W,35.64648735,32.08900588
272,YBR022W,6.682398871,9.524545753
273,YBR023C,145.8780282,69.79221176
274,YBR024W,43.32495692,22.45522045
