ORF,Ribo_Prints,RNA_Prints
YBR177C,815,1294
YIL140W,541,976
YLR268W,566,875
YOR011W,322,376
YJL155C,168,249
YLL062C,147,213
YHR067W,173,200
YAL008W,142,317
YNR028W,390,569
YMR111C,145,167
YBR255W,236,306
YFR027W,62,101
YBR128C,56,66
YOL115W,418,606
YNL007C,1810,4926
YOR030W,224,278
YNL300W,754,1666
YAL056W,555,625
YGR148C,4915,8776
YJR122W,309,384
YLR152C,268,296
YDR459C,270,287
YIL034C,621,1056
YLR144C,487,698
YNL003C,346,428
YBR111W-A,58,151
YJR084W,277,352
YBR135W,235,433
YBR004C,306,444
YBR160W,398,675
YLR313C,154,194
YDL238C,122,159
YJL082W,262,418
YHR007C,5351,7971
YIR004W,470,791
YPR117W,464,476
YPL191C,118,155
YKL190W,535,937
YGL084C,838,1235
YDR312W,266,369
YLR348C,1142,1464
YBR248C,939,1463
YNR067C,2075,3830
YNL152W,295,426
YLR382C,413,542
YKL071W,80,85
YKL063C,198,367
YFL045C,5550,9086
YFL010C,907,2019
YDR141C,706,1140
YJL131C,103,168
YDL170W,200,261
YBR117C,89,91
YGL135W,595,1865
YJR044C,342,630
YJR011C,138,198
YPL039W,156,202
YPL249C-A,5176,10559
YKL048C,216,299
YDR083W,495,828
YMR009W,184,319
YOR123C,548,916
YIR013C,8,10
YJL122W,397,726
YKL183W,443,610
YLR189C,608,743
YDR363W,166,215
YFL021W,343,465
YPL041C,96,148
YLR362W,288,405
YPL092W,536,724
YOR377W,442,578
YMR283C,198,241
YOR074C,346,613
YPL024W,171,216
YKL134C,314,401
YGR144W,36,41
YDR090C,201,328
YIL108W,455,713
YPL166W,43,74
YKL052C,302,413
YLR278C,386,523
YBR273C,345,632
YFR005C,546,708
YOR313C,30,37
YER093C-A,49,81
YAL026C,874,1349
YOL034W,279,343
YJR135W-A,241,524
YFL017W-A,120,278
YFR050C,1254,2327
YBL008W,347,470
YLR079W,302,564
YLR447C,2567,4230
YGL237C,120,197
YGR126W,25,79
YIL062C,793,1447
YNL295W,251,321
YAR035W,144,156
YNR032C-A,99,221
YPL059W,442,831
YAR019C,240,306
YDR299W,495,781
YOL116W,227,305
YJL140W,712,1035
YBR182C,62,75
YGL257C,737,844
YDR196C,286,426
YMR175W,2,5
YBR202W,704,1062
YMR160W,256,327
YHR101C,115,202
YNL239W,1289,1959
YDR410C,569,722
YBR280C,155,217
YGR020C,1078,1869
YNR045W,188,222
YPL143W,7459,13458
YML105C,503,939
YNL143C,15,22
YLL040C,698,1768
YLR314C,1434,2527
YIL091C,648,954
YCL032W,193,272
YML092C,1080,2026
YLR357W,446,786
YPL104W,319,408
YLR244C,2020,4001
YAL046C,205,349
YDR198C,222,286
YAL039C,272,425
YNR018W,709,1293
YNL168C,586,922
YDL185W,7207,19053
YFR047C,528,857
YBR215W,300,499
YGL092W,1240,2156
YLR403W,563,852
YNL147W,246,573
YBR159W,1630,2400
YDR364C,400,497
YML127W,748,1169
YCL030C,2578,4435
YHR078W,592,661
YGR084C,337,528
YDR286C,85,144
YFR018C,651,778
YCR002C,695,1267
YHR141C,3398,4317
YER042W,344,749
