gene,I.1,I.2,S7,A,T1
YHR055C,0,0,0,0,0
YPR161C,469,315,135,384,440
YOL138C,169,107,64,139,220
YDR395W,2130,1675,753,1917,2163
YGR129W,116,48,13,65,194
YPR165W,2398,1269,460,1399,2823
YPR098C,177,92,82,170,176
YPL015C,211,130,39,135,253
YCL050C,2816,1440,882,2190,2216
YMR193W,234,102,65,181,200
YLR031W,1,0,0,0,0
YIL014C-A,71,36,23,53,61
YGR053C,11,6,1,6,14
YCR101C,6,4,4,11,11
YER087C-B,957,455,173,597,822
YOR280C,253,142,77,225,300
YGR097W,320,217,90,310,290
YKL025C,501,327,196,434,386
YKR011C,543,256,161,594,746
YEL004W,91,61,46,95,95
YJL200C,624,388,132,308,517
YLL027W,189,57,26,54,99
YLR045C,474,321,142,442,701
YDR348C,575,327,137,409,567
YPL183C,781,616,238,522,843
YGR003W,223,181,82,163,231
YBL095W,31,18,14,26,50
YGL060W,281,189,79,215,251
YLL007C,109,62,51,91,131
YEL009C,434,206,80,242,351
YOR083W,116,48,30,68,139
YEL015W,596,400,171,567,698
YDR329C,222,137,37,150,288
YBR252W,588,329,114,424,863
YDL202W,215,131,39,124,122
YHR209W,52,25,14,55,62
YPR008W,251,130,101,234,238
YER075C,286,224,123,338,336
YDL203C,202,126,69,149,170
YBR050C,2,6,2,1,7
YMR197C,353,205,100,285,374
YBL049W,6,3,1,1,0
YER054C,18,6,1,4,16
YDR305C,165,103,63,124,228
YNL201C,405,269,127,298,316
YCR061W,432,148,75,179,332
YPL171C,15,8,9,26,33
YHR051W,280,103,39,168,398
YDL116W,659,456,136,446,628
YPR124W,3134,2052,669,2108,3182
YJL023C,55,27,9,53,34
YGL167C,1986,1349,615,1750,2439
YDL165W,311,165,114,272,313
YLR154C-H,0,0,0,0,0
YPL119C-A,0,0,0,0,0
YIL143C,387,283,122,269,484
YGR240C,16184,10144,4416,12438,24522
YOR094W,301,173,52,187,326
YDR167W,455,273,91,291,614
YBR063C,2,0,0,0,8
YER052C,1555,968,523,1298,1693
YPR187W,1057,703,196,805,1699
YPL118W,499,284,128,346,469
YGR178C,1808,1074,403,1474,2405
YPR086W,542,350,139,452,688
YOL141W,210,149,43,163,196
YJL065C,166,89,47,71,167
YBR122C,292,137,72,184,296
YBR279W,615,432,114,396,647
YBR271W,269,198,62,144,255
YMR221C,362,223,69,208,267
YER130C,310,179,80,233,278
YBR155W,544,426,162,560,774
YDR363W,96,60,25,83,169
YPL147W,26,20,9,16,38
YLR443W,105,69,19,46,96
YGR266W,475,305,139,325,618
YBR067C,6133,3433,673,1537,1969
YAL034C,8,5,3,8,11
YLR270W,635,361,198,616,779
YCR095C,152,92,34,109,199
YPR084W,108,67,28,68,95
YMR113W,254,143,73,143,244
YBR184W,26,19,5,20,13
YGR035C,79,26,16,53,65
YDL222C,9,2,3,6,4
YCL008C,149,78,53,112,188
YEL065W,7457,5838,2562,6222,7411
YMR296C,1281,874,364,776,1148
YDR232W,1070,597,249,565,873
YHR116W,117,59,33,57,69
YDR313C,83,38,14,40,81
YFR018C,270,161,57,113,237
YKL007W,1173,601,225,723,997
YIL048W,494,343,168,427,410
YDL213C,631,387,138,467,818
YDR443C,203,135,75,164,178
YNL292W,464,342,106,310,716
YKL183C-A,0,0,0,0,0
YOR324C,124,72,26,88,120
YNL134C,1059,502,303,712,1119
YKL100C,658,391,189,425,711
YPL021W,0,0,0,0,0
YIL146C,72,59,33,103,123
YNL218W,137,85,30,135,213
YIL121W,191,121,46,115,202
YDL167C,538,426,162,445,478
YPL214C,171,109,47,139,167
YOR228C,41,17,8,40,47
YBR270C,12,10,4,11,11
YGR222W,103,54,17,68,90
YEL063C,904,520,204,457,617
YML020W,71,50,16,38,48
YGR121C,46,29,9,43,66
YDL095W,4562,3022,895,2270,3577
YBR222C,752,407,238,602,1098
YDL003W,389,228,146,379,397
