gene,I.1,I.2,S7,A,T1
YOR323C,3538,2284,650,2451,4378
YMR183C,1608,846,392,1148,2238
YOR274W,184,129,57,116,183
YER146W,626,372,149,473,1020
YPL063W,1465,876,361,893,1273
YML075C,876,609,269,695,974
YLR273C,31,21,19,26,32
YDR457W,2468,1669,553,1451,2201
YDR181C,84,72,30,100,113
YGL097W,1352,1017,386,901,1953
YCL056C,31,29,7,23,51
YMR242W-A,0,0,0,0,0
YJL083W,110,61,23,51,98
YPL140C,92,62,38,109,118
YOR026W,128,77,39,80,146
YNR016C,19082,12273,4829,13538,21177
YER123W,302,196,91,233,252
YKR054C,360,288,72,190,296
YGR055W,1830,1188,448,1203,1452
YMR315W,1457,861,556,1335,2823
YAL024C,197,148,61,178,252
YKL187C,6,2,0,4,1
YDR383C,66,34,13,56,83
YKL055C,42,26,7,32,78
YDR035W,1097,645,163,607,870
YHR160C,2,1,0,3,6
YGR047C,351,266,58,244,431
YDR119W,1075,694,302,779,1121
YER151C,1022,640,319,827,896
YBR208C,194,114,56,140,298
YLR070C,25,11,8,33,44
YPR019W,671,439,166,543,853
YPR190C,497,442,178,407,530
YPL228W,539,321,155,508,552
YGR041W,183,123,48,167,173
YHR097C,112,50,26,97,113
YDR353W,4368,2877,1150,3397,4360
YPL047W,77,47,14,50,79
YPL014W,66,35,22,52,31
YGR007W,385,210,67,217,439
YML116W,114,74,34,79,91
YOL137W,283,174,87,226,287
YGL155W,183,118,50,101,177
YKL214C,329,177,62,298,499
YER061C,121,69,43,115,119
YPL119C,82,42,10,61,80
YDL125C,1307,806,344,993,1439
YKL011C,48,28,18,40,51
YHR186C,488,332,128,356,497
YLL019C,186,103,60,174,178
YNL257C,275,175,40,168,183
YJR092W,1137,687,333,983,1437
YPL189C-A,14,6,3,17,14
YBR291C,99,56,16,48,82
YBL059W,48,24,15,38,51
YLR078C,257,167,113,265,222
YFL012W,0,3,1,0,1
YDR262W,340,225,85,189,315
YDR072C,515,261,168,310,380
YDR179C,84,39,19,70,58
YGR220C,302,181,76,203,367
YMR161W,482,343,113,355,337
YER011W,3606,2046,342,990,1384
YDR258C,1369,591,301,1084,1806
YGL162W,83,43,42,73,111
YNL243W,2092,1298,657,1556,2747
YBR234C,1369,820,424,1328,2350
YNL047C,165,111,46,115,146
YKL038W,176,115,63,157,172
YFL053W,3,2,0,1,5
YKR060W,257,169,84,188,174
YPR200C,1,3,1,6,2
YLR411W,23,11,3,8,22
YLR318W,34,19,4,22,7
YHR150W,98,52,17,54,57
YGL219C,217,128,49,161,173
YFL009W,416,295,140,388,470
YBR045C,6,9,6,17,17
YMR039C,681,384,114,372,642
YKL195W,1045,517,146,479,909
YPR127W,191,106,68,140,238
YPL188W,216,139,67,209,207
YDR217C,400,275,79,363,501
YML015C,163,116,56,147,157
YJR126C,375,208,70,233,321
YPR026W,109,43,22,57,75
YHR073W,522,328,102,296,399
YMR274C,126,63,41,89,77
YMR008C,748,398,345,743,1207
YDL227C,927,620,237,701,1280
YOR197W,1803,1276,637,1516,1858
YNL081C,274,110,67,202,297
YKL096W-A,2990,1245,853,1762,1726
YDR532C,112,68,22,91,94
YDR049W,275,224,49,233,425
YKL170W,238,126,36,107,201
YJL043W,2,3,0,1,0
YGL047W,167,79,47,70,168
YLR006C,131,64,37,76,129
YHR079C,190,136,44,152,204
YPR171W,238,132,71,239,231
YML063W,8552,4862,1348,6952,12595
YLR178C,147,60,46,130,199
YHL029C,206,154,63,144,199
YJL090C,82,51,24,56,32
YOR184W,3086,2108,1607,3750,4845
YDR372C,1039,681,180,736,1809
YBR008C,1,0,1,2,2
YMR203W,3621,2326,869,2192,2760
YIR008C,337,245,77,233,369
YBL024W,2428,1717,625,1882,3293
YDR317W,27,18,6,19,27
YJL038C,0,0,0,0,2
YJL087C,403,254,106,257,427
YDR043C,67,33,24,62,50
YHR028C,958,520,208,590,792
YOR340C,1116,889,299,784,1246
YCL044C,287,162,97,250,294
YFR022W,34,18,13,22,41
YEL072W,7,7,2,7,5
YIR010W,193,114,46,119,227
YBL008W,207,154,47,159,248
YOL008W,129,76,48,120,185
YMR178W,520,333,178,487,746
YHR017W,185,93,34,115,180
YMR095C,11,6,4,7,6
YKR101W,82,46,26,60,119
YHR198C,140,68,43,128,127
YOR076C,247,118,100,227,234
YNL219C,913,639,284,600,572
YGL015C,0,0,0,0,0
YLR210W,119,87,34,101,148
YIL034C,740,445,208,583,742
YLR148W,404,255,126,355,369
YOR342C,241,177,71,163,130
YOL070C,741,419,167,501,993
YIL043C,2577,1669,614,1498,2364
YDL160C,2680,1608,1305,2930,3136
YGR231C,1115,666,296,683,829
YNL021W,481,311,123,373,484
YMR266W,1756,1343,342,959,1191
YPL107W,67,35,9,44,78
YHR173C,0,0,0,0,0
YGR088W,8,1,0,4,1
YCR063W,50,26,21,62,77
YDL048C,10,5,7,11,3
YML092C,1630,983,511,1324,2335
YPR097W,782,583,194,604,939
YBR201C-A,5,4,3,2,6
YNL056W,122,89,32,124,154
YDL025C,133,86,68,160,129
YAL020C,118,53,22,41,198
YFL017C,343,183,45,162,303
YGL197W,441,308,154,371,549
YLL011W,671,519,166,497,839
YDR379C-A,32,8,6,33,26
YOL159C,116,61,29,73,80
YNR074C,207,155,60,151,256
YLR189C,218,140,53,173,257
YDR113C,234,111,53,182,237
YML032C,234,125,30,119,210
YFL028C,384,227,85,275,527
YBR256C,360,223,78,343,443
YOR081C,275,173,75,153,156
YPL024W,69,32,10,45,45
YLR442C,276,147,60,191,268
YMR257C,36,25,12,25,20
YDL219W,298,185,115,341,482
YKL122C,381,227,187,555,458
YGL240W,45,27,10,27,30
YDL080C,59,46,23,43,83
YEL001C,1030,617,338,1062,1369
YPR168W,87,65,15,69,153
YHR109W,92,50,26,80,76
YPL061W,33648,17721,8055,21000,30097
YJL060W,576,295,219,594,545
YPR062W,1530,905,177,591,841
YLR240W,204,147,56,145,166
YGR104C,169,104,54,151,144
YER174C,88,38,18,44,56
YDR223W,18,15,4,16,36
YDR402C,0,0,0,1,0
YMR146C,3868,2570,1093,2663,3987
YGR241C,292,174,113,257,294
YPR057W,98,54,43,88,204
YDR156W,437,240,167,369,766
YJR113C,268,155,43,145,519
YPR131C,233,124,76,208,412
YMR155W,137,82,43,82,92
YNL180C,333,177,84,204,309
YIL140W,647,409,181,478,601
YDR272W,543,328,139,504,808
YDR114C,0,0,0,0,0
YOR238W,174,88,67,150,121
YNR044W,84,53,55,96,111
YLR139C,109,70,41,107,57
YKL142W,1790,980,370,1575,3321
YPR009W,68,37,26,63,77
YHR032W,391,293,102,276,624
YDR429C,2735,1766,643,2037,3818
YNR031C,441,301,133,300,407
YGL079W,110,46,30,121,84
YHR084W,329,213,108,261,304
YOR004W,493,335,104,397,342
YMR244W,0,2,0,1,1
YMR233W,101,55,32,94,117
YLL010C,394,240,98,257,407
YNL188W,70,37,17,76,83
YNL104C,1462,834,316,872,1309
YOR365C,2,4,1,4,4
YIL005W,706,415,204,461,749
YNR030W,571,443,162,393,485
YBR265W,536,356,138,293,511
YGL131C,106,85,24,64,77
YNR040W,180,102,14,67,118
YHR033W,3,0,0,0,2
YDR246W-A,2,2,1,1,0
YNR034W,263,138,45,161,307
YOR173W,35,16,3,20,32
YOR337W,196,129,45,145,164
YNL181W,354,219,96,224,429
YGL104C,97,63,14,44,103
YGR243W,5,6,3,8,14
YDR164C,337,255,109,299,406
YOR107W,1,0,2,2,4
YDR464W,426,229,80,344,465
YGR210C,770,479,108,381,1078
YOR168W,4828,3296,1461,4735,6235
YLR012C,0,0,0,0,0
YNL002C,1541,1165,321,1443,1935
YLR054C,16,13,7,34,69
YNL294C,70,44,9,53,89
YHR193C,7658,4487,2353,6775,7010
YOR005C,68,44,10,39,69
YPR147C,305,191,108,265,319
YOR242C,2,0,1,2,1
YJL028W,1,0,1,0,1
YLR077W,224,157,52,112,290
YCR081W,256,192,83,188,232
YBL040C,745,490,305,646,194
YJR127C,113,73,45,81,140
YJL176C,557,322,165,490,617
YLR453C,32,29,15,32,27
YCR007C,15,7,2,16,11
YHR128W,2242,1446,411,1282,1655
YOR297C,175,116,72,176,138
YPR020W,207,106,71,168,131
YJR003C,284,209,95,263,302
YIL101C,32,10,9,15,45
YHR136C,325,167,55,183,488
YPR114W,746,502,245,605,486
YPL189W,4,6,2,8,13
YJL056C,108,56,23,73,74
YLR264C-A,0,0,0,0,0
YPL247C,125,73,30,74,117
YDR482C,93,50,14,26,104
YJL122W,498,336,140,429,690
YBL058W,1754,1009,502,1395,2473
YKL107W,3,3,1,2,4
YCL017C,1461,987,410,1358,1989
YER085C,1,0,1,0,2
YCR065W,312,171,108,314,378
YOR388C,0,0,0,0,0
YLR002C,772,629,245,765,1052
YFL045C,5295,3402,1382,5133,10632
YPR091C,659,476,115,422,547
YOL083W,59,39,19,59,64
YLR307C-A,0,0,1,0,0
YNL020C,141,101,78,164,156
YGL125W,190,97,56,122,201
YKR038C,366,242,94,260,474
YDL215C,446,288,218,531,761
YLR354C,10272,6151,2205,7279,14306
YFR008W,114,68,29,79,88
YDR284C,421,246,124,311,465
YFL013C,416,255,108,315,632
YKL051W,97,60,34,48,143
YPR174C,129,84,36,76,118
YMR091C,899,572,208,550,1187
YJL143W,1186,565,132,405,837
YGR057C,57,44,15,51,55
YKL194C,137,58,20,58,117
YLR308W,0,0,0,0,0
YBR065C,143,78,34,121,135
YMR029C,449,285,141,362,500
YHL042W,12,5,2,7,15
YPR121W,0,0,0,0,0
YNL068C,244,151,98,273,157
YLR156C-A,0,0,0,0,0
YGL157W,960,494,215,674,856
YGL178W,355,227,129,356,249
YMR148W,51,18,17,33,43
YML058W,2734,1485,791,2320,3926
YLR249W,79409,54333,20929,67024,131698
YGR019W,551,272,161,339,783
YJL049W,167,80,39,111,185
YBR263W,3111,2141,732,2117,3932
YOR249C,115,93,39,68,90
YBL097W,256,186,37,158,311
YCR020W-B,99,58,44,134,101
YDR286C,70,34,15,66,55
YLR342W-A,1,0,0,0,0
YBL043W,2,2,0,0,3
YLR018C,308,199,83,216,223
YMR076C,528,331,158,488,479
YOR251C,532,329,149,445,599
YJR135W-A,548,276,61,313,279
YOR186W,2,0,0,0,1
YDR083W,474,353,94,383,637
YOR011W-A,0,0,0,1,0
YOR267C,653,343,166,494,588
YLR109W,32573,15875,10406,26309,49497
YOR032C,0,0,1,2,1
YOR091W,969,676,264,843,1617
YBR205W,1395,912,320,776,1375
YLR316C,111,85,25,91,197
YLR292C,661,363,182,543,1044
YLR216C,4431,2326,1369,3460,6081
YCR044C,328,242,122,217,386
YDR046C,877,562,165,523,949
YJL092W,191,131,65,153,169
YML018C,343,251,87,222,317
YDR096W,204,111,68,197,187
YLR445W,1,2,0,0,0
YOR369C,17092,10476,2805,12518,27558
YOR138C,463,295,94,224,466
YGR246C,335,236,69,247,589
YJR138W,279,205,60,211,357
YHR059W,156,85,37,119,131
YLR138W,608,421,101,353,789
YNL106C,213,143,54,162,181
YNL156C,242,139,78,215,241
YNL286W,124,61,22,80,148
YNL093W,6,3,1,5,3
YIL040W,241,172,102,203,116
YKL104C,2313,1515,574,1495,2779
YLR186W,906,621,219,702,1221
YGL134W,64,40,23,51,62
YDR425W,115,104,71,163,125
YJR094W-A,2770,1735,906,3362,5222
YDR293C,1344,808,474,1269,1446
YNR015W,300,179,58,197,298
YLR456W,39,19,17,39,56
YDR448W,166,147,71,158,310
YIL166C,11,11,5,10,2
YER184C,36,23,4,18,48
YDR097C,748,499,207,644,1005
YJL047C-A,0,0,0,4,40
YJL066C,203,99,60,136,211
YOR194C,566,361,83,345,648
YLR368W,93,59,19,59,81
YKL095W,98,56,22,80,192
YGR060W,5873,3875,2109,5384,6397
YHR041C,215,138,54,97,254
YCR097W,149,79,114,283,163
YBR115C,2808,1765,866,2249,3208
YBR147W,8,7,0,9,18
YHR086W,306,166,91,207,249
YFL003C,6,8,5,9,12
YOR125C,270,131,58,133,225
YML079W,446,271,119,282,517
YLR065C,360,230,123,310,238
YPL134C,47,23,18,47,90
YNL298W,313,211,101,261,342
YGL225W,2884,1767,898,1952,2710
YER078C,208,111,61,121,202
YNL122C,168,67,63,186,79
YNL224C,385,257,84,332,519
YLR129W,1160,896,272,811,1481
YGL066W,320,162,92,245,227
YNL217W,396,264,148,393,510
YGL063W,22,16,11,18,20
YML030W,174,70,23,80,241
YPL152W-A,0,0,0,0,1
YAL039C,267,123,35,102,238
YOR261C,1883,1133,543,1611,1960
YMR316W,124,47,73,175,231
YLR191W,206,127,52,111,220
YCR027C,104,56,33,85,187
YER125W,1841,1098,452,1325,2259
YDL046W,1071,610,372,871,1368
YMR263W,192,95,42,123,158
YOL113W,28,19,12,44,43
YDR517W,852,506,221,512,999
YAL001C,333,216,86,256,409
YBR197C,108,70,15,64,228
YJR132W,939,678,214,546,1069
YDR192C,214,166,85,251,273
YER021W,2172,1381,641,1647,2691
YKL014C,1533,1229,429,1084,1211
YGR197C,132,72,46,121,162
YDL106C,304,175,106,237,289
YDR365C,1087,734,195,727,1344
YNL280C,1123,766,252,709,1082
YDR505C,501,324,188,528,398
YDL154W,3,3,1,1,4
YCR030C,803,469,229,715,815
YGL033W,7,5,1,7,18
YMR211W,148,103,35,111,125
YGL202W,4474,3030,1746,4050,4277
YBL036C,966,629,177,660,802
YBR221W-A,0,0,0,0,0
YPR178W,161,93,41,134,210
YOL147C,319,180,93,245,287
YFR007W,113,52,29,71,79
YGR072W,186,134,50,156,147
YNL069C,14242,9164,3238,12641,21997
YER022W,332,215,103,312,442
YIL118W,602,371,201,546,791
YJR008W,30,14,2,24,24
YKL217W,5,6,2,3,13
YCL010C,206,148,46,118,208
YJR024C,298,169,124,250,296
YFR011C,391,198,45,262,272
YBR042C,350,279,117,325,329
YAL047C,113,75,37,125,140
YDR256C,1,0,0,0,1
YNL287W,3594,2517,1225,3237,4168
YGR103W,3040,2304,624,2214,2907
YLR061W,12356,8027,3701,11196,17080
YOR281C,578,326,82,307,629
YJL078C,1609,935,578,1097,1087
YBR162C,8354,5255,2123,5047,6719
YMR114C,42,24,8,37,58
YGR251W,144,84,27,103,212
YBR094W,538,413,151,399,729
YGR065C,1000,670,411,953,1138
YOR260W,1112,899,330,864,1197
YGL251C,15,9,5,14,35
YEL017C-A,772,27,208,826,491
YKL021C,631,493,173,491,857
YOR374W,1231,553,244,634,1138
YKR028W,816,520,175,460,968
YNR062C,3,0,0,2,1
YHL026C,31,27,8,23,22
YHR014W,0,0,0,1,0
YJL102W,102,59,15,51,77
YDL015C,1969,1150,557,1556,742
YCR028C,341,232,68,199,297
YER058W,69,27,8,28,83
YCR016W,540,407,114,481,569
YER149C,281,175,85,214,346
YJL147C,63,32,20,41,76
YGL222C,220,120,81,232,256
YDR533C,162,96,36,102,177
YDL035C,288,158,73,216,250
YDL090C,159,109,40,108,205
YBR177C,639,327,147,486,676
YJL034W,9960,5914,2026,6903,14411
YOR034C-A,0,0,0,0,3
YNR059W,39,19,17,64,67
YLR066W,615,353,127,462,594
YGR156W,253,130,113,268,207
YBR125C,222,167,66,155,262
YBR173C,610,289,240,640,631
YHR057C,349,203,54,141,273
YOR077W,67,47,18,52,83
YOL162W,0,0,0,0,1
YAL051W,365,241,64,232,366
YLR234W,63,41,15,42,99
YDR198C,130,87,35,120,154
YJR124C,363,194,106,197,295
YHR107C,927,668,278,790,1435
YER112W,532,333,133,390,291
YLR174W,1,1,0,2,1
YCL026C-A,15,8,9,15,22
YGR108W,276,185,68,231,314
YDR346C,2440,1875,459,1471,3181
YDR091C,1645,1031,431,1084,1646
YDL232W,151,36,73,150,440
YKR092C,2541,1728,560,1735,1976
YLR385C,54,26,4,48,29
YLR117C,282,189,40,171,328
YBR250W,3,3,3,7,2
YDR143C,379,265,128,322,398
YER185W,8,5,1,10,2
YOL013C,301,204,86,214,192
YNR075C-A,0,0,0,0,0
YAL031C,165,99,34,96,142
YLR089C,877,617,361,1019,1307
YKL155C,151,100,32,133,190
YKL222C,22,16,7,10,41
YGR154C,3,0,1,2,10
YNL277W,102,48,15,46,88
YOL061W,1410,1011,418,934,1488
YFR013W,388,277,114,307,369
YDL014W,5911,4126,1087,3781,9101
YCL064C,3220,1766,859,2505,4012
YDR493W,141,54,42,77,139
YLR345W,159,98,43,137,198
YGL022W,2764,1944,577,1280,2658
YLR192C,3485,2144,625,2710,5745
YOR265W,399,207,57,337,499
YDR031W,105,42,18,53,75
YDL190C,894,537,337,680,855
YKR083C,91,34,11,77,65
YBR141C,125,89,31,102,133
YDR453C,195,90,21,81,105
YAL008W,234,128,49,225,270
YDR490C,232,129,81,178,315
YDR191W,96,41,15,59,84
YLR459W,355,244,148,350,286
YNL193W,273,174,71,167,319
YHR099W,1758,1305,404,1090,1290
YLR360W,85,70,28,68,81
YPR170W-B,472,214,226,480,1302
YKL070W,0,0,0,0,0
YOR142W,1362,791,396,1230,1587
YLR430W,733,521,204,536,777
YDR304C,1366,699,246,684,1277
YPL020C,210,149,55,190,281
YLR165C,13,12,8,24,25
YHL023C,200,138,69,183,184
YOR283W,476,293,128,518,925
YJR054W,76,48,16,56,59
YMR255W,156,103,41,197,169
YPL154C,6228,3817,1617,3965,6198
YDR033W,6722,3753,1424,3537,4970
YDR253C,7,4,4,7,3
YNL014W,14,9,2,4,9
YNL241C,3283,2135,625,2009,4128
YAL032C,157,100,35,107,212
YEL011W,129,68,31,87,178
YNL291C,241,158,82,202,183
YOR348C,2,2,0,2,2
YMR104C,84,49,19,72,99
YLR079W,236,178,70,257,346
YDL140C,5321,3883,1724,4280,6426
YOR097C,55,36,18,35,94
YOR072W-B,0,0,0,0,0
YHR103W,414,249,121,310,334
YOL107W,243,163,85,210,140
YOL126C,979,669,543,1108,1710
YHR026W,1657,1022,418,1080,1971
YGR028W,213,136,36,128,211
YGL061C,163,92,51,145,132
YJL089W,4,4,1,11,0
YKL116C,152,108,42,174,169
YHR134W,34,24,9,32,43
YOR022C,113,94,39,119,92
YBR228W,65,29,25,39,72
YNL320W,202,103,48,115,125
YGR123C,1227,888,392,1079,1423
YMR220W,579,400,148,421,858
YBR269C,336,147,85,220,303
YMR188C,264,144,29,172,220
YLR290C,122,68,37,124,100
YNL075W,599,413,143,437,728
YNL258C,456,271,124,361,612
YPR159W,1841,1208,615,1640,2053
YMR198W,128,56,27,111,161
YHR089C,2098,1319,389,1140,1556
YBR194W,60,28,13,57,44
YNR018W,757,527,210,564,806
YAL044C,1688,849,458,937,2194
YKL139W,229,127,69,191,217
YKL197C,228,159,65,167,322
YHR129C,92,46,12,44,99
YLR436C,318,182,88,184,241
YOR253W,575,356,223,474,426
YNL268W,2135,1361,479,1225,2000
YIL105C,348,233,149,320,317
YDR403W,14,8,5,12,16
YDL029W,1881,1147,344,1157,2192
YOR132W,421,240,93,368,582
YCL026C-B,172,100,110,197,223
YDR525W-A,245,120,134,238,192
YPL255W,74,52,11,49,101
YEL012W,218,150,51,137,440
YOR192C,0,2,0,1,3
YGL229C,80,49,6,51,94
YER065C,14,11,3,13,13
YPR194C,6,3,1,2,0
YOL005C,464,278,116,363,1046
YML052W,1121,645,186,477,630
YML064C,133,87,38,121,153
YHL019C,152,106,31,92,191
YBR167C,73,30,21,84,116
YPR176C,330,196,94,163,350
YFL016C,591,308,159,396,707
YLR383W,176,129,25,96,210
YJL062W,594,405,172,410,546
YDR140W,163,91,41,129,273
YNL252C,289,179,36,172,243
YGR282C,9016,5555,2075,6153,11079
YEL033W,10,2,8,15,6
YMR196W,247,121,21,94,207
YOR205C,66,49,22,48,73
YLR299W,302,161,77,185,312
YBR188C,114,75,36,98,98
YHR178W,87,36,29,67,87
YOR195W,567,351,130,514,562
YER114C,766,450,200,612,889
YIL002C,166,100,34,89,173
YDR518W,886,527,312,906,1163
YKR021W,186,114,52,147,181
YLR328W,545,366,225,607,653
YKL173W,482,337,108,324,690
YNR013C,878,577,284,672,839
YJR077C,2051,1237,438,1207,2212
YDR376W,235,159,47,152,232
YPR078C,0,2,0,1,3
YGL058W,477,264,181,544,579
YFL005W,1573,1009,360,994,1546
YMR284W,93,65,42,84,85
YML061C,185,134,45,150,179
YJL139C,119,80,35,94,154
YDL129W,84,45,9,41,48
YLR449W,2274,1710,546,1830,4671
YLR021W,170,97,30,108,137
YDL007W,2273,1404,554,1563,2260
YOR145C,918,564,226,703,1167
YMR317W,1319,836,250,601,383
YKR069W,19,17,10,23,57
YOR287C,324,198,33,209,308
YIL122W,36,24,15,39,42
YPL218W,2805,1754,588,1615,3494
YPR037C,245,151,39,121,350
YLR080W,40,32,7,35,95
YJR149W,3,1,1,5,9
YJL145W,1187,702,277,990,1101
YPR198W,418,311,141,281,374
YNR052C,593,337,147,335,576
YHR098C,1534,1028,520,1222,1584
YOR244W,204,94,46,134,306
YMR314W,1839,1046,455,940,1514
YLR173W,148,94,27,69,139
YHR190W,2274,1457,799,2071,3549
YPL097W,175,97,27,65,111
YNL115C,447,239,121,308,402
YLR103C,148,88,43,103,144
YBR112C,1046,637,380,867,766
YNL247W,3029,2143,854,2332,3029
YER014C-A,0,0,0,0,0
YKL132C,13,10,1,2,8
YPL222W,76,41,22,58,124
YKL012W,245,147,48,157,225
YLR395C,246,113,40,150,124
YAL041W,423,264,145,403,451
YBL052C,104,57,31,61,80
YCL045C,2247,1439,697,1855,2101
YNL011C,103,58,30,57,109
YDL135C,669,400,214,720,907
YMR237W,1183,724,484,962,1121
YOR020W-A,105,64,32,109,127
YOR054C,158,84,39,100,187
YMR158C-A,0,0,0,0,0
YIR021W-A,1,0,1,1,0
YGR046W,125,68,21,63,87
YGR224W,3,1,0,0,1
YMR130W,280,167,84,188,209
YLR455W,171,119,54,166,219
YDR308C,243,117,62,115,193
YJL153C,6,13,3,8,21
YKR036C,145,106,49,95,197
YDR320C,448,282,176,439,455
YBR035C,1465,786,223,668,1321
YCR002C,935,588,271,794,1122
YDR244W,247,182,83,249,429
YAL016W,2273,1449,607,1917,2413
Q0275,18,22,42,48,97
YPR093C,85,42,9,52,82
YMR239C,301,230,48,177,191
YLR163C,546,323,150,380,705
YDL072C,881,538,345,798,1295
YPL190C,1237,736,473,1289,1666
YHR199C-A,29,9,2,13,29
YER059W,237,114,56,186,209
YBR207W,1178,752,304,832,921
YIL049W,91,67,44,100,35
YBR069C,1842,1263,421,1050,1534
YLR084C,635,383,147,370,375
YGL215W,478,293,156,435,290
YPR066W,51,23,14,28,48
YNL202W,18,7,5,8,25
YOR161C-C,0,0,0,0,0
YPL143W,4330,2591,1869,4578,5067
YLR099C,273,152,70,136,224
YDR092W,639,379,188,478,921
YOR080W,70,53,23,67,72
YNL277W-A,0,0,0,0,1
YNL133C,71,33,9,57,66
YJL053W,323,182,86,271,290
YJL167W,3765,2423,1255,3413,5766
YIL097W,62,51,21,81,65
YOR198C,5264,3174,1274,5320,7275
YLR014C,69,54,14,65,72
YNL101W,218,130,82,177,212
YGL241W,427,284,153,412,527
YML055W,400,248,102,330,550
YHR143W-A,614,317,100,435,991
YLL050C,6891,4166,1655,5739,6696
YFL052W,6,2,0,1,0
YML035C,1136,733,297,802,1083
YGR133W,70,31,25,58,72
YDR357C,138,70,20,103,116
YDR006C,456,259,145,366,337
YDR023W,8276,5593,2249,7808,14069
YNL256W,554,452,158,366,663
YML100W,763,186,108,306,510
YHR197W,670,538,176,525,504
YER098W,46,31,15,41,70
YNL325C,149,116,50,126,145
YGL204C,56,21,20,62,76
YBR128C,21,8,8,11,22
YGL168W,0,0,0,0,0
YPL258C,4,1,1,2,1
YDR540C,15,17,7,20,22
YNL216W,1347,753,415,1005,1334
YIL036W,403,261,167,448,403
YPL096C-A,32,13,5,25,65
YLR307W,3,5,3,5,9
YML119W,148,100,47,124,77
YPL201C,0,0,0,1,2
YLR046C,0,0,0,1,8
YHR003C,356,251,66,221,577
YKR085C,336,210,66,167,367
YPR041W,4165,2620,812,2920,6144
YJL050W,2029,1665,476,1621,3048
