ORF,WT_RNA,WT+DTT_RNA,WT+Tm_RNA,WT_Ribo,WT+DTT_Ribo,WT+Tm_Ribo
YFL021C-A,3.603207611,15.80719187,8.623580702,0,0.239327901,0.422603478
YFL031C-A,0,0,0,0,0,0
YFL041W-A,7.337440954,20.87153005,17.28200416,0,0,0
YFL064C,0,0,0,0,0,0
YFL065C,0,0,0,0,0,0
YFL066C,0,0,0,0,0,0
YFL067W,0,0,0,0,0,0
YFL068W,0,0,0,0,0,0
YFR010W-A,0,0,0.280767744,0,0,0
YFR012W-A,0,1.302429203,0,0,0,0
YFR035C,0.514287611,0,0.468894459,0,0,0
YFR036W-A,0,0.224902231,0,0,0,0
YFR054C,1.406917192,2.931049815,3.420631626,0,0,0
YFR056C,0,0,0,0,0,0
YGL007C-A,0,0,0,0,1.439513004,0
YGL007W,0,0,0,0,0.265518501,0
YGL014C-A,0,0,0,0,0,0
YGL015C,0,0.477031386,1.130819892,0,0,0
YGL024W,1.279399804,0.492072203,0.933179747,0,0,0
YGL034C,0.502800539,0.966914987,0.458421283,0,0,0
YGL041C-B,0.938152226,0.601373955,0.855347029,0,0,0
YGL042C,0,0,0,0,0,0
YGL051W,0,0,0,0,0,0
YGL052W,0,0,0,0,0,0
YGL053W,0,0,0,0,0,0
YGL063C-A,0,0,0,0,0,0
YGL069C,1.206629709,1.160209922,2.200255159,0,0.25646496,0
YGL074C,0,0.742551171,0,0,0,0
YGL102C,0.244363877,0,0.44559062,0,0,0
YGL109W,0,0.248033148,0,0,0,0
YGL118C,0,0,0,0,0.260899322,0
YGL123C-A,0.283936974,0,0,0,0,0
YGL132W,0.255879961,0.492072203,0,0,0,0
YGL138C,0,1.286999537,0.610175649,0,0,0
YGL149W,0,0,0,0,0,0
YGL168W,2.82020288,1.97215123,1.636269159,0,0,0
YGL188C,92.07301695,19.12514461,130.453091,1.169622461,0,0
YGL199C,1.445228162,3.010863584,2.196110576,0,0,0
YGL214W,1.190570347,1.144768374,0,0.434060518,0.253051599,0
YGL235W,0.236625741,0.910090413,0.647220522,0.431347429,0.502939807,0
YGL239C,0,0,0,0,0,0
YGL258W-A,0,0,0,0,0,0
YGL259W,0.359701654,0.34586371,1.311811589,0,0,0
YGL260W,0,0,0,0,0,0
YGL262W,2.608475937,5.928298443,1.945833594,0.432274261,0,0
YGR027W-A,0,0,0,0,0,0
YGR031C-A,0.239379765,1.611194747,1.527757816,0.436367767,1.017586779,0
YGR035W-A,0,0,0,0,0,0
YGR038C-A,0,0,0,0,0,0
YGR045C,3.273508169,3.389695397,1.836661413,0,1.873234488,0
YGR051C,0,0,0,0,0,0
YGR068W-A,0,0,0,0,0,0
YGR073C,30.82474819,28.43406779,32.6737891,0,0.266328997,0
YGR109W-A,0,0,0,0,0,0
YGR114C,0.24180818,0,0,0,0,0
YGR115C,0,0,0,0,0,0
YGR122C-A,0,0.755682311,0.358274367,0,0,0
YGR139W,0,0,0,0,0,0
YGR161W-A,0,0,0,0,0,0
YGR161W-B,0,0,0,0,0,0
YGR164W,0,0,0.233294937,0.466446139,0,0.480175547
YGR174W-A,1.219085241,2.930465708,1.667225602,0,0,0
YGR176W,0,0,0.231559112,0,0,0
YGR190C,0.25140027,0.72518624,0.458421283,0,0,0
YGR219W,0,0,0,0,0,0
YGR226C,0,0,0,0,0,0
YGR228W,0,0,0,0,0,0
YGR240C-A,1.498142172,0.864304633,0.546363978,0,0,0
YGR242W,0,0,0,0,0,0
YGR259C,3.892599089,40.46954842,10.42525268,0,0,0
YGR265W,0,0,0,0,0,0
YGR270C-A,0,0,0,0,0,0
YGR273C,0.237308028,0.456357285,0,0.432591177,0,0
YGR288W,0,0,0,0,0,0
YGR289C,0,0,0,0,0,0
YGR290W,0,0,0,0,0,0
YGR294W,0,0,0,0,0,0
YGR296C-A,0,0,0,0,0,0
YGR296C-B,0,0,0,0,0,0
YHL002C-A,0.239583909,1.612568784,1.092186212,0,0.254613646,0.449594936
YHL005C,1.488351973,3.3392197,2.71396774,0.452188615,1.318100211,1.396495099
YHL006W-A,1.012329758,3.406846833,0.692233009,0,0,0
YHL009W-A,0,0,0,0,0,0
YHL015W-A,0,0,0,0,0,0
YHL016C,23.76640849,47.98941031,33.48797075,2.756983322,8.26603807,6.892607647
YHL019W-A,0.23380364,0,0.426334327,0,0.248470764,0
YHL030W-A,0.243374549,0.234011781,0,0,0,0
YHL034W-A,0,0,0,0,0,0
YHL037C,1.408253641,0.967198041,0.550266578,0,0.213799592,0
YHL041W,0,0,0,0,0,0
YHL045W,0,0,0,0,0,0
YHL046W-A,0,0,0,0,0,0
YHL048C-A,4.161704792,8.366984848,8.278637474,0,0,0
YHL049C,0,0,0,0,0,0
YHL050W-A,0,0,0,0,0,0
YHR014W,0.676926135,1.084807285,2.057259448,0,0,0
YHR022C-A,1.261122664,0,1.14981076,0,0.670118122,0
YHR028W-A,0.793765441,0.254409599,0,0,0,0
YHR032C-A,0,0,0,0,0,0
YHR043C,0,0,0,0,0,0
YHR049C-A,0.74316157,3.09647731,1.580989795,0,0,0.464863826
YHR052W-A,0,0,0,0,0,0
YHR053C,1.861657266,0,2.546009541,0,0,0
YHR054C,0,0,0,0,0,0
YHR054W-A,0,0,0,0,0,0
YHR055C,0,0,0,0,0,0
YHR056W-A,0.731451145,1.172186283,0,0.444456535,0,0
YHR063W-A,0,0.246036101,0.233294937,0,0,0.480175547
YHR069C-A,3.777124811,16.70635589,11.24955115,0,0,0.472534847
YHR070C-A,0,0,0,0,0,0
YHR073C-B,0,0,0,0,0,0
YHR079C-A,0,0.258240273,0,0,0.285420682,0
YHR086W-A,0,0,0,0,0,0
YHR093W,0,0,0,0,0,0
YHR125W,0.26145226,0.25139403,0,0,0,0
YHR126C,0.480427681,0.230972666,0.438023147,0,0.255283094,0
YHR130C,13.56163792,28.78622386,28.22868736,0,0.543863983,0
YHR131W-A,1.111957618,0,0.506905819,0,0,0
YHR137C-A,0.694577711,18.03213574,5.277261738,0,0,0
YHR157W,8.731146787,14.9753183,12.69376971,0,3.761706025,2.656957331
YHR165W-A,0.260231661,0.500440778,0.711787613,0,0.553113371,0
YHR173C,0.25538864,0.491127364,0,0,0,0
YHR180C-B,0,0,0,0,0,0
YHR182C-A,0.721947032,1.156955477,0.658225001,0,0,0
YHR185C,0.917881327,0.882569868,1.882946979,0,0.243865616,0
YHR193C-A,1.000891003,0.481193055,1.140685278,0,0.26591989,0
YHR210C,22.43188398,32.59847474,25.10012426,0.929347854,1.896291708,0.956702343
YHR212C,0,0,0,0,0,0
YHR212W-A,0,0,0,0,0,0
YHR213W,1.869373632,0.89872884,0.639140618,0.851924971,0.744991656,0.87700059
YHR213W-A,0,0.543582224,0.257716205,0,0,0.530440228
YHR213W-B,0,0.252626354,0,0,0,0
YHR214C-C,0,0,0,0,0,0
YHR214C-D,0,0,0,0,0,0
YHR217C,1.146926517,1.960539643,2.207576302,0.464609736,0,0
YHR218W-A,0,0,0,0,0,0
YHR219C-A,0,0,0,0,0,0
YHR219W,0,0,0,0,0,0
YIL012W,1.726942747,2.905885846,2.361773454,0.39350765,0,0.810180363
YIL020C-A,31.92357998,12.03262041,22.81900423,0,0,0.479253551
YIL021C-A,0,0,0,0,0,0
YIL025C,0.505257478,0.485819912,1.612314768,0,0,0
YIL029C,39.09822026,60.15054028,52.57969315,0,1.298467365,0.458564858
YIL029W-A,0,0,0,0,0,0
YIL032C,0,0,0,0,0,0
YIL046W-A,1.321176124,0.95276225,2.409127307,0,0,0
YIL054W,0,0,0,0,0,0
YIL066W-A,0.243028847,2.103114398,0.664734346,0,0.258274693,0
YIL068W-A,0,0,0.227123113,0,0,0
YIL100C-A,0.712534305,2.055368017,1.515833852,0,0.504822319,0
YIL100W,1.181051384,5.678078053,0.646084142,0,0.753085128,0
YIL105W-A,0,0,0,0,0,0
YIL115W-A,0,0,0,0,0,0
YIL134C-A,0.304100501,0,0.277259332,0,0,0
YIL142C-A,0.25638208,0.493037808,0.233752737,0,0,0
YIL156W-A,1.976496339,1.425344482,2.477808568,0.450371867,1.050243607,0.927256287
YIL171W-A,0,0,0,0,0,0
YIL172C,1.087810485,4.393039337,1.785232496,0,0.462420693,0.408269559
YIL177W-A,0,0,0,0,0,0
YIR016W,110.6877661,217.6473205,166.7520426,0.41262543,1.202776117,0
YIR017W-A,0,0,0,0,0,0
YIR018C-A,0.716193118,1.377281456,2.611915802,0,0,0
YIR020C-B,0.228870409,1.320393744,1.669354881,0.417210157,0.24322806,0
YIR020W-A,0.865685896,0,0.263092293,0,0,0
YIR023C-A,0.773870726,0,0.235188565,0,0,0
YIR030W-A,0.24911065,0.23952721,0.908492453,0,0,0
YIR036W-A,0.494124085,0.475114827,0,0.450371867,0,0
YIR040C,0,0,0.233752737,0,0,0
YJL007C,0,0,0,0,0,0
YJL015C,0.190169291,0.365706722,0.693536649,0.346661501,0,1.070595479
YJL020W-A,0,0,0.249706377,0,0,0
YJL022W,1.043338429,1.504800837,1.902498125,0,0.554394913,0
YJL026C-A,0.288034189,0.830860009,0.525222199,0,0,0
YJL027C,2.946152106,6.609894255,4.700696931,0,0,0.460720655
YJL028W,0,0.269468111,0.511027005,0,0,0.525906551
YJL032W,0,0,0,0,0,0
YJL043W,1.139249465,1.314506206,1.454172432,0,0.968574093,1.282725853
YJL047C-A,6.053388787,10.54967655,6.208978105,0,0,0
YJL052C-A,0,0,0,0,0,0
YJL064W,0.247720523,0,0.225855685,0,0,0
YJL067W,0.507049319,0.731314229,0.231147524,0,0.269428936,0
YJL075C,0,0.236067652,0,0,0,0
YJL077W-B,2.667759482,12.31261984,3.405208791,0,0,0
YJL105W,5.013020866,9.011616325,3.775672487,0.794633553,1.158152392,0.818022852
YJL113W,0,0,0,0,0,0
YJL114W,0,0,0,0,0,0
YJL119C,5.159138171,6.200828692,4.233394164,0,0.274139232,0
YJL120W,0.257956909,0.248033148,0.470377129,0,0,0
YJL127W-A,0,0,0,0,0,0
YJL136W-A,0,0,0,0,0,0
YJL152W,1.261122664,15.5213632,10.57825899,0,1.340236245,1.893263584
YJL156W-A,0,1.107813345,0.2626111,0.525060402,1.22441336,0.540515067
YJL169W,0.251000142,0.482688024,0.228845831,0.457550668,0,0
YJL175W,0,0,0,0,0,0
YJL182C,0,0,0,0,0,0
YJL188C,0,0.25080014,0,0,0,0
YJL195C,1.149153829,1.104945175,0.419089903,0,0.488497323,0
YJL197C-A,0,0,0,0,0,0
YJL202C,0.253976092,0,0.231559112,0,0,0
YJL215C,4.035592526,8.973288097,6.668902411,0,0.536094498,0
YJL217W,0,0,0,0,0,0
YJL220W,0,0,0,0,0,0
YJL222W-A,0.285253936,0,0,0,0,0
YJL222W-B,0,0,0,0,0,0
YJL223C,0,0,0,0,0,0
YJL225C,4.661215361,4.889340593,4.442969812,0,0.225164809,0
YJL225W-A,0,0,0,0,0,0
YJR018W,1.762658245,1.694847698,2.295826766,0.459023905,0,0
YJR023C,2.243235889,1.198298458,3.408731015,0,0,0
YJR028W,0,0,0,0,0,0
YJR029W,0,0,0,0,0,0
YJR037W,0,0.47905442,0.227123113,0,0,0
YJR038C,0,0.968484399,0.68874803,0.459023905,1.338024634,0.945069693
YJR079W,2.568953575,30.87655439,24.82739531,0,12.01248783,9.641620105
YJR087W,3.764065095,1.688987624,4.118199764,0,0,0.470901019
YJR114W,0,0.477031386,0,0,0,0
YJR128W,0.504449065,1.2126065,0,0,0,0
YJR140W-A,0,0,0.958175634,0,0,0.657383189
YJR150C,0,0.216588616,0.205372412,0,0,0.422704459
YJR151W-A,0,0,0,0,0,0
YJR156C,0,0.214693051,0,0,0,0
YJR157W,0,0,0,0,0,0
YJR162C,0,0,0,0,0,0
YKL030W,0.233284595,0,0.425387864,0,0.247919159,0
YKL031W,1.474872268,1.418133025,1.34469394,0.448093234,0,0
YKL083W,2.590010571,4.527947767,4.937484276,0,0,0.441847717
YKL096C-B,1.751559255,0.673670278,2.235743145,0,0,0
YKL100W-A,0,0,0.57490538,0,0,0
