ORF,WT_RNA,WT+DTT_RNA,WT+Tm_RNA,WT_Ribo,WT+DTT_Ribo,WT+Tm_Ribo
YAL068C,0.755424962,3.873937597,0.68874803,0,0,0
YBL070C,0.517011974,0.248561102,0.235689179,0,0,0
YBL096C,1.304173036,1.755600976,0.951249063,0,0.277197456,0
YBL100C,0,0,0,0,0,0
YBR064W,0,0.234963048,0,0,0,0
YBR089W,2.568953575,2.69468111,4.47148629,0,0.248191897,0
YBR209W,0.259067834,0.49820267,0.236201435,0,0,0
YBR301W,0.251808321,1.210605499,0.229582677,0,0,0
YCL046W,0.773870726,2.232298329,1.881508517,0,0,0.968146151
YDR010C,0,0.448664405,0.425429981,0,0,0
YDR048C,0,0.249654279,0.236725745,0.473305641,0,0
YDR095C,0,0,0,0,0,0
YDR114C,0.524170325,1.260012927,0,0,0,0
YDR542W,0,0.4842422,0.459165353,0,0,0
YGL261C,0,0,0,0,0,0
YGR022C,0,0.49402487,0,0,0,0
YGR064W,2.510001419,6.516288327,6.178837436,0,0.266746049,0
YGR291C,0,0,0,0,0,0
YGR293C,0.241558321,0,0,0,0,0
YHL046C,0,0,0,0,0,0
YIL176C,0,0,0,0,0,0
YJR020W,3.589349121,9.614237249,10.05136769,0,0,0.481117806
YJR151C,3.564140576,39.50098271,32.66657703,0.341953024,3.389020327,0.704036189
YKL053W,1.000891003,1.202982639,0.228137056,1.368400662,1.063679559,0.469559421
YKL223W,0,0,0,0,0,0
YLL064C,0,0,0,0,0,0
YLR111W,1.296153849,1.495548016,0.23634999,0,0,0
YLR125W,16.4898076,39.99355881,20.86857393,0.897296571,1.569336458,3.694830641
YLR349W,0.947243246,50.54952295,41.45451061,0,31.45832297,40.88397529
YLR400W,0.481298022,0.694173286,0,0,0.255745564,0
YLR464W,0.302056974,0.290436656,0,0,0,0
YML132W,0,0,0,0,0,0
YMR141C,0,0,1.189061328,0,0,0
YNL105W,0,0,0.44559062,0,0,0
YNL270C,6.968802976,5.863120236,3.375407159,0.793968789,0,0
YNR076W,1.007233283,23.00150448,8.035393679,0,0.535209854,0.472534847
YOR255W,0.454590728,0.655653514,1.450633343,0,0,0.426534674
YPL056C,9.150829087,25.89358513,14.54089949,0.476603938,0.277853856,0
YPL251W,0.262085163,1.764018097,0.716857326,0,0.278526462,0.491820016
YAL004W,0.231634775,0.222723643,0.211189731,0,0,0
YAL016C-A,0,0.998617117,0.946902979,0,1.655585949,0
YAL016C-B,0,0,0,0,0.329740663,0
YAL031W-A,0,1.254000697,0.237812266,0,0,0
YAL034C-B,0,0,0,0,0,0
YAL037C-A,0,0,0,0,0,0
YAL037C-B,0,0.215353613,0,0,0.238020099,0
YAL042C-A,0,0,0.683378093,0,0,0
YAL045C,1.043338429,0.501600279,0.475624531,0.475478013,0.831592369,0.978946532
YAL047W-A,4.110325718,3.211161657,3.044869236,0,0.546022174,0
YAL056C-A,0.253524659,0.48754282,0.462295048,0,0.269428936,2.378778344
YAL059C-A,0,0,0.223310354,0,0,0.45962494
YAL063C-A,0,0,0,0,0,0
YAL064C-A,0,0,0,0,0,0
YAL064W,0,0,0,0,0,0
YAL064W-B,0,0,0,0,0,0
YAL066W,0,0.25080014,0,0,0,0
YAL067W-A,0,0.274280042,0,0,0,0
YAL068W-A,1.374300339,5.814292704,3.508396934,0,0,0
YAL069W,1.614852192,1.293939862,1.472318657,0,0.572052056,0
YAR020C,2.94261955,7.545107109,2.980990859,0,0,0
YAR030C,0.504449066,1.2126065,0.919848608,0,0,0
YAR035C-A,0,0,0,0,0,0
YAR047C,0,0,0,0,0,0
YAR053W,0,0,0,0,0,0
YAR060C,0,0,0,0,0,0
YAR064W,0,0.252626354,0,0,0,0
YAR069C,0,0,0,0,0,0
YAR070C,0,0,0,0,0,0
YAR071W,5.489261595,6.333703593,4.203995592,1.601028775,0.466689406,0
YAR073W,0,0,0,0,0,0
YAR075W,0,0,0,0,0,0
YBL005W-A,0,0,0,0,0,0
YBL006W-A,0.350311851,1.010505416,1.59695939,0,0.372287846,0.657383189
YBL012C,0,0,0,0,0,0
YBL044W,3.977386864,1.673163776,4.759553194,0.453151142,0,0
YBL053W,0.250222751,0.240596528,0,0,0,0.469559421
YBL062W,0.249474421,0,0.227454776,0,0,0
YBL065W,0.508874057,10.76454191,15.31063802,0,0.270398541,0
YBL071C-B,10.13748603,7.695387402,5.351042385,0.972617086,0.567023027,0
YBL073W,0,0,0,0,0,0
YBL077W,0,0,0,0,0,0
YBL094C,0,3.204745749,1.402516422,0,0.27246561,0.481117806
YBL100W-A,0,0,0,0,0,0
YBL100W-C,0.420374221,2.021010833,0,0,0.446745415,0.788859827
YBL107W-A,0,0,0,0,0,0
YBL108C-A,0,0,0,0,0,0
YBL108W,0,0.254497661,0,0,0,0
YBL109W,0,0,0,0,0,0
YBL112C,0,0,0,0,0,0
YBL113C,1.837688851,2.827186928,2.848327612,0,0,0.344854378
YBL113W-A,0,0,0,0,0,0
YBR012W-A,0,0,0,0,0,0
YBR032W,0,0.252002585,0.238952442,0.477757663,0,0
YBR051W,0,0,0.462295048,0,0,0.475755669
YBR103C-A,0,0,0,0,0,0
YBR113W,0,0.224401892,0,0,0.24802073,0.437953214
YBR131C-A,0,0,0,0,0,0
YBR134W,0,0.233461596,0.221371612,0,0,0
YBR144C,0.262733888,0.252626354,0.718631725,0.957880463,0.279215884,1.972149567
YBR174C,2.856071916,0.998617117,1.420354469,0,0,0
YBR178W,0.500445502,2.165368749,0.456274111,0.456133554,0.53183978,0.469559421
YBR182C-A,1.518018022,0.291923787,0.830418883,0,0,0
YBR196C-A,4.904365916,2.021010833,6.387837558,0,0,0
YBR196C-B,6.866112282,6.130399526,8.048675322,0,0,0
YBR200W-A,0,0.635174833,0,0,0,0
YBR221W-A,0,0,0.447148629,0,0,0
YBR223W-A,0,0,0,0,0,0
YBR232C,1.261122664,0.2425213,0.229962152,0,0,0
YBR266C,0,0.23295621,0,0,0,0
YBR277C,0.98824817,1.425344482,2.252553244,0.900743734,1.575365411,0.927256287
YBR292C,3.723314531,4.773435109,3.620991347,0,0.263792531,0
YBR296C-A,0,0,0,0,0,0
YBR298C-A,0,0,0,0,0,0
YBR300C,0,0,0.217886514,0,0.253971708,0
YCL001W-A,2.174024891,3.483981361,2.863085998,0.880678157,0.256711917,0
YCL001W-B,1.099440271,1.585716192,2.25539803,0,0,0
YCL018W,0,0,0,0,0,0
YCL019W,0,0,0,0,0,0
YCL020W,0,0,0,0,0,0
YCL022C,0,0.228693331,0,0,0,0
YCL023C,0,0.488410951,0,0,0,0
YCL065W,0,0,0,0,0,0
YCL067C,0,0,0,0,0,0
YCL068C,0,0,0,0,0,0
YCL069W,0,0,0,0,0,0
YCL073C,0,0.208882999,0,0,0,0
YCL076W,0,0,0,0,0,0
YCR006C,22.86165602,13.88346572,16.01680834,0,0.511491127,0.903187338
YCR038W-A,0,0,0,0,0,0
YCR039C,0,0,0,0,0,0
YCR041W,0,1.232594519,0.701258211,0,0.54493122,0
YCR045W-A,28.90181115,41.19736824,26.58196526,0,0.269428936,0
YCR047W-A,0,0,0,0,0,0
YCR050C,0.260834607,0,0.237812266,0,0,0
YCR064C,0.738349594,1.893186216,4.039078825,0,0.261556076,0.92370766
YCR081C-A,0,0.270609925,0,0.513034282,0,0
YCR087W,0.475686619,1.600853318,1.084251375,0,0,0
YCR096C,0,0,0,0,0,0
YCR097W-A,0,0,0,0,0,0
YCR102W-A,0,3.769624554,1.099818988,0,0,0
YCR104W,0.500445502,0.721789583,0.456274111,0,0,0
YCR108C,0,0,0,0,0,0
YDL009C,0.515913817,0.248033148,0.470377129,0,0.548278464,0.484073075
YDL011C,0,0,0,0,0,0
YDL022C-A,0,2.662601573,0.757415025,0,4.414270172,0.519645759
YDL023C,0.52302374,3.268867522,0.238429751,0,0,0
YDL025W-A,0.490436592,0,0,0,0,0
YDL026W,0.260231661,1.751542722,0,0,1.106226742,0
YDL032W,0,0.500440778,0,0,0,0
YDL034W,0,0.24464868,0.463958728,0,0,0
YDL050C,0,0,0.456976071,0,0,0
YDL062W,0,0.235232408,0.446101443,0,0.259991184,0
YDL094C,0.714636176,1.145239472,0.434372954,0,0,0
YDL096C,0,0.495034114,0,0,0,0
YDL114W-A,0.443728345,0,0,0,0,0
YDL133C-A,243.186487,299.5138054,516.5205449,0,0,0
YDL151C,0,0,0,0,0,0
YDL152W,0,0.241728746,0.229210642,0,0,0
YDL158C,71.99035159,62.95083503,66.34962213,0.475478013,0.554394913,0
YDL159C-B,0,0.305742664,0,0,0,0
YDL159W-A,0,0.741037305,0.351331066,0,0,0
YDL163W,0,0,0,0,0,0
YDL184C,129.3351354,126.1110759,295.6291222,0,0,0
YDL185C-A,0,0,0,0,0,0
YDL186W,1.132403426,0.217767834,0.412981126,0.412853905,0,0
YDL187C,2.825848932,3.211161657,5.387076341,0,0,0
YDL214C,20.77143211,24.96542794,15.38717341,0.394421368,0.919769972,1.624123173
YDL218W,4.261578935,6.685612346,4.089930892,0.817734195,0.715092493,2.946312038
YDL221W,0,1.133737784,0.430010528,0,0,0
YDL228C,0,0,0,0,0,0
YDL240C-A,0,0,0,0,0,0
YDL244W,0.223282881,0,0.20357501,0,0.23729001,0
YDL245C,0,0,0,0,0,0
YDL246C,0,0,0,0,0,0
YDL247W,0,0,0,0,0,0
YDL247W-A,0,0,0,0,0,0
YDR003W-A,25.4426493,51.29517971,39.28520098,0,0.436108619,0
YDR008C,0,0,0,0,0,0
YDR015C,0,0,0.255513502,0,0,0
YDR029W,0,0.249654279,0,0,0,0
YDR034C-A,0,0,0,0,0,0
YDR034C-C,0,0,0,0,0,0
YDR034C-D,0,0,0,0,0,0
YDR039C,0,0,0,0,0,0
YDR053W,0,0.714571687,0.45171137,0,0.789782073,0
YDR098C-A,0.220172247,0.42340417,0,0,0.701952712,0
YDR102C,0.76914624,0.493037808,2.103774633,0,0.54493122,0.481117806
YDR112W,0.260834607,0.25080014,0,0,0.277197456,0
YDR182W-A,0.297765073,2.004169076,1.357415481,0,0,0
YDR187C,0,0,0,0,0,0
YDR193W,0,0,0.225552848,0,0,0
YDR194W-A,0,0,0,0,0,0
YDR199W,0.25140027,0,0.687631925,0,0,0
YDR203W,0.518135668,0.747304006,0.236201435,0,0.550639698,0
YDR209C,0,0,0,0,0,0
YDR210C-C,0,0,0,0,0,0
YDR210W-A,0,0,0,0,0,0
YDR215C,0,0,0,0,0,0
YDR220C,4.225299866,6.348046848,4.574674436,0,0.841943282,0.495565788
YDR230W,0,0,0,0,0.269908688,0
YDR250C,0.268572419,0.774720819,0.734601319,0,0,0
YDR261C-C,0,0.188428283,0,0,0,0
YDR261C-D,0,0.198150419,0,0,0,0
YDR261W-A,0,0,0,0,0,0
YDR269C,0,0,0,0,0,0
YDR274C,0,0,0,0,0,0
YDR281C,4.933215126,1.997234235,1.183628724,1.893222563,1.655585949,0.974473904
YDR290W,0,0,0,0,0,0
YDR316W-A,0,0,0,0,0,0
YDR320W-B,2.320465701,13.01530976,9.520433096,0,0,0
YDR327W,0,0,0.2346992,0,0,0
YDR340W,10.48340651,22.17622751,34.40915165,0.477757663,0.557052925,0.983640031
YDR344C,5.589663475,4.206228796,3.545249844,0.886039429,0.258274693,0
YDR354C-A,0,0,0.98555208,0,0,0
YDR355C,0,0,0,0,0,0
YDR360W,0,0.806550195,0,0,0,0
YDR365W-A,0,0,0,0,0,0
YDR366C,0,2.635239615,3.498280451,0,0,0
YDR371C-A,0.490436592,0.471569194,0.447148629,0,0,0
YDR396W,0.955135986,1.147989147,0.653123799,0,0,0
YDR406W-A,0,4.81130966,2.281076186,0,0,0
YDR413C,0,0.451202418,0.427836562,0,0,0
YDR417C,0.250607709,1.686766733,0.456976071,0,0.266328997,0
YDR431W,0,0.250220389,0,0,0,0
YDR442W,0.248058662,0.477031386,0,0,0,0
YDR455C,0.260834607,0.25080014,0.237812266,0,0,0
YDR464C-A,0,0,0,0,0,0
YDR467C,6.95034457,8.41557994,11.73496001,0.4692538,0,0
YDR491C,0.239379765,0.230170678,0.436502233,0,0.254396695,0
YDR509W,0.251357782,0,0,0,0,0
YDR510C-A,0,0,0,0,0,0
YDR521W,0,0.248739795,0.235858617,0,0.274920255,0
YDR524W-C,0,0,0,0,0,0
YDR526C,0.481742721,0.463209782,0.878444231,0,0,0
YDR537C,0,0.224309993,0.425387864,0,0,0
YDR543C,0,0,0,0,0,0
YDR544C,0,0,0,0,0,0
YDR545C-A,0,0,0,0,0,0
YDR545W,0,0,0,0,0,0
YEL008C-A,0.592345494,2.847787991,1.62018789,1.079792522,1.259009806,0
YEL008W,0.498948842,0.479753974,0.909819106,0,0,0.468155131
YEL009C-A,0.985705071,1.184730488,1.123378329,0,0,0
YEL010W,0.253524659,0.24377141,0,0,0,0.475755669
YEL014C,0,0,0,0.482487937,0,0
YEL018C-A,0,0.227683499,0,0,0,0
YEL020C-B,0,0,0.549909494,0,0,0
YEL028W,14.7350576,17.18764138,10.35115707,0,0.256711917,0
YEL030C-A,0.778928704,0.998617117,1.420354469,0,0,0.487236952
YEL032C-A,0,0,0,0,0,0
YEL034C-A,0,0.224432695,0,0,0,0
YEL035C,0.238783996,0.688793488,0.653123799,0,0,0.448093847
YEL050W-A,0,0,0,0,0,0
YEL053W-A,0.253976092,0,0,0,0.269908688,0
YEL069C,0,0.167429783,0.158759305,0,0,0
YEL070W,0.218890511,0,0.399140657,0,0.46524419,0
YEL074W,0,0,0,0,0,0
YEL075C,0,0,0,0,0,0
YEL075W-A,0,0,0,0,0,0
YEL076C,0,0,0,0,0,0
YEL076C-A,0,0,0,0,0,0
YEL077W-A,0,0,0,0,0,0
YER006C-A,0.777203502,1.494608011,0.944805741,0,0.275319849,0
YER014C-A,0.241558321,0.232265424,0.220237384,0,0,0
YER023C-A,0,0,0,0,0,0
YER046W-A,0.256895357,0,0.936882842,0,0,0
YER067C-A,0.515913817,0.496066295,0,0,0,0
YER068C-A,0,0.234698032,0.222544018,0,0,0
YER078W-A,0.660588062,1.905524499,0.301140913,0.602096291,0,0
YER079C-A,0,0,0,0,0,0
YER084W,0.995014212,1.195919254,0.453595071,0.906910677,0.793075576,0
YER084W-A,0,0,0,0,0,0
YER088W-B,0.710287477,0.341481141,0.647594566,0,0,0
YER090C-A,0,0,0,0,0,0
YER107W-A,0,0.248561102,0,0,0,0
YER119C-A,0,0,0,0.913670596,2.130631979,0
YER133W-A,0,0,0,0,0,0
YER135C,0,0.477031386,0,0,0.790860126,0
YER137C-A,0,0,0,0,0,0
YER137W-A,0,0,0,0,0,0
YER138W-A,0,0,0,0,0,0
YER145C-A,0,0.23418062,0,0,0.258828693,0
YER147C-A,0,0.236648277,0,0,0,0
YER148W-A,0,0,0.213789477,0,0,0
YER152W-A,0,2.260183712,1.071569199,0,1.99845878,0.882216019
YER158W-A,0.291028307,0.559664538,0.265340945,0,0.618570575,1.092267452
YER159C-A,0,0,0,0,0,0
YER160C,0,0,0,0,0,0
YER165C-A,0,0,0,0,0,0
YER172C-A,0,0,0,0,0,0
YER180C,97.44206648,116.4069642,96.71083033,1.242154665,1.206933178,0
YER181C,0.257956909,0.248033148,0.940754258,0,0,0
YER188C-A,0.262733888,0,0.239543909,0,0,0.493037392
YER188W,0,0,0,0,0,0
YER189W,0,0,0,0,0,0
YER190C-A,0,0,0,0,0,0
YER190C-B,0,0,0,0,0,0
YER190W,0,0,0,0,0,0
YFL002W-B,0,0,0,0,0,0
YFL011W,0.436327702,1.678167629,1.392354649,0,0.23184985,0.40939879
YFL013W-A,0,0,0,0,0,0
YFL015C,0,0,0,0,0,0
YFL015W-A,0,1.494608011,0.236201435,0.472257345,0.275319849,0.972315601
YFL019C,0.25835499,0.49683183,0,0,0.274562286,0
