ORF,Ribo_Prints,RNA_Prints
YAL008W,128,941
YBR255W,179,480
YGR131W,32,73
YNL003C,258,623
YBR135W,266,1242
YBR160W,356,1711
YJL082W,259,1084
YPL191C,99,338
YGL215W,764,1792
YKL074C,303,1086
YJL077C,64,97
YKL096W-A,5559,44628
YIL124W,861,3283
YPL039W,125,354
YGL141W,377,1076
YJL179W,217,1185
YOR009W,100,154
YKL029C,1930,7350
YPL166W,28,200
YKL052C,344,874
YHR025W,2115,9285
YOL034W,225,600
YBL008W,333,1013
YIL062C,832,4179
YOL116W,224,541
YDR196C,245,929
YBR280C,135,447
YNR032W,313,701
YNR045W,168,362
YML105C,467,2626
YNL288W,473,1745
YIL004C,173,1066
YNR018W,767,3650
YPL144W,172,783
YFR047C,439,2042
YER087C-B,376,3337
YHR078W,522,861
YJR115W,27,50
YLR355C,8037,86437
YGR099W,389,769
YLR300W,3280,16892
YCL028W,750,7592
YJR140C,353,1257
YOR033C,400,736
YOR062C,86,225
YBR043C,614,840
YHR112C,453,1249
YLR011W,71,327
YIL044C,423,2231
YKR084C,664,3309
YER121W,9,30
YCR046C,443,1666
YKL204W,442,3853
YOR266W,129,407
YDR393W,228,539
YGR186W,628,3862
YPR194C,162,172
YGR019W,504,2064
YBL033C,279,1268
YLL057C,94,117
YNL229C,406,2194
YNL277W,273,619
YMR040W,25,55
YDR077W,4671,36228
YMR266W,1135,4934
YKR064W,310,596
YPL089C,276,682
YGR277C,289,1232
YDL139C,43,227
YDR246W,160,696
YOR288C,283,997
YCR028C,455,1260
YML054C,99,141
YLR179C,2405,11474
YOR141C,538,2278
YBL106C,276,671
YGL044C,233,1226
YER107C,582,2369
YBR038W,604,4157
YEL047C,936,5000
YPR016C,993,6282
YOR208W,189,444
YDL055C,14620,65427
YML009C,152,1010
YML072C,1811,14816
YDR142C,131,368
YFL044C,305,1328
YKL019W,642,1562
YJL130C,2977,48921
YBL085W,519,2232
YFL011W,4,10
YDR082W,252,287
YDR348C,536,2559
YKL182W,5707,73507
YDR333C,716,2164
YKL018C-A,57,377
YPL027W,7,13
YIR012W,967,4821
YLR363C,211,878
YDR179C,39,277
YLR431C,95,208
YKR046C,676,1351
YJR005W,461,1422
YJL116C,75,167
YER030W,200,2185
YHR041C,383,1065
YJR072C,989,3559
YDR047W,822,2306
YKR039W,159,535
YGL003C,249,722
YPL009C,648,4080
YDR268W,270,745
YGL192W,486,527
YDL117W,523,1620
YMR131C,1937,7320
YMR293C,150,362
YJL214W,63,109
YIL105C,430,1475
YML126C,1999,18800
YLR189C,505,1223
YIL150C,95,544
YBR212W,461,2973
YJR109C,577,4752
YLR254C,91,324
YGR085C,1265,8429
YPL105C,1138,3213
YGR145W,613,3360
YGR110W,94,162
YGL154C,143,260
YBR129C,291,816
YDL215C,735,1952
YKL099C,278,1642
YDR315C,109,233
YLR394W,163,169
YNL104C,1869,10392
YNL151C,348,1777
YNR066C,52,146
YLR220W,313,1587
YHR006W,392,1515
YMR232W,47,74
YNL083W,232,544
YER168C,559,1848
YPL265W,1273,8286
YOR227W,564,1421
YOR081C,454,1260
YEL026W,1386,12087
YGR050C,37,131
YDR021W,172,619
YGL063W,181,236
YPL212C,729,3390
YOL157C,11,13
YPR095C,305,799
YOR310C,2535,16178
YDR188W,2476,10835
YAL027W,102,321
YGL236C,205,441
YHR133C,1009,3753
YDR541C,218,357
YIL090W,442,1234
YBR183W,94,327
YOL048C,186,399
YCR007C,53,124
YDR540C,27,83
YEL004W,136,427
YPR057W,292,573
YLL032C,269,933
YDR116C,235,1194
YLR030W,83,107
YDR122W,500,2196
YOL062C,727,1369
YNL234W,73,254
YJL194W,151,842
YOL015W,65,68
YDL070W,982,3950
YOR241W,701,2474
YLR056W,4600,16061
YKL110C,349,1434
YML100W-A,2,6
YNL255C,1788,12441
YLR204W,147,966
YML097C,285,1048
YKR007W,128,612
YHR193C,3401,27879
YBL099W,1445,18019
YNL305C,499,1508
YMR023C,159,282
YOR119C,287,1278
YNL187W,147,163
YLL014W,284,1663
YCL045C,1482,7735
YCR061W,412,2536
YPR115W,590,1159
YHR088W,404,2194
YBR017C,1258,4905
YPR162C,242,818
YGR166W,299,733
YDL161W,403,2492
YKL050C,50,58
YJR055W,36,313
YGL099W,642,4541
YFL030W,79,127
YIL119C,154,921
YPL193W,178,639
YNL005C,458,1689
YJL144W,27,114
YBR012W-B,16,21
YJR139C,4565,21853
YBR133C,952,1856
YBR162C,4828,22335
YOR130C,174,496
YJL079C,615,3103
YGL019W,640,2373
YGR201C,228,313
YNL172W,313,764
YNL058C,353,1973
YPL160W,4042,35748
YNL023C,521,1627
YDR214W,1426,7144
YIL126W,398,3737
YLR295C,228,1990
YHR168W,124,359
YOR064C,119,272
YNL318C,3,7
YOL081W,662,1976
YOL036W,584,1805
YGL148W,3499,14723
YOR031W,42,43
