ORF,Ribo_Prints,RNA_Prints
ENSG00000180096,11224.23931,218.3694549
ENSG00000198060,2399.068283,171.3221195
ENSG00000145495,9594.112389,810.3816886
ENSG00000136536,4539.945675,556.942244
ENSG00000122545,20435.38075,893.0447027
ENSG00000138758,7609.42826,558.3799476
ENSG00000081760,1021.655538,43.12196155
ENSG00000149313,5686.768104,614.0540386
ENSG00000275700,1885.513759,73.99822303
ENSG00000117528,3399.293253,381.4861193
ENSG00000164163,5001.785703,301.6232982
ENSG00000204574,2749.575551,80.02840565
ENSG00000161204,647.4338023,27.47888221
ENSG00000144827,610.8180324,81.56507997
ENSG00000139826,840.6588139,53.34147134
ENSG00000140526,9416.340556,100.4160037
ENSG00000011198,420.1308462,72.12578341
ENSG00000138443,5702.64099,702.1385804
ENSG00000097007,908.3555198,29.41309272
ENSG00000146109,1020.970927,82.88666051
ENSG00000177646,321.2239884,18.38353384
ENSG00000117054,2283.836844,67.24035825
ENSG00000196177,3656.078458,186.145349
ENSG00000072778,948.9729278,19.8405101
ENSG00000075239,3095.497596,134.7427922
ENSG00000120437,4276.506278,487.8051367
ENSG00000078124,1110.852299,134.3731842
,0,0
ENSG00000122729,1990.750479,234.3915911
ENSG00000100412,1611.773767,32.25090894
ENSG00000112304,2990.214265,42.54627579
ENSG00000119673,191.2817216,12.93454994
ENSG00000143727,3749.257557,110.3303972
,0,0
ENSG00000123983,6949.217058,163.2895445
ENSG00000136518,1356.202925,48.63108494
ENSG00000130402,1765.788356,24.80522866
ENSG00000131966,1310.379261,119.8631919
ENSG00000138071,20951.455,430.9591019
ENSG00000115091,17940.29809,1345.689307
ENSG00000133627,915.8054851,33.08168433
ENSG00000101442,104.1482905,13.31598224
ENSG00000075089,1980.353468,130.3008546
ENSG00000121989,672.4872268,70.57326682
ENSG00000114739,466.2094634,163.0820322
ENSG00000170634,141.8876706,10.34801381
ENSG00000168803,68.27334425,35.57655843
ENSG00000114948,498.6759541,68.03632538
ENSG00000168615,1085.295777,43.26005634
ENSG00000184060,245.2645531,15.46227678
ENSG00000133597,364.0036465,18.46003171
,0,0
ENSG00000087274,3104.71004,33.62489254
ENSG00000148700,3441.048248,159.9571038
ENSG00000006831,2166.710595,134.072848
ENSG00000156110,1619.049725,41.25173482
ENSG00000148926,253.7319024,14.80126118
ENSG00000101544,1661.73383,118.1546784
ENSG00000181915,347.3809294,113.5452933
ENSG00000170425,76.93096334,8.843271222
,0,0
,0,0
,0,0
ENSG00000130706,1242.078858,7.444152657
ENSG00000239900,5189.681068,309.0783778
ENSG00000139154,940.7579721,32.75495172
ENSG00000181026,1524.012772,232.5187467
ENSG00000172493,1215.402077,74.02801274
ENSG00000119844,380.7125727,32.10578462
ENSG00000084693,625.2076986,56.39865484
ENSG00000173744,3276.251829,111.6432857
ENSG00000164252,950.3427425,207.4136717
ENSG00000006530,3088.47191,103.4130758
ENSG00000162688,1927.300159,37.50968313
ENSG00000160216,1951.907475,67.85944243
ENSG00000155189,997.7480773,164.6856506
,0,0
,0,0
ENSG00000018510,4768.559314,424.8641543
ENSG00000168710,2677.38783,183.9487381
ENSG00000158467,1023.82946,25.52267999
ENSG00000106546,1969.096718,108.1542683
ENSG00000100591,2058.807416,110.3770654
ENSG00000126878,1213.020022,18.32218551
ENSG00000146416,3510.673948,83.68488291
ENSG00000164022,3093.50746,87.21848192
ENSG00000106305,1408.948729,135.0674469
ENSG00000162433,2907.849203,91.0697832
ENSG00000121057,1270.553998,62.32138161
ENSG00000023516,1681.538045,272.3678138
ENSG00000131016,5957.517881,178.242189
ENSG00000170776,2219.39732,87.49099745
ENSG00000179841,802.8130261,71.06615044
ENSG00000127914,2194.632781,154.0693136
ENSG00000174574,6083.384478,211.2132933
ENSG00000117448,1067.628223,13.05626418
ENSG00000023330,509.4599225,14.5219551
ENSG00000170017,3871.365717,226.4620027
ENSG00000137124,306.3183807,76.68406412
ENSG00000111275,3015.483146,71.25486449
ENSG00000072210,3002.956007,109.2473493
ENSG00000112294,1140.314611,68.0280199
ENSG00000149925,22940.15651,135.7388745
ENSG00000139133,796.8122622,51.49910748
ENSG00000175548,2292.68071,188.1927907
ENSG00000253710,747.4431386,81.56123205
ENSG00000088035,1083.35273,80.2888429
ENSG00000166199,233.1668872,22.35342938
ENSG00000091542,1015.020606,139.4172505
ENSG00000116127,991.4861056,413.8327655
ENSG00000180318,51.5395892,9.971370446
ENSG00000123505,4781.837341,801.4308429
ENSG00000166025,1844.823862,279.4110438
ENSG00000196704,917.7332177,70.01073292
ENSG00000141552,1556.058532,12.69496846
ENSG00000166295,1418.781973,155.5274171
ENSG00000053900,608.5251544,88.39472104
ENSG00000131503,1858.977824,175.2938354
ENSG00000254996,1883.646849,144.52218
ENSG00000001629,484.571729,283.4509437
ENSG00000076513,765.4764708,119.0421191
,0,0
ENSG00000164236,69.07657751,63.10999367
ENSG00000135976,45.96995058,87.03526646
ENSG00000168876,650.3908006,52.69461312
