x,y
556.2,4.93E-01
558,4.91E-01
559.8,4.88E-01
561.6,4.87E-01
563.4,4.88E-01
565.2,4.90E-01
567,4.92E-01
568.8,4.94E-01
570.6,4.97E-01
572.4,4.96E-01
574.2,4.94E-01
576,4.94E-01
577.8,4.94E-01
579.6,4.96E-01
581.4,4.97E-01
583.2,4.98E-01
585,4.99E-01
586.8,4.99E-01
588.6,4.99E-01
590.4,4.99E-01
592.2,5.00E-01
594,5.02E-01
595.8,5.04E-01
597.6,5.03E-01
599.4,5.04E-01
601.2,5.03E-01
603,5.04E-01
604.8,5.04E-01
606.6,5.05E-01
608.4,5.05E-01
610.2,5.08E-01
612,5.07E-01
613.8,5.08E-01
615.6,5.07E-01
617.4,5.08E-01
619.2,5.08E-01
621,5.08E-01
622.8,5.08E-01
624.6,5.08E-01
626.4,5.07E-01
630,5.05E-01
631.8,5.05E-01
633.6,5.05E-01
635.4,5.04E-01
637.2,5.04E-01
639,5.03E-01
640.8,5.02E-01
642.6,5.02E-01
644.4,5.00E-01
646.2,4.98E-01
648,4.97E-01
649.8,4.96E-01
651.6,4.94E-01
653.4,4.93E-01
655.2,4.91E-01
657,4.88E-01
658.8,4.87E-01
660.6,4.86E-01
662.4,4.82E-01
664.2,4.79E-01
666,4.75E-01
667.8,4.72E-01
669.6,4.71E-01
671.4,4.68E-01
673.2,4.66E-01
675,4.64E-01
676.8,4.61E-01
678.6,4.58E-01
680.4,4.53E-01
682.2,4.49E-01
684,4.46E-01
685.8,4.43E-01
687.6,4.39E-01
689.4,4.33E-01
691.2,4.28E-01
693,4.24E-01
694.8,4.19E-01
696.6,4.13E-01
698.4,4.06E-01
700.2,4.03E-01
702,3.99E-01
705.6,3.96E-01
707.4,3.96E-01
709.2,3.96E-01
711,3.98E-01
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
