ORF,RNA_Prints,Ribo_Prints
YAL012W,5491,48055
YAL055W,120,429
YAL063C,818,171
YAL064W,3,0
YAL041W,1158,2442
YAL049C,958,3619
YAL031C,579,892
YAL034C-B,120,104
YAL025C,513,2288
YAL040C,1426,1945
YAL056C-A,114,109
YAL034W-A,111,304
YAL048C,334,727
YAL013W,492,1815
YAL067W-A,4,0
YAL032C,296,1006
YAL024C,1088,752
YAL038W,236895,982086
YAL026C,3073,3602
YAL047C,297,667
YAL014C,406,1163
YAL066W,0,2
YAL047W-A,22,143
YAL037W,65,51
YAL054C,312,73
YAL046C,414,1329
YAL039C,471,3131
YAL068W-A,0,0
YAL065C,153,70
YAL015C,271,594
YAL064W-B,51,5
YAL030W,403,2224
YAL016C-A,385,972
YAL016C-B,106,1
YAL059C-A,172,673
YAL026C-A,311,140
YAL060W,2362,6839
YAL016W,2959,12725
YAL045C,308,1596
YAL028W,238,360
YAL051W,832,1430
YAL019W,1816,4303
YAL042C-A,752,2785
YAL064C-A,65,0
YAL069W,0,0
YAL059W,276,1158
YAL021C,2484,7652
YAL037C-A,284,11
YAL037C-B,146464,408767
YAL017W,2610,3304
YAL067C,49,30
YAL044C,2994,21403
YAL056W,1260,710
YAL031W-A,94,126
YAL019W-A,65,295
YAL020C,373,549
YAL068C,24,17
YAL036C,1320,5724
YAL034C,323,531
YAL053W,2273,4899
YAL043C,1416,3781
YAL062W,376,229
YAL033W,360,976
YAL063C-A,14,1
YAL044W-A,342,1888
YAL023C,7952,20607
YAL061W,788,1733
YAL058W,713,833
YAL029C,3596,1769
YAL042W,2939,6202
YAL035W,9850,34326
YAL022C,1222,3342
YAL018C,9,8
YAL027W,145,424
YAL008W,447,2659
YAR023C,82,14
YAR003W,494,706
YAR028W,355,1152
YAR053W,11,24
YAR033W,320,665
YAR002W,1054,5659
YAR030C,43,1
YAR073W,1237,5538
YAR050W,949,154
YAR042W,2347,3451
YAR014C,1407,3277
YAR060C,41,0
YAR019W-A,35,43
YAR035W,379,248
YAR069C,5,9
YAL007C,1204,5698
YAR020C,10,2
YAL001C,1410,1520
YAL009W,266,402
YAR068W,235,324
YAR075W,351,1002
YAR027W,538,2535
YAL005C,120014,637759
YAR010C,153509,270550
YAR002C-A,2144,7092
YAL004W,38595,272088
YAR066W,183,58
YAR029W,32,4
YAR007C,1656,7196
YAR031W,354,637
YAR018C,646,1275
YAL010C,228,592
YAR009C,357592,31095
YAR035C-A,4,0
YAL003W,36696,164415
YAR019C,528,495
YAR070C,6,0
YAR008W,194,402
YAR047C,20,0
YAL011W,283,397
YAR071W,329,530
YAR015W,4231,15782
YAL002W,1264,682
YAR064W,47,0
YER054C,263,340
YER169W,603,1322
YER114C,1760,5421
YEL059C-A,66,613
YEL018W,246,632
YEL021W,17638,71677
YEL074W,44,61
YEL056W,745,1497
YEL058W,3254,6389
YEL062W,437,630
YEL042W,2865,9196
YEL050C,912,2295
YEL020C,315,553
YEL053W-A,7338,55670
YEL019C,73,389
YEL030C-A,21,3
YEL020C-B,227,1237
YEL061C,1095,1146
YEL051W,3764,11422
YEL028W,42,6
YEL029C,448,795
YEL045C,66,59
YEL059W,12,1
YEL075C,1141,860
YEL035C,13,0
YEL069C,149,4
YEL023C,255,7
YEL033W,2241,31
YEL077W-A,2603,177
YEL015W,1193,3499
YEL040W,4796,12546
YEL064C,264,496
YEL032C-A,89,392
YEL072W,110,36
YEL071W,9767,33739
YEL034W,23792,130860
YEL013W,3421,6579
YEL022W,3214,3598
YEL073C,313,1148
YEL063C,1417,5334
YEL076C-A,1755,475
YEL053C,675,730
YEL065W,1168,2908
YEL043W,1684,2009
YEL055C,2921,4744
YEL075W-A,1412,578
YEL031W,10462,18061
YEL049W,47,32
YEL017C-A,1949,17065
YEL066W,441,2080
YEL046C,5001,22933
YEL038W,795,2631
YEL017W,665,3390
YEL026W,2307,19318
YEL070W,46,76
YEL018C-A,167,389
YEL048C,147,455
YEL052W,895,1621
YEL032W,2214,3908
YEL041W,207,270
YEL050W-A,77,48
YEL039C,90,523
YEL014C,156,7
YEL025C,1599,512
YEL057C,50,32
YEL027W,9762,55461
YEL060C,4405,18459
YEL067C,76,98
YEL076C,1029,287
YEL044W,400,1802
YEL068C,187,565
YEL036C,1490,3084
YEL054C,11519,81920
YEL034C-A,24895,131616
YEL030W,148,31
YEL047C,2681,12513
YEL077C,14910,2174
YEL024W,847,5157
YEL020W-A,332,2212
YEL037C,1947,16348
YEL016C,658,365
YER033C,721,1060
YER053C,666,2367
YER014W,757,1365
YER043C,40683,177399
YER022W,713,1869
YER002W,343,2447
YEL003W,385,1542
YER044C-A,66,32
YER006C-A,29,43
YEL005C,179,301
YER042W,253,1673
YER030W,323,2286
YER001W,2348,4907
YER038C,195,179
YEL010W,7,57
YEL002C,2979,13849
YER023C-A,1274,3968
YER039C-A,32,111
YER051W,295,345
YER004W,1444,4827
YER028C,159,405
YER045C,176,498
YER020W,948,2659
YEL012W,294,1221
YEL008C-A,5,26
YER012W,1578,5821
YEL008W,33,33
YER019W,1023,1755
YEL001C,1867,6918
YER044C,563,2563
YER023W,5224,20078
YER052C,1826,8322
YER003C,5292,29829
YER025W,5205,25453
YER013W,762,1167
YER032W,747,2353
YER037W,255,330
YER053C-A,147,1522
YER006W,1908,8098
YER026C,4575,17554
YER047C,550,1233
YER010C,529,1616
YER007C-A,967,5590
YEL007W,2147,4465
YER029C,290,894
YER005W,735,719
YER021W,3807,9120
YER048W-A,459,2350
YEL009C,7091,1806
YER046W,80,202
YER011W,208,1968
YER034W,186,1265
YEL006W,383,623
YER046W-A,91,49
YER050C,251,2037
YER018C,423,1047
YER031C,1841,5318
YER016W,682,1662
YEL004W,284,642
YEL009C-A,5,28
YER039C,103,10
YER024W,363,199
YER041W,319,151
YER009W,4063,32907
YER035W,524,3780
YEL011W,1238,3106
YER019C-A,1234,8107
YER049W,2398,5604
YER008C,1869,3126
YER015W,224,171
YER007W,189,275
YER027C,1235,7589
YER017C,1696,2327
YER036C,7810,20016
YER038W-A,62,10
YER040W,565,1630
YER048C,1808,9326
YER014C-A,247,451
YER063W,809,4916
YER091C-A,4,3
YER100W,558,5482
YER110C,12822,48725
YER082C,716,2009
YER109C,529,323
YER107W-A,167,545
YER094C,1912,7339
YER092W,304,1462
YER101C,227,1178
YER078C,597,1019
YER062C,2330,12813
YER095W,858,2773
YER090C-A,235,1131
YER098W,408,387
YER081W,778,1544
YER070W,9666,17108
YER079C-A,320,1351
YER113C,1366,1081
YER111C,1354,2275
YER069W,2099,4984
YER077C,463,671
YER074W,16533,120000
YER061C,838,1148
YER059W,407,1587
YER087C-A,206,177
YER084W,18,136
YER086W,4504,11724
YER060W,808,687
YER068C-A,287,1240
YER056C-A,8867,59344
YER088C-A,216,616
YER103W,1304,4720
YER078W-A,2,6
YER076W-A,34,57
YER058W,67,325
YER072W,1380,8076
YER057C,1177,11294
YER068W,1033,7065
YER088C,2124,9241
YER093C-A,89,335
YER090W,2741,14079
YER104W,132,462
YER084W-A,6,5
YER067W,455,2686
YER105C,3747,3707
YER067C-A,347,1871
YER093C,1025,835
YER073W,1673,4698
YER091C,34981,123407
YER079W,222,2030
YER085C,3,5
YER066W,123,92
YER099C,527,2201
YER055C,4039,10343
YER088W-B,185,982
YER106W,12,16
YER083C,807,5814
YER102W,42521,191418
YER071C,200,779
YER080W,2176,4519
YER075C,572,1065
YER066C-A,165,665
YER056C,3842,10925
YER087W,533,899
YER107C,782,2495
YER112W,342,2778
YER076C,155,158
YER087C-B,770,4579
YER097W,36,17
YER060W-A,705,1248
YER064C,1304,3788
YER074W-A,257,1601
YER096W,62,117
YER065C,604,104
YER089C,2655,5849
YER161C,273,1074
YER125W,5222,14603
YER115C,175,104
YER131W,5284,40320
YER152C,1625,1941
YER148W,1402,4435
YER148W-A,215,279
YER164W,2828,5093
YER140W,318,318
YER149C,421,1093
YER130C,596,1023
YER159C-A,140303,258115
YER137C,41,141
YER165W,18835,106255
YER152W-A,656,1353
YER133W,3389,11820
YER162C,297,674
YER150W,343,3245
YER137C-A,164084,279527
YER123W,613,1476
YER142C,188,669
YER165C-A,361,438
YER121W,38,118
YER126C,804,4012
YER119C-A,522,2969
YER144C,789,840
YER163C,581,1342
YER143W,459,2681
YER132C,1556,908
YER157W,1067,1751
YER153C,331,212
YER167W,911,2355
YER147C-A,842,2565
YER141W,1851,4729
YER128W,133,665
YER119C,1046,2121
YER159C,427,2041
YER160C,446679,293436
YER135C,14,19
YER124C,2993,6905
YER156C,1522,6372
YER155C,8787,7203
YER133W-A,259,461
YER118C,722,2214
YER122C,2802,11440
YER134C,391,1836
YER158W-A,119,419
YER145C,2469,6217
YER158C,326,1395
YER129W,1296,956
YER151C,2137,6844
YER138W-A,1823,74
YER166W,4088,4484
YER117W,18951,86523
YER127W,381,1879
YER146W,632,3710
YER138C,616158,325777
YER154W,1196,2903
YER168C,833,2166
YER120W,3043,24325
YER137W-A,26,75
YER136W,2821,9307
YER116C,193,576
YER147C,389,483
YER145C-A,658,3091
YER139C,191,726
YER186C,368,3
YER172C,3385,3183
YER189W,1223,967
YER178W,13409,40372
YER171W,760,1259
YER187W,21,4
YER190W,24616,3831
YER188C-A,6,0
YER183C,378,1208
YER180C,183,0
YER175C,264,1096
YER190C-B,2743,186
YER170W,169,1082
YER182W,215,998
YER176W,1174,1879
YER181C,9,0
YER180C-A,76,285
YER172C-A,70,127
YER190C-A,2508,369
YER188W,67,90
YER184C,252,72
YER179W,86,104
YER174C,416,1378
YER185W,26,21
YER177W,13502,79507
YER175W-A,18,0
YER173W,351,276
YJL091C,915,2253
YJR125C,1528,8913
YJL026C-A,1007,4247
YJL026W,5808,33020
YJL155C,476,989
YJL185C,182,344
YJL204C,695,1682
YJL212C,864,1676
YJL168C,979,2615
YJL192C,1586,4818
YJL179W,325,1585
YJL219W,159,70
YJL165C,1252,2749
YJL206C,204,283
YJL222W,2033,1128
YJL181W,519,557
YJL195C,189,869
YJL161W,164,551
YJL159W,32112,455908
YJL166W,1047,6019
YJL200C,1899,4078
YJL172W,5959,17225
YJL209W,455,335
YJL225C,18477,4071
YJL188C,5758,37880
YJL217W,1361,8287
YJL207C,3618,2420
YJL171C,3059,9621
YJL191W,5275,38419
YJL178C,1096,3014
YJL162C,260,582
YJL176C,1218,3851
YJL221C,213,200
YJL225W-A,1971,163
YJL214W,103,38
YJL174W,2006,10502
YJL186W,2209,5560
YJL203W,205,732
YJL213W,100,3
YJL175W,283,861
YJL189W,4337,37397
YJL208C,335,1151
YJL210W,561,581
YJL194W,432,1277
YJL158C,10258,107360
YJL167W,5567,30976
YJL169W,164,408
YJL182C,25,82
YJL222W-A,8,0
YJL222W-B,20,0
YJL220W,31,27
YJL199C,103,225
YJL197W,1801,1929
YJL202C,54,106
YJL187C,873,1087
YJL201W,797,1394
YJL170C,213,959
YJL190C,15870,103294
YJL163C,337,454
YJL215C,31,0
YJL193W,337,836
YJL218W,128,656
YJL164C,1185,2192
YJL197C-A,141,87
YJL183W,1591,3544
YJL156C,758,1685
YJL184W,271,1539
YJL205C,108,600
YJL211C,294,310
YJL173C,679,3012
YJL198W,1305,2714
YJL223C,62,18
YJL216C,124,2
YJL160C,44,108
YJL196C,2555,6727
YJL180C,318,1005
YJL177W,8125,68271
YJL157C,2826,4327
YJL156W-A,106,5
YJL122W,405,2252
YJL149W,490,1218
YJL142C,410,224
YJL131C,243,709
YJL125C,365,1265
YJL113W,987,41
YJL103C,216,213
YJL134W,706,2360
YJL126W,179,734
YJL150W,9,56
YJL104W,410,2211
YJL129C,1623,1037
YJL136W-A,6,15
YJL092W,1402,818
YJL146W,469,1528
