ORF,RNA_Prints,Ribo_Prints
YAL001C,567,148
YAL002W,193,73
YAL003W,5075,13811
YAL007C,915,444
YAL008W,168,109
YAL009W,411,27
YAL010C,273,65
YAL011W,149,61
YAL012W,519,3438
YAL013W,177,96
YAL014C,182,76
YAL015C,329,44
YAL016W,1500,1007
YAL017W,337,175
YAL018C,4,0
YAL019W,498,406
YAL020C,230,37
YAL021C,300,558
YAL022C,774,184
YAL023C,815,1308
YAL024C,200,72
YAL025C,1109,582
YAL026C,553,296
YAL027W,362,53
YAL028W,51,19
YAL029C,652,286
YAL030W,66,139
YAL031C,267,79
YAL032C,209,102
YAL033W,540,165
YAL034C,36,16
YAL034W-A,149,52
YAL035W,2156,5442
YAL036C,1166,754
YAL037C-A,2,0
YAL037W,114,4
YAL038W,14510,64000
YAL039C,202,80
YAL040C,144,54
YAL041W,596,239
YAL042W,2346,583
YAL043C,335,238
YAL044C,2545,1048
YAL044W-A,133,106
YAL046C,154,129
YAL047C,191,100
YAL048C,152,53
YAL049C,452,261
YAL051W,255,146
YAL053W,590,340
YAL054C,40,7
YAL055W,81,48
YAL056W,838,65
YAL058W,324,76
YAL059W,790,264
YAL060W,714,271
YAL061W,98,39
YAL067C,33,7
YAR002C-A,1312,642
YAR002W,622,433
YAR003W,562,80
YAR007C,679,730
YAR008W,410,40
YAR014C,717,262
YAR015W,2587,1483
YAR018C,150,93
YAR019C,110,26
YAR023C,81,4
YAR027W,643,174
YAR028W,348,76
YAR029W,72,1
YAR035W,17,5
YAR042W,244,195
YBL001C,638,386
YBL002W,2366,3143
YBL004W,1054,1031
YBL005W,224,77
YBL006C,841,151
YBL007C,595,1885
YBL008W,374,121
YBL008W-A,6,3
YBL009W,171,212
YBL010C,251,68
YBL011W,407,194
YBL013W,20,40
YBL014C,449,25
YBL015W,193,178
YBL016W,398,162
YBL017C,923,1089
YBL018C,398,118
YBL019W,263,32
YBL020W,642,125
YBL021C,250,59
YBL022C,562,1026
YBL023C,385,264
YBL024W,1029,1495
YBL025W,293,63
YBL026W,432,372
YBL028C,1090,539
YBL029C-A,128,50
YBL029W,113,45
YBL030C,450,2081
YBL031W,106,73
YBL032W,426,747
YBL033C,337,142
YBL034C,183,201
YBL035C,165,224
YBL036C,1077,399
YBL037W,226,208
YBL038W,696,216
YBL039C,3017,2252
YBL039W-B,73,16
YBL040C,1557,325
YBL041W,657,766
YBL042C,501,262
YBL043W,16,3
YBL044W,6,0
YBL045C,547,741
YBL046W,435,114
YBL047C,517,1783
YBL049W,10,2
YBL050W,910,472
YBL051C,214,593
YBL052C,607,73
YBL054W,441,195
YBL055C,631,95
YBL056W,1837,531
YBL057C,654,175
YBL058W,1060,1073
YBL059C-A,261,150
YBL059W,98,50
YBL060W,477,57
YBL061C,929,261
YBL063W,195,96
YBL064C,194,203
YBL066C,76,39
YBL067C,401,168
YBL068W,760,411
YBL069W,271,219
YBL071C-B,25,0
YBL071W-A,177,213
YBL074C,202,39
YBL075C,361,50
YBL076C,3660,5923
YBL078C,69,87
YBL079W,723,416
YBL080C,250,30
YBL082C,323,107
YBL085W,505,298
YBL086C,300,107
YBL088C,291,39
YBL089W,454,70
YBL090W,507,200
YBL091C,663,818
YBL091C-A,82,72
YBL092W,6706,17414
YBL093C,1073,192
YBL095W,461,30
YBL097W,263,118
YBL098W,574,168
YBL099W,736,2243
YBL101C,143,153
YBL102W,790,193
YBL103C,338,121
YBL104C,265,104
YBL105C,395,351
YBL106C,186,60
YBL107C,415,131
YBR001C,287,163
YBR002C,636,104
YBR003W,306,117
YBR004C,249,116
YBR005W,264,86
YBR006W,196,59
YBR007C,215,100
YBR008C,194,1
YBR011C,1531,8193
YBR013C,44,44
YBR014C,578,239
YBR015C,336,509
YBR016W,130,248
YBR017C,975,658
YBR018C,57,0
YBR019C,14,4
YBR020W,22,0
YBR021W,107,32
YBR022W,332,93
YBR023C,1181,395
YBR024W,162,82
YBR025C,3534,5383
YBR026C,356,325
YBR028C,389,123
YBR029C,279,332
YBR030W,511,87
YBR033W,22,4
YBR034C,1781,582
YBR035C,617,581
YBR036C,827,489
