ORF,Ribo_Prints
YAL001C,1292
YAL002W,535
YAL003W,90530
YAL005C,10349
YAL007C,3373
YAL008W,394
YAL009W,210
YAL010C,526
YAL011W,740
YAL012W,26349
YAL013W,1805
YAL014C,733
YAL015C,474
YAL016W,5014
YAL017W,1354
YAL018C,4
YAL019W,3649
YAL020C,317
YAL021C,5487
YAL022C,818
YAL023C,8901
YAL024C,1388
YAL025C,4281
YAL026C,1772
YAL027W,437
YAL028W,149
YAL029C,2014
YAL030W,1224
YAL031C,607
YAL032C,822
YAL033W,990
YAL034C,27
YAL034W-A,444
YAL035W,18160
YAL036C,5413
YAL037C-A,0
YAL037W,29
YAL038W,387499
YAL039C,1358
YAL040C,627
YAL041W,2440
YAL042W,3703
YAL043C,2055
YAL044C,3531
YAL044W-A,922
YAL046C,926
YAL047C,743
YAL048C,439
YAL049C,4638
YAL051W,1261
YAL053W,3003
YAL054C,85
YAL055W,185
YAL056W,234
YAL058W,530
YAL059W,2154
YAL060W,2503
YAL061W,5
YAL062W,14
YAL063C,0
YAL064W-B,0
YAL065C,0
YAL067C,7
YAL067W-A,0
YAL068C,0
YAR002C-A,4145
YAR002W,5073
YAR003W,683
YAR007C,6013
YAR008W,385
YAR014C,2630
YAR015W,2574
YAR018C,679
YAR019C,404
YAR020C,0
YAR023C,62
YAR027W,333
YAR028W,472
YAR029W,0
YAR031W,182
YAR033W,60
YAR035C-A,0
YAR035W,71
YAR042W,2242
YAR050W,0
YAR064W,0
YAR066W,105
YAR068W,3
YAR071W,5
YBL001C,3925
YBL002W,21540
YBL003C,13796
YBL004W,4517
YBL005W,427
YBL006C,1468
YBL007C,10322
YBL008W,965
YBL008W-A,10
YBL009W,2405
YBL010C,527
YBL011W,1013
YBL013W,138
YBL014C,345
YBL015W,621
YBL016W,6044
YBL017C,2912
YBL018C,465
YBL019W,268
YBL020W,582
YBL021C,496
YBL022C,9961
YBL023C,2488
YBL024W,10477
YBL025W,428
YBL026W,2477
YBL027W,76871
YBL028C,4690
YBL029C-A,300
YBL029W,547
YBL030C,20628
YBL031W,781
YBL032W,4380
YBL033C,2613
YBL034C,1621
YBL035C,1758
YBL036C,2776
YBL037W,1789
YBL038W,1581
YBL039C,13305
YBL039W-B,49
YBL040C,2261
YBL041W,8244
YBL042C,2205
YBL043W,24
YBL044W,5
YBL045C,10495
YBL046W,821
YBL047C,11419
YBL049W,28
YBL050W,2684
YBL051C,4326
YBL052C,477
YBL054W,2279
YBL055C,883
YBL056W,2823
YBL057C,1174
YBL058W,7699
YBL059C-A,903
YBL059W,484
YBL060W,630
YBL061C,2306
YBL063W,777
YBL064C,999
YBL066C,586
YBL067C,1611
YBL068W,2323
YBL069W,1817
YBL071C-B,7
YBL071W-A,940
YBL072C,39829
YBL074C,272
YBL075C,23
YBL076C,34497
YBL078C,411
YBL079W,3776
YBL080C,419
YBL081W,1490
YBL082C,661
YBL084C,570
YBL085W,3741
YBL086C,927
YBL087C,20696
YBL088C,167
YBL089W,352
YBL090W,1829
YBL091C,5646
YBL091C-A,242
YBL092W,129617
YBL093C,2134
YBL095W,339
YBL097W,865
YBL098W,850
YBL099W,21039
YBL100W-C,2
YBL101C,1666
YBL102W,1130
YBL103C,1538
YBL104C,1289
YBL105C,2811
YBL106C,395
YBL107C,1156
YBR001C,824
YBR002C,688
YBR003W,1169
YBR004C,618
YBR005W,489
YBR006W,545
YBR007C,1191
YBR008C,18
YBR009C,8949
YBR010W,19484
YBR011C,61583
YBR013C,393
YBR014C,1526
YBR015C,3414
YBR016W,6571
YBR017C,4043
YBR018C,4
YBR019C,9
YBR020W,1
YBR021W,363
YBR022W,859
YBR023C,2708
YBR024W,592
YBR025C,27612
YBR026C,834
YBR028C,1196
YBR029C,2513
YBR030W,539
YBR031W,26750
YBR033W,38
YBR034C,3524
YBR035C,6083
YBR036C,3512
YBR037C,987
YBR038W,4184
YBR039W,8830
YBR040W,6
YBR041W,1361
YBR042C,1026
YBR043C,388
YBR044C,627
YBR045C,87
YBR046C,532
YBR047W,425
YBR048W,50957
YBR049C,6196
YBR050C,22
YBR052C,1835
YBR053C,980
YBR054W,372
YBR055C,1045
YBR056W,826
YBR057C,1547
YBR058C,2975
YBR058C-A,2352
YBR059C,3406
YBR060C,1431
YBR061C,2373
YBR062C,1160
YBR063C,2
YBR065C,739
YBR066C,1855
YBR067C,2898
YBR068C,8643
YBR069C,1696
YBR070C,468
YBR071W,1667
YBR072C-A,10
YBR072W,114
YBR073W,2939
YBR074W,2013
YBR076W,12
YBR077C,1493
YBR078W,57679
YBR079C,22068
YBR080C,5454
YBR081C,2209
YBR082C,16360
YBR083W,4795
YBR084C-A,65742
YBR084W,10423
YBR085C-A,1756
YBR085W,818
YBR086C,5144
YBR087W,3111
YBR088C,6193
YBR089C-A,3474
YBR090C,2490
YBR091C,1230
YBR093C,28
YBR094W,1561
YBR095C,1430
YBR096W,1897
YBR097W,684
YBR098W,584
YBR101C,5364
YBR102C,1765
YBR103W,1170
YBR104W,2124
YBR105C,565
YBR106W,17289
YBR107C,119
YBR108W,1515
YBR109C,10234
YBR110W,638
YBR111C,6526
YBR111W-A,1381
YBR112C,7383
YBR114W,549
YBR115C,20632
YBR117C,6
YBR118W,12267
YBR119W,987
YBR120C,1041
YBR121C,21122
YBR122C,1855
YBR123C,1186
YBR125C,1374
YBR126C,3375
YBR127C,27420
YBR128C,34
YBR129C,804
YBR130C,2778
YBR131W,462
YBR132C,241
YBR133C,1474
YBR135W,1863
YBR136W,456
YBR137W,1350
YBR138C,751
YBR139W,1281
YBR140C,1302
YBR141C,517
YBR142W,3311
YBR143C,13503
YBR145W,1048
YBR146W,2661
YBR147W,157
YBR148W,57
YBR149W,4369
YBR150C,608
YBR151W,1453
YBR152W,434
YBR153W,593
YBR154C,6997
YBR155W,3178
YBR156C,1192
YBR157C,18
YBR158W,718
YBR159W,3806
YBR160W,1825
YBR161W,389
YBR162C,12895
YBR162W-A,3232
YBR163W,278
YBR164C,1992
YBR165W,712
YBR166C,2035
YBR167C,536
YBR168W,135
