ORF,RNA_Prints,Ribo_Prints
YAL001C,655,201
YAL002W,73,114
YAL003W,1673,13983
YAL004W,1,4
YAL005C,627,854
YAL007C,690,676
YAL008W,288,137
YAL009W,50,98
YAL010C,52,120
YAL011W,129,474
YAL012W,24,2211
YAL013W,208,1510
YAL014C,78,360
YAL015C,686,420
YAL016C-A,1,4
YAL016C-B,1,4
YAL016W,325,1542
YAL017W,307,279
YAL018C,1,4
YAL019W,1093,2622
YAL019W-A,1,4
YAL020C,419,236
YAL021C,201,699
YAL022C,1493,210
YAL023C,1602,333
YAL024C,112,153
YAL025C,2155,3993
YAL026C,660,231
YAL026C-A,1,4
YAL027W,76,77
YAL028W,23,27
YAL029C,2320,600
YAL030W,9,136
YAL031C,147,187
YAL031W-A,1,4
YAL032C,66,303
YAL033W,1364,417
YAL034C,43,10
YAL034C-B,1,4
YAL034W-A,70,289
YAL035W,4442,13231
YAL036C,436,1964
YAL037C-A,1,4
YAL037C-B,1,4
YAL037W,147,17
YAL038W,6156,40633
YAL039C,97,677
YAL040C,39,136
YAL041W,137,365
YAL042C-A,1,4
YAL042W,688,568
YAL043C,21,700
YAL044C,1938,1188
YAL044W-A,48,575
YAL045C,1,4
YAL046C,257,1104
YAL047C,56,119
YAL047W-A,7,4
YAL048C,211,208
YAL049C,325,155
YAL051W,71,543
YAL053W,724,114
YAL054C,103,6
YAL055W,130,85
YAL056C-A,1,4
YAL056W,1779,135
YAL058W,315,30
YAL059C-A,1,4
YAL059W,1424,1834
YAL060W,2331,559
YAL061W,107,11
YAL062W,151,35
YAL063C,2,6
YAL063C-A,1,4
YAL064C-A,1,4
YAL064W,1,4
YAL064W-B,2,4
YAL065C,1,4
YAL066W,1,4
YAL067C,26,30
YAL067W-A,1,4
YAL068C,1,4
YAL068W-A,1,4
YAL069W,1,4
YAR002C-A,947,306
YAR002W,74,660
YAR003W,2022,304
YAR007C,594,890
YAR008W,414,188
YAR014C,1745,1045
YAR015W,952,4910
YAR018C,79,251
YAR019C,19,99
YAR019W-A,1,6
YAR020C,1,4
YAR023C,2,4
YAR027W,310,33
YAR028W,68,39
YAR029W,184,6
YAR030C,1,4
YAR031W,21,6
YAR033W,18,5
YAR035C-A,1,4
YAR035W,21,130
YAR042W,204,673
YAR047C,1,4
YAR050W,31,9
YAR053W,1,4
YAR060C,1,4
YAR061W,1,4
YAR062W,1,4
YAR064W,1,4
YAR066W,1,4
YAR068W,1,4
YAR069C,1,4
YAR070C,1,4
YAR071W,1,4
YAR073W,2,8
YAR075W,1,4
YBL001C,1017,821
YBL002W,139,1423
YBL003C,3035,916
YBL004W,6762,1738
YBL005W,63,85
YBL006C,157,237
YBL006W-A,2,4
YBL007C,262,1496
YBL008W,373,236
YBL008W-A,1,4
YBL009W,62,640
YBL010C,234,349
YBL011W,703,169
YBL012C,1,4
YBL013W,6,14
YBL014C,1387,298
YBL015W,53,115
YBL016W,85,1967
YBL017C,3533,95
YBL018C,589,368
YBL019W,217,126
YBL020W,158,47
YBL021C,232,288
YBL022C,1501,1459
YBL023C,2595,2015
YBL024W,1128,4628
YBL025W,55,142
YBL026W,22,688
YBL027W,2428,9630
YBL028C,1976,4313
YBL029C-A,102,79
YBL029W,74,71
YBL030C,558,2348
YBL031W,55,197
YBL032W,125,956
