ORF,Ribo_Prints,RNA_Prints
YAL008W,142,770
YAL008W,142,902
YBR255W,236,553
YBR255W,236,562
YGR131W,36,85
YGR131W,36,85
YNL003C,346,698
YNL003C,346,724
YBR135W,235,1026
YBR135W,235,1272
YBR160W,398,1474
YBR160W,398,1663
YJL082W,262,1055
YJL082W,262,1112
YPL191C,118,346
YPL191C,118,361
YGL215W,844,1791
YGL215W,844,1907
YKL074C,291,975
YKL074C,291,1041
YJL077C,41,66
YJL077C,41,73
YKL096W-A,6067,25124
YKL096W-A,6067,45271
YIL124W,986,2810
YIL124W,986,3412
YPL039W,156,364
YPL039W,156,380
YGL141W,390,1061
YGL141W,390,1088
YJL179W,206,942
YJL179W,206,1194
YOR009W,107,177
YOR009W,107,177
YKL029C,1849,5965
YKL029C,1849,7181
YPL166W,43,194
YPL166W,43,202
YKL052C,302,719
YKL052C,302,759
YHR025W,2472,6943
YHR025W,2472,9387
YOL034W,279,619
YOL034W,279,630
YBL008W,347,966
YBL008W,347,997
YIL062C,793,2901
YIL062C,793,3911
YOL116W,227,503
YOL116W,227,522
YDR196C,286,786
YDR196C,286,852
YBR280C,155,447
YBR280C,155,460
YNR032W,332,641
YNR032W,332,673
YNR045W,188,390
YNR045W,188,403
YML105C,503,2101
YML105C,503,2531
YNL288W,459,1530
YNL288W,459,1691
YIL004C,176,803
YIL004C,176,970
YNR018W,709,2427
YNR018W,709,3282
YPL144W,183,682
YPL144W,183,811
YFR047C,528,1708
YFR047C,528,1946
YER087C-B,426,2115
YER087C-B,426,3150
YHR078W,592,953
YHR078W,592,966
YJR115W,40,58
YJR115W,40,59
YLR355C,9198,47571
YLR355C,9198,86747
YGR099W,450,817
YGR099W,450,839
YLR300W,3623,11850
YLR300W,3623,17074
YCL028W,824,5251
YCL028W,824,7287
YJR140C,424,1302
YJR140C,424,1334
YOR033C,434,757
YOR033C,434,768
YOR062C,88,207
YOR062C,88,211
YBR043C,679,913
YBR043C,679,922
YHR112C,465,1176
YHR112C,465,1284
YLR011W,104,352
YLR011W,104,369
YIL044C,437,1869
YIL044C,437,2217
YKR084C,821,2923
YKR084C,821,3257
YER121W,4,38
YER121W,4,41
YCR046C,426,1325
YCR046C,426,1579
YKL204W,484,3243
YKL204W,484,3901
YOR266W,174,436
YOR266W,174,451
YDR393W,238,514
YDR393W,238,530
YGR186W,657,3216
YGR186W,657,3762
YPR194C,131,144
YPR194C,131,144
YGR019W,581,1899
YGR019W,581,2157
YBL033C,293,1115
YBL033C,293,1211
YLL057C,84,109
YLL057C,84,113
YNL229C,413,1813
YNL229C,413,2157
YNL277W,253,564
YNL277W,253,571
YMR040W,23,47
YMR040W,23,47
YDR077W,4892,23333
YDR077W,4892,41047
YMR266W,1327,4580
YMR266W,1327,5160
YKR064W,349,655
YKR064W,349,667
YPL089C,293,670
YPL089C,293,692
YGR277C,355,1135
YGR277C,355,1261
YDL139C,63,221
YDL139C,63,229
YDR246W,188,700
YDR246W,188,778
YOR288C,309,901
YOR288C,309,996
YCR028C,514,1140
YCR028C,514,1190
YML054C,95,119
YML054C,95,120
YLR179C,2569,7551
YLR179C,2569,10931
YOR141C,620,2191
YOR141C,620,2388
YBL106C,283,661
YBL106C,283,677
YGL044C,270,1066
YGL044C,270,1174
YER107C,624,1903
YER107C,624,2194
YBR038W,720,3496
YBR038W,720,4017
YEL047C,1113,4129
YEL047C,1113,5077
YPR016C,1143,4352
YPR016C,1143,6055
YOR208W,199,440
YOR208W,199,448
YDL055C,16795,41139
YDL055C,16795,66494
YML009C,171,687
YML009C,171,902
YML072C,2048,11713
YML072C,2048,14899
YDR142C,123,301
YDR142C,123,307
YFL044C,333,1153
YFL044C,333,1312
YKL019W,737,1476
YKL019W,737,1595
YJL130C,3339,32741
YJL130C,3339,48206
YBL085W,551,2210
YBL085W,551,2394
YFL011W,9,21
YFL011W,9,21
YDR082W,268,301
YDR082W,268,301
YDR348C,534,2239
