ORF,RNA_Prints,Ribo_Prints
YAL012W,345257,15643
YAL055W,17877,87
YAL063C,5312,0
YAL064W,40,0
YAL041W,51448,652
YAL049C,105099,764
YAL031C,17978,176
YAL034C-B,28287,24
YAL025C,207035,1907
YAL040C,25309,191
YAL056C-A,20075,35
YAL034W-A,27179,150
YAL048C,7899,172
YAL013W,33961,447
YAL067W-A,0,0
YAL032C,35660,306
YAL024C,28312,267
YAL038W,10238793,294008
YAL026C,114952,1274
YAL047C,17692,204
YAL014C,67030,242
YAL066W,44,0
YAL047W-A,792,20
YAL037W,11402,7
YAL054C,16032,6
YAL046C,46930,225
YAL039C,37436,349
YAL068W-A,0,0
YAL065C,199,0
YAL015C,37072,97
YAL064W-B,100,0
YAL030W,62561,268
YAL016C-A,24423,212
YAL016C-B,10927,1
YAL059C-A,97882,485
YAL026C-A,51980,83
YAL060W,150856,778
YAL016W,302903,3837
YAL045C,43837,203
YAL028W,6777,18
YAL051W,39395,414
YAL019W,122792,1415
YAL042C-A,73248,632
YAL064C-A,505,0
YAL069W,0,0
YAL059W,171321,1184
YAL021C,32171,1797
YAL037C-A,107270,4
YAL037C-B,7623782,161361
YAL017W,51763,506
YAL067C,2588,6
YAL044C,316321,2879
YAL056W,64622,187
YAL031W-A,5800,23
YAL019W-A,11141,48
YAL020C,39329,118
YAL068C,0,0
YAL036C,447480,3176
YAL034C,10888,5
YAL053W,54893,1076
YAL043C,34297,880
YAL062W,21469,25
YAL033W,105559,302
YAL063C-A,607,0
YAL044W-A,52794,247
YAL023C,210506,4676
YAL061W,13746,37
YAL058W,64934,212
YAL029C,177921,749
YAL042W,333563,1936
YAL035W,677864,16090
YAL022C,68375,585
YAL018C,156,1
YAL027W,28979,76
YAL008W,42876,294
YAR023C,5169,2
YAR003W,56121,186
YAR028W,42111,290
YAR053W,333,0
YAR033W,3894,3
YAR002W,72986,1414
YAR030C,6556,0
YAR073W,44,0
YAR050W,2538,0
YAR042W,38901,573
YAR014C,68853,1038
YAR060C,0,0
YAR019W-A,582,2
YAR035W,11503,19
YAR069C,0,0
YAL007C,220006,1377
YAR020C,487,0
YAL001C,72125,444
YAL009W,50082,104
YAR068W,50,0
YAR075W,339,0
YAR027W,48405,452
YAL005C,335250,9236
YAR010C,0,0
YAR002C-A,517049,2123
YAL004W,73376,3336
YAR066W,0,0
YAR029W,5681,3
YAR007C,70818,1685
YAR031W,15852,36
YAR018C,77022,216
YAL010C,20262,128
YAR009C,1387,0
YAR035C-A,381,0
YAL003W,2703237,53002
YAR019C,16299,125
YAR070C,50,0
YAR008W,55645,170
YAR047C,1205,0
YAL011W,40509,164
YAR071W,3055,10
YAR015W,1231428,8694
YAL002W,24836,136
YAR064W,100,0
YER054C,3563,10
YER169W,25954,413
YER114C,69127,1752
YEL059C-A,5986,14
YEL018W,68408,235
YEL021W,0,0
YEL074W,442,0
YEL056W,68605,381
YEL058W,189482,1378
YEL062W,16477,143
YEL042W,232997,2723
YEL050C,94530,422
YEL020C,29050,92
YEL053W-A,1471920,10108
YEL019C,4282,100
YEL030C-A,708,2
YEL020C-B,42172,259
YEL061C,60255,449
YEL051W,866491,4210
YEL028W,6761,2
YEL029C,81987,292
YEL045C,5458,4
YEL059W,1384,0
YEL075C,0,0
YEL035C,300,0
YEL069C,135,0
YEL023C,22002,1
YEL033W,797710,20
YEL077W-A,22,0
YEL015W,148107,1244
YEL040W,393625,7593
YEL064C,21148,93
YEL032C-A,1376,110
YEL072W,12199,12
YEL071W,471926,4376
YEL034W,1636965,28038
YEL013W,137281,1633
YEL022W,164986,1414
YEL073C,1818,0
YEL063C,53360,1361
YEL076C-A,0,0
YEL053C,43387,307
YEL065W,84741,778
YEL043W,41702,395
YEL055C,276134,3033
YEL075W-A,0,0
YEL031W,288532,6629
YEL049W,702,0
YEL017C-A,240784,3221
YEL066W,45254,317
YEL046C,193970,8181
YEL038W,144383,644
YEL017W,59214,530
YEL026W,955407,7816
YEL070W,50,0
YEL018C-A,38449,136
YEL048C,36887,165
YEL052W,85922,486
YEL032W,77371,1196
YEL041W,6078,28
YEL050W-A,19338,46
YEL039C,2069,15
YEL014C,13477,0
YEL025C,51333,133
YEL057C,7164,4
YEL027W,1644731,15655
YEL060C,25794,884
YEL067C,10193,36
YEL076C,0,0
YEL044W,100525,485
YEL068C,26843,109
YEL036C,96749,774
YEL054C,2139146,13447
YEL034C-A,2006395,28118
YEL030W,13172,10
YEL047C,176874,2071
YEL077C,651,0
YEL024W,27923,667
YEL020W-A,60519,436
YEL037C,211599,3481
YEL016C,63995,116
YER033C,7772,96
YER053C,20284,54
YER014W,38709,289
YER043C,901716,23764
YER022W,59032,584
YER002W,226411,2304
YEL003W,153864,721
YER044C-A,5269,1
YER006C-A,13862,15
YEL005C,20128,33
YER042W,143874,811
YER030W,113534,1040
YER001W,136617,1763
YER038C,17474,80
YEL010W,821,2
YEL002C,258088,3153
YER023C-A,120118,1172
YER039C-A,1942,10
YER051W,38290,115
YER004W,116492,859
YER028C,21932,104
YER045C,11323,64
YER020W,51832,333
YEL012W,23348,153
YEL008C-A,798,1
YER012W,184352,1741
YEL008W,2408,4
YER019W,54499,429
YEL001C,219155,1698
YER044C,73798,483
YER023W,484827,4081
YER052C,108563,2322
YER003C,519411,5949
YER025W,586685,10926
YER013W,37882,475
YER032W,14700,449
YER037W,26397,76
YER053C-A,771,9
YER006W,654517,6298
YER026C,267757,1705
YER047C,32957,276
YER010C,88212,151
YER007C-A,181101,1672
YEL007W,42322,593
YER029C,72777,494
YER005W,71984,283
YER021W,390066,2764
YER048W-A,65693,448
YEL009C,1147640,940
YER046W,21040,35
YER011W,31948,1315
YER034W,17994,337
YEL006W,61262,191
YER046W-A,10272,20
YER050C,42473,423
YER018C,39144,132
YER031C,265706,1711
YER016W,116806,469
YEL004W,17361,87
YEL009C-A,599,2
YER039C,6560,0
YER024W,27866,20
YER041W,26228,56
YER009W,806607,7286
YER035W,20787,198
YEL011W,26999,36
YER019C-A,318799,1380
YER049W,319513,3556
YER008C,72297,983
YER015W,17467,52
YER007W,50130,120
YER027C,93769,1240
YER017C,87081,561
YER036C,748862,10674
YER038W-A,3668,0
YER040W,16995,327
YER048C,284065,2368
YER014C-A,21858,76
YER063W,136841,1138
YER091C-A,302,0
YER100W,118047,1200
YER110C,417430,19056
YER082C,170728,1565
YER109C,28830,83
YER107W-A,25695,99
YER094C,265332,1740
YER092W,53305,279
YER101C,14546,186
YER078C,55277,281
YER062C,87598,763
YER095W,51920,442
YER090C-A,12487,292
YER098W,16577,37
YER081W,59763,343
YER070W,267341,6034
YER079C-A,10188,292
YER113C,87721,410
YER111C,30728,380
YER069W,55334,441
YER077C,59321,232
YER074W,1303093,6692
YER061C,40894,221
YER059W,37114,295
YER087C-A,17028,39
YER084W,543,1
YER086W,232127,3682
YER060W,20097,85
YER068C-A,2704,65
YER056C-A,1427904,9206
YER088C-A,18337,62
YER103W,35435,183
YER078W-A,709,0
YER076W-A,5549,19
YER058W,10198,59
YER072W,1047215,7207
YER057C,225253,1959
