Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YAR027W	154	209	166	118	159	129	206	190	107
YAR028W	38	117	72	37	47	57	40	74	21
YAR029W	13	11	14	19	29	7	3	5	14
YAR031W	24	84	80	40	55	47	27	45	20
YAR033W	43	86	86	33	55	40	60	58	48
YAR035C-A	0	0	0	0	0	0	0	0	0
YAR035W	182	292	264	152	188	130	214	270	132
YAR042W	618	1124	935	409	762	466	679	837	585
YAR050W	97	109	120	59	78	62	68	100	30
YAR064W	0	0	0	0	0	4	0	0	1
YAR066W	123	247	174	79	133	98	51	145	56
YAR068W	123	289	189	90	217	133	85	118	74
YAR071W	557	920	662	503	555	388	1630	2106	891
YBL001C	717	1144	1101	569	955	546	745	848	534
YBL002W	2228	3611	2971	1850	2422	1796	2306	2339	1590
YBL003C	1936	3107	2985	1779	2119	1795	2013	2410	1833
YBL004W	2873	4861	4156	2359	3441	2236	2993	3352	2003
YBL005W	203	434	394	262	330	247	312	383	192
YBL006C	246	450	366	162	300	172	284	379	239
YBL007C	1920	3147	2681	1351	2372	1412	2074	2355	1584
YBL008W	426	708	557	364	535	347	414	551	332
YBL008W-A	68	120	88	47	82	56	58	103	68
YBL009W	390	718	596	354	426	306	481	572	413
YBL010C	97	170	191	101	162	96	118	182	110
YBL011W	536	1076	895	547	864	556	799	907	567
YBL013W	110	215	156	118	182	104	116	155	120
YBL014C	266	431	399	217	379	242	325	386	221
YBL015W	1384	2679	2201	1372	2198	1418	1692	1983	1477
YBL016W	192	329	352	172	206	171	347	323	244
YBL017C	1333	2550	2203	1278	1815	1132	1430	1803	1291
YBL018C	222	374	368	136	266	206	285	270	186
YBL019W	138	276	265	121	151	106	156	207	116
YBL020W	625	879	861	493	666	403	584	620	438
YBL021C	89	246	157	80	153	122	117	128	70
YBL022C	4990	8580	7816	4054	6322	4190	4761	5645	3893
YBL023C	574	1001	850	362	653	487	602	817	529
YBL024W	1068	1727	1588	837	1133	823	1234	1425	872
YBL025W	78	144	173	119	130	87	108	108	78
YBL026W	199	313	316	174	281	164	294	355	211
YBL027W	17374	29295	28401	13458	21369	15441	19932	25060	17019
YBL028C	246	367	353	147	270	178	286	372	259
YBL029C-A	52	115	131	83	86	90	80	99	91
YBL029W	21	33	15	12	23	19	36	11	16
YBL030C	24562	44006	36951	21458	31727	22982	26144	28422	21787
YBL031W	105	152	136	61	108	71	58	90	67
YBL032W	751	1532	1197	755	994	748	914	1182	908
YBL033C	440	987	753	496	617	483	557	806	455
YBL034C	340	768	651	384	557	369	477	567	385
YBL035C	347	617	526	269	408	295	389	503	374
YBL036C	287	567	465	247	406	318	307	411	263
YBL037W	610	1064	882	530	702	529	601	656	458
YBL038W	482	994	876	530	780	508	595	717	581
YBL039C	1383	2554	2123	1232	1677	1114	1505	1888	1171
YBL039W-B	19	21	42	21	24	36	23	40	25
YBL040C	158	319	368	212	294	176	257	285	192
YBL041W	711	1438	1051	677	1002	614	1070	1166	725
YBL042C	832	1261	1086	674	768	507	1133	1310	742
YBL043W	148	220	224	115	213	162	103	153	97
YBL044W	7	6	17	0	2	5	2	5	3
YBL045C	5273	10106	8093	5110	7115	5372	4720	5598	3890
YBL046W	292	445	352	185	331	213	224	260	258
YBL047C	2644	4833	4231	2228	3329	2111	2629	3164	2218
YBL049W	31	48	14	23	23	16	15	49	14
YBL050W	489	814	791	429	600	452	615	697	461
YBL051C	422	728	757	385	598	402	538	598	413
YBL052C	321	464	451	232	354	226	313	366	306
YBL054W	191	316	224	127	155	146	229	161	162
YBL055C	211	393	281	173	230	170	244	295	175
YBL056W	1224	2210	1769	1225	1648	1064	1435	1639	1019
YBL057C	241	477	428	231	284	240	266	323	206
YBL058W	853	1683	1263	763	1075	775	843	1028	585
YBL059C-A	442	598	615	309	486	337	396	444	359
YBL059W	162	211	210	120	154	167	150	173	137
YBL060W	157	298	208	137	239	168	133	165	153
YBL061C	324	456	405	239	381	240	348	426	265
YBL063W	291	477	436	298	312	241	255	394	307
YBL064C	755	1585	1186	767	1246	790	550	760	522
YBL066C	674	1099	1020	573	981	616	656	852	449
YBL067C	410	833	730	432	567	386	557	575	428
YBL068W	295	600	422	233	311	303	292	440	191
YBL069W	375	500	358	240	295	228	280	380	234
YBL071C-B	50	45	53	23	26	22	24	57	18
YBL071W-A	247	356	238	143	255	230	257	273	111
YBL072C	18048	31630	25848	15605	20450	15761	19608	23826	15464
YBL074C	100	150	117	74	136	104	89	84	83
YBL075C	167	309	239	214	258	155	191	209	180
YBL076C	6407	11624	9741	5587	7558	5843	5878	7363	4694
YBL078C	85	162	112	90	110	52	88	81	33
YBL079W	1505	2628	2100	1238	1795	1216	1524	1740	1116
YBL080C	233	543	405	221	390	244	246	371	216
YBL081W	155	229	218	101	149	91	127	211	106
YBL082C	352	571	468	283	383	241	330	382	223
YBL084C	184	343	283	135	207	136	159	198	159
YBL085W	520	956	810	458	696	457	595	640	413
YBL086C	112	186	120	44	95	109	106	137	83
YBL087C	4462	8667	6842	4345	5354	4590	5708	6292	4037
YBL088C	604	937	911	431	672	450	583	647	437
YBL089W	122	270	174	156	145	159	180	142	122
YBL090W	290	443	391	268	361	260	313	337	302
YBL091C	708	1382	1242	670	1014	669	921	1042	658
YBL091C-A	37	117	75	45	62	60	49	57	30
YBL092W	6335	14265	10238	5871	7252	6994	7822	9274	5935
YBL093C	127	321	283	127	177	132	147	210	114
YBL095W	264	450	298	243	265	244	266	254	167
YBL097W	285	591	483	217	299	271	311	380	258
YBL098W	726	1194	1039	686	1034	644	672	748	564
YBL099W	16081	30109	25462	14386	20841	14271	17733	21561	14266
YBL100W-C	0	7	0	2	0	0	1	2	3
YBL101C	774	1146	1071	535	900	624	793	998	546
YBL102W	500	959	801	415	612	453	471	563	418
YBL103C	227	315	247	183	237	169	221	359	146
YBL104C	565	1022	881	446	713	439	606	767	477
YBL105C	667	1301	1156	640	878	668	939	1091	677
YBL106C	171	416	363	202	290	179	193	234	168
YBL107C	450	787	635	363	530	419	522	414	308
YBL108C-A	3	14	12	4	7	9	3	8	7
YBL111C	449	777	746	397	558	403	498	592	345
YBL112C	59	121	97	65	87	83	127	138	52
YBL113C	319	648	584	313	522	354	485	567	367
YBR001C	294	445	564	201	404	232	355	344	273
YBR002C	340	525	507	231	345	255	412	399	231
YBR003W	612	1055	1021	515	770	461	715	991	573
YBR004C	134	256	187	92	191	90	144	171	92
YBR005W	153	284	215	127	142	137	180	176	101
YBR006W	142	249	224	143	198	149	110	177	125
YBR007C	220	407	362	191	230	176	203	298	170
YBR008C	165	260	217	146	204	105	178	189	119
YBR009C	6912	12479	10394	6024	7944	6209	6787	7627	5508
YBR010W	2184	5127	3601	2310	2908	2538	2693	2833	1925
YBR011C	6279	11126	9019	5405	6726	5230	6242	7235	4649
YBR013C	120	300	222	212	247	219	215	223	191
YBR014C	144	311	247	155	252	201	177	265	142
YBR015C	1008	1863	1646	874	1325	862	1231	1214	846
YBR016W	121	299	196	113	181	132	106	196	95
YBR017C	1107	1941	1452	850	1270	831	986	1257	868
YBR018C	1	2	1	2	1	3	6	5	1
YBR019C	3	5	14	2	0	7	7	10	0
YBR020W	20	66	35	28	30	29	19	40	27
YBR021W	227	456	337	222	312	291	309	335	255
YBR022W	96	176	147	89	87	82	91	156	114
YBR023C	1227	2020	1607	999	1443	1069	1434	1560	1066
YBR024W	140	224	237	102	208	105	208	224	172
YBR025C	2436	4939	4136	2656	3290	2391	2759	3303	2036
YBR026C	262	460	349	196	267	236	174	209	177
YBR028C	311	564	473	288	432	300	322	496	261
YBR029C	2101	3539	3023	1357	2281	1592	2285	2973	1869
YBR030W	301	468	373	240	286	218	293	361	255
YBR031W	18280	32519	28445	15578	20336	15976	20897	25705	16863
YBR033W	119	156	164	103	210	106	112	137	72
YBR034C	644	1059	977	515	682	578	878	828	536
YBR035C	1227	2187	1783	870	1441	1026	1192	1353	885
YBR036C	1090	1842	1696	916	1209	1000	1201	1334	869
YBR037C	348	715	508	325	457	356	357	441	299
YBR038W	1008	1597	1567	780	1268	833	970	1228	937
YBR039W	2727	5209	4158	2672	3885	3177	3068	3546	2434
YBR040W	0	0	2	3	0	4	3	4	0
YBR041W	355	801	576	404	476	371	425	478	385
YBR042C	257	391	469	240	311	241	303	370	218
YBR043C	257	424	357	273	348	235	331	309	187
YBR044C	271	450	339	290	367	280	310	354	204
YBR045C	24	121	91	50	82	55	58	67	44
YBR046C	86	157	172	115	132	104	152	162	97
YBR047W	7	9	10	6	12	10	16	14	2
YBR048W	9522	16814	14222	8445	11727	8155	10712	13848	8485
YBR049C	1059	1723	1541	747	1214	853	1038	1257	858
YBR050C	54	71	58	33	77	35	74	113	66
YBR052C	1004	1621	1579	957	1452	953	959	1192	789
YBR053C	218	400	361	201	300	220	394	434	296
YBR054W	55	87	61	28	66	60	84	120	77
YBR055C	290	592	479	321	480	257	333	399	262
YBR056W	201	385	351	189	329	183	304	316	200
YBR056W-A	33	80	52	49	32	38	30	39	48
YBR057C	149	241	217	123	159	170	184	200	117
YBR058C	733	1328	1087	611	872	714	652	803	586
YBR058C-A	134	248	250	141	189	152	170	219	139
YBR059C	833	1628	1327	810	1178	694	844	1228	754
YBR060C	243	465	448	232	311	251	362	412	276
YBR061C	303	495	342	217	273	239	326	339	244
YBR062C	85	231	172	108	119	132	121	161	96
YBR063C	101	172	142	98	156	91	101	129	100
YBR065C	124	269	200	113	223	131	191	206	108
YBR066C	77	97	77	77	77	52	80	114	65
YBR067C	42	47	27	13	32	51	117	163	93
YBR068C	231	420	286	171	305	175	158	186	139
YBR069C	65	102	86	43	46	42	75	80	65
YBR070C	140	322	250	148	160	149	175	240	130
YBR071W	232	379	333	210	304	203	242	321	137
YBR072C-A	0	0	0	1	4	0	0	0	0
YBR072W	60	111	117	35	113	82	129	148	104
YBR073W	974	1563	1544	734	1098	757	1113	1233	699
YBR074W	658	1253	996	513	882	590	759	885	529
YBR076W	0	1	0	13	3	0	0	1	0
YBR077C	280	553	411	247	348	224	283	336	215
YBR078W	7106	11507	9362	5843	7595	5323	7712	8572	6066
YBR079C	3608	6808	5515	3126	4334	3108	4093	4798	3361
YBR080C	932	1741	1538	763	1200	879	1049	1268	815
YBR081C	570	1008	995	472	773	500	694	819	495
YBR082C	1649	3526	2995	1629	2406	1571	2085	2562	1631
YBR083W	381	608	547	321	416	358	564	683	381
YBR084C-A	16607	26762	27370	12575	22013	15003	19303	24363	15589
YBR084W	2739	4540	3818	2077	3073	2205	3008	3283	2288
