Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YDR195W	180	393	296	176	286	158	236	305	219
YDR196C	200	351	299	159	284	206	286	334	293
YDR197W	158	270	300	147	205	185	202	259	117
YDR198C	155	273	290	135	187	140	174	170	148
YDR200C	252	375	434	234	272	222	255	447	244
YDR201W	206	340	264	142	193	158	168	219	200
YDR202C	87	171	141	94	123	115	129	113	90
YDR204W	171	308	207	163	239	152	275	220	144
YDR205W	247	472	351	265	332	285	210	233	189
YDR206W	512	776	755	352	706	439	624	682	365
YDR207C	262	467	340	223	291	212	319	381	192
YDR208W	676	1039	1014	494	723	498	614	765	526
YDR210W	692	1177	1086	602	797	499	792	814	598
YDR211W	1689	2869	2674	1463	2226	1288	1495	1667	1082
YDR212W	2680	4604	4111	2073	2901	2282	2368	2934	1939
YDR213W	199	347	242	157	188	152	275	304	166
YDR214W	1356	2495	2043	1178	1961	1318	1492	2012	1280
YDR216W	1013	1733	1568	831	1392	838	939	1144	729
YDR217C	512	743	767	380	621	323	428	652	344
YDR218C	1	15	0	1	8	3	8	11	3
YDR219C	234	482	332	189	260	207	264	310	197
YDR221W	568	901	809	443	646	398	724	752	481
YDR222W	72	154	111	63	85	45	89	104	63
YDR223W	11	21	15	2	18	8	10	27	4
YDR224C	2660	4682	4023	2266	2657	2313	2541	2843	2033
YDR225W	1279	2567	2051	1126	1619	1364	1262	1311	860
YDR226W	3915	6689	5773	3448	4421	3162	4607	5339	3414
YDR227W	370	553	551	263	424	325	384	446	339
YDR228C	195	303	316	168	274	178	189	273	146
YDR229W	240	377	341	166	261	186	237	312	153
YDR231C	334	721	598	316	463	341	378	418	333
YDR232W	1838	3512	2608	1483	2209	1616	2263	2564	1808
YDR233C	1860	3402	2927	1531	2146	1522	2086	2553	1447
YDR234W	3635	6700	5784	3048	4223	2888	3735	4111	2895
YDR235W	101	239	195	123	153	76	152	170	108
YDR236C	69	179	129	72	137	119	134	161	76
YDR237W	466	947	731	427	610	511	628	624	514
YDR238C	2070	3685	3266	1787	2343	1775	2413	2720	1894
YDR239C	339	539	500	195	320	217	265	352	279
YDR240C	66	209	172	66	135	66	136	142	81
YDR242W	67	137	121	77	70	84	86	147	68
YDR243C	164	263	252	116	192	145	155	180	164
YDR244W	388	603	487	321	430	339	404	477	326
YDR245W	824	1308	1067	596	873	788	719	866	533
YDR246W	152	296	263	172	212	148	172	225	140
YDR246W-A	28	75	45	40	39	25	21	17	17
YDR247W	123	253	239	109	231	171	237	198	103
YDR248C	165	337	219	168	220	167	390	442	211
YDR249C	75	192	139	56	102	69	85	118	96
YDR251W	425	721	684	345	547	457	526	749	465
YDR252W	51	112	80	45	93	60	61	56	51
YDR253C	144	240	191	92	161	116	216	240	111
YDR254W	140	269	226	130	161	173	158	150	116
YDR255C	97	195	146	74	143	78	124	176	112
YDR256C	19	63	54	53	42	39	29	48	29
YDR257C	294	498	445	237	337	257	286	374	226
YDR258C	1291	2400	1848	1034	1673	1138	908	1112	725
YDR259C	32	64	60	37	42	60	97	51	54
YDR260C	286	471	374	188	354	275	265	312	205
YDR261C	516	807	649	403	551	364	547	644	390
YDR262W	704	1630	1298	850	733	672	633	786	663
YDR263C	45	79	75	39	74	54	39	64	22
YDR264C	1086	1982	1743	1030	1476	1055	1234	1294	853
YDR265W	130	180	222	112	174	89	131	163	103
YDR266C	412	695	605	332	353	331	421	561	330
YDR267C	415	516	489	284	505	289	375	441	296
YDR268W	288	349	344	179	274	201	313	321	299
YDR270W	312	626	480	304	525	275	350	314	231
YDR272W	442	667	698	397	521	390	440	490	408
YDR273W	15	61	55	21	47	37	28	42	27
YDR275W	113	248	83	57	107	66	98	140	54
YDR276C	812	2083	1539	882	1264	869	969	1196	826
YDR277C	476	856	713	486	729	480	649	707	399
YDR279W	141	236	207	99	165	133	172	226	160
YDR280W	303	615	598	294	398	261	413	465	342
YDR281C	39	48	69	48	35	33	139	158	107
YDR282C	142	388	296	177	235	170	217	277	164
YDR283C	857	1380	1199	629	852	630	749	939	656
YDR284C	553	859	765	431	634	463	419	531	336
YDR285W	90	69	76	35	40	29	49	72	25
YDR286C	56	102	78	73	55	33	62	71	40
YDR287W	101	137	143	97	184	84	98	121	99
YDR288W	110	254	166	117	157	112	127	222	118
YDR289C	98	178	160	111	185	106	171	157	103
YDR291W	351	638	540	354	509	321	362	498	355
YDR292C	724	1238	1008	575	875	587	819	1005	596
YDR293C	2111	3329	3257	1748	2654	1547	2042	2751	1638
YDR294C	1014	1738	1369	816	1128	848	941	1076	603
YDR295C	322	521	577	236	378	250	387	506	283
YDR296W	635	1195	1078	543	865	626	716	938	607
YDR297W	392	757	675	402	591	375	651	771	417
YDR298C	3270	5909	5269	3072	4388	3222	3804	4726	3191
YDR299W	426	668	640	311	479	359	431	570	346
YDR300C	414	845	705	426	624	438	574	546	412
YDR301W	540	990	853	535	732	549	665	640	397
YDR302W	214	395	293	212	307	203	193	236	158
YDR303C	588	922	886	457	676	390	614	739	529
YDR304C	1143	1973	1876	1089	1390	930	1305	1684	1059
YDR305C	222	468	289	178	240	150	232	292	182
YDR306C	136	267	227	124	159	131	131	135	135
YDR307W	288	452	447	274	388	226	263	339	255
YDR308C	132	366	289	162	192	149	161	258	147
YDR309C	406	763	659	357	451	252	503	622	342
YDR310C	740	1342	1285	525	978	721	957	1065	656
YDR311W	170	249	279	104	186	136	179	193	147
YDR312W	494	822	765	411	700	374	617	680	587
YDR313C	214	340	343	226	284	197	238	339	155
YDR314C	173	388	290	174	217	201	157	236	168
YDR315C	65	196	191	65	90	68	97	119	93
YDR316W	552	918	895	430	602	395	499	666	452
YDR317W	21	24	29	16	18	7	30	21	31
YDR318W	84	124	155	64	92	68	82	95	66
YDR319C	80	161	137	78	119	73	115	131	55
YDR320C	293	401	344	192	307	147	238	274	146
YDR320C-A	111	216	173	80	137	94	95	154	104
YDR321W	721	1396	1213	669	905	690	798	883	601
YDR322C-A	1101	2068	1535	1120	1519	1423	1209	1594	961
YDR322W	563	1068	884	516	787	570	633	806	449
YDR323C	468	749	603	458	556	391	383	527	383
YDR324C	827	1493	1287	655	937	797	890	1066	689
YDR325W	597	1022	988	485	819	462	572	700	410
YDR326C	726	1247	1012	569	829	589	746	1011	686
YDR328C	554	1014	862	556	840	491	797	1067	572
YDR329C	407	665	531	348	538	314	399	438	348
YDR330W	290	479	467	283	402	287	347	385	240
YDR331W	495	805	720	448	578	431	459	546	359
YDR332W	113	199	147	85	143	95	125	181	95
YDR333C	643	1075	881	563	677	491	651	774	512
YDR334W	922	1602	1374	811	1178	891	898	1098	713
YDR335W	1638	2793	2578	1355	1977	1281	1656	1958	1177
YDR336W	137	223	246	122	169	77	137	198	141
YDR337W	509	867	842	433	619	455	596	636	490
YDR338C	171	385	333	174	279	205	250	286	187
YDR339C	255	517	452	245	311	252	346	407	271
YDR341C	1681	3251	2561	1501	1895	1399	1713	2279	1318
YDR342C	29206	61476	49927	32927	50253	33944	33673	35735	27160
YDR343C	28727	60521	49106	32372	49202	33268	33099	35202	26757
YDR345C	6678	14060	11156	6679	9722	6972	6827	8168	6066
YDR346C	1346	2398	1934	1207	1698	1072	1528	1603	1219
YDR347W	1043	1543	1455	814	1230	865	1278	1566	960
YDR348C	310	519	492	302	434	330	396	531	335
YDR349C	502	837	754	408	564	425	626	736	488
YDR350C	144	325	211	148	223	135	184	200	184
YDR351W	329	595	549	293	378	321	363	398	379
YDR352W	211	343	295	190	305	222	288	255	132
YDR353W	1456	2584	2192	1254	1750	1189	1673	1900	1287
YDR354W	798	1490	1145	693	976	737	738	734	505
YDR356W	496	769	675	287	547	394	488	566	414
YDR357C	145	285	264	155	223	129	257	282	169
YDR358W	154	282	202	139	200	112	208	273	166
YDR359C	470	836	790	454	667	447	694	724	501
YDR361C	431	757	514	336	492	394	310	369	288
YDR362C	234	376	409	227	277	176	247	242	227
YDR363W	166	297	208	128	159	90	148	201	104
YDR363W-A	732	1184	1109	602	893	651	826	1035	701
YDR364C	230	349	370	222	266	177	204	279	205
YDR365C	699	1177	1037	509	802	602	741	992	579
YDR366C	136	307	198	167	223	198	255	177	169
YDR367W	155	366	301	158	215	183	226	249	182
YDR368W	465	938	811	449	696	444	392	403	299
YDR369C	153	309	221	132	257	126	182	210	134
YDR370C	95	248	223	101	182	110	164	186	187
YDR371W	169	351	320	159	276	144	206	298	174
YDR372C	891	1417	1413	719	1051	839	810	1036	708
YDR373W	293	623	588	318	360	351	383	454	287
YDR374C	0	8	4	10	1	4	1	8	4
YDR374W-A	73	158	107	75	77	70	81	162	56
YDR375C	353	770	637	348	618	478	599	638	356
YDR376W	427	650	621	357	526	400	429	512	306
YDR377W	877	1888	1485	1006	1362	1255	1225	1255	793
YDR378C	294	476	349	210	283	290	278	352	220
YDR379C-A	13	15	18	23	16	10	16	15	33
YDR379W	285	507	397	186	352	227	279	365	274
YDR380W	6	11	7	2	2	3	5	12	3
YDR381C-A	71	108	94	77	80	47	66	107	38
YDR381W	928	1646	1357	863	1202	846	914	1329	759
YDR382W	9108	15639	12815	8056	9767	7786	10035	12600	8718
YDR383C	8	71	49	25	47	43	59	45	36
YDR384C	174	369	318	187	208	192	289	328	189
YDR385W	63514	115748	93619	53332	73974	52382	73024	85541	55032
YDR386W	228	346	301	171	250	198	248	235	231
YDR387C	125	222	168	104	168	125	137	187	141
YDR388W	1185	2103	1797	988	1345	1074	1429	1617	1080
YDR389W	419	723	655	328	595	365	508	621	401
YDR390C	474	947	733	405	670	404	464	473	350
YDR391C	43	79	89	88	68	28	83	66	52
YDR392W	179	318	287	169	269	160	281	274	208
YDR393W	400	681	585	345	505	350	577	616	342
YDR394W	2690	4736	4085	2354	3245	2086	2099	2515	1794
YDR395W	996	1809	1534	846	1093	868	967	1049	809
YDR397C	269	557	440	335	312	309	458	612	325
YDR398W	823	1211	1086	581	924	561	832	801	722
YDR399W	2071	3644	3145	1726	2256	1854	2361	2921	2014
YDR400W	281	542	437	288	275	210	344	406	237
YDR402C	0	3	0	1	4	10	7	1	3
YDR403W	31	62	69	16	46	25	36	44	40
YDR404C	409	606	554	342	487	310	491	541	411
YDR405W	516	1029	974	429	916	550	697	797	535
YDR406W	566	1094	886	636	938	702	642	805	552
YDR407C	850	1243	1129	630	886	728	863	1117	730
YDR408C	899	1624	1353	832	1090	701	1217	1393	987
YDR409W	300	517	380	228	345	189	373	415	250
YDR410C	108	171	169	102	106	126	141	119	107
YDR411C	353	569	469	266	367	307	286	349	267
YDR412W	292	505	416	249	354	269	480	406	324
YDR414C	203	338	243	176	281	221	220	262	125
YDR415C	263	445	401	212	281	222	271	323	208
YDR416W	284	387	337	249	282	234	208	347	210
YDR418W	7631	14857	12127	7613	10431	7357	9081	10875	6603
YDR419W	184	325	286	197	197	215	261	312	121
YDR420W	768	1242	1264	592	1105	552	1032	930	557
YDR421W	247	417	369	176	296	163	268	306	214
YDR422C	377	655	543	335	501	330	451	530	260
YDR423C	223	516	547	288	422	325	314	367	266
YDR424C	217	372	287	139	259	180	217	276	242
YDR425W	112	170	148	62	182	91	116	157	121
YDR427W	955	1524	1315	762	1168	745	947	1218	832
YDR428C	208	295	263	165	193	153	164	264	179
YDR429C	1312	2438	1947	1031	1556	1189	1800	2019	1450
YDR430C	1465	2658	2479	1152	1724	1255	1645	1890	1384
YDR432W	1883	3493	2878	1379	2190	1596	1956	2368	1541
YDR434W	303	524	432	279	361	241	375	449	221
YDR435C	279	418	380	184	315	298	232	330	260
YDR436W	296	546	536	321	369	260	307	410	216
YDR437W	5	35	30	17	11	18	9	21	11
YDR438W	72	152	70	70	76	71	88	104	52
YDR439W	88	136	131	36	78	59	116	129	71
YDR440W	164	329	317	102	229	108	197	277	116
YDR441C	250	539	347	330	401	334	450	436	292
YDR443C	542	1024	960	498	839	495	694	772	486
YDR444W	231	432	323	208	291	183	324	341	163
YDR446W	0	1	0	2	0	0	0	0	0
YDR447C	6577	12078	9768	6018	7179	5887	7226	8831	5988
YDR448W	205	269	263	148	208	146	180	248	189
YDR449C	338	470	434	284	315	244	322	310	190
YDR450W	8653	15587	12618	7490	10008	7807	9833	11942	7474
YDR451C	111	261	172	114	161	93	158	187	105
YDR452W	849	1600	1358	723	1085	771	1023	1132	785
YDR453C	19	102	94	44	59	40	49	55	26
YDR454C	925	1827	1445	1014	1141	966	1194	1514	816
YDR456W	751	1414	1146	685	1011	760	719	843	574
YDR457W	3719	6425	5440	2894	4759	3119	4012	4765	3147
YDR458C	254	426	335	193	265	224	252	329	165
YDR459C	138	223	201	136	175	115	196	163	84
YDR460W	165	272	228	161	226	127	190	225	135
YDR461C-A	57	106	121	49	72	60	75	75	50
YDR461W	67	120	109	81	94	69	81	106	55
YDR462W	329	706	565	288	436	285	417	547	366
YDR463W	654	1233	999	571	827	594	669	789	521
YDR464W	431	731	700	380	571	417	544	514	327
YDR465C	516	846	752	406	563	475	529	640	360
YDR466W	280	510	339	143	298	240	245	326	182
YDR468C	167	259	271	151	246	162	200	274	152
YDR469W	158	207	207	97	163	127	158	193	151
YDR470C	264	454	350	239	284	209	268	300	189
YDR471W	2800	5550	4192	2691	3523	2439	3472	4300	2582
YDR472W	149	361	254	222	249	210	136	219	152
YDR473C	97	224	183	112	150	116	137	157	92
YDR475C	320	560	533	308	398	282	384	467	282
YDR476C	448	857	566	366	589	364	343	472	356
YDR477W	916	1358	1366	708	990	703	817	1018	668
YDR478W	105	153	161	81	114	99	106	114	85
YDR479C	177	394	305	191	281	206	250	267	197
YDR480W	131	242	231	89	107	107	139	162	96
YDR481C	795	1395	1168	606	963	778	897	1158	711
YDR482C	149	274	255	140	205	140	209	262	145
YDR483W	1020	1949	1793	851	1271	948	1396	1502	1092
YDR484W	195	322	303	184	208	149	261	251	172
YDR485C	273	513	527	250	438	215	326	434	215
YDR486C	228	433	323	194	307	237	299	298	164
YDR487C	1159	1710	1464	788	1220	895	852	1174	730
YDR488C	323	441	463	232	384	262	378	444	232
YDR489W	194	282	255	123	165	114	118	182	122
YDR490C	438	693	695	361	474	372	381	530	340
YDR492W	158	284	228	128	166	135	173	179	134
YDR493W	184	331	293	152	260	212	181	231	143
YDR494W	355	740	702	359	511	397	532	703	400
YDR495C	177	365	265	133	223	171	170	221	123
YDR496C	807	1340	1099	654	822	670	759	869	635
YDR497C	13149	24196	18731	11129	14593	9971	15049	18157	11112
YDR498C	247	323	314	172	260	184	222	320	184
YDR499W	177	271	229	104	236	130	146	195	107
YDR500C	3271	6112	4609	2559	3322	2581	3443	4275	2800
YDR501W	58	101	80	47	73	32	62	76	40
YDR502C	12069	22431	17958	10068	13108	10096	13511	17961	10058
YDR503C	173	229	173	140	158	73	175	162	128
YDR504C	152	188	238	98	144	75	104	173	97
YDR505C	634	1150	1036	508	797	570	683	831	535
YDR506C	296	466	382	256	333	315	311	380	211
YDR507C	1278	2463	1981	978	1561	1018	1484	1686	1125
YDR508C	853	1292	1062	472	490	380	426	611	369
YDR510W	1238	2115	1832	903	1503	1110	1355	1867	1084
YDR511W	188	424	334	230	271	202	247	421	227
YDR512C	73	246	185	123	176	144	122	101	96
YDR513W	243	432	382	289	340	253	290	393	263
YDR514C	366	545	515	234	351	261	328	496	327
YDR515W	201	412	354	179	274	193	220	220	222
YDR516C	476	1128	999	533	917	652	604	735	519
YDR517W	629	1099	1002	664	880	666	716	700	615
YDR518W	145	216	227	143	188	120	191	229	125
YDR519W	377	707	517	357	420	363	521	622	350
YDR520C	252	345	280	194	293	167	284	368	152
YDR522C	0	0	1	0	0	0	2	0	0
YDR523C	5	9	5	3	5	7	0	3	4
YDR524C	97	267	199	124	152	114	145	123	106
YDR524C-B	4277	8875	6539	4688	5925	5052	6183	7610	4415
YDR524W-C	0	2	3	3	2	0	3	0	1
YDR525W-A	349	645	510	292	534	333	319	364	277
YDR527W	454	749	527	308	502	351	387	534	285
YDR528W	159	260	205	80	160	98	151	183	138
YDR529C	1417	2598	2365	1163	2084	1615	1764	1989	1352
YDR530C	156	249	221	130	184	157	195	236	139
YDR531W	1021	1582	1515	859	1100	827	864	939	769
YDR532C	42	82	84	36	83	61	73	104	45
YDR533C	428	743	610	427	669	423	407	511	384
YDR534C	51	145	65	26	78	64	42	56	17
YDR536W	11	18	14	6	7	8	5	2	4
YDR538W	81	68	71	53	72	31	45	42	33
YDR539W	73	122	97	87	119	37	78	97	65
YDR540C	20	22	33	30	25	13	19	21	15
YDR541C	80	122	116	61	79	53	69	70	45
YDR542W	2	6	11	2	5	6	1	1	0
YDR545W	781	1274	1051	828	1138	767	1015	1348	749
YEL001C	756	1287	1061	624	836	586	922	921	644
YEL002C	1748	2884	2494	1429	1885	1389	2004	2421	1521
YEL003W	129	211	159	85	145	70	194	193	118
YEL004W	81	132	120	78	92	92	67	107	63
YEL005C	37	85	51	44	20	28	33	42	18
YEL006W	207	341	344	214	264	241	263	311	254
YEL007W	491	853	766	398	658	416	662	762	492
YEL009C	4391	7532	6860	3578	5522	3814	4160	4965	2809
YEL011W	455	878	625	426	748	406	413	645	381
YEL012W	186	341	292	212	273	174	163	211	144
YEL013W	1017	1824	1599	1040	1273	893	1013	1238	847
YEL015W	592	919	957	503	843	513	613	646	487
YEL016C	102	286	180	132	158	107	179	236	110
YEL017C-A	955	1830	1632	974	1170	919	949	1227	670
YEL017W	402	631	565	357	517	348	427	428	290
YEL018W	102	184	181	78	109	112	115	156	104
YEL019C	19	23	10	7	24	23	32	31	12
YEL020C	78	211	163	103	157	105	115	120	75
YEL020W-A	1003	1910	1595	867	1375	939	1273	1449	1070
YEL021W	439	869	672	390	496	529	530	680	417
YEL022W	1101	1861	1704	961	1332	1011	1088	1476	823
YEL023C	71	158	123	45	96	67	115	125	94
YEL024W	2867	5191	4270	2750	3724	2927	3178	3799	2591
YEL025C	521	838	672	404	656	496	532	782	366
YEL026W	2067	2821	2659	1401	1687	1264	1905	2551	1582
YEL027W	3783	7111	5406	3541	4256	3425	4031	4541	2723
YEL029C	273	351	314	193	254	156	233	214	167
YEL030W	131	189	180	79	98	105	100	113	72
YEL031W	3724	6810	5684	3354	4435	3328	3679	4183	2719
YEL032W	864	1572	1351	704	1030	656	762	876	574
YEL033W	22013	77320	35490	26839	30210	23605	25922	26747	20933
YEL034W	19531	34586	28608	16590	22723	16961	22247	26400	16755
YEL035C	1	0	2	4	1	3	0	1	2
YEL036C	672	1302	1048	668	933	663	680	964	561
YEL037C	1328	2173	1965	1110	1429	1275	1477	1686	1024
YEL038W	236	535	491	276	343	210	219	242	137
YEL039C	82	250	136	221	134	157	143	122	47
YEL040W	3145	4763	3909	2277	2537	2169	2250	2687	1572
YEL041W	181	237	250	163	260	175	265	336	151
YEL042W	1182	2076	1862	972	1272	979	1331	1601	1064
YEL043W	585	897	817	412	581	435	527	618	447
YEL044W	265	568	464	211	345	276	339	318	181
YEL046C	978	1475	1445	764	1059	730	1033	1131	694
YEL047C	372	585	568	262	336	250	323	462	288
YEL048C	45	130	132	54	84	52	93	119	64
YEL049W	8	8	3	1	3	1	3	7	5
YEL050C	777	1651	1118	697	1046	831	1117	1178	802
YEL051W	736	1537	1320	706	1142	840	960	1235	699
YEL052W	553	1021	929	516	787	587	512	681	405
YEL053C	418	671	616	280	475	368	583	564	346
YEL054C	6694	12538	10311	6182	8253	6299	7490	8880	5820
YEL055C	1493	2546	1992	1253	1560	1171	1605	1837	1204
YEL056W	404	631	441	355	463	311	404	458	235
YEL057C	10	21	31	3	23	8	14	19	16
YEL058W	913	1752	1518	849	1206	863	1045	1123	792
YEL059C-A	79	110	132	55	82	80	92	46	37
YEL060C	2041	3801	3466	1856	2990	1951	2206	2687	1671
YEL061C	501	703	667	370	594	405	438	542	393
YEL062W	130	273	271	140	149	139	146	122	96
YEL063C	1082	2151	1772	1037	1516	966	867	1032	666
YEL064C	164	204	207	150	201	147	166	220	141
YEL065W	78	133	128	66	100	64	55	59	27
YEL066W	423	779	675	351	582	418	472	560	369
YEL067C	23	72	85	26	62	26	31	55	32
YEL068C	114	232	167	112	184	96	116	167	97
YEL069C	9	7	4	6	20	4	5	6	5
YEL070W	29	71	68	28	101	58	49	37	28
YEL071W	4939	8670	7667	4081	5539	4042	8996	10764	6954
YEL072W	98	118	83	67	87	86	86	138	85
YEL073C	9	8	24	12	24	14	31	38	15
YEL075C	81	200	160	110	120	112	69	145	74
YEL076C	288	494	392	224	358	230	284	346	223
YEL076C-A	178	292	246	129	239	140	197	255	165
YEL077C	862	1399	999	654	1163	626	776	1120	670
YER001W	1548	2672	2093	1368	1571	1240	1610	2093	1102
YER002W	284	568	434	237	347	316	400	449	282
YER003C	1705	2983	2502	1452	1972	1530	1753	2044	1434
YER004W	928	1696	1432	938	1104	1024	807	1062	683
YER005W	443	828	791	485	598	450	513	583	433
YER006W	825	1483	1179	688	865	731	1032	1239	818
YER007C-A	278	519	387	203	343	261	328	286	211
YER007W	77	135	106	76	116	54	83	116	47
YER008C	681	1380	1051	692	1035	658	877	1065	611
YER009W	1383	2464	2345	1319	1712	1226	1796	2177	1511
YER010C	237	347	402	194	261	206	308	235	184
YER011W	12	26	7	5	4	10	19	13	9
YER012W	1411	2474	2031	1300	1725	1216	1502	1719	1166
YER013W	399	660	648	298	491	402	458	449	291
YER014C-A	0	0	0	0	0	0	0	0	0
YER014W	214	354	315	129	211	151	279	244	194
YER015W	369	764	698	360	553	391	360	416	301
YER016W	343	529	540	271	492	262	320	358	192
YER017C	1121	2346	1971	992	1504	1119	1301	1606	931
YER018C	207	376	261	174	230	197	258	234	201
YER019C-A	427	980	650	431	646	516	533	697	419
YER019W	468	788	690	473	581	412	519	559	347
YER020W	398	664	589	322	582	345	391	515	338
YER021W	1999	3309	2849	1649	2262	1556	1840	1985	1467
YER022W	315	599	519	289	410	287	345	435	247
YER023W	1998	3792	3147	1916	2610	1900	2233	2666	1678
YER024W	411	728	549	311	540	420	421	622	357
YER025W	2268	3928	3286	1830	2684	1804	2486	2879	1892
YER026C	1517	3284	2264	1514	1788	1441	1333	1756	1090
YER027C	400	787	730	343	526	458	433	508	330
YER028C	10	7	10	5	8	16	14	16	2
YER029C	114	265	217	89	163	93	128	212	106
YER030W	433	707	740	365	590	369	482	584	405
YER031C	591	1097	1105	561	797	654	765	872	585
YER032W	272	509	506	249	457	235	349	336	257
YER033C	178	265	238	123	183	135	159	292	181
YER034W	187	293	269	132	264	118	183	274	117
YER035W	48	158	122	65	98	84	66	127	87
YER036C	2803	4831	3976	2300	2989	2129	2976	3235	2152
YER037W	2	9	11	7	6	5	30	35	13
YER038C	37	93	76	33	61	43	86	99	56
YER038W-A	15	15	12	9	8	0	6	8	11
YER039C	99	192	164	100	145	115	168	224	124
YER039C-A	57	104	66	47	67	54	73	114	65
YER040W	341	495	399	226	406	236	331	374	241
YER041W	93	227	169	78	185	111	101	141	83
YER042W	580	1011	718	539	691	464	488	511	348
YER043C	13232	25772	20019	11796	15298	11333	15550	19148	11663
YER044C	472	706	693	436	552	358	618	718	491
YER044C-A	10	6	4	10	11	4	15	4	0
YER045C	35	73	54	19	63	12	34	66	54
YER046W	98	182	200	69	147	124	119	124	103
YER047C	338	570	555	306	425	257	383	416	258
YER048C	527	1097	919	506	706	547	742	936	626
YER048W-A	645	977	918	459	751	495	678	861	576
YER049W	1154	2101	1777	814	1149	952	1183	1310	886
YER050C	413	667	654	268	429	372	379	450	286
YER051W	76	287	163	117	125	102	147	160	101
YER052C	2980	5150	4428	2697	3728	2456	2542	2935	1825
YER053C	201	344	324	167	279	161	132	227	140
YER053C-A	644	1185	1142	574	953	593	605	740	467
YER054C	85	142	125	49	89	57	91	129	99
YER055C	4111	7067	6151	3198	4960	3627	3515	4129	2708
YER056C	1869	3148	2387	1650	1923	1586	1797	1996	1403
YER056C-A	2947	5624	4510	2712	3439	2769	3582	4260	2692
YER057C	486	783	673	409	475	404	576	742	430
YER058W	149	278	233	159	273	182	291	327	186
YER059W	195	319	272	144	248	156	166	178	103
YER060W	103	206	172	146	166	174	90	120	61
YER060W-A	177	352	285	183	221	178	175	177	181
YER061C	389	609	586	277	409	338	414	453	348
YER062C	343	522	480	325	396	262	374	551	291
YER063W	664	1084	1041	471	858	532	814	1027	698
YER064C	147	232	192	135	124	120	174	217	126
YER065C	113	266	194	127	183	130	166	202	111
YER066W	161	265	187	134	197	149	156	222	136
YER067W	46	114	110	52	158	74	78	110	49
YER068W	244	579	506	251	366	293	295	432	282
YER069W	8039	12959	11900	5978	8819	6116	6181	8038	5064
YER070W	2727	5085	4173	2314	3131	2048	2912	3148	2162
YER071C	38	100	57	54	78	52	57	44	44
YER072W	1346	2091	1631	1266	1506	1217	2781	3485	1990
YER073W	1631	2874	2462	1319	1649	1395	1296	1761	1112
YER074W	12236	21711	17497	9616	13601	10764	14721	17699	11527
YER074W-A	315	515	564	392	525	327	387	504	342
YER075C	298	433	414	199	322	187	280	286	211
YER076C	69	164	94	79	91	72	108	72	52
YER077C	145	334	314	130	250	138	219	305	209
YER078C	249	422	378	223	410	300	415	393	302
YER078W-A	16	39	25	33	16	20	27	33	16
YER079W	43	100	100	86	57	41	82	71	40
YER080W	494	925	891	474	652	524	663	819	518
YER081W	1295	2258	1892	952	1367	922	1673	1791	1261
YER082C	311	642	535	306	369	276	423	459	292
YER083C	548	904	862	452	729	504	440	703	445
YER084W	0	1	0	4	1	0	6	1	0
YER085C	0	0	6	0	0	2	1	3	1
YER086W	3688	5873	5446	2678	3858	2718	3340	4002	2672
YER087C-B	327	570	501	278	420	251	384	399	260
YER087W	312	549	483	238	466	257	399	450	304
YER088C	377	553	491	265	368	303	331	451	271
YER089C	1072	1904	1743	966	1420	969	1207	1474	965
YER090W	1588	3043	2493	1371	2243	1389	1435	1873	1088
YER091C	49363	86333	72631	39740	48926	36886	49416	61351	38418
YER092W	194	393	354	228	279	192	250	290	147
YER093C	440	779	632	371	406	343	506	541	334
YER093C-A	220	398	285	172	324	259	226	390	180
YER094C	2829	5041	4212	2435	3286	2241	2334	2781	1856
YER095W	541	971	812	528	651	423	581	732	449
YER096W	17	19	10	7	23	13	9	26	11
YER098W	112	241	290	117	252	127	165	171	104
YER099C	264	546	370	312	341	302	260	269	191
YER100W	315	787	555	294	512	371	369	375	352
YER101C	129	238	200	95	172	81	154	149	102
YER102W	16144	28616	23213	14210	18705	14431	17730	21711	13799
YER103W	221	422	291	180	276	188	302	280	219
YER104W	172	196	183	104	151	96	116	143	108
YER105C	1802	2897	2628	1428	2130	1311	1771	2070	1456
YER106W	0	5	7	5	2	0	7	7	3
YER107C	233	493	431	234	396	282	312	391	250
YER110C	4990	9161	7536	4051	5358	3984	4554	5562	3914
YER111C	381	646	529	311	428	345	415	493	288
YER112W	180	267	238	161	169	135	168	243	118
YER113C	379	673	617	339	513	352	389	477	319
YER114C	601	1007	885	530	699	505	654	729	488
YER115C	47	86	85	47	42	65	53	73	40
YER116C	29	103	88	46	91	52	83	111	38
YER117W	4191	9066	7074	4340	5429	4869	5169	6679	3974
YER118C	269	496	323	225	318	226	342	333	214
YER119C	330	609	474	304	353	338	350	335	215
YER120W	1436	2740	2130	1219	1656	1186	1534	1615	1199
YER121W	5	28	13	0	21	8	22	28	3
YER122C	747	1398	1280	629	931	693	727	886	650
YER123W	358	552	423	278	404	261	388	418	323
YER124C	915	1792	1524	860	1189	950	1030	1188	813
YER125W	2010	3544	3101	1794	2673	1908	2167	2557	1600
YER126C	439	754	694	371	519	390	465	508	343
YER127W	288	572	475	262	350	251	361	346	249
YER128W	92	130	102	45	92	38	104	144	94
YER129W	462	784	740	354	505	366	459	601	425
YER130C	80	205	209	101	205	125	213	220	132
YER131W	3865	7029	6249	3291	5324	4012	4697	6520	3533
YER132C	437	697	690	448	478	304	426	602	347
