ORF,RNA_Prints,Ribo_Prints
YAL001C,1946,1987
YAL002W,2198,778
YAL003W,29481,62556
YAL005C,25895,67587
YAL007C,3691,4160
YAL008W,1091,1797
YAL009W,1033,391
YAL010C,564,542
YAL011W,429,404
YAL012W,15759,36726
YAL013W,1674,1344
YAL014C,1681,1022
YAL015C,955,486
YAL016W,7257,10646
YAL017W,3201,3217
YAL018C,2,6
YAL019W,514,1531
YAL020C,1018,316
YAL021C,3403,5292
YAL022C,3317,2137
YAL023C,13365,13346
YAL024C,793,732
YAL025C,199,402
YAL026C,1850,4058
YAL027W,457,383
YAL028W,1015,360
YAL029C,1921,1761
YAL030W,1632,1532
YAL031C,2210,998
YAL032C,803,641
YAL033W,395,508
YAL034C,728,325
YAL034W-A,351,361
YAL035W,5054,21924
YAL036C,1402,1871
YAL037C-A,7,0
YAL037W,236,70
YAL038W,166961,548312
YAL039C,1356,1246
YAL040C,1053,798
YAL041W,2348,2413
YAL042W,10198,5394
YAL043C,3239,1979
YAL044C,5949,6526
YAL044W-A,1091,866
YAL046C,1028,881
YAL047C,246,472
YAL048C,1104,695
YAL049C,2204,2465
YAL051W,1544,1416
YAL053W,4019,4071
YAL054C,483,329
YAL055W,375,396
YAL056W,2165,658
YAL058W,1614,720
YAL059W,170,324
YAL060W,8698,7509
YAL061W,3030,2596
YAL062W,1513,369
YAL063C,45,11
YAL063C-A,36,0
YAL064C-A,1,0
YAL064W,13,0
YAL064W-B,82,16
YAL065C,2,0
YAL067C,109,20
YAR002C-A,6322,5934
YAR002W,2442,3000
YAR003W,1448,557
YAR007C,5316,8110
YAR008W,641,364
YAR009C,46,34
YAR014C,1784,1621
YAR015W,3055,3356
YAR018C,908,613
YAR019C,987,537
YAR020C,38,0
YAR023C,362,39
YAR027W,1666,1823
YAR028W,1031,823
YAR029W,75,2
YAR031W,267,278
YAR033W,135,67
YAR035C-A,0,0
YAR035W,447,261
YAR042W,2940,2507
YAR050W,57,2
YAR068W,356,3
YAR071W,54,30
YBL001C,2344,3076
YBL002W,11763,15785
YBL003C,11438,12763
YBL004W,541,3521
YBL005W,1811,895
YBL005W-B,40,8
YBL006C,1660,1012
YBL007C,10614,17055
YBL008W,1068,821
YBL008W-A,11,16
YBL009W,1431,1359
YBL010C,580,521
YBL011W,3646,2093
YBL013W,274,312
YBL014C,662,226
YBL015W,2347,2566
YBL016W,1179,834
YBL017C,4366,11579
YBL018C,614,457
YBL019W,454,373
YBL020W,1674,863
YBL021C,401,370
YBL022C,5507,11966
YBL023C,2101,2937
YBL024W,1926,5235
YBL025W,470,373
YBL026W,849,1444
YBL027W,22897,29689
YBL028C,96,527
YBL029C-A,385,461
YBL029W,72,103
YBL030C,9551,20775
YBL031W,509,410
YBL032W,5081,6315
YBL033C,1646,1724
YBL034C,614,1750
YBL035C,1734,2093
YBL036C,1944,2460
YBL037W,1732,1958
YBL038W,1146,1566
YBL039C,644,3444
YBL039W-B,190,107
YBL040C,3223,2846
YBL041W,5449,8820
YBL042C,638,509
YBL043W,25,13
YBL044W,24,11
YBL045C,3729,8311
YBL046W,999,783
YBL047C,6154,20240
YBL049W,69,65
YBL050W,3686,4708
YBL051C,1180,5421
YBL052C,764,352
YBL054W,90,106
YBL055C,694,630
YBL056W,6692,5795
YBL057C,1959,1232
YBL058W,7605,9943
YBL059C-A,569,810
YBL059W,376,480
YBL060W,772,567
YBL061C,1278,1400
YBL063W,453,1161
YBL064C,4815,4465
YBL066C,728,541
YBL067C,1288,1064
YBL068W,918,1151
YBL069W,951,1305
YBL071C-B,5,22
YBL071W-A,292,236
YBL072C,12869,9929
YBL074C,507,421
YBL075C,1121,68
YBL076C,13251,35004
YBL078C,397,1255
YBL079W,2019,2559
YBL080C,794,493
YBL081W,284,408
YBL082C,1871,1103
YBL084C,690,636
YBL085W,2317,3189
YBL086C,1126,1205
YBL087C,11577,10893
YBL088C,907,400
YBL089W,1259,652
YBL090W,741,1025
YBL091C,6323,6567
YBL091C-A,748,836
YBL092W,29609,59067
YBL093C,1025,1167
YBL095W,536,216
YBL097W,473,1003
YBL098W,1041,907
YBL099W,6709,30662
YBL100W-B,25,8
YBL100W-C,7,6
YBL101C,2077,2569
YBL102W,2316,2196
YBL103C,1126,991
YBL104C,1323,1081
YBL105C,2753,2763
YBL106C,748,569
YBL107C,890,833
YBL113C,133,1
YBR001C,3236,2287
YBR002C,743,438
YBR003W,2204,1605
YBR004C,660,590
YBR005W,561,315
YBR006W,1673,1873
YBR007C,1216,1036
YBR008C,2227,276
YBR009C,3575,4926
YBR010W,6211,12353
YBR011C,21594,57544
YBR012W-B,51,13
YBR013C,350,274
YBR014C,1180,2014
YBR015C,3482,3858
YBR016W,1665,3390
YBR017C,3955,4338
YBR018C,264,27
YBR019C,106,81
YBR020W,244,3
