ORF,RNA_Prints,Ribo_Prints
YBR177C,883.0,648.0
YIL140W,654.0,479.0
YLR268W,606.0,441.0
YOR011W,286.0,270.0
YJL155C,165.0,133.0
YLL062C,161.0,122.0
YHR067W,153.0,136.0
YPR023C,663.0,533.0
YAL008W,251.0,161.0
YNR028W,388.0,315.0
YMR111C,113.0,82.0
YBR255W,212.0,182.0
YFR027W,73.0,47.0
YBR128C,56.0,51.0
YOL115W,423.0,309.0
YDL214C,50.0,48.0
YOR030W,254.0,223.0
YNL300W,918.0,629.0
YAL056W,483.0,454.0
YGR148C,6651.0,4536.0
YJR122W,265.0,244.0
YKR069W,233.0,226.0
YDR459C,217.0,214.0
YIL034C,813.0,607.0
YLR144C,495.0,409.0
YNL003C,336.0,293.0
YBR111W-A,86.0,45.0
YJR084W,279.0,241.0
YBR135W,266.0,173.0
YBR004C,316.0,254.0
YBR160W,470.0,314.0
YLR313C,140.0,137.0
YDL238C,105.0,87.0
YJL082W,306.0,220.0
YHR007C,5467.0,4182.0
YIR004W,564.0,375.0
YPR133W-A,485.0,235.0
YPL191C,88.0,76.0
YKL190W,594.0,376.0
YGL084C,784.0,608.0
YDR312W,322.0,254.0
YLR348C,1136.0,951.0
YBR248C,1024.0,769.0
YNR067C,2276.0,1656.0
YNL152W,283.0,232.0
YLR382C,400.0,344.0
YKL063C,257.0,176.0
YFL045C,5933.0,4261.0
YOR230W,3057.0,2231.0
YFL010C,1158.0,701.0
YDR141C,717.0,509.0
YJL131C,138.0,99.0
YDL170W,186.0,155.0
YBR117C,110.0,104.0
YGL135W,1348.0,1005.0
YJR044C,368.0,253.0
YJR011C,133.0,103.0
YPL039W,135.0,120.0
YPL249C-A,7876.0,4989.0
YKL048C,195.0,165.0
YDR083W,577.0,408.0
YMR009W,182.0,120.0
YOR123C,718.0,474.0
YJL179W,256.0,163.0
YJL122W,476.0,321.0
YKL183W,406.0,325.0
YLR189C,570.0,509.0
YDR363W,166.0,137.0
YFL021W,301.0,268.0
YPL041C,72.0,63.0
YLR362W,259.0,211.0
YPL092W,510.0,429.0
YOR377W,410.0,345.0
YMR283C,201.0,175.0
YOR074C,438.0,284.0
YPL024W,154.0,138.0
YKL134C,329.0,286.0
YOR009W,95.0,87.0
YDR090C,201.0,168.0
YIL108W,479.0,365.0
YPL166W,54.0,44.0
YKL052C,359.0,304.0
YLR278C,441.0,374.0
YBR273C,423.0,296.0
YFR005C,445.0,378.0
YER093C-A,57.0,38.0
YAL026C,909.0,693.0
YOL034W,259.0,222.0
YJR135W-A,332.0,209.0
YFL017W-A,188.0,103.0
YFR050C,1427.0,992.0
YBL008W,333.0,264.0
YLR079W,408.0,294.0
YLR447C,2859.0,1975.0
YGL237C,133.0,95.0
YGR126W,35.0,17.0
YIL062C,1042.0,683.0
YNL295W,211.0,179.0
YAR035W,145.0,141.0
YNR032C-A,164.0,99.0
YPL059W,559.0,383.0
YAR019C,200.0,177.0
YDR299W,630.0,460.0
YOL116W,235.0,209.0
YJL140W,760.0,591.0
YGL071W,607.0,517.0
YGL257C,699.0,643.0
YDR196C,276.0,219.0
YBR202W,721.0,570.0
YHR101C,160.0,119.0
YNL239W,1267.0,1006.0
YDR410C,462.0,399.0
YBR280C,143.0,115.0
YGR020C,1235.0,834.0
YNR045W,157.0,139.0
YPL143W,9841.0,6644.0
YML105C,657.0,439.0
YPL268W,314.0,294.0
YLL040C,1121.0,587.0
YLR314C,1665.0,1102.0
YIL091C,686.0,529.0
YCL032W,204.0,168.0
YML092C,1294.0,879.0
YLR357W,525.0,391.0
YPL104W,289.0,249.0
YLR244C,2497.0,1664.0
YAL046C,280.0,192.0
YDR198C,227.0,193.0
YAL039C,330.0,237.0
YNR018W,838.0,602.0
YNL168C,575.0,432.0
YDL185W,11673.0,5616.0
YFR047C,638.0,458.0
YBR215W,329.0,273.0
YGL092W,1336.0,942.0
YLR403W,623.0,502.0
YNL147W,367.0,224.0
YBR159W,1608.0,1253.0
YDR364C,321.0,282.0
YML127W,719.0,573.0
YCL030C,3032.0,2084.0
YHR078W,500.0,457.0
YGR084C,343.0,265.0
YDR286C,83.0,60.0
YFR018C,568.0,471.0
YCR002C,875.0,611.0
YHR141C,3644.0,2935.0
YER042W,445.0,252.0
YJR110W,218.0,197.0
YOR163W,543.0,387.0
YGL157W,689.0,473.0
YNL162W-A,54.0,37.0
YLR233C,219.0,214.0
YGR099W,456.0,409.0
YBL015W,326.0,238.0
YNL067W,3456.0,2553.0
YOL090W,978.0,740.0
YLR300W,4439.0,2975.0
YNL145W,863.0,440.0
YBL003C,4046.0,3306.0
YJR140C,428.0,347.0
YGR146C,243.0,187.0
YOR033C,362.0,343.0
