ORF,Ribo_Prints,RNA_Prints
YOR214C,0.29862,2.60226
YIR013C,0.19764,0.4941
YGL015C,0.09825,0.74277
YDL186W,0,0.61716
YBR180W,0.79074,3.47238
YPL021W,0,0.86856
YOR255W,0.10044,0.99603
YFL011W,0.09846,1.49331
YOL024W,0,0.61761
YGL170C,0.09936,6.44598
YGL230C,1.38972,2.3532
YDL007C-A,0.09804,0
YNL318C,0.09738,0.99003
YLR012C,0,0.372
YPR054W,0.09336,1.23702
YDR402C,0,1.2348
YER180C,0,41.65524
YFL012W,0,0.12516
YJR107W,0.3948,12.14997
YBR056W-A,3.27429,8.67717
YFL040W,0.09738,1.60677
YLR013W,0,0
YLR164W,0.39546,13.01469
YBR020W,0.09522,2.34876
YCL021W-A,0,0.24948
YGL138C,0.19722,3.22818
YDL114W,0.10197,0.62109
YPR160W-A,0.29727,0
YBL003C,211.47798,627.27189
YHR061C,12.19995,6.07635
YML066C,0.0999,4.9617
YCR018C,1.19214,3.96936
YKL120W,95.42325,141.1995
YMR118C,0,0.74466
YGR088W,3.47934,8.68146
YPL272C,0.09324,5.8275
YBR191W-A,1.686,305.45325
YKR015C,0.10242,1.10955
YBL039C-A,31.84104,35.70252
YLR256W-A,0,0
YLR364W,18.6483,11.0319
YLL057C,1.09032,10.1598
YNL210W,0.09756,0.2439
YLL005C,0.10428,0.99066
YJR063W,100.2834,60.86934
YOR032C,0.19575,4.58055
YLR146W-A,14.67963,14.13153
YIL105W-A,0,0
YLL009C,62.1936,22.6863
YPL152W-A,0.29799,1.85922
YLR413W,789.56124,275.94996
YMR032W,27.5772,36.5619
YFR012W-A,0,0
YMR305C,236.0826,96.1974
YDR046C,116.8497,161.2809
YOR314W,0,0
YKR013W,147.4506,82.2987
YOR247W,256.1118,55.28622
YOR011W-A,0,0.1242
YFR009W-A,17.45886,41.90178
YHR139C,0.2943,0.86328
YLR265C,0.49392,4.09542
YOR248W,106.9287,31.98468
YML047C,0.09531,0.24357
YNL162W-A,18.25146,44.13288
YEL059C-A,5.6295,4.0725
YNL270C,0.10332,1.23984
YIL141W,6.3492,1.4859
YDL184C,1.68636,299.75088
YHL028W,0.98172,2.56338
YLR264C-A,0,0.37206
YMR271C,6.54588,22.31208
YGR286C,118.23696,176.90424
YGR107W,0,1.7415
YLR366W,1.98288,19.83492
YHR215W,0.29484,5.95296
YPL130W,0.2016,5.70528
YBL005W-B,0,0
YMR001C-A,1.18965,8.05728
YLL047W,0.49152,0.49152
YJL016W,13.58916,52.6875
YOR385W,2.68011,35.87157
YER023C-A,0,0.12354
YMR013W-A,0.99225,96.19803
YLR112W,1.785,9.4206
YIL046W-A,0,0
YNL300W,98.2002,12.52068
YIL163C,1.3983,1.62132
YMR316C-A,0,0.99216
YJR150C,0,0.87009
YIL165C,18.3492,63.0972
YFR032C-B,7.73784,63.22272
YJL116C,6.44904,3.22452
YNL097C-B,0.09963,4.09098
YPL038W-A,0,6.19776
YER058W,13.689,8.80308
YLL055W,1.97904,16.48668
YIL132C,4.4619,12.02466
YNR057C,3.1773,16.48626
YKL036C,0.1965,0.62094
YDR345C,283.18776,102.1548
YGR174W-A,0,0.11832
YLR342W-A,0,10.9098
YFR032C,0.6003,2.6187
YGL188C-A,30.84939,17.72652
YFL055W,1.87824,7.06017
YIL102C,0,0
YOR366W,0,1.1151
YMR304C-A,3.03615,24.30675
YNL108C,59.61729,45.99141
YDR522C,0.99594,1.73535
YAL026C-A,2.47908,11.52816
YGR131W,0.8925,10.04325
YDR509W,0,0
YER053C,9.42732,16.6152
YBL083C,7.13976,13.7598
YHR143W,124.18644,94.21074
YEL019C,8.82792,12.64692
YLR286C,317.09286,168.34263
YMR182C,4.9608,4.46472
YJL105W,0.20196,2.72646
YOL135C,16.86549,22.68579
YPR096C,0.59388,0.24846
YMR141C,0,0.3708
YGR059W,0.69255,4.95558
YIL047C-A,3.07377,46.36485
YNL146C-A,0.29835,0.1248
YGL188C,0.39672,59.62806
YIL123W,202.31478,27.07452
YDR223W,0.39312,9.42084
YIL025C,0,1.00125
YDR020C,35.5092,107.35242
YEL068C,15.67098,13.01697
YHL026C,7.33752,22.31592
YDL016C,0,29.25465
YEL067C,0.49392,1.61112
YGL072C,0.198,3.348
YGR182C,0.88854,274.67922
YIL158W,15.375,84.05205
YOR313C,3.07134,30.24558
YOR342C,88.7808,130.7808
YLL059C,2.82399,7.05237
YLR252W,0.1989,11.03436
YDL136W,40.37286,139.58802
YNL066W,126.46419,88.01847
YHR073W-A,3.07449,4.33827
YFL026W,0.59616,19.8288
YDR030C,4.563,32.35167
YJL170C,0.2961,0.3717
YMR182W-A,0,2.23155
YML089C,0.19926,0
YDL127W,15.5736,23.67558
YLR285C-A,0.09918,6.32187
YLR416C,0,0.37107
YNL019C,0,0
YBL031W,10.91241,17.60427
YIL032C,0,0
YLR063W,42.75612,46.36854
YLL056C,1.09434,5.2026
YOR008W-B,0.29784,0.62016
YBR141W-A,0.49632,1.488
YDR003W-A,0,7.68627
YOL038C-A,0.19872,0.86784
YOL047C,0,1.48869
YLL052C,21.1545,98.4735
YIL058W,0.1995,0.12255
YMR035W,6.44538,28.26462
YPL136W,0.19926,0.37269
YDR342C,0.39399,0.87363
YGL135W,13.09308,212.85084
YBL071C-B,0,81.81756
YBR040W,0,2.6013
YLR040C,0.891,0.49275
YDR066C,7.23975,19.95807
YDL071C,0.3975,0.37125
YDR076W,7.14285,16.98411
YML122C,0.69342,1.11633
YBR018C,0.19818,1.86069
YHR144C,32.53635,68.42493
YKR032W,0,0
YAL018C,0.0978,0.61614
YGL262W,0,3.09936
YOL151W,17.76054,19.45839
YBR076C-A,0.89712,7.59081
YLL002W,9.12456,26.65263
YCR045C,0.19188,1.85976
YPL148C,1.09098,35.82486
YDR157W,1.09746,22.05372
YHR067W,4.26558,25.53447
YKL066W,0.39516,32.97588
YER175W-A,0,0.3795
YNL043C,0.29853,0.61953
YPL205C,0.10005,0
YKL221W,0.79632,2.10456
YCR085W,0.19824,0.1239
YDL003W,85.61133,176.41071
YHR139C-A,0.39624,0
YMR105W-A,0,0
YOR315W,22.01715,62.23098
YOL007C,61.0983,39.54204
