,ORF,WT_glycerol_RNA,WT_glycerol_Ribo
816,YPL199C,1362.0,1143.0
817,YFL036W,1200.0,4076.0
818,YDL209C,678.0,235.0
819,YIL051C,12339.0,21650.0
820,YPL057C,671.0,1368.0
821,YNR010W,996.0,518.0
822,YDR365C,1479.0,923.0
823,YLR308W,20.0,11.0
824,YNL169C,752.0,746.0
825,YFR034C,211.0,1778.0
826,YHR070W,237.0,594.0
827,YDR460W,1275.0,896.0
828,YNL112W,844.0,393.0
829,YHL047C,809.0,393.0
830,YOR360C,577.0,371.0
831,YOR335C,3278.0,9103.0
832,YGL251C,84.0,19.0
833,YER156C,1320.0,2128.0
834,YPL255W,427.0,220.0
835,YOR095C,5549.0,5138.0
836,YEL038W,1195.0,505.0
837,YCL014W,714.0,1650.0
838,YOL025W,386.0,459.0
839,YPL208W,804.0,371.0
840,YOL147C,3808.0,12060.0
841,YNL280C,989.0,796.0
842,YIL160C,10629.0,29297.0
843,YPR089W,987.0,1383.0
844,YBR233W,841.0,1042.0
845,YPL122C,629.0,391.0
846,YDL086W,3814.0,3017.0
847,YMR313C,768.0,488.0
848,YGL179C,574.0,281.0
849,YGR120C,535.0,312.0
850,YML001W,5538.0,2764.0
851,YLL028W,268.0,1149.0
852,YER016W,416.0,749.0
853,YDR438W,197.0,35.0
854,YNL211C,574.0,99.0
855,YML058W-A,45.0,52.0
856,YLR026C,620.0,1245.0
857,YKR051W,537.0,186.0
858,YHR094C,34.0,81.0
859,YMR095C,27.0,35.0
860,YDL033C,199.0,412.0
861,YMR255W,3217.0,1511.0
862,YHR209W,432.0,300.0
863,YGL247W,1341.0,220.0
864,YCR100C,19.0,0.0
865,YDR516C,962.0,1973.0
866,Q0130,25090.0,214.0
867,YPL233W,485.0,330.0
868,YOR255W,6.0,2.0
869,YIL063C,4903.0,1946.0
870,YGR251W,652.0,481.0
871,YPR047W,1833.0,2129.0
872,YDR246W-A,0.0,0.0
873,YDR044W,560.0,1818.0
874,YEL016C,392.0,149.0
875,YOL128C,230.0,135.0
876,YMR139W,1483.0,1301.0
877,YDL080C,633.0,198.0
878,YOR172W,533.0,280.0
879,YDR541C,160.0,63.0
880,YPR143W,1982.0,860.0
881,YNL322C,2617.0,4937.0
882,YPL090C,2674.0,2962.0
883,YPR078C,315.0,54.0
884,YBL058W,3388.0,7842.0
885,YDR171W,2781.0,2946.0
886,YLR439W,736.0,3274.0
887,YCR020C,688.0,32.0
888,YDR450W,13467.0,9073.0
889,YCL051W,488.0,794.0
890,YLL013C,491.0,5490.0
891,YGL194C-A,553.0,100.0
892,YER038C,185.0,131.0
893,YPR125W,1127.0,2060.0
894,YHR049W,1254.0,492.0
895,YBR007C,349.0,369.0
896,YPL001W,1561.0,919.0
897,YJL038C,10.0,7.0
898,YOR158W,6105.0,7096.0
899,YPR178W,549.0,564.0
900,YNL159C,389.0,475.0
901,YAL014C,506.0,932.0
902,YCR020W-B,492.0,355.0
903,YBR243C,718.0,413.0
904,YLR181C,838.0,534.0
905,YBL056W,750.0,2149.0
906,YNL075W,1424.0,685.0
907,YPL150W,779.0,639.0
908,YJL012C,1182.0,2708.0
909,YJL065C,1246.0,408.0
910,YKR020W,809.0,685.0
911,YMR202W,10071.0,2759.0
912,YMR004W,1027.0,1379.0
913,YER083C,703.0,1230.0
914,YPL176C,670.0,829.0
915,YHR172W,145.0,421.0
916,YLR263W,449.0,10.0
917,YDL240W,333.0,734.0
918,YFR013W,800.0,1108.0
919,YHR013C,1953.0,913.0
920,YOL040C,16476.0,22050.0
921,YGR072W,1601.0,587.0
922,YCL035C,9041.0,7282.0
923,YIL023C,900.0,411.0
924,YIL072W,69.0,36.0
925,YLR327C,8149.0,27028.0
926,YBR229C,1382.0,1320.0
927,YMR100W,496.0,822.0
928,YLR455W,851.0,784.0
929,YNL247W,1505.0,3394.0
930,YOR054C,795.0,1714.0
931,YFR028C,1297.0,655.0
932,YBR152W,118.0,438.0
933,YDR292C,1033.0,1444.0
934,YOR161C-C,1.0,3.0
935,YHR126C,11.0,2.0
936,YMR194W,13206.0,2634.0
937,YLL032C,403.0,517.0
938,YOR249C,577.0,214.0
939,YER117W,30695.0,7873.0
940,YOR301W,126.0,555.0
941,YKL218C,260.0,156.0
942,YOR140W,234.0,1123.0
943,YLL063C,319.0,205.0
944,YOR276W,3231.0,3858.0
945,YMR309C,614.0,3266.0
946,YOR089C,2018.0,1291.0
947,YNL146C-A,133.0,30.0
948,YMR180C,1989.0,355.0
949,YGL163C,990.0,949.0
950,YOL131W,61.0,62.0
951,YOR011W-A,1.0,0.0
952,YPL283C,5.0,1.0
953,YBL021C,1902.0,1163.0
954,YHR215W,17.0,0.0
955,YLL045C,8939.0,11230.0
956,YLR007W,1499.0,316.0
957,YNL261W,533.0,297.0
958,YMR054W,510.0,993.0
959,YDR065W,467.0,395.0
960,YNL305C,1706.0,1442.0
961,YJL046W,1182.0,1439.0
962,YKR078W,801.0,546.0
963,YOR191W,887.0,1782.0
964,YDR272W,5017.0,3887.0
965,YGR289C,244.0,29.0
966,YML020W,376.0,449.0
967,YLR103C,725.0,336.0
968,YOR294W,1800.0,1241.0
969,YEL062W,618.0,478.0
970,YPR031W,677.0,460.0
971,YLR038C,24848.0,18643.0
972,YNL096C,6057.0,7213.0
973,YBR024W,1017.0,1485.0
974,YER171W,817.0,722.0
975,YDL047W,515.0,1025.0
976,YML046W,533.0,451.0
977,YGL124C,415.0,871.0
978,YMR276W,2130.0,13207.0
979,YDL160C-A,1228.0,400.0
980,YLR165C,1141.0,223.0
981,YCR069W,786.0,950.0
982,YGR146C-A,1.0,1.0
983,YKL027W,1545.0,437.0
984,YJL173C,3568.0,2055.0
985,YDR152W,1554.0,904.0
986,YKL127W,644.0,1691.0
987,YDR309C,354.0,2571.0
988,YLR386W,709.0,1015.0
989,YLR371W,722.0,893.0
990,YDL169C,1118.0,431.0
991,YLR092W,185.0,124.0
992,YLR423C,352.0,351.0
993,YMR072W,4852.0,8898.0
994,YJR033C,619.0,1301.0
995,YKR056W,642.0,1331.0
996,YGL011C,5573.0,6055.0
997,YIR036C,2142.0,1658.0
998,YMR123W,1640.0,576.0
999,YGR209C,14644.0,6582.0
1000,YNL050C,2322.0,750.0
1001,YLR240W,340.0,587.0
1002,YOR039W,1047.0,1191.0
1003,YDL234C,1825.0,1469.0
1004,YGL080W,3606.0,2826.0
1005,YNL136W,1154.0,293.0
1006,YKL049C,1105.0,1014.0
1007,YJR080C,3844.0,5942.0
1008,YNR038W,299.0,1021.0
1009,YGL140C,558.0,699.0
1010,YCL029C,488.0,749.0
1011,YFL038C,10402.0,7841.0
1012,YJR131W,878.0,577.0
1013,YNR012W,387.0,389.0
1014,YNL110C,3804.0,1145.0
1015,YDR367W,2656.0,642.0
1016,YIL053W,2627.0,1098.0
1017,YPL059W,5144.0,4078.0
1018,YGL253W,438.0,1475.0
1019,YHL032C,11293.0,13838.0
1020,YJL010C,719.0,663.0
1021,YOR337W,200.0,159.0
1022,YMR010W,553.0,444.0
1023,YOR097C,1429.0,170.0
1024,YHR118C,717.0,615.0
1025,YGL075C,93.0,258.0
1026,YOL023W,1434.0,1288.0
1027,YPL253C,368.0,322.0
1028,YOR008C-A,1.0,0.0
1029,YER154W,1988.0,2692.0
1030,YEL036C,1401.0,537.0
1031,YBR260C,841.0,1052.0
1032,YPL124W,980.0,319.0
1033,YAL042W,1773.0,1494.0
1034,YAL035W,3133.0,6344.0
1035,YNL286W,1476.0,721.0
1036,YDR001C,2938.0,3337.0
1037,YIL162W,596.0,3.0
1038,YOL141W,45.0,333.0
1039,YBR195C,545.0,292.0
1040,YIL039W,1351.0,971.0
1041,YGR122W,173.0,526.0
1042,YPL092W,2974.0,1238.0
1043,YMR315W,2761.0,6394.0
1044,YGR213C,112.0,64.0
1045,YDR384C,11411.0,29585.0
1046,YML007W,2546.0,4986.0
1047,YER063W,2092.0,1832.0
1048,YDR481C,1030.0,1580.0
1049,YER014W,621.0,616.0
1050,YPR041W,3607.0,6945.0
1051,YNL213C,1813.0,326.0
1052,YKL006C-A,4173.0,1054.0
1053,YBR058C,1020.0,2275.0
1054,YLR024C,496.0,622.0
1055,YLR071C,788.0,1212.0
1056,YHR092C,164.0,965.0
1057,YDL199C,395.0,500.0
1058,YDR434W,865.0,867.0
1059,YDL064W,1004.0,1382.0
1060,YDL031W,2761.0,1837.0
1061,YMR257C,513.0,401.0
1062,YDR046C,1406.0,922.0
1063,YOR253W,1660.0,1249.0
1064,YGL245W,7216.0,22253.0
1065,YGR006W,285.0,349.0
1066,YGR079W,1238.0,363.0
1067,YDL119C,730.0,501.0
1068,YKL151C,2244.0,2210.0
1069,YGL198W,1766.0,1039.0
1070,YKL104C,2253.0,2937.0
1071,YBL091C-A,865.0,275.0
1072,YLR361C-A,1761.0,887.0
1073,YHR038W,2361.0,2820.0
1074,YML069W,2133.0,3392.0
1075,YKR019C,390.0,361.0
1076,YGR279C,2644.0,32182.0
1077,YCR073C,180.0,66.0
1078,YLL015W,1139.0,1307.0
1079,YNL195C,345.0,623.0
1080,YDR173C,921.0,552.0
1081,YBR208C,460.0,445.0
1082,YCL057W,2086.0,3943.0
1083,YBR072W,5012.0,4726.0
1084,YBR005W,1150.0,383.0
1085,YDL173W,7419.0,3504.0
1086,YJR047C,56.0,117.0
1087,YMR006C,255.0,1610.0
1088,YAL016W,2906.0,5418.0
1089,YHR011W,1752.0,1427.0
1090,YPL152W,1205.0,695.0
1091,YLR183C,699.0,1272.0
1092,YNL077W,869.0,914.0
1093,YBR109C,5064.0,8273.0
1094,YBR172C,2002.0,3138.0
1095,YDR346C,1114.0,1531.0
1096,YAR002C-A,2923.0,2054.0
1097,YOL077W-A,16858.0,6934.0
1098,YPL029W,1222.0,746.0
1099,YHR146W,714.0,2587.0
1100,YNL019C,0.0,0.0
1101,YGL193C,389.0,2.0
1102,YER085C,8.0,1.0
1103,YKL039W,986.0,2744.0
1104,YKL064W,887.0,1774.0
1105,YLR265C,1064.0,421.0
1106,YKR022C,930.0,393.0
1107,YLR287C,797.0,705.0
1108,YPL174C,689.0,179.0
1109,YOR070C,966.0,956.0
1110,YDR403W,153.0,84.0
1111,YOL093W,1447.0,704.0
1112,YOL042W,378.0,524.0
1113,YIL070C,7904.0,13825.0
1114,YCL037C,377.0,2503.0
1115,YML131W,2503.0,5634.0
1116,YNL245C,380.0,453.0
1117,YNR024W,1210.0,477.0
1118,YOL108C,1185.0,584.0
1119,YLR329W,35.0,9.0
1120,YPL043W,1283.0,911.0
1121,YKL002W,2388.0,1521.0
1122,YDR328C,4035.0,4771.0
1123,YIR009W,237.0,227.0
1124,YBR154C,4469.0,1941.0
1125,YLR001C,1061.0,969.0
1126,YKR101W,1100.0,366.0
1127,YMR230W-A,37.0,0.0
1128,YER115C,1037.0,99.0
1129,YHR124W,930.0,356.0
1130,YER148W,1540.0,1607.0
1131,YCR050C,2.0,0.0
1132,YMR240C,987.0,538.0
1133,YOR303W,2429.0,1469.0
1134,YIL087C,1562.0,2032.0
1135,YMR192W,928.0,949.0
1136,YMR229C,1339.0,3383.0
1137,YLL038C,39.0,387.0
1138,YOR056C,1512.0,1246.0
1139,YOR270C,2490.0,3570.0
1140,YPR069C,4038.0,3521.0
1141,YOL068C,1483.0,251.0
1142,YMR182C,34.0,129.0
1143,YBR201W,810.0,157.0
1144,YLL043W,1687.0,1555.0
1145,YDR415C,643.0,491.0
1146,YGL161C,1324.0,1553.0
1147,YOL133W,1052.0,698.0
1148,YNL263C,944.0,1547.0
1149,YDR128W,928.0,695.0
1150,YMR274C,377.0,170.0
1151,YER028C,571.0,143.0
1152,YMR052W,1218.0,466.0
1153,YMR203W,1156.0,11956.0
1154,YKR076W,1279.0,941.0
1155,YDR225W,13693.0,8336.0
1156,YDR270W,1545.0,2051.0
1157,YPR033C,2424.0,3502.0
1158,YGR230W,2621.0,1726.0
1159,YPR062W,2753.0,1982.0
1160,YDR528W,789.0,366.0
1161,YER173W,645.0,231.0
1162,YBR026C,5408.0,8177.0
1163,YBR030W,865.0,160.0
1164,YBR091C,3032.0,666.0
1165,YNL094W,893.0,910.0
1166,YGR047C,694.0,539.0
1167,YPL227C,1016.0,265.0
1168,YDL010W,1265.0,712.0
1169,YML019W,443.0,607.0
1170,YDL045C,1057.0,648.0
1171,YLR163C,1738.0,3546.0
1172,YLR178C,5295.0,4793.0
1173,YBL079W,1567.0,1492.0
1174,YNL056W,1388.0,412.0
1175,YOR038C,1410.0,1182.0
1176,YFL001W,975.0,561.0
1177,YKL025C,888.0,1743.0
1178,YKL125W,3110.0,685.0
1179,YKL170W,5137.0,3156.0
1180,YPR157W,169.0,39.0
1181,YLR384C,964.0,1507.0
1182,YPL060W,645.0,432.0
1183,YML099C,627.0,653.0
1184,YLR421C,2835.0,1928.0
1185,YLR090W,700.0,845.0
1186,YJR064W,3697.0,3288.0
1187,YML022W,2323.0,2257.0
1188,YER046W,1884.0,292.0
1189,YMR029C,1879.0,1015.0
1190,YIR030C,742.0,113.0
1191,YKR050W,332.0,113.0
1192,YMR121C,2599.0,1156.0
1193,YGL017W,539.0,478.0
1194,YDL150W,1278.0,920.0
1195,YNL038W,1805.0,148.0
1196,YHR001W-A,7175.0,10708.0
1197,YOL165C,75.0,1.0
1198,YIL139C,775.0,95.0
1199,YLR246W,866.0,186.0
1200,YJR119C,457.0,245.0
1201,YLR359W,1945.0,3098.0
1202,YLR199C,997.0,1479.0
1203,YJL206C,247.0,331.0
1204,YIL142W,2924.0,5205.0
1205,YGL082W,611.0,1049.0
1206,YNL138W,1706.0,8084.0
1207,YDL236W,1610.0,1651.0
1208,YGL142C,547.0,310.0
1209,YGR179C,973.0,438.0
1210,YJR086W,6436.0,2460.0
1211,YBR139W,1083.0,2423.0
1212,YHR188C,2013.0,941.0
1213,YKL106C-A,1.0,1.0
1214,YNL116W,544.0,1699.0
1215,YDR361C,1422.0,902.0
1216,YDL042C,780.0,828.0
1217,YLR445W,2.0,4.0
1218,YFR007W,1418.0,1028.0
1219,YLR333C,11348.0,4081.0
1220,YHL030W,1367.0,3163.0
1221,YGL077C,1139.0,1531.0
1222,YPL204W,1105.0,1731.0
1223,YIL009C-A,1576.0,381.0
1224,YOR091W,1927.0,1230.0
1225,YGR026W,716.0,1142.0
1226,YAL040C,432.0,689.0
1227,YDR288W,985.0,446.0
1228,YGL208W,2521.0,6367.0
1229,YNL284C,5604.0,6581.0
1230,YIL164C,215.0,14.0
1231,YOL143C,8025.0,4938.0
1232,YBR237W,683.0,547.0
1233,YBR197C,212.0,479.0
1234,YHR147C,4509.0,4521.0
1235,YGR124W,3313.0,7879.0
1236,YPL126W,1286.0,1225.0
1237,YMR317W,75.0,33.0
1238,YOR251C,1690.0,2127.0
1239,YPR181C,529.0,4909.0
1240,YCL008C,351.0,749.0
1241,YEL064C,345.0,357.0
1242,YML005W,1060.0,563.0
1243,YOR393W,2.0,2.0
1244,YCR075W-A,1026.0,528.0
1245,YDL059C,389.0,117.0
1246,YOR204W,626.0,14332.0
1247,YEL012W,4517.0,3221.0
1248,YBL040C,1618.0,717.0
1249,YPR043W,30507.0,5925.0
1250,YDR382W,15972.0,4322.0
1251,YDR483W,2119.0,2690.0
1252,YLR022C,1913.0,407.0
1253,YLR073C,182.0,92.0
1254,YER183C,1920.0,544.0
1255,YHR090C,1678.0,726.0
1256,YOL021C,1197.0,2426.0
1257,YHR030C,790.0,768.0
1258,YBR295W,254.0,677.0
1259,YKL018W,680.0,663.0
1260,YIL011W,66.0,168.0
1261,YEL034W,6720.0,61473.0
1262,YHL015W,16567.0,14533.0
1263,YNR050C,2469.0,4789.0
1264,YKL208W,1119.0,633.0
1265,YGR004W,467.0,256.0
1266,YML110C,2051.0,5732.0
1267,YGL048C,5001.0,7652.0
1268,YGL243W,844.0,185.0
1269,YKL106W,688.0,641.0
1270,YPR029C,600.0,1479.0
1271,YJL034W,2542.0,5546.0
1272,YFL048C,1248.0,1494.0
1273,YLR117C,988.0,927.0
1274,YOR176W,795.0,2321.0
1275,YOR109W,1175.0,2091.0
1276,YBL089W,632.0,317.0
1277,YDL084W,4897.0,9950.0
1278,YCL055W,1060.0,937.0
1279,YGL116W,1026.0,1010.0
1280,YNR034W-A,9073.0,4100.0
1281,YCR024C,874.0,1095.0
1282,YIL102C-A,176.0,46.0
1283,YMR102C,695.0,1158.0
1284,YCR071C,6295.0,3352.0
1285,YDR175C,3103.0,6100.0
1286,YOR189W,1655.0,947.0
1287,YOR154W,799.0,282.0
1288,YPR121W,460.0,68.0
1289,YBR070C,1729.0,322.0
1290,YOR280C,1406.0,1015.0
1291,YNL315C,3927.0,5633.0
1292,YPR174C,295.0,316.0
1293,YJR045C,11256.0,89373.0
1294,YMR008C,427.0,3565.0
1295,YPL026C,1240.0,959.0
1296,YDL171C,1628.0,5388.0
1297,YKL062W,230.0,1323.0
1298,YJR010W,694.0,191.0
1299,YIL126W,1730.0,2194.0
1300,YDR093W,215.0,1124.0
1301,YMR282C,1319.0,1293.0
1302,YIL109C,1780.0,5841.0
1303,YFL022C,1515.0,3948.0
1304,YPL109C,1093.0,1054.0
1305,YJL156C,265.0,856.0
1306,YNL071W,9559.0,21349.0
1307,YMR088C,1057.0,623.0
1308,YGR211W,664.0,1948.0
1309,YKL139W,1464.0,798.0
1310,YJL069C,761.0,496.0
1311,YJL016W,717.0,219.0
1312,YDR444W,1342.0,479.0
1313,YPL189W,64.0,22.0
1314,YLR285W,1146.0,856.0
1315,YLR267W,352.0,454.0
1316,YDL219W,1365.0,488.0
1317,YCR086W,1139.0,870.0
1318,YDR206W,659.0,863.0
1319,YKR024C,602.0,527.0
1320,YBR156C,320.0,558.0
1321,YOR076C,971.0,730.0
1322,YEL059C-A,943.0,467.0
1323,YDR405W,4658.0,4405.0
1324,YOL091W,173.0,32.0
1325,YCL031C,1639.0,867.0
1326,YIL027C,2947.0,572.0
1327,YLR459W,461.0,444.0
1328,YNL243W,2954.0,5337.0
1329,YNR026C,260.0,988.0
1330,YHL044W,296.0,163.0
1331,YOR311C,384.0,499.0
1332,YBR170C,957.0,2343.0
1333,YGR149W,408.0,372.0
1334,YPL041C,107.0,141.0
1335,YKL193C,847.0,2241.0
1336,YLR310C,1055.0,2221.0
1337,YNR008W,443.0,539.0
1338,YJR150C,2.0,2.0
1339,YLR003C,1804.0,1095.0
1340,YER113C,781.0,552.0
1341,YHR122W,1460.0,1293.0
1342,YHL017W,686.0,271.0
1343,YOR305W,2535.0,216.0
1344,YIL085C,1264.0,315.0
1345,YMR190C,722.0,305.0
1346,YCR052W,627.0,1250.0
1347,YOR272W,1417.0,931.0
1348,YOR058C,540.0,738.0
1349,YOR358W,850.0,1585.0
1350,YCL032W,1025.0,768.0
1351,YNL238W,259.0,481.0
1352,YJL198W,379.0,216.0
1353,YOL135C,618.0,553.0
1354,YOR323C,1676.0,3641.0
1355,YLL041C,7195.0,57397.0
1356,YKR074W,3651.0,2093.0
1357,YOR193W,852.0,243.0
1358,YER026C,9236.0,9024.0
1359,YMR201C,795.0,1225.0
1360,YLR069C,3745.0,10369.0
1361,YML042W,12815.0,30129.0
1362,YDR069C,240.0,807.0
1363,YGR232W,2860.0,2079.0
1364,YEL066W,9622.0,4683.0
1365,YPR035W,5275.0,7033.0
1366,YDR014W,512.0,554.0
1367,YDR227W,938.0,1125.0
1368,YPR060C,1220.0,405.0
1369,YMR037C,726.0,3703.0
1370,YCR038C,413.0,92.0
1371,YOR157C,5023.0,6011.0
1372,YCL056C,3238.0,235.0
1373,YDR034C,974.0,1137.0
1374,YGL054C,4401.0,1583.0
1375,YLR134W,79.0,18.0
1376,YKL096C-B,7.0,1.0
1377,YPL225W,6292.0,3798.0
1378,YDL043C,323.0,786.0
1379,YDL012C,369.0,697.0
1380,YDR218C,981.0,254.0
1381,YLR299W,866.0,1402.0
1382,YFL003C,106.0,40.0
1383,YPL051W,1307.0,287.0
1384,YNL054W,388.0,2116.0
1385,YDR156W,1743.0,763.0
1386,YPR155C,1513.0,1671.0
1387,YOR137C,351.0,76.0
1388,YKL172W,1801.0,1073.0
1389,YNL336W,884.0,534.0
1390,YDR305C,2628.0,723.0
1391,YJR059W,886.0,2641.0
1392,YPR100W,7647.0,2590.0
1393,YDR358W,906.0,2135.0
1394,YLR096W,604.0,916.0
1395,YIL104C,465.0,287.0
1396,YKR052C,391.0,478.0
1397,YER040W,286.0,1126.0
1398,YIR032C,1560.0,345.0
1399,YGL015C,29.0,0.0
1400,YJR066W,517.0,708.0
1401,YMR127C,445.0,282.0
1402,YIL140W,434.0,2559.0
1403,YOL163W,44.0,25.0
1404,YLR197W,2727.0,4339.0
1405,YJL204C,734.0,718.0
1406,YLR244C,3820.0,3713.0
1407,YJR084W,688.0,351.0
1408,YLR233C,407.0,187.0
1409,YDL238C,333.0,354.0
1410,YGL084C,1092.0,1428.0
1411,YLR382C,1441.0,2055.0
1412,YLR219W,503.0,1340.0
1413,YDR363W,261.0,514.0
1414,YNL163C,602.0,753.0
1415,YFR005C,597.0,337.0
1416,YHL036W,80.0,11.0
1417,YFR050C,3229.0,5557.0
1418,YLR447C,1828.0,3773.0
1419,YNR069C,311.0,178.0
1420,YGR126W,37.0,304.0
1421,YAR019C,495.0,324.0
1422,YGL071W,691.0,1295.0
1423,YGL257C,811.0,471.0
1424,YGR020C,2892.0,1706.0
1425,YOR093C,859.0,874.0
1426,YAL046C,5035.0,1858.0
1427,YDR198C,870.0,235.0
1428,YAL039C,3982.0,3642.0
1429,YDL185W,4856.0,15535.0
1430,YGR100W,1335.0,968.0
1431,YER060W,9.0,37.0
1432,YDR286C,2241.0,633.0
1433,YHR141C,14804.0,3495.0
1434,YPL128C,116.0,642.0
1435,YJL091C,702.0,644.0
1436,YBR191W,10400.0,8509.0
1437,YDR380W,7382.0,11112.0
1438,YGL100W,1488.0,1266.0
1439,YGL056C,1758.0,6112.0
1440,YDR485C,944.0,915.0
1441,YPL239W,1559.0,1385.0
1442,YPR183W,1087.0,7845.0
1443,YOR206W,1919.0,2014.0
1444,YEL049W,60.0,25.0
1445,YOR391C,27.0,7.0
1446,YDR525W-A,104.0,1524.0
1447,YLR075W,30301.0,38284.0
1448,YBR054W,2346.0,18008.0
1449,YLR020C,614.0,224.0
1450,YNL217W,1366.0,248.0
1451,YER067W,4863.0,7296.0
1452,YIL013C,113.0,491.0
1453,YPL206C,1154.0,2572.0
1454,YDL060W,1200.0,730.0
1455,YBR293W,636.0,279.0
1456,YNR052C,1031.0,1889.0
1457,YHR032W,350.0,1019.0
1458,YEL032W,541.0,1387.0
1459,YOL076W,556.0,668.0
1460,YHR203C,5511.0,4245.0
1461,YML112W,608.0,549.0
1462,YGL241W,866.0,638.0
1463,YPR176C,942.0,702.0
1464,YDR057W,691.0,588.0
1465,YJL036W,851.0,1334.0
1466,YER009W,6617.0,6399.0
1467,YLR115W,1108.0,1069.0
1468,YGL114W,911.0,697.0
1469,YER167W,1050.0,1603.0
1470,YMR104C,398.0,2579.0
1471,YER185W,137.0,9.0
1472,YDL195W,1618.0,8024.0
1473,YNL199C,972.0,1883.0
1474,YCR026C,839.0,1078.0
1475,YMR246W,2417.0,6413.0
1476,YBR076W,46.0,20.0
1477,YNL317W,754.0,879.0
1478,YLL019C,947.0,6145.0
1479,YDR177W,4495.0,3969.0
1480,YHR052W,2621.0,1645.0
1481,YKR026C,818.0,663.0
1482,YJR043C,644.0,436.0
1483,YJR012C,1358.0,565.0
1484,YKL060C,67442.0,106065.0
1485,YCR044C,532.0,445.0
1486,YKL035W,1339.0,8975.0
1487,YLR264C-A,1.0,0.0
1488,YNL073W,1218.0,1782.0
1489,YMR280C,1605.0,3298.0
1490,YFL020C,37.0,1.0
1491,YNL328C,122.0,108.0
1492,YJL014W,1650.0,3658.0
1493,YGR217W,608.0,418.0
1494,YOR174W,1480.0,671.0
1495,YPR149W,2421.0,15537.0
1496,YNL015W,19358.0,19950.0
1497,YCR084C,450.0,3301.0
1498,YHR178W,441.0,350.0
1499,YPL187W,17.0,3.0
1500,YLR283W,1905.0,549.0
1501,YPL170W,3732.0,1058.0
1502,YPR001W,4122.0,6079.0
1503,YDR204W,3397.0,3105.0
1504,YBR085C-A,5606.0,5659.0
1505,YDR251W,1133.0,1408.0
1506,YNL048W,962.0,752.0
1507,YOR074C,1137.0,1055.0
1508,YDR347W,4172.0,5183.0
1509,YJR152W,432.0,11.0
1510,YAR008W,688.0,267.0
1511,YBR158W,850.0,363.0
1512,YOL097C,1901.0,1474.0
1513,YOR110W,1188.0,566.0
1514,YDR407C,1160.0,655.0
1515,YNR020C,1447.0,1435.0
1516,YBR258C,1325.0,408.0
1517,YNL146W,132.0,115.0
1518,YFR019W,1557.0,2065.0
1519,YLR262C-A,8453.0,1787.0
1520,YBR223C,309.0,359.0
1521,YNL241C,1023.0,4626.0
1522,YJL154C,1705.0,1344.0
1523,YDR091C,490.0,2070.0
1524,YJL123C,3132.0,3087.0
1525,YIR005W,2490.0,481.0
1526,YPL047W,374.0,200.0
1527,YER086W,1151.0,1722.0
1528,YLR287C-A,15325.0,7120.0
1529,YBR176W,909.0,544.0
1530,YBL071C-B,6.0,8.0
1531,YDR373W,2138.0,1078.0
1532,YGL238W,1741.0,1479.0
1533,YJL165C,1433.0,1141.0
1534,YNL128W,206.0,67.0
1535,YLR312C,518.0,2416.0
1536,YKL191W,1157.0,1015.0
1537,YNR006W,738.0,2301.0
1538,YHR120W,592.0,332.0
1539,YOL137W,750.0,535.0
1540,YDR530C,831.0,554.0
1541,YER111C,1277.0,2208.0
1542,YER144C,588.0,892.0
1543,YOL039W,13831.0,5777.0
1544,YIL083C,2222.0,2807.0
1545,YHL011C,1614.0,1668.0
1546,YGR184C,1845.0,2458.0
1547,YMR303C,162857.0,418535.0
1548,YDR307W,395.0,672.0
1549,YDR411C,1470.0,631.0
1550,YBR205W,2157.0,1936.0
1551,YOR321W,520.0,481.0
1552,YMR186W,13750.0,41604.0
1553,YMR278W,624.0,1421.0
1554,YLR136C,253.0,1349.0
1555,YMR207C,472.0,236.0
1556,YML015C,1116.0,577.0
1557,YOR197W,1524.0,3536.0
1558,YKR089C,1432.0,823.0
1559,YKR072C,1031.0,1409.0
1560,YDL014W,2302.0,3601.0
1561,YER079W,910.0,2537.0
1562,YER024W,8337.0,13169.0
1563,YOR230W,3296.0,6853.0
1564,YGR234W,11538.0,48429.0
1565,YMR178W,1715.0,627.0
1566,YPR037C,1619.0,395.0
1567,YNL090W,648.0,603.0
1568,YOR307C,725.0,367.0
1569,YMR225C,3645.0,2248.0
1570,YBR095C,1208.0,979.0
1571,YDR036C,6465.0,11529.0
1572,YGR043C,3533.0,4468.0
1573,YPL223C,379.0,2324.0
1574,YPL272C,392.0,4.0
1575,YBR203W,587.0,1101.0
1576,YOL002C,1277.0,484.0
1577,YFL005W,1773.0,4510.0
1578,YCR010C,7941.0,25923.0
1579,YMR152W,1744.0,1750.0
1580,YMR125W,1929.0,3043.0
1581,YJR031C,503.0,561.0
1582,YCL026C-A,16.0,13.0
1583,YCL026C-B,864.0,1223.0
1584,YGR118W,12388.0,6320.0
1585,YJL055W,3795.0,2193.0
1586,YPR102C,5483.0,2458.0
1587,YGL123W,21906.0,21150.0
1588,YDR303C,928.0,796.0
1589,YPL086C,934.0,1242.0
1590,Q0250,3258.0,214.0
1591,Q0255,2626.0,7.0
1592,YLL003W,955.0,286.0
1593,YLR425W,520.0,490.0
1594,YDR109C,573.0,618.0
1595,YDR221W,340.0,966.0
1596,YLR109W,4688.0,4923.0
1597,YKR009C,9118.0,35901.0
1598,YMR078C,910.0,684.0
1599,YLR094C,629.0,2490.0
1600,YDL154W,204.0,52.0
1601,YJR060W,270.0,1155.0
1602,YNL161W,1020.0,2519.0
