,ORF,WT_glycerol_RNA,WT_glycerol_Ribo
149,YOR081C,260.0,498.0
150,YEL026W,4288.0,1907.0
151,YDR021W,557.0,185.0
152,YGL063W,80.0,42.0
153,YPL212C,1026.0,840.0
154,YOL157C,526.0,192.0
155,YPR095C,503.0,444.0
156,YOR310C,965.0,2806.0
157,YDR188W,2609.0,5342.0
158,YAL027W,1231.0,814.0
159,YGL236C,1402.0,3623.0
160,YHR133C,623.0,660.0
161,YDR017C,1160.0,1557.0
162,YIL090W,290.0,428.0
163,YBR183W,1966.0,980.0
164,YOL048C,1120.0,436.0
165,YCR007C,1025.0,174.0
166,YDR540C,122.0,75.0
167,YEL004W,289.0,286.0
168,YPR057W,2387.0,855.0
169,YMR167W,361.0,765.0
170,YDR116C,3829.0,5331.0
171,YPL119C-A,44.0,0.0
172,YLR030W,24.0,25.0
173,YDR122W,1033.0,1872.0
174,YOL062C,1771.0,834.0
175,YNL234W,58.0,57.0
176,YJL194W,267.0,549.0
177,YOL015W,23.0,1.0
178,YDL070W,2789.0,1221.0
179,YOR241W,895.0,1455.0
180,YLR056W,3365.0,5779.0
181,YKL110C,1565.0,645.0
182,YML100W-A,24.0,1.0
183,YBR280C,335.0,943.0
184,YLR204W,4169.0,2902.0
185,YML097C,1209.0,751.0
186,YKR007W,2112.0,707.0
187,YHR193C,14925.0,15994.0
188,YBL099W,22105.0,119836.0
189,YJR035W,590.0,583.0
190,YOR126C,1718.0,1022.0
191,YMR023C,1157.0,812.0
192,YOR119C,668.0,425.0
193,YNL187W,93.0,33.0
194,YLL014W,1740.0,714.0
195,YCL045C,972.0,2082.0
196,YCR061W,55.0,970.0
197,YPR115W,482.0,1246.0
198,YHR088W,1494.0,937.0
199,YBR017C,1035.0,1312.0
200,YPR162C,680.0,471.0
201,YGR166W,552.0,237.0
202,YDL161W,1201.0,2430.0
203,YKL050C,108.0,30.0
204,YJR055W,437.0,285.0
205,YGL099W,1327.0,1213.0
206,YFL030W,22705.0,37906.0
207,YIL119C,839.0,736.0
208,YPL193W,1333.0,1135.0
209,YNL005C,5108.0,6749.0
210,YJL144W,440.0,408.0
211,YJR139C,5810.0,7038.0
212,YBR133C,811.0,645.0
213,YBR162C,653.0,3621.0
214,YOR130C,629.0,215.0
215,YJL079C,986.0,7872.0
216,YGL019W,1264.0,950.0
217,YGR201C,1634.0,687.0
218,YNL172W,326.0,401.0
219,YNL058C,604.0,850.0
220,YPL160W,1993.0,5902.0
221,YNL023C,570.0,761.0
222,YDR214W,4362.0,6721.0
223,YLR222C,1175.0,1130.0
224,YLR295C,9841.0,17962.0
225,YER175W-A,12.0,6.0
226,YHR168W,421.0,604.0
227,YOR064C,3020.0,300.0
228,YNL318C,16.0,3.0
229,YOL081W,1481.0,962.0
230,YOL036W,1215.0,2227.0
231,YGL148W,2741.0,3027.0
232,YOR031W,1136.0,350.0
233,YBR282W,4571.0,2927.0
234,YDR194C,4091.0,6699.0
235,YOL114C,900.0,266.0
236,YNL257C,1161.0,552.0
237,YNR030W,385.0,502.0
238,YML007C-A,1.0,0.0
239,YDR466W,638.0,975.0
240,YFR045W,1263.0,1353.0
241,YIL002C,1048.0,624.0
242,YGR159C,4530.0,1739.0
243,YLR369W,1253.0,1921.0
244,YFR032C,16.0,4.0
245,YNL118C,2356.0,2203.0
246,YGL228W,842.0,2098.0
247,YJR117W,1109.0,1743.0
248,YBR196C-A,1.0,0.0
249,YBR196C-B,0.0,0.0
250,YLR357W,624.0,1964.0
251,YER127W,1283.0,444.0
252,YJR093C,341.0,1479.0
253,YLR017W,1780.0,1099.0
254,YHR110W,3190.0,657.0
255,YBR041W,692.0,576.0
256,YOR394W,4.0,0.0
257,YOR264W,281.0,614.0
258,YNL142W,206.0,118.0
259,YBL029C-A,985.0,843.0
260,YGL173C,2820.0,7766.0
261,YNL275W,606.0,420.0
262,YAR015W,1989.0,2149.0
263,YOR384W,39.0,10.0
264,YLL051C,536.0,412.0
265,YDR427W,4464.0,4798.0
266,YLR079W,1519.0,1675.0
267,YLR408C,747.0,376.0
268,YMR093W,1087.0,641.0
269,YKR066C,4277.0,6486.0
270,YDR079W,3520.0,1363.0
271,YMR268C,416.0,458.0
272,YML070W,2742.0,4461.0
273,YHR175W-A,60.0,1.0
274,YPR072W,2142.0,2264.0
275,YMR108W,2425.0,13097.0
276,YCR091W,214.0,1157.0
277,YER062C,1023.0,379.0
278,YDR244W,2259.0,4489.0
279,YDL137W,8474.0,5275.0
280,YGR271W,752.0,911.0
281,YDR233C,1998.0,8075.0
282,YGR071C,545.0,341.0
283,YCR106W,115.0,66.0
284,YER109C,423.0,705.0
285,YDR489W,300.0,328.0
286,YPR049C,946.0,764.0
287,YDL057W,614.0,478.0
288,YGR257C,3038.0,770.0
289,YPL235W,2055.0,1858.0
290,YBL087C,12159.0,3969.0
291,YJL132W,255.0,202.0
292,YGL190C,1106.0,999.0
293,YBR110W,1058.0,608.0
294,YDR144C,257.0,358.0
295,YOR180C,596.0,1056.0
296,YFL046W,1202.0,921.0
297,YOR103C,2524.0,898.0
298,YKL137W,8524.0,3245.0
299,YDR447C,18405.0,7203.0
300,YAL061W,362.0,199.0
301,YPR145W,1345.0,734.0
302,YJL063C,5328.0,4662.0
303,YMR149W,1167.0,1446.0
304,YPL021W,3.0,0.0
305,YIR010W,1014.0,662.0
306,YDR331W,367.0,487.0
307,YML056C,1874.0,488.0
308,YKR044W,681.0,126.0
309,YLR433C,405.0,1777.0
310,YMR068W,430.0,375.0
311,YER032W,489.0,857.0
312,YJR070C,991.0,2060.0
313,YGL005C,757.0,406.0
314,YIR024C,1870.0,970.0
315,YDL111C,1609.0,674.0
316,YMR133W,32.0,20.0
317,YPL007C,805.0,463.0
318,YKL159C,1127.0,766.0
319,YDR507C,534.0,2412.0
320,YLR138W,1173.0,363.0
321,YJL158C,10111.0,21938.0
322,YLR396C,871.0,504.0
323,YBR245C,1181.0,2563.0
324,YLL029W,3148.0,4146.0
325,YBR210W,716.0,249.0
326,YPL103C,470.0,546.0
327,YIL103W,741.0,517.0
328,YIL152W,599.0,434.0
329,YJR096W,2637.0,2181.0
330,YGR143W,128.0,1105.0
331,YGR112W,578.0,1132.0
332,YLR256W,718.0,1102.0
333,YHR174W,7114.0,24018.0
334,YOR012W,299.0,87.0
335,YIR001C,536.0,2471.0
336,YDL213C,3378.0,920.0
337,YDR317W,14.0,2.0
338,YDR478W,471.0,326.0
339,YOL164W-A,0.0,0.0
