ORF,Ribo_Prints,RNA_Prints
YAL001C,27.66202323,10.22186392
YAL002W,22.38996704,10.63761032
YAL003W,1705.668861,2932.087698
YAL004W,0,0
YAL005C,907.512885,1875.535423
YAL007C,137.6697916,164.8275557
YAL008W,11.9544422,0
YAL009W,77.77284225,26.08260222
YAL010C,14.4469676,41.18305613
YAL011W,15.20085622,46.04037612
YAL012W,557.0921388,673.8555838
YAL013W,84.96192851,41.75786069
YAL014C,65.04897651,13.24507144
YAL015C,44.60501247,12.71526858
YAL016C-A,0,0
YAL016C-B,0,0
YAL016W,123.4352546,122.6210387
YAL017W,64.86408101,53.72208784
YAL018C,0,0
YAL019W,57.79952985,17.97211107
YAL019W-A,6.260352627,0
YAL020C,49.85789817,71.0633773
YAL021C,75.22881975,60.69340611
YAL022C,80.36939183,19.63748043
YAL023C,385.0116866,236.4593806
YAL024C,24.02126948,8.264334268
YAL025C,151.1049282,22.08950025
YAL026C,46.49096678,38.75843913
YAL026C-A,16.29406848,11.61211743
YAL027W,27.23970227,19.41262379
YAL028W,49.46743664,9.614569815
YAL029C,82.42230564,29.9453789
YAL030W,30.24068642,14.36753512
YAL031C,28.13456765,28.96162795
YAL031W-A,0,0
YAL032C,62.60352627,4.461497748
YAL033W,47.85212065,29.23050248
YAL034C,37.35041302,20.47547275
YAL034C-B,0,0
YAL034W-A,0,0
YAL035W,377.1742232,135.2238599
YAL036C,99.65804587,50.40286644
YAL037C-A,0,0
YAL037C-B,0,0
YAL037W,4.438309698,0
YAL038W,5512.734069,7739.140185
YAL039C,57.27063329,6.279144978
YAL040C,61.41826157,43.77028771
YAL041W,16.69427367,57.50374875
YAL042C-A,0,0
YAL042W,145.8240792,105.9605715
YAL043C,43.88618699,36.66828938
YAL044C,83.47136836,39.65775776
YAL044W-A,32.14775673,15.27359589
YAL045C,0,16.4598946
YAL046C,19.991042,28.49359906
YAL047C,3.818513641,5.442597573
YAL047W-A,0,0
YAL048C,8.97033936,2.557117864
