ORF,Ribo_Prints,RNA_Prints
YAL001C,1227,17547
YAL002W,497,10012
YAL003W,119930,331142
YAL007C,4104,33005
YAL008W,1218,6247
YAL009W,340,7724
YAL010C,323,5699
YAL011W,496,12536
YAL012W,37885,61905
YAL013W,1230,12028
YAL014C,788,11755
YAL015C,416,7573
YAL016W,7962,44091
YAL017W,1274,12324
YAL019W,3736,25810
YAL020C,443,9273
YAL021C,3865,11832
YAL022C,1639,15255
YAL023C,12599,45564
YAL024C,763,11167
YAL025C,4525,34395
YAL026C,3346,25636
YAL026C-A,111,8871
YAL027W,275,4758
YAL028W,77,2064
YAL029C,2159,36501
YAL030W,1131,10813
YAL031C,568,5660
YAL032C,662,6272
YAL033W,798,9440
YAL034C,32,3224
YAL034W-A,352,5254
YAL035W,39783,183930
YAL036C,7399,51706
YAL037W,11,1201
YAL038W,757593,1850089
YAL039C,1162,6151
YAL040C,536,5477
YAL041W,1596,20419
YAL042W,5943,52391
YAL043C,1926,15274
YAL044C,11258,62707
YAL044W-A,955,7151
YAL046C,858,7993
YAL047C,429,4761
YAL048C,490,4110
YAL049C,1579,13118
YAL051W,1117,10792
YAL053W,2499,14088
YAL055W,236,3744
YAL056W,580,14600
YAL058W,683,12000
YAL059W,2066,17768
YAL060W,2900,26515
YAL061W,329,2404
YAL062W,88,2367
YAR002C-A,6416,51194
YAR002W,3244,15768
YAR003W,542,9667
YAR007C,4822,17760
YAR008W,428,8147
YAR014C,2746,27264
YAR015W,10964,73086
YAR018C,592,10560
YAR019C,342,4506
YAR023C,8,875
YAR027W,921,10546
YAR028W,600,4979
YAR029W,5,985
YAR031W,126,2088
YAR042W,1894,16649
YBL001C,2637,20958
YBL002W,13306,63374
YBL003C,7955,64629
YBL004W,6383,56754
YBL005W,561,10106
YBL006C,1117,12506
YBL007C,15120,37383
YBL008W,848,12398
YBL009W,1572,14691
YBL010C,480,7117
YBL011W,1725,22204
YBL014C,394,11549
YBL015W,1052,7041
YBL016W,1080,9228
YBL017C,7562,42804
YBL018C,822,12131
YBL019W,170,5955
YBL020W,1161,12967
YBL021C,546,4570
YBL022C,8446,42120
YBL023C,2683,14665
YBL024W,11861,59617
YBL025W,488,4529
YBL026W,1802,19578
YBL027W,27565,193283
YBL028C,2502,26505
YBL029C-A,237,3111
YBL029W,119,1869
YBL030C,20270,86340
YBL031W,273,4572
YBL032W,7536,31247
YBL033C,1525,10393
YBL034C,1390,9555
YBL035C,1679,9833
YBL036C,3912,28553
YBL037W,1251,14922
YBL038W,1264,11915
YBL039C,19906,72992
YBL039C-A,1267,2006
YBL039W-B,54,802
YBL040C,2716,27377
YBL041W,7525,41415
YBL042C,2199,16850
YBL045C,4285,19554
YBL046W,1083,14170
YBL047C,12107,35827
YBL050W,4186,28805
YBL051C,4784,11305
YBL052C,297,20645
YBL054W,1582,7185
YBL055C,902,14367
YBL056W,3874,54455
YBL057C,1646,22031
YBL058W,9064,45987
YBL059C-A,800,6889
YBL059W,228,4119
YBL060W,514,11244
YBL061C,1858,32173
YBL063W,564,5119
YBL064C,1649,10342
YBL067C,1451,19659
YBL068W,2505,26717
YBL068W-A,210,2699
YBL069W,1849,12278
YBL071W-A,1396,7739
YBL074C,384,3408
YBL075C,151,11448
YBL076C,47747,198065
YBL078C,523,2633
YBL079W,3152,35720
YBL080C,220,4282
YBL081W,953,4000
YBL082C,1157,14962
YBL083C,229,5961
YBL084C,467,7236
YBL085W,2071,16332
YBL086C,682,8101
YBL087C,13458,64302
YBL088C,282,14588
YBL089W,488,6576
YBL090W,1091,7262
YBL091C,8236,68953
YBL091C-A,412,3167
YBL092W,102442,439240
YBL093C,1504,15474
YBL095W,219,8302
YBL097W,880,10388
YBL098W,848,8975
YBL099W,22336,104157
YBL101C,1172,6905
YBL102W,2025,19748
YBL103C,1017,8177
YBL104C,952,16687
YBL105C,2321,22126
YBL106C,397,8710
YBL107C,482,10461
YBR001C,1187,17370
YBR002C,1119,15593
YBR003W,831,10235
YBR004C,612,6231
YBR005W,327,5568
YBR006W,471,3244
YBR007C,618,8482
YBR008C,8,7028
YBR009C,2548,16333
YBR010W,9143,72141
YBR011C,78476,262851
YBR012C,160,9559
YBR013C,209,3096
YBR014C,1974,15176
YBR015C,4911,30641
YBR016W,2654,9310
YBR017C,5119,45956
YBR020W,6,1595
YBR021W,334,2697
YBR022W,565,5443
YBR023C,3164,26169
YBR024W,489,5642
YBR025C,39482,194616
YBR026C,2960,21240
YBR027C,3,1993
YBR028C,1044,11448
YBR029C,2468,12492
YBR030W,603,16215
YBR034C,4117,27117
YBR035C,4864,29179
YBR036C,4067,25481
YBR037C,974,9563
YBR038W,4314,15715
YBR039W,6925,24701
YBR041W,1952,20172
YBR042C,1183,16393
YBR043C,421,21092
YBR044C,352,8963
YBR046C,1809,6584
YBR047W,249,3051
YBR048W,7642,53466
YBR049C,5621,29557
YBR052C,3330,24458
YBR053C,1822,12869
YBR054W,715,2480
YBR055C,1095,21170
YBR056W,1667,18855
YBR056W-A,97,1605
YBR057C,1526,14972
YBR058C,2904,18571
YBR058C-A,1863,16489
YBR059C,3507,18266
YBR060C,1019,14703
YBR061C,1710,12886
YBR062C,847,7687
YBR063C,15,9365
YBR065C,674,4574
YBR066C,698,11104
YBR067C,11130,28429
YBR068C,8187,72811
YBR069C,7463,63166
YBR070C,510,8430
YBR071W,1208,6376
YBR072W,780,4067
YBR073W,2488,35896
YBR074W,2784,26372
YBR076C-A,11,2472
YBR077C,965,11817
YBR078W,66058,212187
YBR079C,20177,107559
YBR080C,6474,31255
YBR081C,1681,23149
YBR082C,11817,49821
YBR083W,1804,9742
YBR084C-A,23720,155209
YBR084W,11852,71774
YBR085C-A,1587,9460
YBR085W,688,5872
YBR086C,5760,37801
YBR087W,1549,19363
YBR088C,5658,37595
YBR089C-A,2785,15959
YBR090C,1438,8075
YBR091C,647,4801
YBR092C,5194,23684
YBR093C,1007,6022
YBR094W,1674,17990
YBR095C,872,14216
YBR096W,2536,21921
YBR097W,671,8725
YBR098W,290,5550
YBR099C,4,766
YBR101C,4890,39628
YBR102C,1674,15113
YBR103W,974,17062
YBR104W,2083,22660
YBR105C,520,3868
YBR106W,20696,131735
YBR107C,114,2585
YBR108W,1431,6519
YBR109C,13682,68053
YBR109W-A,6,237
YBR110W,1298,19291
YBR111C,3924,33584
YBR111W-A,593,4807
YBR112C,4667,21460
YBR114W,373,8599
YBR115C,14778,52852
YBR119W,578,6824
YBR120C,566,4753
YBR121C,32842,187703
YBR121C-A,1701,14362
YBR122C,1339,16589
YBR123C,1428,16531
YBR125C,731,10309
YBR126C,8584,34551
YBR126W-A,2473,15958
YBR126W-B,1785,10317
YBR127C,44527,127112
YBR128C,69,2326
YBR129C,839,12233
YBR130C,2079,22701
YBR131W,381,6873
YBR132C,719,2431
YBR133C,1006,17882
YBR135W,1371,4799
YBR136W,627,8414
YBR137W,1492,12112
YBR138C,559,5883
YBR139W,2113,9808
YBR140C,1988,21329
YBR141C,484,6548
YBR141W-A,7,159
YBR142W,3911,35933
YBR143C,17858,120209
YBR145W,1005,7228
YBR146W,1417,16444
YBR149W,4688,23959
YBR150C,571,5394
YBR151W,1524,22461
YBR152W,462,4010
YBR153W,363,9798
YBR154C,8291,55268
YBR155W,3629,27198
YBR156C,483,6925
YBR157C,438,5857
YBR158W,2624,50021
YBR159W,5065,48141
YBR160W,2035,15594
YBR161W,480,6055
YBR162C,24885,56331
YBR162W-A,3921,28472
YBR163W,220,12045
YBR164C,3686,33671
YBR165W,583,7490
YBR166C,1924,20789
YBR167C,343,5629
YBR168W,242,7196
YBR169C,1300,6511
YBR170C,2355,18622
YBR171W,3636,23915
YBR172C,3026,32379
YBR173C,3166,16172
YBR175W,573,10340
YBR176W,802,6576
YBR177C,2975,15536
YBR179C,1101,9664
YBR182C,57,1525
YBR183W,93,1732
YBR184W,101,3499
YBR185C,678,6601
YBR187W,4949,60042
