ORF,Ribo_Prints
YAL008W,821.999998
YBR255W,440.999991
YGR131W,41
YNL003C,671.999982
YBR135W,1244.514363
YBR160W,1876.999949
YJL082W,1831.99997
YPL191C,290.999999
YGL215W,2705.669768
YKL074C,1353.999991
YJL077C,2
YKL096W-A,60842.871
YIL124W,4417.999997
YPL039W,430.999988
YGL141W,1732.999983
YJL179W,1243.999922
YDR316W-A,23966.26072
YDR316W-B,28197.49778
YOR009W,2238.762177
YKL029C,14405.99999
YPL166W,135.999997
YKL052C,983.999983
YHR025W,18095.99992
YOL034W,936.999978
YBL008W,1198.979515
YIL062C,3647.9983
YOL116W,603.996581
YDR196C,764.997371
YNL255C,16961
YNR032W,799.999991
YNR045W,322.999987
YML105C,3499.999997
YNL288W,1946.999993
YIL004C,643.999994
YNR018W,5408.999912
YPL144W,553.999999
YFR047C,2381.999922
YHR078W,834.999989
YJR115W,33
YLR355C,199587.9998
YGR099W,777.999947
YLR300W,31046.99996
YBL003C,19023.27613
YJR140C,2642.999926
YOR033C,637.999984
YOR062C,101
YBR043C,277
YHR112C,901.999999
YLR011W,190
YHR007C,45341.99435
YKR103W,326.99913
YKR084C,4912.999984
YER121W,11
YCR046C,1102.999998
YKL204W,4114.999695
YOR266W,355.999998
YDR393W,490.999958
YGR186W,4557.997551
YPR194C,28.999996
YGR019W,1608.999988
YNL208W,7189.99757
YLL057C,6
YPL060C-A,18.56527656
YBR296C,227.999992
YNL277W,682.999996
YMR040W,25.999864
YDR077W,55814.99439
YMR266W,11274.99959
YKR064W,586.999992
YPL089C,1131.983732
YGR277C,1720.999997
YDL139C,166
YDR246W,907.999989
YOR288C,1510.999997
YCR028C,1756.999978
YML054C,11
YLR179C,8204.99994
YOR141C,3285.999976
YPL280W,0.01965092
YBL106C,843.999944
YGL044C,1109.046041
YER107C,2406.999923
YBR038W,6647.999667
YEL047C,10750.99987
YPR016C,10028
YLR157C,18.091478
YDL055C,130005.9995
YML009C,368.999998
YML072C,30103.9984
YDR142C,325
YFL044C,1456.999996
YKL019W,1802.999456
YJL130C,90038.7888
YBL085W,2835.426972
YFL011W,22.78549064
YHR212W-A,0
YDR082W,31
YDR348C,2324.999993
YKL182W,191413.9937
