ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YEL076C,20,14,27,1174,812,853
YEL076C-A,20,8,25,716,508,617
YEL077C,32,31,23,3260,2443,2566
YER001W,1021,991,1189,6313,4179,4805
YER002W,201,176,188,1286,900,1131
YER003C,1481,1455,1969,7190,4954,5231
YER004W,453,386,630,4056,3066,2552
YER005W,66,60,77,2062,1533,1529
YER006W,358,401,489,3487,2284,3089
YER007C-A,246,177,302,1184,807,825
YER007W,21,13,26,318,246,246
YER008C,224,201,238,3112,2385,2553
YER009W,931,921,1211,6192,4257,5484
YER010C,103,121,161,986,661,727
YER011W,7,9,4,45,19,41
YER012W,1181,1499,2041,5916,4241,4387
YER013W,153,163,214,1707,1191,1198
YER014C-A,0,0,2,0,0,0
YER014W,133,94,150,883,491,717
YER015W,134,147,235,1831,1304,1077
YER016W,123,128,173,1412,1025,870
YER017C,528,515,701,5438,3615,3838
YER018C,100,68,139,844,601,693
YER019C-A,101,103,164,2057,1593,1649
YER019W,142,175,265,1946,1466,1425
YER020W,157,166,239,1651,1249,1244
YER021W,768,837,1232,8157,5467,5292
YER022W,115,134,177,1433,986,1027
YER023W,1492,1331,1745,8937,6426,6577
YER024W,122,66,109,1688,1271,1400
YER025W,1109,979,1418,9482,6318,7257
YER026C,915,882,1199,7065,4743,4179
YER027C,375,356,426,1917,1327,1271
YER028C,0,1,0,27,29,32
YER029C,65,56,68,596,345,446
YER030W,288,202,334,1880,1324,1471
YER031C,431,289,475,2793,2012,2222
YER032W,96,104,124,1287,941,942
YER033C,28,38,49,681,441,632
YER034W,108,117,136,749,514,574
YER035W,61,81,78,328,247,280
YER036C,1653,1772,2166,11610,7418,8363
YER037W,16,1,8,22,18,78
YER038C,6,10,18,206,137,241
YER038W-A,0,0,0,42,17,25
YER039C,36,25,35,455,360,516
YER039C-A,24,20,29,227,168,252
YER040W,29,48,60,1235,868,946
YER041W,13,12,22,489,374,325
YER042W,253,286,428,2309,1694,1347
YER043C,10640,7666,11014,59023,38427,46361
YER044C,301,283,363,1871,1346,1827
YER044C-A,0,0,2,20,25,19
YER045C,20,11,17,162,94,154
YER046W,29,29,43,480,340,346
YER047C,79,71,110,1463,988,1057
YER048C,394,281,392,2543,1759,2304
YER048W-A,173,159,184,2540,1705,2115
YER049W,429,531,671,5032,2915,3379
YER050C,193,216,274,1734,1069,1115
YER051W,21,29,41,526,344,408
YER052C,1291,1625,2226,12558,8881,7302
YER053C,63,67,77,869,607,499
YER053C-A,358,443,645,2971,2120,1812
YER054C,15,12,27,352,195,319
YER055C,1787,2195,3026,17329,11785,10352
YER056C,850,996,1083,7404,5159,5196
YER056C-A,1783,1351,2027,13081,8920,10534
YER057C,432,277,449,1942,1288,1748
YER058W,70,43,74,660,614,804
YER059W,42,89,133,786,548,447
YER060W,23,42,61,481,486,271
YER060W-A,99,85,95,814,582,533
YER061C,87,96,129,1584,1024,1215
YER062C,258,180,291,1345,983,1216
YER063W,302,215,343,2789,1861,2539
YER064C,47,47,60,571,379,517
YER065C,45,31,52,573,440,479
YER066W,75,75,80,613,480,514
YER067W,26,30,49,270,284,237
YER068W,189,197,268,1329,910,1009
YER069W,2901,3464,4598,32898,20913,19283
YER070W,1628,1581,2006,11985,7493,8222
YER071C,9,17,31,195,184,145
YER072W,904,403,598,5068,3989,8256
YER073W,863,1126,1326,6967,4363,4169
YER074W,5716,4171,5620,51444,33981,43947
YER074W-A,139,195,359,1394,1244,1233
YER075C,48,70,80,1145,708,777
YER076C,23,22,32,327,242,232
YER077C,88,55,82,793,518,733
YER078C,120,105,193,1049,933,1110
YER078W-A,0,6,10,80,69,76
YER079W,22,23,45,243,184,193
YER080W,398,347,473,2310,1650,2000
YER081W,930,767,998,5445,3241,4725
YER082C,225,173,182,1488,951,1174
YER083C,239,301,363,2314,1685,1588
YER084W,0,0,1,1,5,7
YER085C,0,0,3,6,2,5
YER086W,1610,1658,2026,15007,9254,10014
YER087C-B,59,58,127,1398,949,1043
YER087W,237,168,211,1344,961,1153
YER088C,93,104,133,1421,936,1053
YER089C,474,402,605,4719,3355,3646
YER090W,609,737,1122,7124,5003,4396
YER091C,39993,34848,42086,208327,125552,149185
YER092W,126,99,132,941,699,687
YER093C,110,92,137,1851,1120,1381
YER093C-A,72,72,85,903,755,796
YER094C,1587,2429,2996,12082,7962,6971
YER095W,154,223,312,2324,1602,1762
YER096W,6,4,2,46,43,46
YER098W,18,23,40,643,496,440
YER099C,181,212,269,1180,955,720
YER100W,230,222,317,1657,1177,1096
YER101C,76,77,109,567,348,405
YER102W,10407,8145,10977,67973,47346,53240
YER103W,115,74,115,934,644,801
YER104W,87,96,100,551,351,367
YER105C,581,596,761,7327,4869,5297
YER106W,0,2,4,12,7,17
YER107C,106,117,195,1157,912,953
YER110C,2444,2610,3392,21687,13393,14030
YER111C,93,82,99,1556,1084,1196
YER112W,127,57,87,685,465,529
YER113C,139,140,202,1669,1204,1185
YER114C,180,208,267,2493,1734,1871
YER115C,3,0,1,218,154,166
YER116C,11,16,13,220,189,232
YER117W,2615,1759,2663,20331,14638,15822
YER118C,152,129,177,1088,769,889
YER119C,156,159,246,1413,995,900
YER120W,873,829,1156,6306,4061,4348
YER121W,3,2,6,46,29,53
YER122C,249,279,351,3425,2253,2263
YER123W,145,152,207,1333,943,1129
YER124C,348,371,502,4231,2999,3031
YER125W,964,833,1231,8655,6375,6324
YER126C,244,237,272,1887,1280,1316
YER127W,223,233,274,1335,863,956
YER128W,52,29,43,324,175,342
YER129W,64,69,116,1986,1225,1485
YER130C,62,48,53,494,431,565
YER131W,2273,1589,2497,17143,12627,14750
YER132C,65,65,70,1824,1230,1375
YER133W,747,612,968,5503,3972,4255
YER134C,115,117,169,1011,785,813
YER136W,908,795,1136,6429,4520,4790
YER137C,10,15,29,174,137,112
YER138W-A,13,17,7,9645,5840,16360
YER139C,74,67,90,481,359,429
YER140W,59,57,73,1402,893,1079
YER141W,835,861,1282,5725,4214,3960
YER142C,63,67,105,882,606,496
YER143W,352,431,512,2442,1606,1539
YER144C,61,58,79,1339,1049,1082
YER145C,612,729,1214,6345,4808,3247
YER146W,147,152,215,1635,1182,1183
YER147C,93,93,117,951,635,633
YER148W,174,126,196,2206,1762,1741
YER149C,71,92,139,804,521,580
YER150W,5,1,6,90,67,61
YER151C,440,481,595,4161,2927,2835
YER152C,201,250,369,2722,1883,1805
YER153C,48,36,76,762,588,584
YER154W,285,255,340,2992,2128,2444
YER155C,525,490,704,9613,6436,7467
YER156C,723,697,975,5034,3347,3642
YER157W,180,158,203,1655,1147,1495
YER158C,81,50,84,627,464,538
YER159C,71,45,84,937,687,709
YER161C,68,62,98,1293,849,961
YER162C,72,119,117,861,630,765
YER163C,112,119,160,1502,1118,1467
YER164W,348,343,413,5040,3394,4034
YER165W,3490,3187,4117,26322,16844,22102
YER166W,601,511,699,7532,5364,5997
YER167W,55,47,51,1068,687,873
YER168C,203,157,212,1316,972,1138
YER169W,66,52,84,840,602,720
YER170W,116,125,175,957,650,619
YER171W,152,163,210,2426,1719,1803
YER172C,188,253,274,4455,2836,3258
YER173W,20,17,26,449,370,406
YER174C,136,100,150,1078,792,1185
YER175C,88,111,173,956,716,725
YER175W-A,0,0,0,30,24,14
YER176W,183,199,235,2732,1796,1840
YER177W,4750,4318,6027,31463,19440,22602
YER178W,4241,3432,4962,28434,17504,18632
YER179W,14,8,4,160,128,144
YER180C,0,0,0,227,136,151
YER180C-A,180,218,199,996639,531595,593757
YER182W,198,145,238,929,661,779
YER183C,59,96,133,828,553,551
YER184C,16,8,10,392,319,330
YER185W,1,2,4,41,29,59
YER186C,7,1,1,771,628,653
YER187W,0,0,1,99,111,89
YER188C-A,0,0,0,8,7,15
YER189W,5,3,8,487,386,346
YER190C-B,1,1,0,146,145,120
YER190W,71,59,75,2559,1944,2296
YFL001W,127,103,138,857,533,519
YFL002C,196,195,250,2191,1369,1702
YFL003C,2,2,3,52,27,23
YFL004W,593,402,554,6026,4212,5819
YFL005W,709,643,1032,6252,4278,4444
YFL007W,573,692,831,11333,7719,8281
YFL008W,215,151,234,2125,1386,1598
YFL009W,137,164,218,1968,1249,1401
YFL010C,171,129,229,1730,1311,1587
YFL010W-A,1,0,0,0,4,2
YFL011W,5,1,1,17,12,12
YFL012W,0,0,1,9,4,5
YFL013C,174,153,193,1588,1026,1180
YFL014W,69,119,196,1278,789,365
YFL016C,803,785,979,6272,4211,4344
YFL017C,64,56,110,894,676,677
YFL017W-A,31,37,47,506,388,363
YFL018C,2381,2458,3643,16273,11555,10576
YFL020C,0,0,0,22,31,22
YFL021W,397,461,642,4150,3018,2782
YFL022C,2000,1933,2706,11025,7165,7667
YFL023W,162,118,198,1433,916,1069
YFL024C,98,100,135,1869,1276,1429
YFL025C,120,132,183,1647,1178,1306
YFL026W,720,707,1000,7502,5209,5735
YFL027C,49,65,65,687,441,492
YFL028C,260,307,427,2393,1769,1633
YFL029C,108,98,148,772,567,466
YFL030W,284,362,785,3216,2904,1609
YFL031W,101,34,65,21012,16730,19318
YFL033C,105,87,145,2381,1851,1754
YFL034C-A,536,300,420,1934,1318,1933
YFL034C-B,104,85,179,825,544,500
YFL034W,89,113,134,1403,923,1082
YFL036W,606,670,923,6970,5224,5081
YFL037W,3108,2482,3471,19207,12446,15952
YFL038C,1852,1670,2297,10892,7427,8110
YFL039C,8726,7724,11345,55912,38017,44245
YFL040W,0,0,1,2,6,8
YFL041W,613,690,887,3584,2511,2262
YFL041W-A,2,0,0,136,78,105
YFL042C,87,54,109,1204,995,898
YFL044C,177,199,277,2057,1546,1362
YFL045C,1078,668,1040,6307,4477,6203
YFL046W,49,75,108,817,471,635
YFL047W,258,268,346,2821,1952,2167
YFL048C,401,410,569,2436,1684,1718
YFL049W,66,70,124,1070,705,857
YFL050C,0,3,0,452,391,427
YFL051C,0,0,0,0,2,0
YFL052W,61,38,81,845,683,573
YFL053W,5,0,2,35,10,33
YFL054C,18,19,44,919,720,641
YFL055W,35,29,49,371,286,338
YFL058W,14,22,14,142,94,73
YFL059W,140,127,169,1053,787,664
YFL060C,3,8,17,387,326,272
YFL061W,6,3,10,65,44,69
YFL062W,252,271,343,2112,1473,1603
YFL064C,5,3,3,287,219,159
YFL065C,6,5,0,483,320,354
YFL066C,7,4,4,1869,1410,1362
YFL067W,1,3,0,450,342,310
YFL068W,1,0,0,118,111,103
YFR001W,169,160,198,877,607,820
YFR002W,350,417,570,4594,2963,2955
YFR003C,122,112,188,694,545,597
YFR004W,845,905,1241,6348,4012,4091
YFR005C,41,39,63,521,421,363
YFR006W,309,313,407,3284,2085,1977
YFR007W,80,61,109,521,427,378
YFR008W,20,27,32,267,231,222
YFR009W,3661,4480,4171,1279822,720102,729254
YFR010W,381,359,598,2525,1853,2081
YFR011C,194,182,353,2344,1868,1600
YFR012W,1,0,0,28,17,8
YFR012W-A,2,0,2,19,10,6
YFR013W,133,127,194,1531,1000,1263
YFR014C,247,164,305,2292,1806,2100
YFR015C,235,154,309,1378,1366,1253
YFR016C,328,310,331,6799,4014,4197
YFR017C,27,42,52,585,512,465
YFR018C,105,100,134,1644,1242,1500
YFR019W,148,152,237,3609,2490,2873
YFR020W,135,102,200,1633,1212,1081
YFR021W,103,97,122,873,645,539
YFR022W,14,6,8,450,312,318
YFR023W,1,2,1,27,12,13
YFR024C-A,371,406,526,4637,2998,2613
YFR025C,555,480,566,375995,259336,254747
YFR026C,2,0,2,107,83,108
YFR027W,20,21,40,310,241,265
YFR028C,261,199,288,1983,1255,1455
YFR029W,87,91,111,1285,887,895
YFR030W,5143,4997,6314,47311,29946,34159
YFR031C,125,152,224,2214,1516,1427
YFR031C-A,7394,6803,9699,65695,45635,51144
YFR032C,0,0,1,293,178,180
YFR032C-A,2208,1656,2308,12418,8823,10283
YFR032C-B,0,0,0,97,78,119
YFR033C,1597,1651,2591,10968,8215,8024
YFR034C,182,167,245,2460,1577,1864
YFR035C,4,4,9,3172,1921,1571
YFR036W,14,30,35,217,144,136
YFR037C,562,651,829,5067,3107,3990
YFR038W,100,100,136,2030,1314,1386
YFR039C,116,107,144,1512,1001,1271
YFR040W,241,183,266,2336,1807,1970
YFR041C,171,134,185,625,426,563
YFR042W,40,44,66,561,436,390
YFR043C,112,137,175,958,498,490
YFR044C,1184,1390,1788,8492,5931,4774
YFR045W,91,55,84,418,297,401
YFR046C,89,61,94,629,492,508
YFR047C,434,317,537,3515,2542,2526
YFR048W,67,90,106,1332,798,836
YFR049W,200,237,286,1451,1271,1189
YFR050C,630,572,972,4482,3073,2932
YFR051C,612,495,723,3513,2353,2547
YFR052W,572,605,791,4331,2984,3331
YFR053C,3778,2597,5274,13989,14259,11823
YFR055W,10,9,16,365,271,383
YFR057W,0,0,0,7,0,10
YGL001C,464,401,631,3165,2002,2179
YGL002W,98,71,100,823,574,615
YGL003C,66,88,115,1055,634,808
YGL004C,59,41,101,608,487,400
YGL005C,113,67,81,843,535,689
YGL006W,506,490,748,6432,4952,4616
YGL006W-A,2,1,0,207,188,169
YGL007C-A,4,7,5,265,183,238
YGL008C,33388,32103,42194,287919,185097,203959
YGL009C,4952,4578,5816,34934,22426,27053
YGL010W,23,32,39,358,215,212
YGL011C,1367,1353,1820,9845,7178,6302
YGL012W,1392,1250,1785,10290,7109,7598
YGL013C,207,220,319,3356,2128,2306
YGL014W,348,297,360,4831,3300,3856
YGL015C,0,0,0,0,0,14
YGL016W,255,339,508,3535,2499,1870
YGL017W,96,100,128,777,577,495
YGL018C,57,89,82,302,202,296
YGL019W,250,164,258,1745,1294,1431
YGL020C,191,187,238,990,606,729
YGL021W,245,193,273,2134,1407,1693
YGL022W,1518,1119,1605,12413,8530,9473
YGL023C,193,180,236,3241,2246,2571
YGL025C,108,97,150,1972,1106,1138
YGL026C,1902,2736,3926,20771,14002,9036
YGL027C,331,389,502,4236,2852,2535
YGL028C,362,399,513,2643,1764,1897
YGL029W,81,58,68,326,269,315
YGL030W,2171,2035,2390,24319,17519,19493
YGL031C,4758,3365,4118,49411,30304,45975
YGL032C,94,55,67,304,174,311
YGL033W,1,0,1,28,20,28
YGL035C,314,337,435,3274,2395,2795
YGL036W,67,77,125,1340,925,954
YGL037C,650,598,1024,3812,2933,2927
YGL038C,200,155,211,1178,750,1069
YGL039W,60,43,93,601,436,404
YGL040C,1112,858,1323,4432,3258,3341
YGL041C-B,0,0,0,0,3,5
YGL041W-A,146,141,177,882,699,784
YGL043W,329,270,357,1845,1297,1732
YGL044C,76,115,200,810,671,644
YGL045W,33,23,30,469,392,397
YGL047W,119,99,153,845,716,690
YGL048C,1177,1037,1486,7375,5079,5723
YGL049C,583,677,771,4509,2866,3258
YGL050W,84,80,91,1040,800,785
YGL051W,19,25,27,165,82,110
YGL053W,52,39,86,387,277,272
YGL054C,356,307,484,2613,2013,2135
YGL055W,3666,3069,3468,18134,10734,15450
YGL056C,264,331,413,2484,1850,1789
YGL057C,45,44,72,481,357,322
YGL058W,149,144,207,1406,1035,944
YGL059W,70,66,109,790,541,522
YGL060W,80,96,138,1189,798,772
YGL061C,40,24,25,377,261,314
YGL062W,5964,4225,5813,40315,28297,36157
YGL063W,42,57,61,793,544,526
YGL064C,185,178,215,1168,735,949
YGL065C,123,133,159,905,753,658
YGL066W,92,73,105,920,659,768
YGL067W,130,151,189,1555,1070,1029
YGL068W,1197,882,1309,5174,3756,4259
YGL070C,84,73,106,1162,924,1028
YGL071W,43,60,79,1084,886,712
YGL073W,130,127,156,1833,1274,1326
YGL075C,22,20,23,306,208,286
YGL076C,14594,12101,14728,57716,37426,41215
YGL077C,1062,951,1534,11793,7686,8073
YGL078C,480,466,595,4402,2888,3095
YGL079W,12,13,17,344,258,355
YGL080W,47,25,42,487,307,408
YGL081W,3,1,6,38,28,26
YGL082W,215,202,233,1377,980,1195
YGL083W,86,99,162,1068,799,677
YGL084C,294,295,392,2163,1567,1560
YGL085W,41,47,43,471,322,486
YGL086W,71,51,85,1048,768,899
YGL087C,108,90,155,789,599,487
YGL089C,0,0,0,5,1,1
YGL090W,14,9,14,471,331,393
YGL091C,197,226,315,1578,1160,1011
YGL092W,527,455,652,5129,3378,3791
YGL093W,131,138,162,1519,1173,1019
YGL094C,181,160,226,3076,2042,2506
YGL095C,132,82,141,1389,948,1132
YGL096W,24,21,30,286,252,294
YGL097W,370,373,548,2997,1942,1868
YGL098W,34,29,30,353,267,293
YGL099W,261,267,358,2546,1749,1891
YGL100W,218,242,334,3179,2037,2102
YGL101W,184,138,207,999,658,774
YGL103W,5586,5010,7013,61822,40511,47203
YGL104C,14,14,28,187,110,157
YGL105W,1950,2010,2797,12886,8954,8775
YGL106W,529,554,876,2765,1944,2086
YGL107C,455,406,568,4239,2920,3359
YGL108C,24,30,50,285,228,283
YGL110C,96,100,136,975,658,755
YGL111W,228,130,218,1783,1199,1727
YGL112C,281,295,365,2798,1860,1992
YGL113W,35,17,39,786,497,581
YGL114W,111,157,223,1891,1481,1434
YGL115W,410,366,434,3724,2866,3388
YGL116W,169,125,171,1344,902,1037
YGL117W,72,119,174,1529,1133,649
YGL119W,111,93,138,1082,662,859
YGL120C,621,723,934,5617,3456,3742
YGL121C,23,12,25,161,138,170
YGL122C,420,416,567,3693,2485,2660
YGL123W,10221,8712,12664,83496,56791,67958
YGL124C,32,32,65,638,345,441
YGL125W,2081,2046,2743,17295,10890,11777
YGL126W,220,207,280,2316,1526,1496
YGL127C,67,37,46,420,291,406
YGL128C,31,19,32,269,188,238
YGL129C,354,338,448,2737,1865,2252
YGL130W,161,115,213,1043,757,637
YGL131C,69,62,82,1696,954,1218
YGL133W,159,157,234,2307,1435,1728
YGL134W,13,20,21,244,234,187
YGL135W,6904,6275,8746,71934,48458,56989
YGL136C,32,36,60,582,369,524
YGL137W,1487,1593,2198,12131,8202,7744
YGL138C,0,0,0,0,0,2
YGL139W,372,376,431,3000,2048,2068
YGL140C,494,453,626,6068,4140,4485
YGL141W,196,169,206,1624,1138,1225
YGL142C,96,56,108,1091,776,828
YGL143C,184,191,295,2428,1564,1733
YGL144C,53,36,58,754,541,505
YGL145W,111,82,158,1185,848,973
YGL146C,24,21,59,381,406,358
YGL147C,6308,5546,8194,37325,25132,29106
YGL148W,1368,1408,1895,10591,6637,6784
YGL150C,241,244,322,4373,3143,3459
YGL151W,160,174,205,1945,1251,1341
YGL153W,98,70,91,638,529,581
YGL154C,17,10,19,287,219,237
YGL155W,102,77,105,1666,1160,1355
YGL156W,156,103,162,1086,658,893
YGL157W,95,53,78,535,359,453
YGL158W,0,0,1,17,11,24
YGL159W,110,105,130,791,595,635
YGL160W,166,150,180,1607,1140,1206
YGL161C,173,225,336,2243,1637,1453
YGL162W,21,11,28,229,207,223
YGL163C,143,155,175,1862,1265,1317
YGL164C,90,98,131,886,523,726
YGL166W,39,49,59,449,284,377
YGL167C,757,690,888,8563,5784,6551
YGL168W,9,1,4,199,133,153
YGL169W,88,88,121,963,754,658
YGL170C,0,2,2,11,2,2
YGL171W,150,149,207,1813,1172,1297
YGL172W,215,266,362,2773,1914,1845
YGL173C,1461,1322,1988,13747,9853,11717
YGL174W,48,27,46,258,163,280
YGL175C,19,16,27,330,222,226
YGL176C,13,7,24,432,360,366
YGL178W,132,116,168,1261,914,1018
YGL179C,5,21,18,266,175,231
YGL180W,126,132,182,1598,1149,969
YGL181W,147,138,218,1218,933,1013
YGL183C,1,0,0,48,19,31
YGL184C,206,273,346,1687,1148,1197
YGL185C,70,72,107,717,518,443
YGL186C,439,485,585,3484,2359,2350
YGL187C,937,950,1488,7038,5595,5381
YGL188C-A,0,1,4,259,153,189
YGL189C,4356,3047,4415,32382,22857,29275
YGL190C,137,138,218,2110,1554,1802
YGL191W,1085,1301,2133,5358,4024,3793
YGL192W,0,0,1,1,2,1
YGL193C,0,0,3,180,81,125
YGL194C,37,44,78,503,307,292
YGL194C-A,14,7,22,180,114,144
YGL195W,1720,1897,2441,27666,17941,18201
YGL196W,110,107,114,1132,834,1067
YGL197W,206,219,321,4344,2971,3261
YGL198W,375,369,489,2806,1779,1734
YGL200C,811,612,886,5887,3974,4607
YGL201C,272,278,373,3466,2192,2305
YGL202W,1297,1725,2318,12224,8020,6837
YGL203C,397,341,498,2747,2001,2166
YGL204C,14,11,20,240,217,199
YGL205W,55,47,121,672,597,468
YGL206C,2205,2327,3158,23380,14605,16490
YGL207W,1001,924,1209,9680,6522,6887
YGL208W,48,51,86,585,417,386
YGL209W,35,44,40,369,199,289
YGL210W,136,109,162,870,605,724
YGL211W,100,94,140,1446,1078,1062
YGL212W,69,70,88,505,324,408
YGL213C,240,274,346,1749,1106,1140
YGL215W,86,47,62,2067,1565,1745
YGL216W,111,132,131,1531,1087,1145
YGL219C,289,243,369,2282,1457,1674
YGL220W,113,118,153,2032,1391,1649
YGL221C,497,411,499,2516,1737,2141
YGL222C,22,33,47,478,334,307
YGL223C,64,52,91,1078,650,729
YGL224C,142,152,209,1702,1232,1242
YGL225W,962,672,983,5327,3707,3938
YGL226C-A,91,68,93,1314,856,1054
YGL226W,41,35,62,421,265,293
YGL227W,162,165,198,1605,1155,1212
YGL228W,535,445,583,3422,2520,3262
YGL229C,24,22,26,375,280,300
YGL230C,36,34,31,244,109,152
YGL231C,102,100,162,648,471,413
YGL232W,216,136,202,1213,938,1358
YGL233W,116,86,155,2019,1475,1588
YGL234W,5839,6229,7473,40982,25624,27247
YGL235W,0,0,0,27,9,9
YGL236C,260,285,389,3052,2379,2711
YGL237C,43,40,67,471,353,368
YGL238W,368,381,462,5416,3775,3686
YGL240W,23,16,35,716,479,538
YGL241W,192,167,226,1423,1030,1202
YGL242C,200,131,231,1391,1035,1065
YGL243W,56,52,68,501,302,393
YGL244W,409,356,499,2425,1748,2267
YGL245W,3662,3808,5213,29724,19580,19330
YGL246C,109,122,171,1054,782,937
YGL247W,29,30,46,446,297,364
YGL248W,95,112,142,1229,897,1040
YGL249W,0,0,0,12,12,11
YGL250W,47,30,51,441,350,298
YGL251C,4,11,11,383,358,282
YGL252C,216,186,295,2500,1695,2101
YGL253W,5876,4728,6742,26757,19710,21349
YGL254W,67,84,110,712,446,545
YGL255W,2,3,1,177,119,105
YGL256W,17,12,26,491,334,385
YGL257C,63,34,70,1340,951,1134
YGL258W,0,1,0,2,0,0
YGL258W-A,0,0,0,45,21,42
YGL259W,8,19,19,201,123,108
YGL260W,0,0,0,0,6,0
YGL261C,0,1,0,82,56,35
YGL262W,0,0,0,110,57,78
YGL263W,4,2,6,215,73,102
YGR001C,166,196,237,1805,1139,1236
YGR002C,126,101,108,773,567,635
YGR003W,84,105,143,1208,709,839
YGR004W,91,83,95,706,493,461
YGR005C,208,183,235,1854,1336,1390
YGR006W,48,31,35,836,524,659
YGR007W,114,105,158,1984,1328,1685
YGR008C,20,22,39,484,442,427
YGR009C,166,138,218,1908,1288,1719
YGR010W,80,94,107,1087,614,700
YGR012W,236,220,318,1832,1118,1175
YGR013W,132,138,143,1568,1024,1060
YGR014W,386,284,377,4652,3266,4756
YGR015C,43,24,25,414,241,284
YGR016W,34,23,30,337,238,207
YGR017W,162,184,248,1771,1254,1438
YGR018C,0,0,0,12,4,4
YGR019W,101,68,113,474,442,394
YGR020C,368,263,413,4247,2979,2845
YGR021W,243,218,349,1865,1367,1589
YGR023W,13,16,38,400,258,248
YGR024C,46,55,63,656,441,571
YGR026W,326,425,529,2728,1954,1876
YGR027C,4669,3422,4436,20623,15072,16908
YGR028W,173,119,207,924,687,837
YGR029W,163,177,246,2467,1888,1818
YGR030C,24,33,41,232,153,184
YGR031C-A,0,0,0,9,12,18
YGR031W,156,130,190,1341,900,981
YGR032W,648,377,501,5476,3850,6712
YGR033C,145,119,160,1682,1271,1160
YGR034W,2079,1792,2589,22320,15155,17343
YGR035C,58,34,63,336,234,405
YGR035W-A,0,0,0,0,0,0
YGR036C,40,34,35,331,249,279
YGR037C,561,440,784,5189,3935,5053
YGR038W,156,159,236,1614,1064,1044
YGR040W,129,78,107,927,580,919
YGR041W,52,29,59,907,658,717
YGR042W,27,34,49,403,303,263
YGR043C,12,12,12,177,130,123
YGR044C,268,204,280,2158,1501,1970
YGR046W,61,68,94,920,662,785
YGR047C,154,134,207,1707,1074,1074
YGR048W,236,268,351,1674,1169,1284
YGR049W,98,76,134,499,375,428
YGR050C,1,0,3,130,74,46
YGR052W,39,28,39,168,111,143
YGR053C,10,7,13,96,46,64
YGR054W,763,758,992,5721,3475,4022
YGR055W,589,598,712,6736,3798,4667
YGR056W,89,105,137,1116,800,841
YGR057C,10,12,16,410,273,291
YGR058W,60,75,109,604,366,397
YGR059W,0,2,1,41,32,14
YGR060W,2135,1823,2411,11648,6923,8092
YGR061C,4197,3582,4606,37059,23390,28353
YGR062C,47,40,53,642,467,482
YGR063C,130,138,190,1216,889,834
YGR065C,204,210,294,1781,1411,1251
YGR066C,0,0,0,24,5,21
YGR067C,14,15,34,231,155,140
YGR068C,82,78,95,890,673,745
YGR070W,20,20,14,555,427,598
YGR071C,52,42,52,683,531,527
YGR072W,64,63,78,486,377,404
YGR074W,161,144,212,1036,647,723
YGR075C,185,133,166,464,363,442
YGR076C,266,207,260,829,649,696
YGR077C,46,55,64,929,582,698
YGR078C,272,327,405,2252,1439,1609
YGR079W,45,50,55,763,453,604
YGR080W,341,248,300,1412,873,1099
YGR081C,63,47,63,635,348,564
YGR082W,327,196,313,1109,732,984
YGR083C,231,269,364,2047,1518,1625
YGR084C,470,383,530,3630,2628,3108
YGR085C,10804,8623,13089,62645,42650,48515
YGR086C,3516,3881,4990,21452,14637,14301
YGR087C,20,33,50,527,342,274
YGR088W,8,16,15,140,119,110
YGR089W,104,85,87,1228,816,848
YGR090W,515,458,630,5655,3638,3686
YGR091W,23,16,29,476,272,287
YGR092W,307,230,306,1538,1005,1240
YGR093W,81,90,139,935,576,664
YGR094W,3718,4199,5164,37732,24139,25631
YGR095C,67,88,127,763,511,530
YGR096W,20,25,21,258,152,180
YGR097W,129,134,214,2485,1705,1821
YGR098C,106,105,138,2276,1569,1570
YGR099W,50,79,92,1089,728,831
YGR100W,139,167,225,2219,1589,1675
YGR101W,139,117,165,972,684,768
YGR102C,45,40,36,526,398,458
YGR103W,350,331,458,3332,2086,2545
YGR104C,81,75,122,674,481,503
YGR105W,179,145,248,1249,875,872
YGR106C,897,887,1092,4484,3049,3231
YGR108W,96,99,114,1163,932,1042
YGR109C,61,40,58,293,194,218
YGR110W,33,59,96,495,301,287
YGR111W,91,102,112,939,655,744
YGR112W,171,137,192,763,595,642
YGR113W,58,67,95,892,635,618
YGR116W,1188,1148,1406,12915,8134,9268
YGR117C,89,113,121,1411,959,913
YGR118W,3849,3632,5134,30587,21464,22948
YGR119C,225,171,235,2214,1529,1888
YGR120C,42,42,67,509,318,372
YGR121C,413,424,543,4571,3381,3517
YGR121W-A,0,0,0,61,52,46
YGR122W,27,30,43,544,379,373
YGR123C,240,284,382,2580,1655,2013
YGR124W,3819,5064,6285,30370,18898,14414
YGR125W,364,443,664,4975,3435,3075
YGR126W,34,23,30,261,153,226
YGR127W,27,18,45,415,264,231
YGR128C,370,345,425,2685,1687,1835
YGR129W,18,22,38,220,151,229
YGR130C,443,371,594,2922,1983,2375
YGR131W,1,1,0,42,56,33
YGR132C,689,607,977,4090,3052,3278
YGR133W,21,36,41,533,318,512
YGR134W,114,148,153,1833,1169,1473
YGR135W,873,704,1066,4863,3304,3969
YGR136W,117,126,191,1435,1013,1040
YGR138C,278,304,290,2037,1299,1565
YGR140W,114,148,226,1469,1013,936
YGR141W,131,118,187,1060,801,823
YGR142W,101,63,86,646,382,532
YGR143W,83,123,186,1589,1105,1277
YGR144W,6,4,6,111,71,42
YGR145W,296,289,379,2396,1532,1679
