ORF,RNA_Prints,Ribo_Prints
YMR226C,62234.0,1366.0
YOR058C,703.0,233.0
YKR007W,396.0,155.0
YDR531W,1023.0,704.0
YIL013C,348.0,259.0
YMR233W,226.0,125.0
YPL206C,4750.0,572.0
YOL136C,5741.0,283.0
YDL060W,3504.0,1103.0
YLR002C,3263.0,734.0
YOR303W,1807.0,1064.0
YDR320C-A,422.0,174.0
YOR071C,775.0,441.0
YDR393W,402.0,238.0
YBR293W,424.0,412.0
YIR022W,1913.0,499.0
YGL215W,1085.0,844.0
YNR052C,2093.0,765.0
YGR019W,896.0,581.0
YGL244W,5837.0,722.0
YHR032W,2694.0,840.0
YEL032W,5639.0,853.0
YOL076W,2935.0,786.0
YER145C,25637.0,2996.0
YER110C,20971.0,3340.0
YHR123W,1413.0,580.0
YBL033C,2549.0,293.0
YNL162W,10200.0,2194.0
YDR022C,203.0,111.0
YPL266W,2378.0,749.0
YML009C,338.0,171.0
YHR203C,13028.0,5280.0
YOR304W,2220.0,500.0
YNL052W,932.0,241.0
YLR023C,1755.0,346.0
YMR118C,123.0,59.0
YLL057C,94.0,84.0
YML112W,873.0,192.0
YGL062W,11577.0,1079.0
YGR183C,3035.0,138.0
YER169W,4919.0,364.0
YNL321W,2279.0,562.0
YOR226C,1063.0,348.0
YGL241W,1665.0,599.0
YEL025C,997.0,652.0
YLR108C,797.0,561.0
YLR229C,7969.0,911.0
YNL186W,2658.0,1009.0
YMR040W,49.0,23.0
YDR077W,99620.0,4892.0
YGL188C-A,87.0,2.0
YCL044C,650.0,263.0
YKR008W,1322.0,616.0
YLR017W,10015.0,953.0
YMR146C,12516.0,2735.0
YPR165W,8992.0,2292.0
YPR024W,9578.0,1834.0
YDR226W,19851.0,4912.0
YMR266W,8396.0,1327.0
YDR057W,751.0,226.0
YHR214C-E,13.0,10.0
YKR064W,913.0,349.0
YLR097C,402.0,221.0
YCR060W,1084.0,235.0
YJL036W,3120.0,256.0
YER041W,318.0,260.0
YBR016W,780.0,288.0
YER009W,15188.0,2763.0
YDL155W,1283.0,551.0
YMR015C,5063.0,1022.0
YDL139C,204.0,63.0
YDR246W,445.0,188.0
YOL014W,187.0,128.0
YOR288C,541.0,309.0
YKL183C-A,95.0,1.0
YLR163C,1713.0,588.0
YCR028C,926.0,514.0
YLR115W,1464.0,389.0
YNL288W,4049.0,459.0
YPR098C,329.0,198.0
YML054C,151.0,95.0
YHR089C,7671.0,1584.0
YGL014W,2798.0,857.0
YMR168C,633.0,289.0
YIL124W,1627.0,986.0
YNL277W-A,2.0,1.0
YLL035W,1102.0,404.0
YMR279C,104.0,102.0
YMR258C,1152.0,564.0
YNL323W,2274.0,392.0
YER007W,880.0,178.0
YGL114W,1270.0,595.0
YER027C,3146.0,564.0
YER167W,1147.0,429.0
YDL013W,2456.0,355.0
YBL106C,438.0,283.0
YMR104C,378.0,243.0
