Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YDR406W	61	80	34	79	53	19	142	102	69
YDR407C	54	68	17	107	36	12	88	55	66
YDR408C	228	394	93	301	175	62	310	211	129
YDR409W	19	34	14	33	12	7	53	23	10
YDR410C	20	24	6	24	9	7	37	12	17
YDR411C	81	108	25	110	59	30	151	68	63
YDR412W	49	74	21	116	23	10	69	47	46
YDR414C	26	29	4	23	18	6	43	17	23
YDR415C	55	92	27	142	54	25	140	59	65
YDR416W	33	36	21	49	37	10	56	53	25
YDR418W	2014	2745	693	2500	1269	541	2852	2640	1604
YDR419W	26	32	8	29	19	3	29	19	6
YDR420W	31	56	10	32	11	11	45	20	25
YDR421W	21	19	7	33	18	4	39	28	23
YDR422C	37	59	19	80	39	17	74	40	39
YDR423C	33	64	16	66	29	9	70	43	44
YDR424C	22	44	9	46	19	4	35	23	27
YDR425W	16	15	1	17	16	4	34	13	13
YDR427W	199	304	69	326	157	53	374	200	206
YDR428C	21	27	10	23	18	5	39	21	27
YDR429C	398	505	134	483	213	99	435	301	275
YDR430C	256	372	121	395	194	64	469	272	229
YDR432W	353	564	174	633	307	132	656	369	315
YDR434W	76	124	22	117	57	27	122	82	73
YDR435C	20	53	19	46	34	8	60	35	25
YDR436W	24	51	17	69	28	15	51	32	38
YDR437W	3	10	2	9	3	0	7	5	5
YDR438W	1	2	1	0	0	0	1	3	1
YDR439W	11	10	1	17	5	1	9	2	5
YDR440W	16	25	8	25	8	6	29	20	15
YDR441C	29	52	23	50	32	4	83	50	38
YDR443C	54	60	14	71	37	15	77	47	33
YDR444W	17	22	5	23	6	8	27	25	20
YDR446W	8	9	6	18	6	3	6	6	0
YDR447C	1115	1924	455	1491	901	369	1691	1100	1039
YDR448W	25	30	12	43	25	7	57	34	29
YDR449C	49	48	22	114	41	19	118	61	71
YDR450W	1906	2896	899	2790	1278	505	3082	1758	1824
YDR451C	38	66	19	71	36	7	58	58	36
YDR452W	158	240	57	220	113	34	224	118	131
YDR453C	5	2	3	1	0	0	5	3	4
YDR454C	110	149	42	209	87	22	230	79	120
YDR456W	94	156	42	118	65	20	170	104	60
YDR457W	339	420	130	436	248	80	434	347	238
YDR458C	27	32	8	57	21	9	46	33	18
YDR459C	6	7	1	12	4	0	9	8	4
YDR460W	22	41	10	25	10	9	58	25	22
YDR461C-A	9	9	4	11	13	5	20	9	11
YDR461W	9	15	4	4	1	4	16	5	7
YDR462W	54	56	18	80	50	10	126	40	37
YDR463W	120	136	70	230	117	41	229	142	111
YDR464W	41	51	20	70	35	21	70	44	37
YDR465C	89	137	37	135	63	27	184	90	98
YDR466W	20	24	15	34	16	5	40	26	24
YDR468C	32	33	12	40	17	5	57	40	31
YDR469W	37	52	6	54	19	3	39	18	19
YDR470C	35	64	23	74	44	10	82	46	64
YDR471W	419	783	188	777	345	131	876	402	403
YDR472W	50	42	7	74	31	12	68	34	44
YDR473C	16	27	1	21	9	1	32	23	25
YDR475C	31	38	7	49	25	5	53	49	42
YDR476C	65	94	25	113	47	21	114	70	72
YDR477W	178	221	78	304	132	56	326	195	163
YDR478W	8	8	4	15	8	1	20	14	13
YDR479C	28	43	5	31	11	3	39	27	18
YDR480W	14	24	5	23	20	2	26	14	7
YDR481C	150	202	43	179	105	44	208	137	105
YDR482C	7	13	6	14	2	2	18	7	10
YDR483W	241	357	112	218	204	54	287	223	123
YDR484W	23	32	6	40	19	7	42	26	20
YDR485C	25	55	19	74	36	6	81	37	34
YDR486C	53	66	18	62	50	9	66	50	44
YDR487C	153	191	48	304	132	53	308	193	170
YDR488C	26	23	13	25	15	7	33	18	8
YDR489W	15	30	4	28	20	3	35	28	19
YDR490C	48	63	18	81	44	18	99	41	38
YDR492W	38	54	24	76	28	14	46	36	43
YDR493W	54	73	21	58	42	24	108	46	62
YDR494W	55	110	14	70	44	22	122	50	54
YDR495C	12	42	14	30	20	3	43	7	10
YDR496C	109	139	53	229	82	32	197	112	104
YDR497C	1773	2732	639	2347	1359	488	2443	1606	1244
YDR498C	26	39	13	32	17	8	66	18	26
YDR499W	11	11	6	17	8	2	16	15	3
YDR500C	1150	1772	526	1878	1110	316	1802	925	955
YDR501W	16	16	6	7	8	2	16	17	9
YDR502C	3759	5830	1396	4817	2812	979	5241	3139	2718
YDR503C	12	27	8	26	15	6	29	5	11
YDR504C	8	20	6	28	5	3	17	18	13
YDR505C	51	99	31	127	41	15	123	84	60
YDR506C	20	51	13	56	24	15	65	44	21
YDR507C	226	341	90	381	148	58	356	163	164
YDR508C	70	123	28	309	104	48	198	100	91
YDR510W	281	417	117	431	182	75	386	299	223
YDR511W	41	73	29	47	54	21	79	49	52
YDR512C	9	14	1	12	10	6	20	17	12
YDR513W	62	75	17	78	33	15	96	63	56
YDR514C	46	57	16	74	43	18	89	63	52
YDR515W	27	61	14	66	41	16	85	42	29
YDR516C	178	274	64	253	157	60	316	245	205
YDR517W	161	183	66	246	129	60	240	183	164
YDR518W	38	42	12	45	21	6	37	32	32
YDR519W	102	103	41	91	55	25	116	83	58
YDR520C	8	27	7	23	10	8	32	24	28
YDR522C	0	0	0	0	0	0	1	0	0
YDR523C	0	1	1	1	0	0	1	0	0
YDR524C	20	14	3	10	6	1	15	19	11
YDR524C-B	311	377	87	393	165	60	497	268	280
YDR524W-C	0	0	0	0	0	0	0	0	0
YDR525W-A	151	130	70	210	112	44	259	170	159
YDR527W	40	68	29	115	56	23	99	59	50
YDR528W	5	15	2	20	4	5	23	9	6
YDR529C	188	300	86	265	171	73	443	220	225
YDR530C	18	23	10	25	8	4	25	17	19
YDR531W	137	225	68	248	140	61	237	190	131
YDR532C	3	10	2	14	9	4	7	6	6
YDR533C	76	83	37	88	63	22	107	99	88
YDR534C	0	0	0	0	0	0	0	0	0
YDR536W	1	1	0	2	2	1	4	6	2
YDR538W	2	0	2	0	1	0	3	0	0
YDR539W	14	19	4	10	7	1	7	9	7
YDR540C	5	13	2	6	3	1	11	3	5
YDR541C	5	6	3	5	2	1	9	7	5
YDR542W	0	0	0	0	0	0	1	0	0
YDR545W	25	29	5	30	17	7	47	24	25
YEL001C	167	277	81	160	128	42	241	150	130
YEL002C	309	403	121	486	249	95	547	288	217
YEL003W	25	26	12	19	10	9	27	22	17
YEL004W	13	17	3	19	8	0	19	5	10
YEL005C	3	10	1	8	0	0	16	3	2
YEL006W	20	19	0	25	14	7	40	13	25
YEL007W	72	103	36	85	43	21	90	73	48
YEL009C	75	64	27	241	104	25	218	128	147
YEL011W	76	132	30	119	69	30	173	178	90
YEL012W	15	39	7	35	35	7	57	62	25
YEL013W	137	227	62	201	140	55	228	168	138
YEL015W	77	117	39	131	67	29	169	97	66
YEL016C	11	9	4	14	3	4	22	9	7
YEL017C-A	53	123	15	95	53	9	121	39	62
YEL017W	62	86	25	100	76	22	104	68	50
YEL018W	22	35	4	28	21	2	39	19	16
YEL019C	7	9	3	4	4	4	8	6	3
YEL020C	18	18	3	26	13	1	33	16	20
YEL020W-A	265	351	87	293	122	65	419	186	229
YEL021W	118	158	28	131	100	36	170	74	110
YEL022W	135	178	64	200	109	31	210	137	102
YEL023C	0	0	0	1	1	0	0	1	0
YEL024W	601	928	205	701	464	149	1005	629	505
YEL025C	19	15	5	22	11	5	20	12	15
YEL026W	296	547	124	398	212	72	408	245	133
YEL027W	964	1168	309	1275	695	260	1525	952	946
YEL029C	29	37	11	53	31	5	43	32	16
YEL030W	3	4	3	6	2	0	19	8	4
YEL031W	550	752	195	1038	505	176	1088	634	598
YEL032W	114	172	55	189	116	44	214	148	91
YEL033W	4283	5738	1447	3724	2775	1015	4146	3995	2276
YEL034W	6489	8879	2241	6220	3992	1518	7398	5842	4284
YEL035C	0	1	0	0	0	0	0	0	0
YEL036C	111	116	49	187	96	38	238	124	85
YEL037C	312	459	119	473	255	99	544	316	271
YEL038W	21	48	10	45	26	18	80	43	49
YEL039C	32	30	7	38	25	6	96	81	79
YEL040W	490	695	186	899	479	191	892	532	424
YEL041W	30	36	7	27	7	8	32	17	19
YEL042W	241	364	87	390	192	72	365	262	220
YEL043W	61	65	26	85	45	14	76	37	40
YEL044W	16	38	6	48	26	7	58	36	41
YEL046C	230	316	103	439	175	77	421	284	218
YEL047C	128	162	41	143	77	29	152	105	88
YEL048C	8	7	3	7	10	2	18	15	8
YEL049W	0	0	0	0	0	0	0	0	0
YEL050C	146	161	72	215	101	39	228	153	131
YEL051W	340	344	116	339	183	98	313	308	206
YEL052W	94	94	29	87	58	22	129	116	68
YEL053C	53	78	12	71	34	20	58	33	32
YEL054C	1866	2555	714	2280	1300	504	2475	1883	1380
YEL055C	201	263	80	359	153	37	361	209	188
YEL056W	71	91	17	144	47	22	141	85	76
YEL057C	0	0	0	0	0	0	2	1	3
YEL058W	148	193	57	204	136	34	226	152	123
YEL059C-A	5	12	1	8	3	1	9	4	3
YEL060C	554	696	228	790	492	168	1028	717	502
YEL061C	31	58	12	59	44	13	59	27	35
YEL062W	14	23	10	27	10	8	29	16	10
YEL063C	162	185	44	317	154	71	396	240	177
YEL064C	15	14	13	36	15	5	21	18	16
YEL065W	3	3	2	10	10	5	9	7	6
YEL066W	46	76	18	106	41	20	110	82	44
YEL067C	1	0	0	0	3	0	1	1	0
YEL068C	31	31	7	29	9	7	45	17	12
YEL069C	0	1	0	0	3	0	3	1	1
YEL070W	0	0	0	4	1	1	2	6	1
YEL071W	1954	2546	801	1953	907	320	1956	1046	1039
YEL072W	6	8	1	3	7	0	9	3	5
YEL073C	1	0	0	2	0	0	0	1	0
YEL075C	1	1	0	1	0	0	4	3	2
YEL076C	10	6	4	8	5	1	11	7	9
YEL076C-A	9	8	3	6	1	1	13	3	9
YEL077C	12	17	3	17	12	2	8	6	9
YER001W	344	546	131	561	335	95	613	310	266
YER002W	75	103	23	110	44	22	94	54	40
YER003C	600	659	222	804	462	189	865	653	451
YER004W	181	205	67	202	144	40	269	198	163
YER005W	30	27	9	39	16	5	28	27	22
YER006W	114	191	53	279	90	32	236	134	119
YER007C-A	92	119	35	83	74	20	127	107	68
YER007W	8	3	10	4	7	2	6	14	6
YER008C	88	101	35	120	67	14	116	74	48
YER009W	289	522	120	599	234	88	642	244	325
YER010C	25	62	16	72	33	16	87	42	32
YER011W	2	2	3	3	2	4	1	2	1
YER012W	423	585	173	962	366	171	1174	464	403
YER013W	54	79	20	93	49	21	92	74	48
YER014C-A	0	0	0	0	0	0	2	0	0
YER014W	49	67	17	54	29	11	71	43	36
YER015W	53	70	11	71	57	19	110	69	56
YER016W	43	61	19	74	42	12	91	49	33
YER017C	172	276	80	284	179	52	344	220	137
YER018C	32	54	14	32	26	10	61	47	31
YER019C-A	30	61	10	65	29	9	83	36	45
YER019W	56	65	21	95	62	18	130	79	56
YER020W	51	81	25	96	51	19	120	69	50
YER021W	264	389	115	489	269	79	569	406	257
YER022W	36	56	23	68	45	21	82	47	48
YER023W	546	722	224	727	444	160	864	540	341
YER024W	40	66	16	46	15	5	48	29	32
YER025W	429	550	130	566	315	98	605	411	402
YER026C	303	482	130	429	312	141	548	325	326
YER027C	144	182	49	198	111	47	202	142	82
YER028C	0	0	0	0	0	1	0	0	0
YER029C	20	33	12	34	16	6	37	14	17
YER030W	96	156	36	102	64	36	150	107	77
YER031C	152	219	60	171	76	42	223	153	99
YER032W	41	44	11	67	28	9	64	34	26
YER033C	10	13	5	29	7	2	22	15	12
YER034W	39	50	19	77	24	16	78	32	26
YER035W	23	30	8	45	27	9	38	18	22
YER036C	613	801	239	1147	477	148	1070	588	508
YER037W	9	6	1	1	0	0	3	4	1
YER038C	2	4	0	7	2	1	11	2	5
YER038W-A	0	0	0	0	0	0	0	0	0
YER039C	13	17	6	12	6	7	16	10	9
YER039C-A	6	13	5	10	3	7	15	5	9
YER040W	13	14	2	33	13	2	28	9	23
YER041W	6	6	1	7	4	1	13	3	6
YER042W	107	112	34	181	83	22	220	105	103
YER043C	3730	5567	1343	3887	2874	905	5144	3387	2483
YER044C	109	149	43	162	88	33	153	116	94
YER044C-A	0	0	0	0	0	0	0	2	0
YER045C	7	8	5	8	3	0	7	4	6
YER046W	12	13	4	17	8	4	25	12	6
YER047C	34	31	14	42	21	8	50	33	27
YER048C	142	208	44	186	74	21	180	119	93
YER048W-A	54	90	29	111	30	18	82	65	37
YER049W	149	216	64	319	164	48	343	163	165
YER050C	73	99	21	168	37	11	132	70	72
YER051W	6	13	2	19	10	0	20	13	8
YER052C	474	640	177	991	496	138	1125	615	486
YER053C	24	32	7	47	16	4	31	21	25
YER053C-A	114	207	37	310	108	25	301	185	159
YER054C	5	9	1	3	5	4	10	7	10
YER055C	716	827	244	1297	643	255	1309	915	802
YER056C	338	395	117	579	311	106	511	322	250
YER056C-A	582	1006	195	859	342	150	979	556	492
YER057C	162	225	45	167	83	27	238	139	72
YER058W	20	40	10	26	15	2	37	16	21
YER059W	14	23	5	66	14	9	77	32	24
YER060W	10	12	1	25	14	3	32	16	13
YER060W-A	30	54	15	47	30	8	49	28	18
YER061C	35	44	8	60	22	14	71	34	24
YER062C	94	123	41	111	47	22	134	101	56
YER063W	105	151	46	136	53	26	148	106	89
YER064C	14	26	7	34	9	4	25	15	20
YER065C	13	31	1	23	4	4	21	16	15
YER066W	38	33	4	30	33	12	37	24	19
YER067W	8	16	2	12	9	9	24	12	13
YER068W	72	97	20	127	53	17	150	75	43
YER069W	1041	1473	387	2059	1073	332	2203	1306	1089
YER070W	623	760	245	916	513	152	895	618	493
YER071C	6	1	2	10	6	1	19	4	8
YER072W	283	487	134	242	109	52	282	154	162
YER073W	315	420	128	646	334	146	656	335	335
YER074W	1758	3227	731	2479	1274	418	2597	1579	1444
YER074W-A	68	56	15	144	39	12	203	60	96
YER075C	11	31	6	41	22	7	55	14	11
YER076C	8	12	3	11	7	4	17	12	3
YER077C	23	47	18	33	18	4	36	32	14
YER078C	47	52	21	68	24	13	73	66	54
YER078W-A	0	0	0	3	3	0	6	1	3
YER079W	7	14	1	10	9	4	17	13	15
YER080W	156	192	50	202	104	41	205	164	104
YER081W	352	460	118	449	242	76	445	271	282
YER082C	76	112	37	78	70	25	95	45	42
YER083C	79	129	31	204	72	25	175	100	88
YER084W	0	0	0	0	0	0	1	0	0
YER085C	0	0	0	0	0	0	0	1	2
YER086W	592	773	245	967	475	216	941	640	445
YER087C-B	16	40	3	45	7	6	68	14	45
YER087W	81	115	41	93	60	15	99	64	48
YER088C	27	47	19	53	39	12	50	42	41
YER089C	145	253	76	249	106	47	313	170	122
YER090W	209	317	83	454	197	86	496	366	260
YER091C	14727	19690	5576	19671	10978	4199	20025	12646	9415
YER092W	42	70	14	54	33	12	60	46	26
YER093C	45	48	17	63	21	8	70	31	36
YER093C-A	23	40	9	55	15	2	31	34	20
YER094C	538	801	248	1636	574	219	1573	755	668
YER095W	68	71	15	129	73	21	171	80	61
YER096W	0	5	1	2	1	1	1	1	0
YER098W	11	7	0	18	3	2	23	10	7
YER099C	70	87	24	110	69	33	94	107	68
YER100W	69	129	32	119	74	29	164	76	77
YER101C	31	39	6	41	28	8	53	35	21
YER102W	3806	5177	1424	4188	3001	956	5052	3592	2333
YER103W	37	64	14	44	20	10	63	32	20
YER104W	42	33	12	57	30	9	48	34	18
YER105C	225	268	88	343	176	77	365	243	153
YER106W	0	0	0	2	0	0	2	0	2
YER107C	38	49	19	77	27	13	98	57	40
YER110C	918	1189	337	1455	840	315	1603	942	847
YER111C	31	50	12	42	32	8	40	38	21
YER112W	40	70	17	35	15	7	33	30	24
YER113C	36	74	29	83	46	11	101	55	46
YER114C	67	71	42	139	50	19	110	82	75
YER115C	0	3	0	0	0	0	0	1	0
YER116C	2	3	6	14	2	0	6	4	3
YER117W	928	1415	272	909	681	169	1261	700	702
YER118C	39	82	31	71	33	25	78	56	43
YER119C	57	76	23	91	39	29	120	76	50
YER120W	323	422	128	452	272	105	533	337	286
YER121W	1	1	1	1	1	0	2	1	3
YER122C	87	123	39	167	83	29	162	86	103
YER123W	50	81	14	87	51	14	95	69	43
YER124C	127	178	43	248	91	32	261	140	101
YER125W	360	469	135	486	258	89	542	360	329
YER126C	88	125	31	137	65	35	118	83	71
YER127W	94	89	40	124	86	23	111	86	77
YER128W	17	30	5	15	10	4	21	16	6
YER129W	19	35	10	41	21	7	54	29	33
YER130C	26	29	7	29	18	1	24	15	14
YER131W	694	1296	283	983	426	180	1101	787	609
YER132C	22	37	6	49	15	1	34	15	21
YER133W	284	359	104	331	215	66	460	266	242
YER134C	34	64	17	82	27	8	100	36	33
YER136W	305	480	123	450	241	104	477	395	264
YER137C	2	6	2	8	5	2	16	8	5
YER138W-A	6	7	0	10	6	1	4	1	2
YER139C	26	38	10	33	25	9	45	29	16
YER140W	25	25	9	33	17	7	33	20	20
YER141W	244	455	136	470	274	117	596	392	294
YER142C	22	31	10	41	16	10	50	36	19
YER143W	124	167	61	294	103	34	256	127	129
YER144C	26	23	12	37	16	5	41	15	23
YER145C	221	307	84	404	232	93	558	368	288
YER146W	48	84	15	83	43	26	86	53	76
YER147C	41	38	14	56	30	7	61	30	26
YER148W	64	93	17	78	32	16	96	43	57
YER149C	28	32	11	51	31	10	69	36	34
YER150W	2	2	1	1	0	0	2	1	3
YER151C	138	243	59	317	118	46	284	159	152
YER152C	72	86	43	137	71	42	172	109	88
YER153C	14	28	6	24	11	1	35	26	15
YER154W	103	135	47	152	77	26	145	113	82
YER155C	205	254	66	290	138	62	339	190	175
YER156C	300	327	96	364	243	90	439	298	238
YER157W	73	88	19	98	47	13	99	69	35
YER158C	25	47	9	30	14	6	45	21	18
YER159C	21	39	11	29	13	3	42	21	21
YER161C	26	32	10	44	14	4	42	33	23
YER162C	40	24	8	74	30	15	48	38	31
YER163C	56	39	17	79	28	12	74	61	25
YER164W	125	194	29	232	82	29	187	124	102
YER165W	1177	1778	535	1809	958	420	1915	1172	1030
YER166W	210	292	99	269	172	70	331	206	162
YER167W	20	27	8	26	18	3	26	16	9
YER168C	84	89	30	71	67	19	95	71	46
YER169W	24	22	20	36	11	5	50	18	16
YER170W	51	49	16	68	41	16	89	38	48
YER171W	59	80	13	95	50	18	87	80	43
YER172C	56	98	34	144	86	23	136	84	54
YER173W	8	8	4	9	6	2	11	7	8
YER174C	42	83	11	53	25	22	75	34	41
YER175C	27	45	16	60	43	8	77	56	40
YER175W-A	0	0	0	0	0	0	0	0	0
YER176W	66	99	18	129	43	27	104	91	40
YER177W	1732	2312	706	2470	1234	614	2843	1725	1459
YER178W	1749	1925	567	1813	1208	411	2109	1612	1241
YER179W	5	9	0	4	2	2	3	0	1
YER180C	0	0	0	0	0	0	0	0	0
YER180C-A	72	75	33	64	98	56	96	56	47
YER182W	79	86	33	91	35	19	97	91	50
YER183C	20	31	8	65	18	13	68	42	23
YER184C	5	7	4	7	1	0	6	1	3
YER185W	1	0	0	2	0	0	2	0	2
YER186C	2	5	0	0	1	0	0	0	1
YER187W	0	0	0	0	0	0	0	1	0
YER188C-A	0	0	0	0	0	0	0	0	0
YER189W	3	1	1	2	1	0	5	2	1
YER190C-B	1	0	0	1	0	0	0	0	0
YER190W	27	34	10	44	10	5	36	17	22
YFL001W	46	58	23	54	40	9	61	54	23
YFL002C	90	83	23	108	64	23	117	72	61
YFL003C	2	0	0	0	2	0	2	0	1
YFL004W	196	320	77	235	126	41	247	176	131
YFL005W	227	380	102	363	219	61	504	276	252
YFL007W	212	293	68	378	217	97	400	227	204
YFL008W	88	96	31	93	44	14	108	64	62
YFL009W	57	68	12	82	64	18	109	67	42
YFL010C	63	89	19	82	36	11	105	62	62
YFL010W-A	0	1	0	0	0	0	0	0	0
YFL011W	2	3	0	1	0	0	0	1	0
YFL012W	0	0	0	0	0	0	0	0	1
YFL013C	64	84	26	100	40	13	77	67	49
YFL014W	25	34	10	69	37	13	104	45	47
YFL016C	281	403	119	434	243	108	468	308	203
YFL017C	22	36	6	34	20	2	49	33	28
YFL017W-A	17	10	4	22	11	4	30	9	8
YFL018C	815	1118	448	1370	756	332	1721	1102	820
YFL020C	0	0	0	0	0	0	0	0	0
YFL021W	140	201	56	276	129	56	330	180	132
YFL022C	723	967	310	1131	582	220	1379	699	628
YFL023W	64	70	28	67	39	12	92	51	55
YFL024C	30	55	13	57	30	13	67	38	30
YFL025C	42	59	19	69	46	17	83	63	37
YFL026W	248	387	85	432	204	71	491	300	209
YFL027C	13	25	11	35	22	8	22	19	24
YFL028C	98	134	28	177	97	33	201	116	110
YFL029C	49	49	10	45	40	13	57	54	37
YFL030W	108	140	36	201	108	53	294	243	248
YFL031W	30	65	6	21	6	7	30	17	18
YFL033C	31	50	24	54	28	5	73	40	32
YFL034C-A	223	211	102	175	90	35	175	137	108
YFL034C-B	40	51	13	51	14	20	94	44	41
YFL034W	32	44	13	66	33	14	64	34	36
YFL036W	227	278	101	401	200	69	444	251	228
YFL037W	1134	1503	471	1401	761	320	1631	1062	778
YFL038C	629	957	266	1062	430	178	1086	684	527
YFL039C	3355	4043	1328	4480	2375	869	5296	3216	2833
YFL040W	0	0	0	0	0	0	0	1	0
YFL041W	214	307	92	398	194	98	437	260	190
YFL041W-A	1	1	0	0	0	0	0	0	0
YFL042C	33	49	5	32	18	4	52	36	21
YFL044C	57	93	27	131	47	21	138	62	77
YFL045C	387	526	165	353	231	84	486	253	301
YFL046W	19	21	9	48	20	7	45	34	29
YFL047W	98	124	36	153	83	32	152	103	91
YFL048C	153	197	51	231	141	38	265	177	127
YFL049W	18	28	20	41	25	4	58	41	25
YFL050C	0	0	0	0	3	0	0	0	0
YFL051C	0	0	0	0	0	0	0	0	0
YFL052W	19	30	12	25	10	3	42	23	16
YFL053W	1	4	0	0	0	0	1	0	1
YFL054C	4	12	2	11	5	3	20	17	7
YFL055W	14	17	4	12	12	5	21	11	17
YFL058W	11	0	3	14	7	1	8	3	3
YFL059W	58	60	22	64	46	17	69	60	40
YFL060C	1	1	1	3	4	1	8	5	4
YFL061W	2	4	0	1	1	1	4	4	2
YFL062W	77	134	41	176	68	27	162	129	52
YFL064C	4	0	1	0	3	0	1	1	1
YFL065C	2	2	2	1	4	0	0	0	0
YFL066C	2	5	0	1	2	1	1	1	2
YFL067W	1	0	0	3	0	0	0	0	0
YFL068W	1	0	0	0	0	0	0	0	0
YFR001W	70	70	29	96	52	12	84	52	62
YFR002W	124	186	40	224	129	64	262	174	134
YFR003C	38	66	18	81	23	8	88	52	48
YFR004W	289	431	125	555	252	98	584	365	292
YFR005C	20	17	4	26	11	2	33	16	14
YFR006W	98	160	51	179	96	38	184	130	93
YFR007W	37	37	6	36	16	9	52	34	23
YFR008W	7	12	1	17	5	5	18	8	6
YFR009W	1350	1715	596	2117	1810	553	2064	1288	819
YFR010W	142	188	51	209	109	41	315	144	139
YFR011C	67	106	21	105	54	23	165	74	114
YFR012W	0	1	0	0	0	0	0	0	0
YFR012W-A	0	2	0	0	0	0	1	1	0
YFR013W	42	71	20	70	45	12	81	58	55
YFR014C	99	124	24	89	59	16	174	54	77
YFR015C	62	129	44	79	61	14	132	99	78
YFR016C	103	190	35	195	90	25	172	103	56
YFR017C	10	13	4	17	20	5	25	16	11
YFR018C	41	46	18	59	29	12	55	43	36
YFR019W	63	70	15	84	49	19	109	74	54
YFR020W	60	58	17	65	28	9	81	72	47
YFR021W	38	42	23	54	35	8	50	32	40
YFR022W	7	7	0	3	3	0	4	3	1
YFR023W	0	0	1	2	0	0	0	0	1
YFR024C-A	133	184	54	252	110	44	228	182	116
YFR025C	254	231	70	224	193	63	258	192	116
YFR026C	0	2	0	0	0	0	2	0	0
YFR027W	10	8	2	17	4	0	25	8	7
YFR028C	98	126	37	100	82	17	135	85	68
YFR029W	30	47	10	45	26	20	54	42	15
YFR030W	1702	2620	821	2844	1588	565	3013	1886	1415
YFR031C	48	55	22	90	42	20	111	73	40
YFR031C-A	2606	3804	984	4119	1947	737	4604	2402	2693
YFR032C	0	0	0	0	0	0	1	0	0
YFR032C-A	771	1072	365	1014	441	201	1195	629	484
YFR032C-B	0	0	0	0	0	0	0	0	0
YFR033C	593	812	192	1022	439	190	1141	766	684
YFR034C	86	81	15	101	44	22	102	75	68
YFR035C	0	4	0	0	2	2	4	3	2
YFR036W	5	8	1	16	10	4	19	8	8
YFR037C	197	278	87	409	154	88	385	243	201
YFR038W	47	45	8	58	34	8	75	37	24
YFR039C	47	61	8	55	39	13	56	46	42
YFR040W	103	102	36	108	58	17	107	96	63
YFR041C	64	84	23	80	35	19	93	55	37
YFR042W	14	21	5	20	21	3	32	14	20
YFR043C	41	57	14	87	33	17	82	54	39
YFR044C	405	600	179	825	424	141	834	524	430
YFR045W	33	51	7	28	18	9	36	28	20
YFR046C	33	47	9	33	18	10	49	20	25
YFR047C	157	220	57	171	99	47	232	181	124
YFR048W	25	34	8	48	27	15	50	31	25
YFR049W	66	96	38	175	37	25	149	51	86
YFR050C	225	322	83	299	219	54	464	282	226
YFR051C	202	309	101	274	166	55	331	238	154
YFR052W	203	281	88	344	196	65	359	220	212
YFR053C	1410	1911	457	1215	1048	334	1984	2138	1152
YFR055W	5	5	0	5	0	4	10	4	2
YFR057W	0	0	0	0	0	0	0	0	0
YGL001C	180	217	67	235	116	50	290	181	160
YGL002W	34	53	11	39	27	5	36	45	19
YGL003C	23	38	5	50	24	14	59	27	29
YGL004C	21	22	16	25	14	2	40	28	33
YGL005C	36	58	19	39	19	9	45	21	15
YGL006W	174	257	75	299	137	54	350	187	211
YGL006W-A	1	1	0	0	1	0	0	0	0
YGL007C-A	1	3	0	6	1	0	2	2	1
YGL008C	11815	16843	4730	18232	10268	3603	20079	12246	9869
YGL009C	1844	2458	650	2766	1330	482	2680	1842	1294
YGL010W	10	10	3	21	7	4	23	6	10
YGL011C	520	676	171	758	454	141	893	495	432
YGL012W	526	695	171	743	377	130	770	563	452
YGL013C	88	96	23	138	57	25	146	98	75
YGL014W	129	185	34	159	96	42	177	104	79
YGL015C	0	0	0	0	0	0	0	0	0
YGL016W	77	129	49	196	103	40	238	160	110
YGL017W	42	37	17	50	33	17	65	32	31
YGL018C	22	25	10	74	10	5	43	18	21
YGL019W	92	118	40	95	51	18	100	83	75
YGL020C	59	104	28	105	64	18	99	81	58
YGL021W	88	117	40	113	58	22	145	72	56
YGL022W	571	717	230	596	375	148	720	478	407
YGL023C	52	108	33	87	74	19	118	54	64
YGL025C	36	58	14	57	30	10	67	38	45
YGL026C	767	896	239	1492	906	338	1783	1196	947
YGL027C	133	155	43	225	127	37	237	156	109
YGL028C	150	169	43	234	133	32	231	169	113
YGL029W	23	43	15	34	18	6	33	16	19
YGL030W	797	1128	246	1231	601	203	1005	713	672
YGL031C	1380	2877	501	1915	1087	363	2188	1016	914
YGL032C	37	46	11	31	19	5	26	29	12
YGL033W	1	0	0	0	0	0	0	0	1
YGL035C	97	157	60	209	92	36	200	140	95
YGL036W	13	41	13	46	21	10	70	25	30
YGL037C	246	329	75	291	214	93	445	312	267
YGL038C	82	88	30	92	44	19	87	77	47
YGL039W	25	28	7	26	8	9	50	25	18
YGL040C	396	525	191	479	269	110	556	450	317
YGL041C-B	0	0	0	0	0	0	0	0	0
YGL041W-A	67	55	24	84	36	21	76	57	44
YGL043W	114	173	42	168	67	35	150	112	95
YGL044C	28	31	17	83	22	10	80	66	54
YGL045W	7	20	6	16	4	3	12	12	6
YGL047W	40	64	15	69	20	10	56	55	42
YGL048C	433	562	182	635	293	109	699	433	354
YGL049C	217	283	83	438	169	70	376	219	176
YGL050W	32	38	14	49	26	5	53	11	27
YGL051W	3	13	3	17	5	3	19	7	1
YGL053W	14	31	7	22	9	8	41	24	21
YGL054C	152	176	28	192	86	29	231	138	115
YGL055W	1308	1828	530	1779	939	351	1709	974	785
