Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YAL063C-A	0	0	0	0	0	0	0	0	0
YAL064C-A	0	0	0	0	0	0	0	0	0
YAL064W	0	0	0	0	0	0	0	0	0
YAL064W-B	0	3	0	0	1	0	0	1	0
YAL065C	0	1	2	0	0	0	0	1	0
YAL067C	0	1	0	0	0	0	0	0	0
YAL067W-A	0	0	0	0	0	0	0	0	0
YAL068C	0	0	0	0	1	0	1	0	0
YAR002C-A	198	259	79	336	157	43	375	226	169
YAR002W	34	43	25	69	27	20	109	32	41
YAR003W	30	47	21	38	20	19	47	40	25
YAR007C	228	288	75	363	187	76	423	231	155
YAR008W	19	27	1	39	18	10	36	25	18
YAR014C	105	114	24	155	84	30	146	78	97
YAR015W	949	1459	385	1239	623	229	1098	751	558
YAR018C	18	27	6	25	22	5	34	20	26
YAR019C	17	20	5	25	16	6	33	24	11
YAR020C	0	2	0	0	1	0	0	0	0
YAR023C	1	0	0	0	0	0	2	0	0
YAR027W	25	33	4	29	22	6	46	13	15
YAR028W	11	8	4	14	3	2	16	9	8
YAR029W	0	0	0	0	0	0	0	1	0
YAR031W	11	16	2	10	8	3	23	16	19
YAR033W	4	20	7	26	5	3	35	14	2
YAR035C-A	0	0	0	0	0	0	0	0	0
YAR035W	11	17	6	22	13	8	31	19	24
YAR042W	83	97	36	80	48	16	116	71	45
YAR050W	0	1	2	0	0	0	0	1	1
YAR064W	0	0	0	0	0	0	0	0	0
YAR066W	13	15	2	11	5	0	9	7	5
YAR068W	8	12	6	28	19	2	17	15	3
YAR071W	425	578	98	126	98	21	210	97	73
YBL001C	139	165	65	224	82	34	218	146	142
YBL002W	451	641	181	913	355	123	847	425	427
YBL003C	530	800	239	790	563	146	741	363	339
YBL004W	196	304	91	410	179	57	427	206	177
YBL005W	19	31	4	37	6	2	27	25	9
YBL006C	17	22	7	23	14	1	32	7	17
YBL007C	295	440	113	468	227	65	511	282	213
YBL008W	35	56	13	56	32	11	71	34	37
YBL008W-A	7	4	5	11	5	2	9	3	0
YBL009W	55	98	27	110	39	18	102	57	59
YBL010C	10	17	7	27	8	3	20	9	14
