ORF,Ribo_Prints,RNA_Prints
YAL001C,32.43832565,10.22186392
YAL002W,25.30539487,10.63761032
YAL003W,2595.293411,2932.087698
YAL004W,0,0
YAL005C,1402.645151,1875.535423
YAL007C,170.1132194,164.8275557
YAL008W,37.98290341,0
YAL009W,82.46032079,26.08260222
YAL010C,19.75121963,41.18305613
YAL011W,18.12117032,46.04037612
YAL012W,703.4957406,673.8555838
YAL013W,93.36706244,41.75786069
YAL014C,72.66612913,13.24507144
YAL015C,46.58547215,12.71526858
YAL016C-A,0,0
YAL016C-B,0,0
YAL016W,149.3048295,122.6210387
YAL017W,71.28561572,53.72208784
YAL018C,0,0
YAL019W,63.39800245,17.97211107
YAL019W-A,6.260352627,0
YAL020C,52.0472594,71.0633773
YAL021C,86.42730666,60.69340611
YAL022C,87.54539662,19.63748043
YAL023C,421.1731164,236.4593806
YAL024C,26.6522637,8.264334268
YAL025C,159.640109,22.08950025
YAL026C,53.16440138,38.75843913
YAL026C-A,19.42440517,11.61211743
YAL027W,27.7048719,19.41262379
YAL028W,53.84477955,9.614569815
YAL029C,87.88678469,29.9453789
YAL030W,43.15111459,14.36753512
YAL031C,30.93719936,28.96162795
YAL031W-A,0,0
YAL032C,68.21616504,4.461497748
YAL033W,53.80575718,29.23050248
YAL034C,40.29424012,20.47547275
YAL034C-B,0,0
YAL034W-A,3.782310268,0
YAL035W,404.1494237,135.2238599
YAL036C,107.2340247,50.40286644
YAL037C-A,0,0
YAL037C-B,0,0
YAL037W,5.802575839,0
YAL038W,7151.470952,7739.140185
YAL039C,60.43034104,6.279144978
YAL040C,67.60637867,43.77028771
YAL041W,20.32912545,57.50374875
YAL042C-A,0,0
YAL042W,164.2810259,105.9605715
YAL043C,52.4142968,36.66828938
YAL044C,88.81673862,39.65775776
YAL044W-A,40.93150029,15.27359589
YAL045C,0.591623505,16.4598946
YAL046C,37.40167656,28.49359906
YAL047C,5.676952162,5.442597573
YAL047W-A,0,0
YAL048C,11.26812296,2.557117864
YAL049C,106.3096705,0
YAL051W,36.69414345,11.32403054
YAL053W,76.89753076,54.06151607
YAL054C,46.81645717,16.62126612
YAL055W,7.581650067,0
YAL056C-A,0,0
YAL056W,46.34464424,53.88233375
YAL058W,47.04787904,13.48206079
YAL059C-A,0,0
YAL059W,34.50183604,7.95947955
YAL060W,161.7048801,128.3699874
YAL061W,15.02702995,40.55907043
YAL062W,39.62159627,22.21007612
YAL063C,7.877168386,7.688748953
YAL063C-A,0,0
YAL064C-A,9.365881883,0
YAL064W,0,0
YAL064W-B,33.37567266,0
YAL065C,46.26083258,0
YAL066W,0,0
YAL067C,6.417760742,0
YAL067W-A,0,0
YAL068C,1.722319862,0
YAL068W-A,0,0
YAL069W,0,0
YAR002C-A,293.8448482,323.661382
YAR002W,13.32473488,28.2561524
YAR003W,92.06315179,63.52671266
YAR007C,32.11000859,46.33645571
YAR008W,2.64944439,12.28528365
YAR009C,295.3201039,399.0886463
YAR010C,102.4225101,240.420357
YAR014C,108.2427745,35.81765797
YAR015W,489.0434485,99.40275112
YAR018C,77.99234593,23.33076804
YAR019C,10.97725191,22.60492192
YAR019W-A,0,0
YAR020C,0,0
YAR023C,26.43259998,0
YAR027W,47.54066017,158.0428863
YAR028W,96.67814913,72.14336783
YAR029W,15.85955999,0
YAR030C,0,0
YAR031W,4.076068292,36.85585096
YAR033W,11.54931368,3.607168392
YAR035C-A,0,0
YAR035W,65.96301981,0
YAR042W,147.6134809,25.66580706
YAR047C,0,0
YAR050W,10.92437033,8.818565119
YAR053W,0,0
YAR060C,0.272041165,0
YAR064W,5.947334996,0
YAR066W,17.49216175,0
YAR068W,45.04235473,0
YAR069C,0,0
YAR070C,0,0
YAR071W,123.0540395,48.90487916
YAR073W,15.53259989,7.693506842
YAR075W,28.23102055,48.28583005
YBL001C,170.6695974,678.1476576
YBL002W,1070.727963,1053.183862
YBL003C,413.122533,292.0074789
YBL004W,53.76821878,21.75293208
YBL005W,21.4753972,3.470561196
YBL005W-A,45.33382038,109.1863373
YBL005W-B,336.7461479,467.6629672
YBL006C,6.060055126,18.73336071
YBL006W-A,0,0
YBL007C,114.3130102,104.8541559
YBL008W,22.40936735,12.09538034
YBL008W-A,0,0
YBL009W,24.05396201,20.03390421
YBL010C,77.16523946,18.10002645
YBL011W,81.86404958,60.23021959
YBL012C,0,0
YBL013W,6.372501644,4.217336179
YBL014C,54.24991676,1.8942672
YBL015W,92.64576741,32.17019249
YBL016W,51.94366552,38.31342698
YBL017C,94.05126344,60.08903295
YBL018C,4.092798424,0
YBL019W,15.80359304,6.50813491
YBL020W,48.63431445,8.84540423
YBL021C,32.17428259,46.76880397
YBL022C,133.3842339,67.27655334
YBL023C,67.93700792,50.72450834
YBL024W,74.38995935,47.02483757
YBL025W,66.21156065,58.06058713
YBL026W,53.6746744,17.66009525
YBL027W,5352.591031,2192.46394
YBL028C,84.33152771,126.7565715
YBL029C-A,18.29370513,17.84599099
YBL029W,7.519289033,13.49100115
YBL030C,380.5541991,372.0245771
YBL031W,22.57692384,10.00217784
YBL032W,84.93405168,133.1441736
YBL033C,86.10649549,63.69884067
YBL034C,19.4576512,15.67712551
YBL035C,69.85014104,14.40823635
YBL036C,74.58744601,111.71037
YBL037W,32.13094316,46.26738405
YBL038W,113.0845634,36.3813121
YBL039C,118.2071432,17.53830149
YBL039C-A,86.05009317,0
YBL039W-B,41.68014067,0
YBL040C,41.84675058,208.0680313
YBL041W,105.4549373,126.1018372
YBL042C,187.077116,71.52338576
YBL043W,117.7242485,13.14239647
YBL044W,38.68185363,0
YBL045C,225.2607277,96.2436632
YBL046W,101.1402299,34.52109117
YBL047C,197.538353,98.14003728
YBL048W,0.585934817,0
YBL049W,24.56738672,24.39380063
YBL050W,118.1285074,57.86242812
YBL051C,140.8871749,136.8459399
YBL052C,22.35880897,12.22621979
YBL053W,47.57867996,0
YBL054W,51.71902421,19.33881153
YBL055C,14.70029613,8.092454148
YBL056W,168.2667126,112.060647
YBL057C,80.4004299,32.44725635
YBL058W,159.7498042,63.97619412
YBL059C-A,129.7383783,107.8871273
YBL059W,15.71774963,0
YBL060W,18.97162382,19.7135947
YBL061C,25.5914494,14.59428245
YBL062W,0,0
YBL063W,13.41030001,7.623062698
YBL064C,75.52378358,135.8883665
YBL065W,0,0
YBL066C,21.65694307,10.32861968
YBL067C,47.82013349,24.93189918
YBL068W,30.30775761,0
YBL068W-A,160.7934654,42.92073782
YBL069W,93.65423869,23.65631364
YBL070C,0,0
YBL071C,0,0
YBL071C-B,0,0
YBL071W-A,60.26044434,40.85226853
YBL072C,1471.248713,1985.099953
YBL073W,0,0
YBL074C,15.59003334,23.81136438
YBL075C,26.77928743,23.47434199
YBL076C,479.5690618,327.0656224
YBL077W,0,0
YBL078C,179.3380707,215.5130268
YBL079W,68.25636627,27.07176278
YBL080C,11.70154196,15.63993675
YBL081W,26.44201218,41.35046693
YBL082C,44.4845084,7.387229386
YBL083C,20.94132041,0
YBL084C,7.23203511,22.33687937
YBL085W,52.4409989,34.5641008
YBL086C,39.24436911,10.89102234
YBL087C,533.0676027,1117.960812
YBL088C,26.48221085,16.41856775
YBL089W,15.44596129,7.371170192
YBL090W,44.02465644,28.57363726
YBL091C,125.152882,160.6984971
YBL091C-A,47.12846132,38.53111691
YBL092W,1318.124197,2666.000333
YBL093C,56.43611945,15.34270719
YBL094C,0,0
YBL095W,53.22788137,6.255974701
YBL096C,0,0
YBL097W,46.85372067,20.20969841
YBL098W,85.20456836,95.61734869
YBL099W,498.2031729,419.1846785
YBL100C,0,0
YBL100W-A,45.07551126,119.3599461
YBL100W-B,138.7448866,170.0508263
YBL100W-C,0,0
YBL101C,57.582831,27.29574651
YBL102W,70.16667826,70.640381
YBL103C,51.5917743,52.21876214
YBL104C,17.08087159,11.42212128
YBL105C,55.19567811,26.49014288
YBL106C,9.834121206,0
YBL107C,42.87188353,51.63560845
YBL107W-A,0,20.65098225
YBL108C-A,0.236190779,0
YBL108W,0,0
YBL109W,0,0
