ORF,Ribo_Prints
YAL001C,1189
YAL002W,662
YAL003W,32563
YAL007C,2779
YAL008W,1308
YAL009W,160
YAL010C,486
YAL011W,410
YAL012W,14991
YAL013W,577
YAL014C,364
YAL015C,281
YAL016W,4675
YAL017W,2369
YAL018C,0
YAL019W,1585
YAL020C,183
YAL021C,3169
YAL022C,1093
YAL023C,9343
YAL024C,754
YAL025C,964
YAL026C,2415
YAL027W,326
YAL028W,69
YAL029C,1838
YAL030W,597
YAL031C,850
YAL032C,496
YAL033W,410
YAL034C,486
YAL034W-A,222
YAL035W,11045
YAL036C,2336
YAL037C-A,0
YAL037W,48
YAL038W,136142
YAL039C,1001
YAL040C,1341
YAL041W,1622
YAL042W,2801
YAL043C,1384
YAL044C,1339
YAL044W-A,559
YAL046C,461
YAL047C,355
YAL048C,548
YAL049C,1945
YAL051W,1145
YAL053W,2890
YAL054C,491
YAL055W,259
YAL056W,822
YAL058W,577
YAL059W,432
YAL060W,5186
YAL061W,929
YAL063C-A,0
YAL064C-A,0
YAL064W,0
YAL064W-B,4
YAL067C,216
YAL067W-A,0
YAR002C-A,3999
YAR002W,1552
YAR003W,338
YAR007C,2787
YAR008W,220
YAR014C,864
YAR015W,1409
YAR018C,700
YAR019C,421
YAR023C,10
YAR027W,1685
YAR028W,463
YAR029W,14
YAR035C-A,0
YAR035W,304
YAR042W,2275
YAR064W,0
YBL001C,2150
YBL002W,12126
YBL003C,10810
YBL004W,4505
YBL005W,309
YBL006C,482
YBL007C,7228
YBL008W,520
YBL009W,890
YBL010C,245
YBL011W,1227
YBL013W,277
YBL014C,210
YBL015W,14784
YBL016W,1009
YBL017C,6745
YBL018C,325
YBL019W,299
YBL020W,1157
YBL021C,343
YBL022C,4581
YBL023C,1544
YBL024W,4184
YBL025W,178
YBL026W,1109
YBL028C,722
YBL029C-A,533
YBL029W,204
YBL030C,73021
YBL031W,162
YBL032W,3023
YBL033C,1425
YBL034C,1038
YBL035C,1012
YBL036C,1382
YBL037W,1937
YBL038W,1402
YBL039C,5017
YBL039W-B,170
YBL040C,2141
YBL041W,3873
YBL042C,3840
YBL043W,780
YBL044W,0
YBL045C,29529
YBL046W,492
YBL047C,11062
YBL049W,137
YBL050W,2641
YBL051C,4280
YBL052C,365
YBL054W,340
YBL055C,520
YBL056W,3370
YBL057C,739
YBL058W,2989
YBL059C-A,846
YBL059W,414
YBL060W,396
YBL061C,853
YBL063W,664
YBL064C,6805
YBL066C,1512
YBL067C,1005
YBL068W,1176
YBL069W,920
YBL071C-B,0
YBL071W-A,237
YBL074C,215
YBL075C,2694
YBL076C,25105
YBL078C,711
YBL079W,3253
YBL080C,479
YBL081W,744
YBL082C,757
YBL084C,1107
YBL085W,1398
YBL086C,550
YBL088C,434
YBL089W,492
YBL090W,884
YBL091C,2953
YBL091C-A,219
YBL092W,32884
YBL093C,479
YBL095W,371
YBL097W,734
YBL098W,765
YBL099W,83198
YBL100W-C,5
