,ORF,RNA_Prints,Ribo_Prints
0,YAL068C,0.0,0.0
1,YAL067W-A,0.0,0.0
2,YAL067C,3.46032324,0.9629429040000002
3,YAL069W,0.0,0.0
4,YAL068W-A,0.0,0.0
5,YAL066W,0.0,0.148632708
6,YAL065C,0.0,0.0
7,YAL064W-B,0.24474906600000002,0.0
8,YAL064C-A,0.61187457,0.0
9,YAL064W,0.50262315,0.0
10,YAL063C-A,1.2538084199999997,0.0
11,YAL063C,3.087719271,0.818336358
12,YAL062W,7.648206120000001,1.9348668
13,YAL061W,6.037621260000001,3.738801
14,YAL060W,48.7488528,42.7372848
15,YAL056W,39.7071105,30.521364
16,YAL059C-A,1.7776532699999997e-05,1.5223685400000002
17,YAL059W,53.8717896,43.656735600000005
18,YAL055W,0.95686374,9.9853899
19,YAL058W,23.3009217,27.728629499999997
20,YAL056C-A,4.8733892999999995,5.993465399999999e-06
21,YAL054C,15.990886799999998,3.1556800799999998
22,YAL053W,63.65970239999999,133.07004479999998
23,YAL049C,31.016333399999997,57.9479043
24,YAL051W,46.285968000000004,43.5877872
25,YAL048C,17.59246632,14.420707470000002
26,YAL047W-A,2.0103336,2.5701588000000004e-06
27,YAL047C,19.3637745,15.808282349999999
28,YAL046C,27.6785313,28.0220724
29,YAL045C,3.4165202999999997,13.2173823
30,YAL044W-A,10.591897500000002,12.9993876
31,YAL044C,24.476153399999998,65.393649
32,YAL043C,71.2415466,75.9202902
33,YAL041W,51.88815449999999,61.47278999999999
34,YAL042C-A,12.467347199999999,36.0830484
35,YAL042W,88.5052896,221.84822400000002
36,YAL040C,30.5769261,44.4484173
37,YAL039C,16.104096,50.188572
38,YAL037W,5.996521440000001,0.0
39,YAL037C-A,138.33006,0.7682246400000001
40,YAL036C,53.332170000000005,171.65151
41,YAL034C,11.613321000000001,3.46259664
42,YAL035W,183.0389745,856.788678
43,YAL034C-B,8.060049,2.2385579399999997
44,YAL034W-A,2.9932785,11.433366
45,YAL033W,19.6577892,27.304253999999997
46,YAL032C,20.364389999999997,18.874637999999997
47,YAL030W,15.1416066,38.75946
48,YAL031W-A,2.41616988,1.5908277899999999
49,YAL031C,31.5668127,23.3466429
50,YAL029C,75.99582720000001,106.308576
51,YAL028W,7.04953335,1.7917547400000002
52,YAL025C,10.768976700000001,133.459347
53,YAL024C,37.03234344,26.990309279999998
54,YAL027W,9.8775048,8.4435264
55,YAL026C-A,5.8479132,1.24288194
56,YAL026C,57.71800439999999,111.98837879999999
57,YAL022C,72.1402542,61.0805916
58,YAL021C,60.6261156,144.8828256
59,YAL023C,202.545624,580.46292
60,YAL018C,0.46738033199999995,0.278706528
61,YAL020C,8.52380358,14.582506799999999
62,YAL019W-A,9.447806999999998e-07,0.8940962999999998
63,YAL019W,64.4601552,105.55277399999999
64,YAL017W,44.1353394,50.7279168
65,YAL016C-B,2.2644198,0.0
66,YAL015C,12.43608,15.108839999999999
67,YAL014C,27.7946112,15.731558399999999
68,YAL016C-A,10.732365,13.6761345
69,YAL016W,108.0496584,190.7158572
70,YAL013W,7.319644079999999,40.18401239999999
71,YAL011W,13.02351684,15.394792319999999
72,YAL010C,16.1994456,17.250035399999998
73,YAL009W,10.946754,9.405474
74,YAL008W,1.7855374499999999,15.9001398
75,YAL012W,160.32220500000003,999.423075
76,YAL007C,67.949928,128.13552
77,YAL005C,225.775947,669.7256520000001
78,YAL004W,38.5722648,163.876608
79,YAL038W,4069.5829199999994,17783.7966
80,YAL037C-B,411.710325,1708.6875
81,YAL002W,34.0881705,21.0094245
82,YAL001C,30.67822917,38.7720594
83,YAR002W,60.76603800000001,87.62709600000001
84,YAR003W,25.647797699999998,21.5917674
85,YAR002C-A,84.72156000000001,207.59376
86,YAR007C,63.8558262,127.56909
87,YAR008W,4.81580532,13.448127600000001
88,YAR009C,1.144437336,0.6824444130000001
89,YAR010C,0.0,0.0
90,YAR014C,37.621551,55.296929999999996
91,YAR015W,24.581305800000003,54.1656678
92,YAR018C,36.5404188,33.4798296
93,YAR020C,0.949998,0.0
94,YAR019C,16.27952625,15.006156749999999
95,YAR019W-A,0.247515237,1.21745466
96,YAR023C,8.614350000000002,0.5707638
97,YAL003W,1549.46331,3075.64533
98,YAR027W,27.409511999999996,30.0122616
99,YAR028W,22.687604999999998,17.7567645
100,YAR033W,3.3086073,5.2142928
101,YAR035W,7.2512241600000005,2.1963230400000002
102,YAR035C-A,0.17166492000000003,0.0
103,YAR029W,3.77667,0.154238175
104,YAR031W,4.568851560000001,1.5368839199999997
105,YAR030C,3.8024244,0.0
106,YAR042W,37.424964,81.35185560000001
107,YAR047C,0.0,0.0
108,YAR060C,0.0,0.0
109,YAR064W,0.0,0.0
110,YAR053W,0.250235865,0.149219631
111,YAR050W,4.79846772,0.4087699476
112,YAR066W,0.0,0.0
113,YAR069C,0.0,0.0
114,YAR070C,0.0,0.0
115,YAR068W,0.120358872,0.0
116,YAR071W,2.8957921199999994,3.1773221999999994
117,YBL111C,0.0,0.0
118,YAR073W,1.0457838959999999,0.692907672
119,YAR075W,0.12054104399999999,0.14376088199999998
120,YBL109W,0.0,0.0
121,YBL113C,0.997148334,0.0
122,YBL112C,0.0,0.0
123,YBL113W-A,0.279472494,0.0
124,YBL108C-A,0.0,0.0
125,YBL107W-A,0.0,0.0
126,YBL108W,0.249489756,0.148774752
127,YBL107C,8.098413899999999,34.3725009
128,YBL106C,16.159429709999998,13.53157785
129,YBL105C,46.478016,69.4939392
130,YBL104C,43.997701799999994,45.5041479
131,YBL103C,16.088093699999998,21.2576961
132,YBL102W,30.002399999999998,43.701897599999995
133,YBL101C,37.4433852,43.7002722
134,YBL100W-C,0.5887764,0.175548
135,YBL100W-A,0.703845627,0.468899412
136,YBL100W-B,0.905287383,0.8998043669999999
137,YBL097W,5.8630204500000005,44.1482475
138,YBL098W,40.7850849,53.2016589
139,YBL093C,27.840033000000005,25.008094800000002
140,YBL096C,2.64384108,3.1378641
141,YBL094C,4.6118169,2.96827875
142,YBL095W,46.60424939999999,7.95874155
143,YBL100C,21.611456999999998,45.027359999999994
144,YBL099W,330.946434,1013.3749079999999
145,YBL091C-A,8.744630400000002,10.286232
146,YBL091C,38.423606400000004,154.503906
147,YBL090W,31.7246196,33.1241268
148,YBL089W,21.088607999999997,25.841879999999996
149,YBL088C,36.23401896,13.996903080000001
150,YBL086C,14.7112005,16.7161716
151,YBL085W,24.647124690000005,55.2351069
152,YBL084C,20.23189641,23.8549905
153,YBL092W,1740.4515900000001,2870.2755
154,YBL081W,9.19984527,44.1658683
155,YBL083C,5.7219468,2.4923982
156,YBL082C,37.296045,48.0629457
157,YBL087C,446.23403999999994,638.37144
158,YBL080C,12.244853160000002,20.114433
159,YBL078C,4.4316906,7.193987999999999
160,YBL079W,113.6935332,179.7476778
161,YBL075C,14.974615499999997,5.495139
162,YBL074C,11.766903600000001,7.28273472
163,YBL073W,0.8778088800000001,0.5363498400000001
164,YBL077W,59.780159999999995,3.2722574399999997
165,YBL076C,583.269924,1510.415961
166,YBL071C-B,1.2564585,0.0
167,YBL071W-A,33.180993,33.332385
168,YBL071C,27.5423133,0.297265416
169,YBL068W,74.07324990000001,72.4572486
170,YBL072C,400.00668300000007,508.56175800000005
171,YBL070C,6.7384962,8.2021599
172,YBL069W,31.553271000000002,50.2197
173,YBL068W-A,4.0846713,1.4893814699999999
174,YBL067C,45.184959600000006,51.4208112
175,YBL064C,37.1849526,32.418963
176,YBL066C,15.67033776,18.32656149
177,YBL065W,1.0015177499999999,2.02637475
178,YBL063W,24.27633888,22.397370239999997
179,YBL060W,19.912068480000002,15.9233472
180,YBL059C-A,20.188938,22.30536
181,YBL062W,2.1855188699999997,0.166273734
182,YBL061C,50.3056962,51.448218600000004
183,YBL059W,9.7730604,12.082087199999998
184,YBL058W,68.2500504,135.799992
185,YBL057C,43.585779599999995,42.3502134
186,YBL056W,92.19803669999999,180.823419
187,YBL055C,43.65435299999999,28.247178299999998
188,YBL054W,25.0804164,51.415027200000004
189,YBL053W,1.116195,2.5087725000000002e-05
190,YBL052C,21.23115072,13.421191680000002
191,YBL051C,29.822013000000005,88.57312470000001
192,YBL048W,3.7352952,1.48493592
193,YBL049W,5.3486921999999995,1.01484039
194,YBL050W,33.6438129,72.8395656
195,YBL047C,124.158189,362.8239228
196,YBL046W,7.30595502,44.119732799999994
197,YBL044W,0.12268401300000001,0.0
198,YBL043W,4.94507826,1.12336038
199,YBL045C,115.41847320000001,319.6665960000001
200,YBL039W-B,5.224932,2.236914
201,YBL042C,100.237056,140.01984
202,YBL040C,45.500730000000004,95.67162
203,YBL041W,65.8587996,161.031882
204,YBL038W,31.324496699999997,42.0107388
205,YBL036C,19.309365000000003,73.439829
206,YBL037W,48.586537799999995,64.7789724
207,YBL035C,42.3417852,45.9697074
208,YBL034C,35.534745779999994,48.375933599999996
209,YBL039C,255.5625,554.0368800000001
210,YBL039C-A,0.8745744000000001,0.0017565492000000001
211,YBL033C,38.1447354,53.7008262
212,YBL031W,14.472825299999998,12.2495616
213,YBL032W,70.160985,113.64973679999999
214,YBL029C-A,11.434684499999998,11.089720499999999
215,YBL030C,146.732982,1050.96783
216,YBL029W,15.363617099999999,15.6857259
217,YBL028C,61.590270000000004,73.75071299999999
218,YBL025W,9.328743000000001,13.0040886
219,YBL026W,32.00688,60.476831999999995
220,YBL023C,38.5650903,86.92285470000002
221,YBL024W,200.628828,314.09236500000003
222,YBL022C,114.149007,227.21481720000003
223,YBL021C,21.9386595,11.9982135
224,YBL020W,57.009525000000004,55.32903000000001
225,YBL018C,15.7226622,20.204922000000003
