ORF,Ribo_Prints,RNA_Prints
YAL016C-B,0,0
YAL037C-A,0,0
YAL064C-A,0,0
YAL064W,0,0
YAL064W-B,0,0
YAL066W,0,0
YAL067W-A,0,0
YAL068C,0,0
YAL068W-A,0,0
YAL069W,0,0
YAR010C,0,0
YAR019W-A,2,0
YAR020C,0,0
YAR035C-A,0,0
YAR053W,0,0
YAR060C,0,0
YAR061W,0,0
YAR062W,0,0
YAR064W,0,0
YAR066W,0,0
YAR068W,0,0
YAR069C,0,0
YAR070C,0,0
YAR071W,0,0
YAR075W,0,0
YBL005W-A,0,0
YBL005W-B,0,0
YBL006C,0,0
YBL008W-A,0,0
YBL039C-A,0,0
YBL053W,0,0
YBL062W,0,0
YBL068W-A,0,0
YBL070C,0,0
YBL071C,0,0
YBL071C-B,0,0
YBL072C,0,0
YBL073W,0,0
YBL083C,0,0
YBL096C,0,0
YBL100C,0,0
YBL100W-A,0,0
YBL100W-C,0,0
YBL107W-A,0,0
YBL108C-A,0,0
YBL108W,0,0
YBL109W,0,0
YBL111C,0,0
YBL112C,0,0
YBL113W-A,0,0
YBR012W-A,0,0
YBR027C,0,0
YBR031W,397,0
YBR032W,0,0
YBR056C-B,0,0
YBR064W,0,0
YBR072C-A,4,0
YBR089C-A,0,0
YBR090C,0,0
YBR103C-A,0,0
YBR109W-A,0,0
YBR116C,0,0
YBR118W,0,0
YBR121C-A,0,0
YBR124W,0,0
YBR126W-A,0,0
YBR126W-B,0,0
YBR131C-A,0,0
YBR141W-A,0,0
YBR181C,0,0
YBR191W-A,0,0
YBR196C-B,0,0
YBR200W-A,0,0
YBR219C,0,0
YBR221W-A,0,0
YBR223W-A,0,0
YBR224W,1,0
YBR226C,0,0
YBR266C,1,0
YBR296C-A,0,0
YBR298C-A,0,0
YBR299W,0,0
YBR300C,0,0
YBR301W,0,0
YBR302C,0,0
YCL001W-B,0,0
YCL019W,0,0
YCL020W,0,0
YCL022C,0,0
YCL023C,0,0
YCL048W-A,0,0
YCL065W,0,0
YCL066W,0,0
YCL067C,0,0
YCL068C,0,0
YCL069W,0,0
YCL073C,0,0
YCL074W,0,0
YCL075W,0,0
YCL076W,0,0
YCR001W,0,0
YCR018C-A,0,0
YCR024C-A,0,0
YCR024C-B,0,0
YCR038W-A,0,0
YCR039C,0,0
YCR040W,0,0
YCR047W-A,0,0
YCR049C,0,0
YCR050C,0,0
YCR081C-A,0,0
YCR086W,0,0
YCR087W,0,0
YCR096C,0,0
YCR097W-A,0,0
YCR104W,0,0
YCR108C,0,0
YDL007C-A,0,0
YDL009C,0,0
YDL011C,0,0
YDL016C,0,0
YDL022C-A,0,0
YDL025W-A,0,0
YDL032W,0,0
YDL041W,0,0
YDL050C,0,0
YDL068W,13,0
YDL114W-A,0,0
YDL133C-A,0,0
YDL136W,0,0
YDL157C,0,0
YDL159C-B,0,0
YDL159W-A,0,0
YDL162C,6,0
YDL163W,0,0
YDL184C,0,0
YDL185C-A,0,0
YDL191W,0,0
YDL228C,0,0
YDL232W,29,0
YDL240C-A,0,0
YDL244W,0,0
YDL245C,0,0
YDL246C,0,0
YDL247W,0,0
YDL247W-A,0,0
YDR003W,0,0
YDR012W,159,0
YDR015C,0,0
YDR016C,0,0
YDR029W,0,0
YDR034C-A,0,0
YDR034C-C,0,0
YDR034C-D,0,0
YDR039C,0,0
YDR053W,0,0
YDR094W,0,0
YDR095C,0,0
YDR098C-A,0,0
YDR098C-B,0,0
YDR112W,0,0
YDR118W-A,0,0
YDR134C,0,0
YDR149C,0,0
YDR155C,0,0
YDR170W-A,0,0
YDR183C-A,0,0
YDR187C,0,0
YDR194W-A,0,0
YDR199W,0,0
YDR203W,3,0
YDR209C,0,0
YDR210C-C,0,0
YDR210C-D,0,0
YDR210W-A,0,0
YDR210W-B,0,0
YDR215C,0,0
YDR261C-C,0,0
YDR261W-A,0,0
YDR261W-B,0,0
YDR269C,0,0
YDR278C,0,0
YDR290W,0,0
YDR316W-A,0,0
YDR316W-B,0,0
YDR340W,0,0
YDR342C,0,0
YDR343C,0,0
YDR354C-A,0,0
YDR355C,0,0
YDR365W-A,0,0
YDR365W-B,0,0
YDR371C-A,0,0
YDR385W,0,0
YDR406W-A,0,0
YDR426C,0,0
YDR431W,0,0
YDR433W,0,0
YDR442W,0,0
YDR455C,0,0
YDR464C-A,0,0
YDR487C,0,0
YDR491C,0,0
YDR509W,0,0
YDR510C-A,0,0
YDR524C-A,0,0
YDR524W-C,0,0
YDR525W-A,0,0
YDR542W,0,0
YDR543C,0,0
YDR545C-A,0,0
YDR545W,0,0
YEL008C-A,0,0
YEL010W,0,0
YEL017C-A,0,0
YEL021W,0,0
YEL032C-A,0,0
YEL033W,0,0
YEL034W,0,0
YEL045C,0,0
YEL049W,0,0
YEL050W-A,0,0
YEL053W-A,0,0
YEL069C,0,0
YEL070W,0,0
YEL075C,0,0
YEL075W-A,0,0
YEL076C,0,0
YEL076C-A,0,0
YEL077C,0,0
YEL077W-A,0,0
YER039C-A,0,0
YER046W-A,0,0
YER066C-A,0,0
YER067C-A,0,0
YER079C-A,0,0
YER090C-A,0,0
YER091C-A,7,0
YER107W-A,0,0
YER119C-A,0,0
YER137C-A,0,0
YER138C,0,0
YER138W-A,0,0
YER145C-A,0,0
YER147C-A,0,0
YER148W-A,0,0
YER152W-A,0,0
YER159C-A,0,0
YER160C,0,0
YER188C-A,0,0
YER189W,0,0
YER190C-A,0,0
YER190C-B,0,0
YER190W,0,0
YFL002W-A,0,0
YFL002W-B,0,0
YFL012W-A,0,0
YFL015W-A,1,0
YFL020C,0,0
YFL031C-A,0,0
YFL057C,0,0
YFL058W,0,0
YFL060C,0,0
YFL061W,0,0
YFL062W,0,0
YFL063W,0,0
YFL064C,0,0
YFL065C,0,0
YFL066C,0,0
YFL067W,0,0
YFL068W,0,0
YFR009W-A,0,0
YFR010W-A,0,0
YFR012W-A,0,0
YFR052C-A,0,0
YFR056C,0,0
YFR057W,0,0
YGL006W-A,0,0
YGL014C-A,0,0
YGL041C,0,0
YGL041C-B,0,0
YGL052W,0,0
YGL063C-A,0,0
YGL088W,0,0
YGL135W,0,0
YGL149W,0,0
YGL168W,0,0
YGL217C,0,0
YGL239C,0,0
YGL259W,0,0
YGL260W,0,0
YGL261C,0,0
YGR011W,0,0
YGR025W,0,0
YGR027W-A,0,0
YGR027W-B,0,0
YGR035W-A,0,0
YGR038C-A,0,0
YGR038C-B,0,0
YGR045C,0,0
YGR051C,0,0
YGR068W-A,0,0
YGR069W,2,0
YGR085C,0,0
YGR109W-A,0,0
YGR114C,0,0
YGR115C,0,0
YGR122C-A,0,0
YGR137W,0,0
YGR139W,0,0
YGR151C,0,0
YGR152C,0,0
YGR160W,0,0
YGR161C-C,0,0
YGR161C-D,0,0
YGR161W-A,0,0
YGR161W-B,0,0
YGR164W,0,0
YGR174W-A,0,0
YGR183C,0,0
YGR190C,0,0
YGR204C-A,0,0
YGR219W,0,0
YGR226C,0,0
YGR242W,0,0
YGR265W,0,0
YGR270C-A,0,0
YGR273C,0,0
YGR290W,0,0
YGR291C,0,0
YGR292W,0,0
YGR293C,0,0
YGR294W,0,0
YGR296C-A,0,0
YGR296C-B,0,0
YGR296W,0,0
YHL009W-A,0,0
YHL009W-B,0,0
YHL015W-A,0,0
YHL030W-A,1,0
YHL045W,0,0
YHL046C,0,0
YHL046W-A,0,0
YHL048C-A,0,0
YHL049C,0,0
YHL050C,0,0
YHL050W-A,0,0
YHR032C-A,0,0
YHR052W-A,0,0
YHR053C,0,0
YHR054C,0,0
YHR054W-A,0,0
YHR055C,0,0
YHR056W-A,0,0
YHR070C-A,0,0
YHR073C-B,0,0
YHR073W-A,0,0
YHR079C-A,0,0
YHR086W-A,0,0
YHR093W,0,0
YHR116W,0,0
YHR125W,0,0
YHR141C,0,0
YHR145C,0,0
YHR165W-A,4,0
YHR175W,0,0
YHR180C-B,0,0
YHR180W-A,0,0
YHR199C-A,0,0
YHR212C,0,0
YHR212W-A,0,0
YHR213W,0,0
YHR213W-A,0,0
YHR213W-B,0,0
YHR214C-B,0,0
YHR214C-C,0,0
YHR214C-D,0,0
YHR214C-E,0,0
YHR214W,0,0
YHR214W-A,0,0
YHR215W,0,0
YHR217C,0,0
YHR218W,0,0
YHR218W-A,0,0
YHR219C-A,0,0
YHR219W,0,0
YIL020C-A,0,0
YIL025C,0,0
YIL029W-A,0,0
YIL030W-A,0,0
YIL032C,4,0
YIL047C-A,0,0
YIL054W,1,0
YIL057C,1,0
YIL060W,0,0
YIL068W-A,0,0
YIL082W,0,0
YIL086C,0,0
YIL087C,0,0
YIL100C-A,0,0
YIL105W-A,0,0
YIL156W-B,0,0
YIL165C,0,0
YIL167W,0,0
YIL168W,0,0
YIL170W,0,0
YIL171W,0,0
YIL171W-A,0,0
YIL172C,0,0
YIL173W,0,0
YIL174W,0,0
