ORF,RNA_Prints,Ribo_Prints
YAL001C,2516,1353
YAL002W,1486,540
YAL003W,23149,140144
YAL005C,1310,21739
YAL007C,2219,3899
YAL008W,578,568
YAL009W,1042,241
YAL010C,961,487
YAL011W,1161,507
YAL012W,4787,38012
YAL013W,2107,1392
YAL014C,1600,491
YAL015C,1417,364
YAL016W,5047,8875
YAL017W,1688,1241
YAL018C,36,9
YAL019W,4046,4589
YAL020C,1620,343
YAL021C,2664,5533
YAL022C,1503,1074
YAL023C,5217,11266
YAL024C,1195,865
YAL025C,5758,5336
YAL026C,2232,2094
YAL027W,872,385
YAL028W,452,113
YAL029C,4739,2023
YAL030W,741,1062
YAL031C,1105,599
YAL032C,774,770
YAL033W,1213,800
YAL034C,462,44
YAL034W-A,858,505
YAL035W,18369,38713
YAL036C,4548,5757
YAL037C-A,4,0
YAL037W,598,24
YAL038W,58070,468666
YAL039C,1023,1401
YAL040C,1537,575
YAL041W,3160,2215
YAL042W,3405,3969
YAL043C,2022,2268
YAL044C,3220,2880
YAL044W-A,593,565
YAL046C,525,692
YAL047C,640,636
YAL048C,1041,507
YAL049C,4587,4298
YAL051W,2239,1121
YAL053W,5956,3041
YAL054C,277,63
YAL055W,435,210
YAL056W,1465,334
YAL058W,1119,486
YAL059W,2489,2206
YAL060W,3279,1502
YAL061W,86,29
YAL062W,54,10
YAL063C,14,0
YAL064W-B,24,1
YAL065C,0,0
YAL067C,67,10
YAL067W-A,0,0
YAL068C,0,0
YAR002C-A,3912,4150
YAR002W,3203,4826
YAR003W,1842,543
YAR007C,1957,7101
YAR008W,966,455
YAR014C,3641,2193
YAR015W,7420,2363
YAR018C,1134,624
YAR019C,712,355
YAR020C,43,0
YAR023C,232,64
YAR027W,1525,670
YAR028W,1345,423
YAR029W,348,8
YAR031W,350,149
YAR033W,117,100
YAR035C-A,4,0
YAR035W,175,70
YAR042W,2630,2082
YAR050W,85,6
YAR064W,0,0
YAR066W,1,13
YAR068W,2,1
YAR071W,342,64
YBL001C,2376,2891
YBL002W,7346,18708
YBL003C,11225,15092
YBL004W,7326,10041
YBL005W,1028,458
YBL006C,2325,1164
YBL007C,3969,12610
YBL008W,1268,951
YBL008W-A,10,44
YBL009W,1628,1875
YBL010C,994,583
YBL011W,1371,1450
YBL013W,72,160
YBL014C,1558,345
YBL015W,631,1008
YBL016W,8223,1799
YBL017C,5768,4898
YBL018C,1030,528
YBL019W,825,282
YBL020W,2070,953
YBL021C,758,531
YBL022C,4056,11847
YBL023C,2055,3035
YBL024W,5692,12731
YBL025W,842,488
YBL026W,1291,2612
YBL027W,28586,79397
YBL028C,3184,4358
YBL029C-A,430,177
YBL029W,1933,708
YBL030C,8438,29991
YBL031W,843,512
YBL032W,1753,5345
YBL033C,2384,2240
YBL034C,1062,1889
YBL035C,1445,2452
YBL036C,2974,3855
YBL037W,1664,1980
YBL038W,1513,1646
YBL039C,8910,19067
YBL039W-B,174,28
YBL040C,2966,2415
YBL041W,5511,8938
YBL042C,4375,4048
YBL043W,304,28
YBL044W,15,2
YBL045C,3940,12559
YBL046W,2332,943
YBL047C,3610,16188
YBL049W,90,7
YBL050W,2413,3534
YBL051C,2213,6026
YBL052C,1981,366
YBL054W,2955,2162
YBL055C,2366,928
YBL056W,5738,3732
YBL057C,1931,1020
YBL058W,3760,8069
YBL059C-A,575,826
YBL059W,531,733
YBL060W,2434,655
YBL061C,4059,2190
YBL063W,922,950
YBL064C,670,1568
YBL066C,714,585
YBL067C,2165,1270
YBL068W,2923,3476
YBL069W,2487,2062
YBL071C-B,88,42
YBL071W-A,1210,697
YBL072C,6650,16692
YBL074C,477,312
YBL075C,1620,37
YBL076C,19534,41651
YBL078C,393,356
YBL079W,4421,4083
YBL080C,721,319
YBL081W,1838,1452
YBL082C,1732,789
YBL084C,1143,717
YBL085W,2984,3053
YBL086C,2017,903
YBL087C,10157,19516
YBL088C,1986,298
YBL089W,1373,410
YBL090W,1253,1680
YBL091C,4974,6179
YBL091C-A,335,248
YBL092W,27682,112544
YBL093C,4723,1862
YBL095W,2715,282
YBL097W,1249,771
YBL098W,1030,1122
YBL099W,7342,24795
YBL100W-C,5,3
YBL101C,1470,1110
YBL102W,1458,1336
YBL103C,1917,1380
YBL104C,2035,928
YBL105C,2867,2398
YBL106C,1061,344
YBL107C,1562,988
YBR001C,996,939
YBR002C,3274,953
YBR003W,1062,1325
YBR004C,2448,943
YBR005W,3158,363
YBR006W,1156,528
YBR007C,1258,953
YBR008C,1427,20
YBR009C,10900,11986
YBR010W,21065,15212
YBR011C,9334,48969
YBR013C,497,292
YBR014C,1583,1453
YBR015C,4013,4985
YBR016W,2270,3834
YBR017C,6185,5407
YBR018C,262,77
YBR019C,110,5
YBR020W,203,1
YBR021W,839,539
YBR022W,841,788
YBR023C,4740,2796
YBR024W,917,467
YBR025C,12325,43747
YBR026C,1012,1605
YBR028C,1800,1033
YBR029C,1979,3132
YBR030W,1877,658
YBR031W,8855,21342
YBR033W,171,39
YBR034C,4883,5233
YBR035C,2955,5949
YBR036C,4119,3055
YBR037C,819,839
YBR038W,2051,4056
YBR039W,1741,8683
YBR040W,63,6
YBR041W,1726,1878
YBR042C,1580,1053
YBR043C,3352,610
YBR044C,1253,608
YBR045C,322,115
YBR046C,405,835
YBR047W,281,244
YBR048W,8067,41560
YBR049C,2207,8233
YBR050C,81,10
YBR052C,2143,2319
YBR053C,940,1168
YBR054W,2043,336
YBR055C,2695,1317
YBR056W,2030,1186
YBR057C,1765,1222
YBR058C,2524,3202
YBR058C-A,1602,2095
YBR059C,2362,3685
YBR060C,1824,1532
YBR061C,1823,2920
YBR062C,1237,1301
YBR063C,1339,10
YBR065C,828,913
YBR066C,2096,895
YBR067C,3892,2216
YBR068C,21358,9869
YBR069C,2035,3716
YBR070C,953,341
YBR071W,1567,1489
YBR072C-A,13,1
YBR072W,186,161
YBR073W,4203,1748
YBR074W,4118,2229
YBR076W,160,9
YBR077C,1410,1079
YBR078W,21326,57251
YBR079C,12078,28432
YBR080C,3031,7306
YBR081C,2694,1984
YBR082C,4266,20726
YBR083W,2422,1605
YBR084C-A,18872,50080
YBR084W,9329,12080
YBR085C-A,2483,1158
YBR085W,1962,1036
YBR086C,4433,5456
YBR087W,3044,2746
YBR088C,3268,6832
YBR089C-A,1746,3464
YBR090C,1007,1993
YBR091C,988,1029
YBR093C,630,1638
YBR094W,1873,1911
YBR095C,2056,1128
YBR096W,1532,2255
YBR097W,1806,902
YBR098W,702,518
YBR101C,3023,5523
YBR102C,1699,1848
YBR103W,2359,969
YBR104W,3961,2061
YBR105C,588,570
YBR106W,9287,15308
