ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YAL008W,895,709,600,234,495,259,994,764,1052,760
YBR255W,350,638,149,186,128,232,324,672,340,753
YGR131W,31,165,17,66,11,50,38,171,38,152
YPL144W,579,721,209,258,219,248,463,681,469,672
YBR135W,749,380,257,91,234,77,569,367,637,405
YBR160W,1401,1426,658,298,609,367,1243,1403,1431,1332
YJL082W,729,326,459,112,302,122,685,309,827,352
YPL191C,293,315,134,105,127,104,282,349,328,284
YGL215W,761,428,367,231,323,229,729,452,800,454
YKL074C,688,1088,340,554,344,567,778,1162,913,1224
YJL077C,11,21,9,7,6,7,11,24,14,16
YKL096W-A,54647,15320,26730,5568,23618,5701,50317,16839,56783,19770
YIL124W,3272,1993,1868,788,1792,835,3481,1994,3965,2060
YPL039W,186,364,81,152,68,135,143,381,188,382
YGL141W,668,725,309,334,261,339,580,671,790,729
YJL179W,1041,978,531,249,438,299,941,888,1121,901
YDR316W-A,0,0,0,0,0,0,0,0,0,0
YDR316W-B,0,0,0,0,0,0,0,0,0,0
YOR009W,42,104,10,32,6,22,11,115,15,109
YKL029C,5552,2687,2212,462,1707,480,4683,2006,4959,2602
YPL166W,208,99,114,54,97,43,228,108,239,79
YLR220W,1519,1476,971,455,781,418,1685,1441,1782,1630
YHR025W,4921,1618,2459,493,2128,443,4731,1658,5488,1846
YOL034W,312,803,127,281,113,251,285,714,352,841
YBL008W,520,594,263,161,220,181,502,586,538,671
YIL062C,3221,2358,1754,586,1456,597,2911,2352,3220,2538
YOL116W,378,472,184,155,154,167,356,428,407,454
YDR196C,874,1413,340,502,342,643,673,1311,837,1363
YNL255C,7751,4692,3404,788,2683,833,6537,4753,7059,5233
YNR032W,326,803,168,258,163,289,326,814,434,812
YNR045W,180,198,72,71,64,86,144,205,207,229
YML105C,2022,1499,1037,419,1146,509,2400,1669,2550,1768
YNL288W,942,517,375,196,328,195,771,550,931,558
YIL004C,722,625,322,208,238,227,517,562,502,598
YNR018W,2140,897,976,259,855,275,1916,979,2363,1089
YNL003C,405,829,166,287,159,329,337,745,355,744
YFR047C,1543,1932,884,531,698,478,1557,1989,1581,2084
YHR078W,249,659,129,241,119,273,253,678,348,721
YJR115W,34,35,15,16,11,19,35,42,30,46
YLR355C,56658,10256,24146,2921,19749,2819,45892,10483,49479,11900
YGR099W,339,843,185,320,130,356,315,780,379,734
YLR300W,12571,4268,6476,1706,5139,1723,13267,4920,15428,5388
YBL003C,9698,10896,4658,3451,3628,3365,7984,9588,8731,9616
YJR140C,630,764,326,259,238,290,629,803,753,752
YOR033C,370,1081,165,365,112,384,349,930,412,1011
YOR062C,174,410,148,157,101,127,211,442,204,456
YBR043C,192,1179,107,466,103,536,171,1133,235,1183
YHR112C,768,624,278,215,287,206,564,610,581,620
YLR011W,266,349,84,61,77,71,150,290,206,300
YIL044C,1539,905,925,202,734,183,1569,913,1654,911
YKR103W,16,196,7,96,8,95,21,201,34,214
YKR084C,2210,1346,1191,455,1067,470,2448,1413,2693,1411
YER121W,59,93,22,21,33,33,59,91,70,88
YCR046C,1028,716,469,122,347,146,760,679,870,782
YNL144C,265,181,111,100,74,97,192,219,223,185
YKL204W,2297,611,897,134,1007,168,2009,776,2285,796
YOR266W,257,483,115,200,81,198,259,587,270,527
YDR393W,278,625,127,141,123,172,286,648,321,613
YGR186W,2854,2306,1280,534,1106,633,2342,2488,2716,2613
YPR194C,38,322,8,51,7,58,12,90,18,63
YGR019W,1254,1476,546,335,394,375,985,1431,1179,1414
YNL208W,8717,4047,3201,623,2638,686,5940,3055,7027,3831
YLL057C,20,121,11,35,9,38,20,100,22,86
YOL097W-A,6,43,0,16,1,15,0,31,1,22
YNL277W,287,313,78,58,41,41,86,173,95,190
YMR040W,42,283,23,116,15,109,30,266,43,271
YDR077W,27210,4189,14702,2449,13217,2454,30725,5178,32906,6056
YMR266W,2043,1401,519,429,472,421,1225,956,1513,979
YKR064W,337,623,178,218,131,245,330,601,391,567
YPL089C,369,391,128,174,135,205,288,439,320,481
YGR277C,898,1140,478,445,451,493,987,1335,1138,1269
YDL139C,245,395,124,73,90,80,203,475,237,559
YDR246W,607,349,324,93,313,86,655,406,801,462
YOR288C,838,354,425,107,348,131,802,373,992,356
YCR028C,418,474,196,202,184,197,422,454,518,453
YML054C,39,218,26,105,37,115,71,388,92,363
YPR070W,506,646,173,172,163,187,456,583,479,627
YOR141C,1402,784,786,227,559,241,1484,787,1655,839
YPL280W,0,0,0,0,0,0,0,0,0,0
YBL106C,206,358,94,172,42,141,139,307,160,402
YGL044C,920,788,464,221,428,260,977,823,987,900
YER107C,1347,1190,550,350,462,376,1150,1101,1238,1299
YBR038W,2028,583,940,212,779,221,2027,607,2235,608
YEL047C,5116,2449,2112,692,1942,697,4057,1981,4529,1911
YPR016C,4088,1992,2677,442,2078,461,4738,2058,5209,2233
YOR208W,161,237,102,126,99,133,168,291,224,297
YDL055C,53694,13849,22471,5805,19230,5476,43382,12196,47040,12184
YML009C,818,486,316,120,255,128,528,368,581,449
YML072C,8394,2744,3022,688,2716,699,8688,2893,9649,3039
YDR142C,199,352,139,133,92,154,208,335,248,364
YFL044C,845,319,563,146,466,157,1020,341,1165,325
YKL019W,625,597,340,173,278,182,661,577,759,628
YJL130C,28841,3834,12144,1463,10710,1492,28458,3562,27735,4232
YBL085W,1349,938,618,278,504,279,1146,980,1404,993
YFL011W,11,25,3,14,2,11,4,29,5,28
YHR212W-A,0,0,0,0,0,0,0,0,0,0
YDR082W,66,691,34,256,22,269,80,597,68,595
YDR348C,1723,1297,802,405,642,396,1425,1289,1575,1362
YKL182W,48056,6408,18508,2645,14672,2747,41947,5313,45948,5863
YDR333C,1095,1095,600,413,543,491,1331,1158,1408,1197
YKL018C-A,283,547,193,80,162,94,283,623,311,730
YPL027W,2,6,7,3,3,3,2,27,6,14
YIR012W,2450,1962,1452,813,1309,896,3105,2323,3311,2691
YLR363C,716,494,333,171,276,161,664,463,734,409
YDR179C,295,360,121,130,99,113,264,381,282,343
YLR431C,98,285,62,72,48,72,104,195,137,278
YKR046C,537,336,277,152,231,147,559,427,651,443
YJR005W,635,691,324,251,231,224,581,640,681,585
YJL116C,106,46,52,20,36,37,103,106,106,87
YER030W,1794,1518,851,382,821,513,1532,1391,1681,1509
YHR041C,587,552,321,124,243,95,511,552,639,669
YJR072C,2038,2725,1061,742,833,767,1877,2964,2215,3174
YDR515W,739,369,422,153,378,157,812,425,1009,362
YKR039W,188,265,153,103,123,91,359,431,359,406
YGL003C,334,594,179,233,165,235,340,591,362,606
YPL009C,3036,2217,1519,397,1340,479,3055,2356,3404,2670
YDR268W,526,727,192,236,163,280,350,607,418,669
YGL192W,5,24,2,8,0,2,5,15,6,10
YDL117W,855,862,374,266,286,304,738,840,968,840
YMR131C,4047,2933,1632,971,1249,942,3263,2752,3742,2952
YMR293C,207,393,99,169,67,165,154,401,193,390
YJL214W,61,42,27,17,12,22,53,39,62,41
YIL105C,1032,687,437,272,335,321,834,772,1135,757
YML126C,13492,1655,6649,758,6151,857,13926,1963,15937,2128
YLR189C,893,1333,339,477,333,532,799,1240,887,1220
YIL150C,393,170,193,53,138,60,375,199,452,217
YGL250W,200,284,64,99,104,136,156,269,173,305
YBR212W,1836,315,862,134,776,134,1887,328,1960,385
YJR109C,2603,622,4676,554,2567,447,6688,943,6884,1079
YLR254C,302,800,139,173,111,243,292,782,325,818
YGR085C,8775,2074,3756,403,3066,428,7146,2024,7141,2149
YPL105C,1984,1642,936,472,784,508,1772,1841,1967,1952
YGR145W,2005,1405,1081,320,847,350,2251,1602,2582,1854
YGR110W,41,42,30,17,19,17,57,82,60,52
YGL154C,134,314,53,58,33,88,116,330,127,332
YOR010C,26,94,13,36,14,54,23,109,37,121
YMR322C,1,0,0,0,0,0,0,1,0,2
YKL099C,1205,1497,496,556,427,603,1058,1521,1117,1609
YDR315C,121,247,73,100,72,111,134,197,163,219
YLR394W,10,238,4,69,5,83,10,323,17,233
YNL104C,10169,3483,5715,1099,4638,1077,12404,4348,13627,4718
YNL151C,1313,1071,613,213,457,216,1216,943,1331,1115
YNR066C,77,73,42,49,35,34,99,63,128,70
YKL052C,403,1296,232,306,231,311,502,1270,545,1419
YIL045W,427,403,212,153,180,163,358,417,462,408
YMR232W,57,154,18,39,26,39,51,163,78,147
YNL083W,309,300,113,89,119,101,261,305,267,309
YGR038C-A,3,7,0,2,0,2,0,4,0,4
YGR038C-B,3,7,0,2,0,2,0,4,0,4
YMR238W,1361,1268,649,356,493,318,1180,1234,1365,1292
YER168C,1200,1057,483,395,424,385,1099,1044,1187,1068
YPL265W,4291,3695,1223,1010,1217,1142,2995,2736,3380,3005
YOR227W,630,773,312,263,313,310,682,733,790,806
YOR081C,704,343,270,104,298,107,712,356,819,356
YEL026W,9423,3339,4154,377,3931,388,8105,3304,8578,3632
YDR021W,483,668,263,239,224,228,628,911,659,970
YGL063W,37,349,17,62,18,66,43,335,40,414
YPL212C,2292,1547,988,375,803,380,1882,1480,2124,1589
YOL157C,8,49,5,15,2,17,6,33,5,31
YPR095C,457,827,234,300,178,339,404,790,520,844
YOR310C,11211,6212,4862,1015,4223,1144,9950,5890,10737,6334
YDR188W,6339,3302,4293,956,3419,1001,7308,3363,8304,3859
YAL027W,271,495,130,178,110,195,273,452,323,456
YGL236C,303,282,113,62,100,76,221,248,242,272
YHR133C,2397,2181,1247,1184,1171,1086,2551,2421,2796,2475
YDR541C,177,292,145,159,133,156,265,424,366,450
YIL090W,547,692,263,247,228,233,608,623,648,684
YBR183W,332,972,225,542,126,544,278,986,357,965
YOL048C,205,567,134,222,108,199,283,663,326,634
YML039W,1,5,3,1,0,1,1,3,0,0
YCR007C,80,252,33,70,30,68,71,238,72,215
YDR540C,72,140,46,44,44,62,60,159,82,134
YEL004W,328,215,160,73,124,72,293,184,343,186
YPR057W,269,1216,126,420,132,410,242,1253,308,1351
YMR167W,439,378,188,160,162,161,402,369,470,364
YDR116C,1031,682,308,197,286,233,751,670,847,646
YPL119C-A,0,31,0,16,0,5,0,18,1,22
YLR030W,96,167,51,88,47,79,65,197,102,135
YDR122W,1450,1111,600,324,594,328,1210,1058,1357,1140
YOL062C,501,1096,253,357,213,388,555,1063,605,1152
YNL234W,131,150,60,48,52,37,109,168,108,171
YLR467W,0,0,0,0,0,0,0,0,0,0
YJL194W,442,237,281,113,214,109,474,277,575,247
YOL015W,9,89,6,38,8,47,11,96,19,112
YDL070W,2430,2764,1254,1106,1004,1243,2430,3083,2716,3182
YOR241W,1799,1460,885,598,695,636,1583,1400,1783,1414
YLR056W,6134,3155,2489,783,2172,773,5947,3126,6545,3716
YKL110C,844,665,333,179,226,214,580,695,727,681
YML100W-A,3,12,0,8,0,4,2,20,2,13
YBR280C,308,406,173,134,182,120,348,405,447,362
YLR204W,626,630,218,100,206,126,439,634,502,701
YML097C,655,899,368,358,297,358,626,855,750,899
YKR007W,584,654,324,120,277,128,554,586,653,679
YHR193C,26381,7891,9520,1307,8494,1437,18276,6381,20052,6864
YBL099W,13863,4341,6564,1168,5752,1165,14390,5285,15120,5193
YJR035W,308,515,139,179,113,154,305,522,341,590
YOR126C,570,444,344,103,244,112,563,413,632,471
YMR023C,103,437,42,199,42,174,99,403,112,410
YOR119C,783,739,359,237,233,245,648,790,802,868
YNL187W,15,267,5,60,8,71,19,209,19,263
YLL014W,1406,1465,655,719,606,626,1140,1268,1187,1299
YCL045C,4228,999,2152,351,1807,397,4453,1043,5101,1161
YCR061W,1192,204,556,106,461,106,1039,193,1327,227
YPR115W,499,615,202,227,151,282,377,703,474,739
YHR088W,1595,1146,722,195,494,213,1196,1204,1272,1433
YBR017C,3306,1932,1621,497,1435,629,3435,1886,4048,2120
YPR162C,586,573,231,139,216,164,467,522,539,561
YGR166W,384,321,174,133,175,120,385,398,458,348
YDL161W,1886,888,765,173,654,240,1497,933,1668,1006
YKL050C,23,273,12,105,9,89,17,288,24,307
YJR055W,262,258,189,98,127,152,344,339,382,344
YGL099W,2842,1437,1403,339,1126,355,2810,1497,3124,1631
YFL030W,34,186,26,89,27,67,36,153,45,191
YIL119C,1448,496,547,178,463,168,1017,460,1238,430
YPL193W,423,424,158,105,156,119,379,443,419,485
YNL005C,1319,1042,592,290,520,325,1206,1076,1347,1048
YJL144W,119,129,45,40,31,40,88,171,103,143
YBR012W-B,21,52,46,24,39,26,99,50,131,49
YBR012W-A,16,12,2,1,3,2,8,4,8,5
YJR139C,13868,5228,7560,2070,6770,2101,14340,5332,15025,5580
YBR133C,804,687,297,204,233,225,694,609,792,672
YBR162C,12250,1992,3738,563,3008,585,8200,1441,8963,1533
YOR130C,293,866,168,379,138,354,301,927,322,950
YJL079C,2745,755,1473,357,1169,319,2631,842,3082,857
YGL019W,1200,1653,661,390,506,388,1066,1829,1240,1822
YGR201C,94,336,70,119,43,138,79,323,108,352
YNL172W,352,509,187,227,146,227,435,475,509,538
YNL058C,1247,557,614,203,516,223,1186,580,1315,690
YPL160W,27050,6148,12221,1776,10402,1965,24553,5750,27685,6092
YNL023C,632,704,320,276,328,258,678,722,762,700
YDR214W,5609,2043,3196,598,2630,671,4893,1771,5349,1810
YIL126W,2839,1990,1322,396,1086,441,2780,2065,3215,2212
YLR295C,2580,727,1059,191,909,213,2037,754,2235,866
YER175W-A,2,10,1,3,4,1,2,11,5,8
YHR168W,263,375,91,112,71,120,172,325,199,375
YOR064C,140,671,59,196,44,210,116,680,153,761
YNL318C,7,11,3,13,3,3,0,23,6,11
YOL081W,752,1275,251,548,251,574,740,1201,937,1274
YOL036W,962,755,418,181,407,223,866,843,956,922
YGL148W,8177,3997,3910,885,2968,838,6700,3346,7492,3889
YOR031W,2,99,0,36,0,38,0,129,4,164
YBR282W,980,802,457,276,406,311,839,805,888,790
YDR194C,2669,1812,1079,753,982,883,2629,1955,2889,1918
YOL114C,137,211,81,51,62,38,77,208,116,209
YNL257C,514,1134,221,465,167,555,449,1038,602,1124
YNR030W,1394,487,592,242,502,226,1187,467,1435,466
YAL037C-A,0,4,0,0,0,1,0,0,0,6
YML007C-A,19,17,12,2,8,5,19,15,16,9
YPL051W,328,524,158,155,121,200,311,499,319,561
YFR045W,322,292,163,92,145,102,332,268,366,286
YIL002C,453,961,236,295,181,258,427,874,452,865
YGR159C,7874,4127,3439,902,2586,849,6516,4223,6974,4784
YLR369W,860,690,342,216,268,233,729,676,805,685
YFR032C,15,125,12,39,13,25,16,189,32,184
YNL118C,2731,1744,1439,516,1216,653,3037,1806,3211,1858
YGL228W,1947,1169,762,274,717,287,1653,1239,1979,1264
YJR117W,2326,637,827,226,764,194,2140,611,2338,603
YBR196C-A,1,11,2,4,0,9,0,12,0,18
YBR196C-B,0,3,0,1,0,4,0,7,0,8
YLR357W,2012,787,914,249,743,254,1632,818,1855,860
YER127W,1101,1653,612,337,467,375,1075,1859,1252,2170
YBL015W,955,765,414,249,282,232,737,722,897,764
YLR017W,2096,1591,1157,505,990,544,2318,1658,2605,1946
YHR110W,597,901,330,178,286,181,639,960,823,897
YBR041W,1355,1085,555,404,550,434,1300,972,1659,974
YOR394W,0,0,0,0,0,0,0,0,0,0
YCL068C,0,0,0,0,0,0,0,0,0,0
YDL039C,9,407,21,73,13,72,29,347,29,356
YOR264W,1504,2047,710,388,610,488,1439,2124,1581,2344
YNL042W-B,0,5,1,4,1,3,1,7,1,4
YBL029C-A,354,362,160,135,152,126,269,352,294,340
YGL173C,12803,2870,4402,814,3804,874,9366,2807,10714,2843
YNL275W,213,291,118,118,88,113,243,300,274,315
YAR015W,3339,4581,1032,322,800,377,2340,2407,2486,2929
YOR384W,24,48,6,15,8,29,24,53,25,70
YLL051C,242,406,123,143,106,165,273,426,280,440
YDR427W,3681,1948,1782,915,1739,1094,3650,2060,4214,2063
YLR079W,1178,1974,603,320,470,324,1142,1936,1259,2244
YLR408C,293,217,140,56,130,52,256,239,326,253
YMR093W,1760,1234,857,360,819,389,1890,1290,1971,1357
YBR221W-A,0,1,0,0,0,0,0,0,0,0
YDR079W,429,545,248,135,235,149,376,580,437,598
YMR268C,281,321,154,100,131,106,283,323,376,356
YML070W,5163,2128,2961,854,2362,900,4801,2257,5187,2382
YHR175W-A,1,100,0,29,0,25,1,111,1,107
YPR072W,2973,1123,820,281,722,332,1631,1050,1899,1024
YMR108W,17368,4249,7380,1144,6325,1163,16351,4077,18157,4273
YCR091W,218,111,81,45,86,68,201,141,219,120
YER062C,2924,1247,1983,478,1668,503,3137,1548,3796,1551
YDR244W,925,682,416,222,340,251,810,614,861,628
YER189W,0,0,0,0,0,0,0,0,0,0
YDL137W,4300,4090,2185,1144,2013,1176,4114,3986,4577,4119
YGR271W,1184,741,457,256,419,289,1081,789,1268,807
YDR233C,8423,2005,2623,618,2405,649,6181,1605,6618,1742
YGR071C,421,351,180,162,163,183,362,378,400,351
YCR106W,61,592,51,211,41,201,92,412,119,392
YER109C,240,402,106,165,105,174,267,446,267,447
YDR489W,328,222,159,58,121,72,341,241,337,191
YPL282C,0,0,0,0,0,0,0,0,0,0
YPR049C,392,589,194,205,157,207,413,589,493,626
YDL057W,237,260,133,78,96,92,242,310,272,305
YGR257C,324,1258,150,520,124,495,276,1155,309,1308
YPL235W,3092,2005,1362,671,1157,753,2710,1921,2970,2007
YLR155C,0,0,0,0,0,0,0,0,0,0
YBL087C,13376,9792,5600,2187,4700,2374,10698,8996,11538,9721
YJL132W,184,384,81,152,84,124,144,285,182,264
YGL190C,1676,1563,805,507,682,596,1702,1493,1934,1541
YBR110W,663,811,306,244,343,285,711,827,851,819
YDR144C,2246,744,780,215,670,218,1604,583,1739,634
YOR180C,19,143,11,47,8,56,17,137,26,119
YFL046W,666,701,339,229,287,213,584,674,705,696
YOR103C,1672,1490,888,584,811,562,1619,1528,1772,1425
YKL137W,798,583,303,243,307,254,569,569,694,539
YDR447C,18649,10836,7902,3265,7298,3298,15579,9455,16426,9214
YAL061W,475,943,203,322,315,417,786,1802,945,1739
YPR145W,13282,3728,8874,1841,6206,1840,14344,4144,16634,4502
YJL063C,1207,930,483,98,467,141,902,838,939,903
YDL160C-A,345,273,244,127,183,117,356,308,366,333
YPL021W,1,4,2,1,0,1,0,10,1,8
YIR010W,534,771,234,184,171,198,390,809,506,816
YDR331W,1114,356,505,123,437,125,979,314,1227,336
YJL114W,4,4,3,2,2,3,0,10,3,6
YKR044W,159,580,78,146,62,168,166,572,166,672
YLR433C,1731,680,1199,231,1238,211,1403,720,2325,728
YMR068W,152,447,58,103,35,101,115,483,146,434
YLR157C-A,0,0,0,0,0,0,0,0,0,0
YLR157C-C,0,0,0,0,0,0,0,0,0,0
YLR157C-B,1,0,0,0,0,0,0,0,0,2
YFL068W,0,0,0,0,0,0,0,0,0,0
YER032W,745,239,330,82,286,81,717,241,733,248
YJR070C,8047,2274,3282,474,3015,509,7448,2332,7764,2575
YGL005C,369,650,144,251,121,284,305,674,375,659
YHR043C,677,725,309,242,239,236,547,660,609,627
YDL111C,1082,1050,551,280,563,328,1242,1181,1442,1309
YMR133W,16,19,6,9,9,3,9,28,16,26
YPL007C,487,878,257,464,246,469,467,854,465,864
YKL159C,261,239,138,42,133,53,268,238,306,234
YDR059C,373,177,184,65,185,65,394,176,427,181
YLR138W,820,2214,279,682,267,732,771,2355,891,2477
YBR101C,2196,1993,1393,805,1082,900,2412,2319,2634,2450
YLR396C,616,796,338,242,293,246,676,772,818,824
YBR245C,3789,1547,1726,324,1611,391,3777,1652,3989,1766
YJL216C,1,135,4,34,4,37,2,319,6,136
YBR210W,495,620,256,236,211,249,413,520,539,574
YPL103C,390,489,160,112,135,121,341,424,435,415
YIL103W,772,1071,521,493,377,463,935,1136,1059,1270
YIL152W,148,229,63,96,39,85,134,207,157,232
YML045W-A,5,2,1,0,1,1,1,5,1,2
YJR096W,558,824,269,245,326,370,695,1071,806,1092
YGR143W,792,849,363,334,323,318,713,867,842,820
YGR112W,303,235,111,98,81,112,245,241,268,227
YLR256W,2460,2200,752,753,643,745,1888,1854,2219,1962
YHR174W,289557,57875,120889,10508,114597,11659,239745,53136,260752,59086
YOR012W,117,143,38,27,44,19,69,125,99,122
YIR001C,941,238,352,78,285,88,632,196,723,230
YDL213C,1673,1949,510,301,456,344,1069,1765,1205,1991
YDR317W,114,239,55,90,31,60,77,134,88,153
YDR478W,320,358,142,96,134,111,325,389,328,377
YOL164W-A,4,0,0,1,2,0,2,1,4,0
YNL106C,536,325,234,117,221,109,543,290,612,292
YOR378W,72,148,28,26,25,24,49,140,71,144
YFR015C,1149,886,396,240,416,253,923,903,1145,805
YMR230W,17938,8399,7203,2659,6356,3007,15301,7963,16923,8376
YIL092W,141,342,64,84,54,65,129,264,140,335
YAR009C,11,23,0,6,5,10,9,22,12,27
YLR321C,1824,829,752,148,589,187,1428,831,1540,859
YGR052W,325,191,138,79,113,68,209,204,298,205
YJR161C,9,21,7,7,7,9,11,25,9,23
YOR278W,527,584,284,230,242,226,487,528,554,523
YNL085W,5585,1606,2885,678,2710,793,6842,1599,7585,1640
YGL061C,638,653,274,179,231,197,535,633,622,662
YPL210C,3171,2050,1242,654,886,753,2320,1864,2727,1943
YOR087W,848,717,411,254,337,257,792,649,996,702
YGL234W,11469,5130,5638,840,4680,907,13287,3970,13120,4629
YOR347C,911,414,419,166,434,190,986,417,1108,431
YPR093C,112,355,68,97,40,100,123,338,152,386
YNL332W,1,2,1,1,3,0,5,1,1,5
YAL029C,1183,1631,628,741,516,801,1175,1483,1387,1574
YOL155C,863,437,1132,760,848,740,2449,1198,2555,1274
YDR421W,309,541,155,221,117,240,312,526,343,549
YGL171W,1793,1332,938,274,770,296,1704,1303,1898,1428
YDR294C,1453,1661,826,502,672,454,1655,1827,2021,1992
YHR135C,2803,1032,853,278,739,312,1714,896,2048,955
YBR181C,7732,3740,3760,1086,3055,1137,6208,3399,6947,3719
YOR078W,803,1840,400,220,348,305,674,1965,746,2251
YOR243C,2927,1621,1567,762,1338,809,3190,1667,3444,1658
YMR165C,763,587,420,125,329,156,793,629,889,667
YCR005C,4301,13216,640,4499,873,4384,2404,9516,2390,10089
YGR296W,0,0,0,0,0,0,0,0,0,0
YPR055W,779,572,312,227,298,225,688,609,858,570
YHR037W,2632,817,1198,223,1062,267,2787,915,3130,888
YLR032W,876,927,387,326,362,373,839,1016,1008,1024
YDR114C,1,14,0,9,0,8,0,21,4,17
YLR089C,3796,1755,1820,441,1508,507,3721,1647,4033,1657
YBL027W,41485,21114,19344,3099,16675,3400,35068,19038,37610,20129
YOL060C,858,301,345,119,305,150,846,297,962,344
YIR018C-A,4,27,0,7,2,6,1,27,4,29
YOR382W,1482,344,271,24,428,58,1231,257,1036,343
YNL232W,1138,1692,509,583,498,575,1238,1838,1246,2110
YDL076C,709,756,312,316,257,381,588,730,752,779
YDR120C,2302,2157,1068,502,876,525,2409,2140,2598,2475
YJL192C,2113,2004,802,284,724,293,1767,1885,2091,1974
YLR054C,41,102,30,65,28,40,44,120,44,136
YLR009W,2496,1495,1132,352,997,360,2253,1659,2451,1915
YKL116C,579,407,217,130,234,138,483,309,504,393
YGR238C,377,398,139,91,108,97,258,352,279,328
YER044C,910,688,286,133,257,112,550,454,555,410
YLR105C,241,1045,121,370,89,363,197,1000,230,1022
YML091C,802,497,430,194,325,241,874,536,1092,522
YHR191C,407,590,113,159,165,196,363,660,410,686
YDL098C,370,412,184,98,166,126,334,407,400,392
YKR005C,25,109,10,27,13,45,16,99,18,102
YMR143W,25895,10591,10179,1690,8984,1721,20685,9833,21890,10698
YCR063W,210,83,91,20,90,20,195,60,225,82
YNL189W,7023,2485,3558,775,2955,887,6897,2420,7973,2512
YCL047C,549,759,299,349,240,342,502,770,675,790
YGL122C,2847,758,1309,248,1196,259,2496,974,2565,1022
YDL018C,840,878,380,385,304,366,629,720,751,686
YOR120W,149,498,41,128,70,147,136,460,156,465
YPR160W,1809,781,794,232,860,321,1913,799,2403,744
YBL060W,313,625,150,170,104,201,251,670,316,648
YBR019C,26,65,12,21,7,25,21,67,26,64
YKL056C,51659,16229,19661,4448,16805,4856,38691,12984,43057,13767
YKL065W-A,11,33,10,17,2,20,8,66,17,42
YPL068C,269,193,129,42,124,40,295,174,314,238
YJR057W,700,1033,333,341,278,397,577,951,672,955
YGL211W,445,1485,294,441,247,490,3,1463,641,57
YPL195W,2126,1802,941,660,754,701,1614,1595,1992,1601
YBL063W,461,341,233,132,199,116,450,275,529,298
YAL059W,1087,1271,455,408,416,390,907,1100,1050,1148
YNL007C,12210,2678,4870,903,4653,1022,9143,2675,10014,2747
YPL148C,64,274,27,92,36,95,49,271,79,257
YJR137C,1972,650,729,236,567,248,1456,603,1499,665
YMR021C,475,409,220,158,184,193,447,375,528,387
YMR074C,2359,1960,1042,718,904,703,2064,1620,2153,1625
YGR203W,408,323,334,76,212,57,411,390,505,475
YJR039W,172,412,104,190,69,175,147,550,200,529
YOR104W,290,569,131,203,138,201,314,593,304,647
YFL009W,1075,778,580,263,517,282,1201,840,1250,939
YLR297W,279,156,93,59,80,77,161,148,230,164
YDR216W,545,199,448,147,388,118,929,267,977,298
YIL120W,84,440,29,154,20,173,62,387,81,383
YPL162C,237,122,118,60,97,61,249,137,230,137
YGR095C,864,785,513,226,406,236,997,906,1060,944
YCL027W,533,448,134,90,193,117,532,430,566,455
YOR066W,884,279,379,120,329,143,828,365,955,338
YIR021W-A,5,45,2,16,1,6,9,52,5,64
YAL033W,632,955,327,386,243,314,583,954,726,979
YBR284W,61,124,49,47,34,56,49,149,88,131
YNR036C,2292,2206,1413,719,1129,765,2073,2264,2379,2498
YNR049C,482,671,169,133,212,142,426,630,461,673
YDR192C,868,321,481,67,477,93,975,343,997,374
YOL112W,189,1216,91,476,71,491,140,1271,224,1373
YML109W,774,437,384,140,283,146,713,429,789,481
YOL083W,182,249,84,90,67,96,174,182,169,199
YNL251C,2489,714,897,151,819,172,2144,580,2276,650
YBL004W,2837,1517,1200,656,1106,689,2939,1868,3489,1903
YBR164C,1926,2055,1063,637,897,709,2048,2278,2288,2213
YHR074W,2517,1005,1457,382,1305,396,2881,1028,3431,1053
YDR464W,1030,1073,435,282,339,314,863,1246,967,1256
YFR030W,944,634,363,202,279,227,813,622,798,695
YBR131W,202,437,106,120,83,144,250,424,280,392
YKL078W,491,473,271,95,201,87,552,512,596,618
YIL055C,131,312,66,81,54,99,127,306,143,351
YPL053C,1451,1855,620,725,643,829,1562,1901,1746,1890
YLR351C,2169,1880,1153,378,994,418,2159,1935,2367,2129
YNR014W,170,104,93,70,73,70,263,145,310,191
YIL030C,2186,1195,1104,529,1003,574,2625,1353,3005,1374
YKL032C,2456,578,914,188,729,205,1841,611,2015,676
YER125W,6052,1087,2769,420,2356,456,5743,1137,6512,1256
YER152C,777,1633,609,522,407,524,890,1539,1000,1702
YLR015W,428,733,211,302,211,310,469,832,536,837
YHR116W,343,167,124,43,110,50,242,144,282,163
YPL259C,959,677,425,184,447,216,929,698,1133,740
YGR093W,717,588,393,206,313,227,798,669,850,653
YDL037C,1,93,1,18,1,27,0,56,1,75
YHL043W,0,10,0,7,0,4,1,6,1,7
YLR179C,6849,3601,2552,525,2366,518,4503,2701,4847,3177
YOR386W,419,380,187,186,138,151,327,340,417,295
YDR397C,843,1462,324,249,270,269,621,1388,704,1510
YPR198W,575,696,285,251,269,310,618,599,702,679
YHL038C,295,485,163,149,117,189,328,454,370,452
YLL053C,3,144,0,32,0,21,2,104,1,104
YDR425W,393,271,194,70,163,120,382,283,451,249
YML076C,411,389,166,135,174,199,399,386,509,410
YKR060W,674,458,272,111,250,125,600,499,728,464
YER069W,794,784,462,201,295,197,744,724,817,753
