ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YJL098W,1203,1336,470,399,393,427,1095,1383,1213,1499
YML108W,538,577,261,133,290,212,624,748,688,776
YMR310C,587,407,258,140,240,101,603,424,678,517
YBL038W,1125,1330,477,488,452,561,977,1350,1034,1325
YCL010C,397,470,212,205,127,256,343,453,388,525
YGR189C,6744,1653,3398,763,3222,848,8207,1843,8623,2028
YHL042W,65,51,38,22,30,26,59,61,59,70
YNL278W,493,162,175,57,138,48,372,144,448,165
YDR338C,344,502,135,170,114,218,287,533,339,519
YOR363C,237,357,135,102,137,131,252,341,301,344
YOR067C,1109,847,498,490,487,468,1149,878,1345,917
YGR094W,21994,7416,10683,2482,9693,2542,22046,7037,24684,7411
YNR048W,243,395,108,126,109,106,264,371,336,367
YDR191W,259,610,106,203,102,212,243,628,252,613
YHR028C,1390,1673,681,516,530,516,1377,1680,1622,1723
YBR265W,1504,1449,732,453,667,460,1412,1527,1626,1588
YBL007C,8350,1711,3367,537,2996,600,6288,1597,7007,1773
YNR037C,838,562,389,125,313,139,642,444,811,551
YOL113W,116,682,77,267,56,259,106,605,156,621
YCL024W,658,624,280,244,265,285,580,576,676,621
YOL084W,8,53,18,36,7,32,27,83,26,77
YAL032C,416,575,177,93,141,120,300,496,333,544
YGL145W,797,861,328,228,328,217,832,677,888,707
YBR230C,1380,632,750,168,584,203,1518,844,1548,933
YNL252C,903,737,355,189,357,228,752,686,856,714
YGL248W,479,998,188,198,179,233,429,974,484,1001
YOR020W-A,726,414,275,151,330,178,539,380,634,419
YDR511W,556,420,221,55,181,74,437,395,496,411
YDL177C,188,629,75,237,77,222,206,659,190,753
YBR068C,3672,4604,2486,2381,1926,2201,4622,5222,5301,5503
YDR043C,610,979,277,283,196,333,493,1056,564,942
YGR076C,634,465,264,61,247,98,514,467,500,519
YEL015W,1864,1950,761,481,790,560,1755,1822,2024,2013
YBL103C,671,594,264,200,239,238,549,550,575,554
YEL040W,5753,2597,3062,1142,2476,1242,5640,3045,6567,3277
YPR013C,157,280,43,115,44,111,68,284,94,273
