ORF,Ribo_Prints,RNA_Prints
YAL001C,1057,2516
YAL002W,456,1486
YAL003W,65100,23149
YAL005C,5298,1310
YAL007C,2591,2219
YAL008W,311,578
YAL009W,134,1042
YAL010C,435,961
YAL011W,324,1161
YAL012W,15247,4787
YAL013W,1053,2107
YAL014C,537,1600
YAL015C,271,1417
YAL016W,3747,5047
YAL017W,944,1688
YAL018C,5,36
YAL019W,2541,4046
YAL020C,234,1620
YAL021C,3425,2664
YAL022C,621,1503
YAL023C,6472,5217
YAL024C,933,1195
YAL025C,3195,5758
YAL026C,1366,2232
YAL027W,319,872
YAL028W,188,452
YAL029C,1724,4739
YAL030W,825,741
YAL031C,429,1105
YAL032C,434,774
YAL033W,870,1213
YAL034C,20,462
YAL034W-A,354,858
YAL035W,15918,18369
YAL036C,3644,4548
YAL037C-A,0,4
YAL037W,29,598
YAL038W,271855,58070
YAL039C,759,1023
YAL040C,444,1537
YAL041W,1524,3160
YAL042W,3028,3405
YAL043C,1427,2022
YAL044C,1748,3220
YAL044W-A,513,593
YAL046C,581,525
YAL047C,455,640
YAL048C,372,1041
YAL049C,4085,4587
YAL051W,924,2239
YAL053W,2349,5956
YAL054C,68,277
YAL055W,149,435
YAL056W,205,1465
YAL058W,393,1119
YAL059W,1586,2489
YAL060W,1184,3279
YAL061W,12,86
YAL062W,13,54
YAL063C,3,14
YAL064W-B,0,24
YAL065C,0,0
YAL067C,24,67
YAL067W-A,0,0
YAL068C,0,0
YAR002C-A,3959,3912
YAR002W,3020,3203
YAR003W,511,1842
YAR007C,3727,1957
YAR008W,306,966
YAR014C,1787,3641
YAR015W,2366,7420
YAR018C,506,1134
YAR019C,307,712
YAR020C,0,43
YAR023C,55,232
YAR027W,260,1525
YAR028W,339,1345
YAR029W,1,348
YAR031W,108,350
YAR033W,35,117
YAR035C-A,0,4
YAR035W,42,175
YAR042W,1510,2630
YAR050W,6,85
YAR064W,0,0
YAR066W,32,1
YAR068W,5,2
YAR071W,3,342
YBL001C,2827,2376
YBL002W,9819,7346
YBL003C,7349,11225
YBL004W,3772,7326
YBL005W,284,1028
YBL006C,939,2325
YBL007C,6213,3969
YBL008W,662,1268
YBL008W-A,18,10
YBL009W,1592,1628
YBL010C,348,994
YBL011W,727,1371
YBL013W,92,72
YBL014C,256,1558
YBL015W,420,631
YBL016W,4525,8223
YBL017C,2598,5768
YBL018C,400,1030
YBL019W,252,825
YBL020W,473,2070
YBL021C,355,758
YBL022C,5687,4056
YBL023C,1643,2055
YBL024W,7401,5692
YBL025W,316,842
YBL026W,2165,1291
YBL027W,47478,28586
YBL028C,2998,3184
YBL029C-A,173,430
YBL029W,680,1933
YBL030C,11702,8438
YBL031W,497,843
YBL032W,2182,1753
YBL033C,1612,2384
YBL034C,1086,1062
YBL035C,1125,1445
YBL036C,2182,2974
YBL037W,1237,1664
YBL038W,995,1513
YBL039C,9971,8910
YBL039W-B,37,174
YBL040C,1810,2966
YBL041W,5997,5511
YBL042C,1658,4375
YBL043W,39,304
YBL044W,2,15
YBL045C,6411,3940
YBL046W,600,2332
YBL047C,6528,3610
YBL049W,31,90
YBL050W,2246,2413
YBL051C,2960,2213
YBL052C,330,1981
YBL054W,1428,2955
YBL055C,692,2366
YBL056W,2462,5738
YBL057C,900,1931
YBL058W,4448,3760
YBL059C-A,509,575
YBL059W,474,531
YBL060W,466,2434
YBL061C,1516,4059
YBL063W,534,922
YBL064C,619,670
YBL066C,367,714
YBL067C,1077,2165
YBL068W,1756,2923
YBL069W,1292,2487
YBL071C-B,13,88
YBL071W-A,746,1210
YBL072C,13727,6650
YBL074C,219,477
YBL075C,52,1620
YBL076C,25921,19534
YBL078C,284,393
YBL079W,2810,4421
YBL080C,340,721
YBL081W,1189,1838
YBL082C,518,1732
YBL084C,486,1143
YBL085W,2055,2984
YBL086C,666,2017
YBL087C,13421,10157
YBL088C,200,1986
YBL089W,349,1373
YBL090W,1138,1253
YBL091C,3957,4974
YBL091C-A,205,335
YBL092W,82460,27682
YBL093C,1601,4723
YBL095W,293,2715
YBL097W,608,1249
YBL098W,545,1030
YBL099W,11253,7342
YBL100W-C,4,5
YBL101C,1111,1470
YBL102W,870,1458
YBL103C,1057,1917
YBL104C,1035,2035
YBL105C,1979,2867
YBL106C,358,1061
YBL107C,891,1562
YBR001C,565,996
YBR002C,660,3274
YBR003W,769,1062
YBR004C,626,2448
YBR005W,326,3158
YBR006W,424,1156
YBR007C,780,1258
YBR008C,19,1427
YBR009C,5553,10900
YBR010W,9690,21065
YBR011C,31858,9334
YBR013C,342,497
YBR014C,1224,1583
YBR015C,3302,4013
YBR016W,2851,2270
YBR017C,3208,6185
YBR018C,91,262
YBR019C,13,110
YBR020W,8,203
YBR021W,286,839
YBR022W,658,841
YBR023C,2083,4740
YBR024W,479,917
YBR025C,21584,12325
YBR026C,490,1012
YBR028C,818,1800
YBR029C,1914,1979
YBR030W,452,1877
YBR031W,11773,8855
YBR033W,33,171
YBR034C,2820,4883
YBR035C,4087,2955
YBR036C,2372,4119
YBR037C,539,819
YBR038W,2656,2051
YBR039W,4578,1741
YBR040W,6,63
YBR041W,1068,1726
YBR042C,779,1580
YBR043C,416,3352
YBR044C,377,1253
YBR045C,95,322
YBR046C,338,405
YBR047W,249,281
YBR048W,30509,8067
YBR049C,3635,2207
YBR050C,15,81
YBR052C,1335,2143
YBR053C,629,940
YBR054W,421,2043
YBR055C,730,2695
YBR056W,642,2030
YBR057C,928,1765
YBR058C,2095,2524
YBR058C-A,1780,1602
YBR059C,2262,2362
YBR060C,975,1824
YBR061C,1521,1823
YBR062C,731,1237
YBR063C,7,1339
YBR065C,487,828
YBR066C,877,2096
YBR067C,3088,3892
YBR068C,6139,21358
YBR069C,1148,2035
YBR070C,454,953
YBR071W,1288,1567
YBR072C-A,11,13
YBR072W,85,186
YBR073W,2373,4203
YBR074W,1644,4118
YBR076W,27,160
YBR077C,1009,1410
YBR078W,49204,21326
YBR079C,16019,12078
YBR080C,3872,3031
YBR081C,1457,2694
YBR082C,9034,4266
YBR083W,2503,2422
YBR084C-A,35759,18872
YBR084W,8240,9329
YBR085C-A,930,2483
YBR085W,740,1962
YBR086C,3711,4433
YBR087W,2027,3044
YBR088C,4486,3268
YBR089C-A,1787,1746
YBR090C,1382,1007
YBR091C,863,988
YBR093C,32,630
YBR094W,1177,1873
YBR095C,1023,2056
YBR096W,1449,1532
YBR097W,646,1806
YBR098W,378,702
YBR101C,2879,3023
YBR102C,1133,1699
YBR103W,896,2359
YBR104W,1390,3961
YBR105C,374,588
YBR106W,10027,9287
YBR107C,93,508
YBR108W,906,876
YBR109C,7093,3594
YBR110W,575,1571
YBR111C,3903,3522
YBR111W-A,914,656
YBR112C,3943,3703
YBR114W,606,1370
YBR115C,14395,8315
YBR117C,12,48
YBR118W,8237,8147
YBR119W,655,1213
YBR120C,567,585
YBR121C,15500,14160
YBR122C,1037,1572
YBR123C,751,1842
YBR125C,1096,1570
YBR126C,2315,4822
YBR127C,22390,13647
YBR128C,64,374
YBR129C,595,1738
YBR130C,1732,1739
YBR131W,325,1188
YBR132C,208,317
YBR133C,1123,2448
YBR135W,906,642
YBR136W,404,990
YBR137W,940,1082
YBR138C,464,750
YBR139W,885,893
YBR140C,997,2569
YBR141C,387,970
YBR142W,2563,3941
YBR143C,10267,11347
YBR145W,801,1374
YBR146W,1420,1064
YBR147W,174,275
YBR148W,127,155
YBR149W,2725,2355
YBR150C,427,1121
YBR151W,1064,2108
YBR152W,373,541
YBR153W,547,1735
YBR154C,4848,6351
YBR155W,1746,2007
YBR156C,662,1015
YBR157C,15,218
YBR158W,482,2582
YBR159W,3309,4445
YBR160W,1400,2423
YBR161W,390,1048
YBR162C,11032,8675
YBR162W-A,1937,3236
YBR163W,287,1449
YBR164C,1784,2752
YBR165W,579,1277
YBR166C,1629,3682
YBR167C,424,771
YBR168W,123,844
YBR169C,238,415
