ORF,Ribo_Prints,RNA_Prints
YAL001C,1207,1775
YAL002W,507,1783
YAL003W,101957,51937
YAL005C,40128,13177
YAL007C,3970,3446
YAL008W,931,647
YAL009W,300,841
YAL010C,391,713
YAL011W,418,790
YAL012W,39772,18091
YAL013W,967,1245
YAL014C,667,1322
YAL015C,368,843
YAL016W,9516,6237
YAL017W,1692,2074
YAL019W,3518,2712
YAL020C,431,1214
YAL021C,4788,2430
YAL022C,2083,2872
YAL023C,14692,14822
YAL024C,637,947
YAL025C,3432,2142
YAL026C,3639,2902
YAL027W,245,441
YAL028W,116,326
YAL029C,2396,3880
YAL030W,1132,565
YAL031C,570,1379
YAL032C,547,609
YAL033W,738,1009
YAL034C,25,416
YAL034W-A,286,373
YAL035W,38061,13200
YAL036C,6326,5704
YAL037W,31,144
YAL038W,586810,214289
YAL039C,785,929
YAL040C,799,1284
YAL041W,2042,2347
YAL042W,5457,8543
YAL043C,2258,2940
YAL044C,5328,3927
YAL044W-A,912,691
YAL046C,803,602
YAL047C,526,514
YAL048C,556,877
YAL049C,1993,1800
YAL051W,1225,1590
YAL053W,3356,3622
YAL054C,89,239
YAL055W,242,269
YAL056W,504,2233
YAL058W,719,1587
YAL059W,2046,1464
YAL060W,2606,3513
YAL061W,265,316
YAL062W,62,394
YAL063C,1,9
YAL064W-B,3,44
YAL067C,9,90
YAR002C-A,6068,6240
YAR002W,3948,3394
YAR003W,659,1558
YAR007C,5075,3831
YAR008W,488,904
YAR009C,31,78
YAR014C,2339,3018
YAR015W,6489,5775
YAR018C,574,790
YAR019C,428,821
YAR020C,1,8
YAR023C,13,137
YAR027W,1074,1488
YAR028W,662,822
YAR029W,3,68
YAR031W,195,273
YAR033W,71,94
YAR035W,89,284
YAR042W,1871,2226
YAR050W,2,50
YAR068W,4,301
YAR071W,56,75
YBL001C,2451,1888
YBL002W,15532,10991
YBL003C,12120,16266
YBL004W,9361,4547
YBL005W,535,1287
YBL005W-B,7,45
YBL006C,1182,1312
YBL007C,15592,6769
YBL008W,931,1343
YBL008W-A,7,17
YBL009W,1898,2282
YBL010C,487,620
YBL011W,2114,3306
YBL013W,257,183
YBL014C,358,1464
YBL015W,1215,1206
YBL016W,1330,1853
YBL017C,9304,3882
YBL018C,665,1050
YBL019W,228,557
YBL020W,1334,2034
YBL021C,361,371
YBL022C,7798,5485
YBL023C,2500,2089
YBL024W,11557,5961
YBL025W,352,414
YBL026W,1596,968
YBL027W,51638,31019
YBL028C,2382,954
YBL029C-A,271,279
YBL029W,139,127
YBL030C,15667,7649
YBL031W,381,603
YBL032W,6147,4818
YBL033C,1315,1406
YBL034C,1698,1017
YBL035C,2039,1834
YBL036C,2810,2968
YBL037W,1563,1526
YBL038W,992,1037
YBL039C,19402,10706
YBL039W-B,56,121
YBL040C,2742,3979
YBL041W,7436,5334
YBL042C,3398,4127
YBL043W,9,21
YBL044W,3,23
YBL045C,4700,3894
YBL046W,723,1154
YBL047C,14682,4628
YBL049W,21,12
YBL050W,3640,2818
YBL051C,4974,1704
YBL052C,337,1681
YBL054W,1921,1569
YBL055C,1020,1605
YBL056W,4567,6874
YBL057C,1172,1865
YBL058W,7543,5303
YBL059C-A,587,371
YBL059W,289,251
YBL060W,474,1160
YBL061C,2012,2537
YBL063W,850,722
YBL064C,2059,1846
YBL066C,454,585
YBL067C,1309,2141
YBL068W,3033,3030
YBL069W,1875,1407
YBL071C-B,6,13
YBL071W-A,1024,832
YBL072C,13995,9675
YBL074C,424,492
YBL075C,80,1283
YBL076C,49444,25445
YBL078C,300,145
YBL079W,3920,3619
YBL080C,283,616
YBL081W,1241,753
YBL082C,1385,2673
YBL084C,556,1027
YBL085W,2433,2687
YBL086C,731,712
YBL087C,16746,15847
YBL088C,352,1357
YBL089W,626,1030
YBL090W,844,611
YBL091C,6843,5527
YBL091C-A,380,399
YBL092W,100212,43089
YBL093C,1310,1438
YBL095W,202,614
YBL097W,738,709
YBL098W,1129,1107
YBL099W,23775,6888
YBL100W-B,1,28
YBL101C,1438,1063
YBL102W,1833,2357
YBL103C,918,1036
YBL104C,976,1631
YBL105C,2246,2552
YBL106C,664,1061
YBL107C,606,731
YBL113C,1,38
YBR001C,1189,1902
YBR002C,806,1529
YBR003W,1128,1634
YBR004C,1012,1238
YBR005W,283,530
YBR006W,581,596
YBR007C,833,1116
YBR008C,279,2314
YBR009C,4743,5737
YBR010W,13699,11530
YBR011C,58559,16673
YBR012W-B,3,47
YBR013C,185,195
YBR014C,1631,1327
YBR015C,4293,4015
YBR016W,2469,765
YBR017C,5748,5914
YBR018C,7,120
YBR019C,21,56
YBR020W,1,262
YBR021W,702,962
YBR022W,481,452
YBR023C,3778,6032
YBR024W,505,493
YBR025C,37483,19301
YBR026C,2841,2092
YBR028C,1071,1628
YBR029C,3031,3375
YBR030W,609,1907
YBR031W,7364,5519
YBR033W,23,38
YBR034C,4598,3691
YBR035C,3739,2228
YBR036C,3744,5758
YBR037C,896,1131
YBR038W,5428,3093
YBR039W,6745,3472
YBR040W,17,16
YBR041W,2240,2922
YBR042C,1389,2566
YBR043C,297,2471
YBR044C,281,1170
YBR045C,70,190
YBR046C,1542,987
YBR047W,310,291
YBR048W,19484,16072
YBR049C,5246,2543
YBR050C,34,84
YBR052C,2352,2508
YBR053C,1953,1887
YBR054W,1692,1342
