ORF,Ribo_Prints,RNA_Prints
YAL008W,161,687
YBR255W,182,384
YGR131W,26,59
YNL003C,293,573
YBR135W,173,842
YBR160W,314,1240
YJL082W,220,768
YPL191C,76,239
YGL215W,617,1276
YKL074C,256,745
YJL077C,60,81
YKL096W-A,5018,29205
YIL124W,735,2378
YPL039W,120,277
YGL141W,354,828
YJL179W,163,795
YOR009W,87,121
YKL029C,1569,5249
YPL166W,44,159
YKL052C,304,649
YHR025W,1799,6559
YOL034W,222,489
YBL008W,264,745
YIL062C,683,2891
YOL116W,209,443
YDR196C,219,731
YBR280C,115,341
YNR032W,283,552
YNR045W,139,281
YML105C,439,1968
YNL288W,387,1248
YIL004C,135,748
YNR018W,602,2521
YPL144W,168,517
YFR047C,458,1547
YER087C-B,338,2549
YHR078W,457,694
YJR115W,19,30
YLR355C,6965,60287
YGR099W,409,655
YLR300W,2975,12508
YCL028W,639,4977
YJR140C,347,910
YOR033C,343,593
YOR062C,70,166
YBR043C,519,690
YHR112C,395,946
YLR011W,80,241
YIL044C,360,1552
YKR084C,655,2600
YER121W,6,22
YCR046C,338,1212
YKL204W,418,2562
YOR266W,132,315
YDR393W,207,391
YGR186W,548,2927
YPR194C,143,148
YGR019W,424,1541
YBL033C,239,945
YLL057C,80,108
YNL229C,388,1565
YNL277W,303,538
YMR040W,25,40
YDR077W,3654,20605
YMR266W,1059,3732
YKR064W,302,507
YPL089C,237,488
YGR277C,308,936
YDL139C,42,191
YDR246W,149,496
YOR288C,247,747
YCR028C,416,948
YML054C,93,121
YLR179C,1988,8259
YOR141C,464,1751
YBL106C,221,480
YGL044C,242,972
YER107C,521,1738
YBR038W,536,2945
YEL047C,855,3691
YPR016C,859,4376
YOR208W,169,308
YDL055C,12561,47197
YML009C,130,688
YML072C,1630,10380
YDR142C,108,281
YFL044C,269,958
YKL019W,608,1196
YJL130C,2697,33163
YBL085W,455,1620
YFL011W,6,14
YDR082W,191,207
YDR348C,462,1867
YKL182W,5140,50533
YDR333C,688,1603
YKL018C-A,60,299
YPL027W,2,4
YIR012W,922,3493
YLR363C,193,657
YDR179C,29,188
YLR431C,80,140
YKR046C,604,1035
YJR005W,454,1097
YJL116C,69,133
YER030W,200,1712
YHR041C,308,746
YJR072C,846,2753
YDR515W,160,727
YKR039W,172,448
YGL003C,234,528
YPL009C,573,2933
YDR268W,260,575
YGL192W,453,481
YDL117W,464,1142
YMR131C,1747,5522
YMR293C,120,249
YJL214W,49,83
YIL105C,386,1094
YML126C,1763,13382
YLR189C,509,1001
YIL150C,70,343
YBR212W,422,2048
YJR109C,487,3406
YLR254C,66,203
YGR085C,1106,6231
YPL105C,932,2386
YGR145W,639,2694
YGR110W,101,146
YGL154C,163,258
YBR129C,231,640
YDL215C,717,1582
