ORF,Ribo_Prints
YAL001C,27.731646
YAL002W,15.441525
YAL003W,2127.474585
YAL007C,92.0322
YAL008W,17.271807
YAL009W,6.0528
YAL010C,10.8927
YAL011W,10.729014
YAL012W,796.86747
YAL013W,29.173536
YAL014C,14.256384
YAL015C,11.0808
YAL016W,184.593276
YAL017W,38.544228
YAL018C,0.2934
YAL019W,82.094904
YAL020C,9.96489
YAL021C,123.505278
YAL022C,47.089308
YAL023C,311.5278
YAL024C,19.851264
YAL025C,60.080514
YAL026C,69.513984
YAL027W,7.708302
YAL028W,3.23748
YAL029C,58.039488
YAL030W,24.819648
YAL031C,14.485635
YAL032C,16.4844
YAL033W,21.04965
YAL034C,1.004778
YAL034W-A,7.00524
YAL035W,667.375137
YAL036C,149.17956
YAL037W,0.603
YAL038W,16679.24791
YAL039C,21.97206
YAL040C,16.513182
YAL041W,45.43641
YAL042W,124.046208
YAL043C,56.342052
YAL044C,129.117996
YAL044W-A,20.549763
YAL046C,20.340075
YAL047C,12.683034
YAL048C,14.306877
YAL049C,41.783508
YAL051W,34.062096
YAL053W,70.952784
YAL054C,3.59856
YAL055W,5.336061
YAL056W,13.984113
YAL058W,19.072251
YAL059W,36.751446
YAL060W,79.469436
YAL061W,11.754996
YAL062W,2.561136
YAL063C-A,0
YAL064W,0
YAL067C,0.279774
YAL067W-A,0
YAR002C-A,113.4936
YAR002W,75.63942
YAR003W,11.447016
YAR007C,103.005066
YAR008W,6.451776
YAR014C,42.35505
YAR015W,129.484311
YAR018C,14.140788
YAR019C,11.199825
YAR020C,0
YAR023C,0.80946
YAR027W,27.650232
YAR028W,14.1423
YAR029W,0
YAR035W,4.020672
YAR042W,59.579601
YBL001C,51.6033
YBL004W,181.835046
YBL005W,27.179163
YBL006C,22.151685
YBL007C,318.121155
YBL008W,23.214123
YBL008W-A,0.45216
YBL009W,39.403431
YBL010C,12.572502
YBL011W,52.01364
YBL013W,6.329088
YBL014C,8.632275
YBL015W,24.502338
YBL016W,26.213346
YBL017C,175.31838
YBL018C,19.568556
YBL019W,6.483324
YBL020W,30.66705
YBL021C,8.736105
YBL022C,175.053312
YBL023C,47.874948
YBL024W,240.024
YBL025W,9.914568
YBL026W,48.544704
YBL028C,54.798873
YBL029C-A,7.72236
YBL029W,2.025621
YBL030C,263.827674
YBL031W,12.582324
YBL032W,135.854862
YBL033C,27.152004
YBL034C,37.498752
YBL035C,44.719452
YBL036C,70.44174
YBL037W,39.266046
YBL038W,27.24702
YBL039C,386.56536
YBL039W-B,3.56166
YBL040C,79.96758
YBL041W,162.01416
YBL042C,83.91552
YBL043W,0
YBL044W,0
YBL045C,91.479546
YBL046W,18.833178
YBL047C,352.401708
YBL049W,0.346944
YBL050W,74.843334
YBL051C,163.961865
YBL052C,9.756864
YBL054W,42.673854
YBL055C,28.949967
YBL056W,97.70208
YBL057C,23.227842
YBL058W,157.057656
YBL059C-A,20.88339
YBL059W,9.238668
YBL060W,12.615168
YBL061C,43.779267
YBL063W,19.175328
YBL064C,32.647296
YBL066C,9.372393
YBL067C,33.689172
YBL068W,62.868366
YBL069W,38.6097
YBL071W-A,19.178976
YBL074C,10.333968
YBL075C,0.8346
YBL076C,1141.570065
YBL078C,13.237122
YBL079W,109.140345
YBL080C,7.730004
YBL081W,31.90374
YBL082C,31.578741
YBL084C,11.451033
YBL085W,58.992435
YBL086C,13.352931
YBL088C,9.74406
YBL089W,12.23094
YBL090W,23.047974
YBL091C,129.191502
YBL091C-A,9.02352
YBL092W,3062.140065
YBL093C,34.331466
YBL095W,3.158505
YBL097W,16.147185
YBL098W,23.605044
YBL099W,434.260008
YBL100W-C,0
YBL101C,39.15795
YBL102W,36.501192
YBL103C,28.604919
YBL104C,29.302917
YBL105C,48.767616
YBL106C,15.959646
YBL107C,11.432304
YBR001C,31.417287
YBR002C,14.178948
YBR003W,24.405786
YBR004C,23.433396
YBR005W,8.593812
YBR006W,15.551046
YBR007C,21.415746
YBR008C,0.139995
YBR011C,1421.697312
YBR013C,6.56409
YBR014C,38.1582
YBR015C,121.679844
YBR016W,91.429524
YBR017C,126.612468
YBR018C,0.145332
YBR019C,0.693
YBR020W,0.141243
YBR021W,17.682894
YBR022W,13.14708
YBR023C,73.874262
YBR024W,11.565996
YBR025C,772.66266
YBR026C,79.942563
YBR028C,26.196378
YBR029C,87.210528
YBR030W,16.283085
YBR033W,0.82248
YBR034C,109.529811
YBR035C,109.461084
YBR036C,100.203444
YBR037C,25.569072
YBR038W,103.574088
YBR039W,131.742936
YBR040W,0
YBR041W,52.33638
YBR042C,29.514486
YBR043C,8.03988
YBR044C,7.843797
YBR045C,2.36544
YBR046C,40.43115
YBR047W,12.205248
YBR049C,123.674256
YBR050C,0.439344
YBR052C,63.136053
YBR053C,42.607197
YBR054W,26.57673
YBR055C,28.0827
YBR056W,41.824632
YBR056W-A,3.675285
YBR057C,24.665703
YBR058C,66.138432
YBR058C-A,52.229934
YBR059C,88.538124
YBR060C,23.69736
YBR061C,41.074392
YBR062C,22.562736
YBR063C,0.431325
YBR065C,11.61357
YBR066C,21.593247
YBR067C,228.103449
YBR068C,151.95954
YBR069C,179.14218
YBR070C,14.87976
YBR071W,35.531412
YBR072C-A,0
YBR072W,14.20677
YBR073W,59.312232
YBR074W,83.310744
YBR076W,0.145905
YBR077C,18.572709
YBR078W,1734.43725
YBR079C,479.177505
YBR080C,163.499985
YBR081C,43.025241
YBR082C,317.384304
YBR083W,20.816328
YBR084W,219.8928
YBR085C-A,32.310888
YBR085W,7.6923
YBR086C,188.821383
YBR087W,37.41558
YBR088C,121.120314
YBR091C,10.40985
YBR094W,44.993442
YBR095C,21.445698
YBR096W,63.822528
YBR097W,29.433195
YBR098W,9.146856
YBR101C,75.979809
YBR102C,38.78199
YBR103W,20.114472
YBR104W,25.97265
YBR105C,17.139771
YBR106W,484.009911
YBR107C,3.05163
YBR108W,38.419596
YBR109C,208.230672
YBR110W,34.0497
YBR111C,79.950912
YBR111W-A,11.820129
YBR112C,118.99902
YBR114W,10.329669
YBR115C,288.137871
YBR117C,1.108932
YBR119W,15.62574
YBR120C,13.763394
YBR121C,633.819108
YBR122C,33.598212
YBR123C,30.4512
YBR125C,18.157884
YBR126C,171.258384
YBR126W-A,60.227064
YBR127C,912.047262
YBR128C,1.168515
YBR129C,18.34833
YBR130C,52.665102
YBR131W,8.170245
YBR132C,17.464041
YBR133C,27.351324
YBR135W,33.348954
YBR136W,21.008292
YBR137W,35.29332
YBR138C,15.49485
YBR139W,66.768075
YBR140C,71.745228
YBR141C,13.463892
YBR142W,86.847444
YBR143C,363.520728
YBR145W,13.551648
YBR146W,39.101292
