ORF,RNA_Prints,Ribo_Prints,,,,,,,,,,,,,,,,,,,,,,,,,
YBL090W,19362,11969,,,,,,,,,,,,,,,,,,,,,,,,,
YBL091C,178923,107690,,,,,,,,,,,,,,,,,,,,,,,,,
YBL092W,581474,519541,,,,,,,,,,,,,,,,,,,,,,,,,
YBL093C,28072,16336,,,,,,,,,,,,,,,,,,,,,,,,,
YBL095W,20521,3955,,,,,,,,,,,,,,,,,,,,,,,,,
YBL097W,8951,8137,,,,,,,,,,,,,,,,,,,,,,,,,
YBL098W,23900,12222,,,,,,,,,,,,,,,,,,,,,,,,,
YBL099W,162406,276037,,,,,,,,,,,,,,,,,,,,,,,,,
YBL101C,24888,22871,,,,,,,,,,,,,,,,,,,,,,,,,
YBL102W,36284,20708,,,,,,,,,,,,,,,,,,,,,,,,,
YBL103C,25253,10335,,,,,,,,,,,,,,,,,,,,,,,,,
YBL104C,20834,11573,,,,,,,,,,,,,,,,,,,,,,,,,
YBL107C,27281,8463,,,,,,,,,,,,,,,,,,,,,,,,,
YBR002C,22091,9166,,,,,,,,,,,,,,,,,,,,,,,,,
YBR003W,39346,14596,,,,,,,,,,,,,,,,,,,,,,,,,
YBR004C,16051,8747,,,,,,,,,,,,,,,,,,,,,,,,,
YBR005W,15438,5802,,,,,,,,,,,,,,,,,,,,,,,,,
YBR006W,16242,8489,,,,,,,,,,,,,,,,,,,,,,,,,
YBR007C,24190,9710,,,,,,,,,,,,,,,,,,,,,,,,,
YBR011C,264759,324352,,,,,,,,,,,,,,,,,,,,,,,,,
YBR014C,8248,4535,,,,,,,,,,,,,,,,,,,,,,,,,
YBR015C,99900,93291,,,,,,,,,,,,,,,,,,,,,,,,,
YBR016W,58537,78431,,,,,,,,,,,,,,,,,,,,,,,,,
YBR017C,88045,63449,,,,,,,,,,,,,,,,,,,,,,,,,
YBR018C,3815,208,,,,,,,,,,,,,,,,,,,,,,,,,
YBR019C,1725,84,,,,,,,,,,,,,,,,,,,,,,,,,
YBR022W,17382,7349,,,,,,,,,,,,,,,,,,,,,,,,,
YBR023C,43241,35950,,,,,,,,,,,,,,,,,,,,,,,,,
YBR024W,13290,6592,,,,,,,,,,,,,,,,,,,,,,,,,
YBR025C,324996,309162,,,,,,,,,,,,,,,,,,,,,,,,,
YBR026C,69788,49543,,,,,,,,,,,,,,,,,,,,,,,,,
YBR028C,39388,15092,,,,,,,,,,,,,,,,,,,,,,,,,
YBR030W,46073,6355,,,,,,,,,,,,,,,,,,,,,,,,,
YBR033W,1907,156,,,,,,,,,,,,,,,,,,,,,,,,,
YBR034C,34556,51086,,,,,,,,,,,,,,,,,,,,,,,,,
YBR035C,74963,57732,,,,,,,,,,,,,,,,,,,,,,,,,
YBR036C,74059,75622,,,,,,,,,,,,,,,,,,,,,,,,,
YBR037C,24310,13082,,,,,,,,,,,,,,,,,,,,,,,,,
YBR038W,48375,58021,,,,,,,,,,,,,,,,,,,,,,,,,
YBR039W,63564,69058,,,,,,,,,,,,,,,,,,,,,,,,,
YBR040W,1057,312,,,,,,,,,,,,,,,,,,,,,,,,,
YBR041W,50901,27419,,,,,,,,,,,,,,,,,,,,,,,,,
YBR042C,45388,18157,,,,,,,,,,,,,,,,,,,,,,,,,
YBR043C,41917,4523,,,,,,,,,,,,,,,,,,,,,,,,,
YBR044C,29224,5889,,,,,,,,,,,,,,,,,,,,,,,,,
YBR045C,5816,488,,,,,,,,,,,,,,,,,,,,,,,,,
YBR046C,30952,28940,,,,,,,,,,,,,,,,,,,,,,,,,
YBR047W,7282,3284,,,,,,,,,,,,,,,,,,,,,,,,,
YBR050C,9668,614,,,,,,,,,,,,,,,,,,,,,,,,,
YBR052C,89262,52350,,,,,,,,,,,,,,,,,,,,,,,,,
YBR053C,53674,27151,,,,,,,,,,,,,,,,,,,,,,,,,
YBR054W,10060,10680,,,,,,,,,,,,,,,,,,,,,,,,,
YBR055C,42669,13959,,,,,,,,,,,,,,,,,,,,,,,,,
YBR056W,59113,20327,,,,,,,,,,,,,,,,,,,,,,,,,
YBR057C,33492,12413,,,,,,,,,,,,,,,,,,,,,,,,,
YBR058C,43711,38526,,,,,,,,,,,,,,,,,,,,,,,,,
YBR059C,55050,37052,,,,,,,,,,,,,,,,,,,,,,,,,
YBR060C,43385,16222,,,,,,,,,,,,,,,,,,,,,,,,,
YBR061C,29086,19821,,,,,,,,,,,,,,,,,,,,,,,,,
YBR062C,27103,11144,,,,,,,,,,,,,,,,,,,,,,,,,
YBR063C,20569,294,,,,,,,,,,,,,,,,,,,,,,,,,
YBR065C,11556,7752,,,,,,,,,,,,,,,,,,,,,,,,,
YBR066C,28449,9986,,,,,,,,,,,,,,,,,,,,,,,,,
YBR067C,99085,267030,,,,,,,,,,,,,,,,,,,,,,,,,
