ORF,RNA_Prints,Ribo_Prints,,,,,,,,,,,,,,,,,,,,,,,,,
YEL038W,50160,32621,,,,,,,,,,,,,,,,,,,,,,,,,
YEL039C,8958,2239,,,,,,,,,,,,,,,,,,,,,,,,,
YEL040W,204092,223008,,,,,,,,,,,,,,,,,,,,,,,,,
YEL041W,9140,2494,,,,,,,,,,,,,,,,,,,,,,,,,
YEL042W,107253,119434,,,,,,,,,,,,,,,,,,,,,,,,,
YEL043W,56858,19779,,,,,,,,,,,,,,,,,,,,,,,,,
YEL044W,40271,32882,,,,,,,,,,,,,,,,,,,,,,,,,
YEL046C,65192,188905,,,,,,,,,,,,,,,,,,,,,,,,,
YEL047C,121669,129057,,,,,,,,,,,,,,,,,,,,,,,,,
YEL048C,15440,4030,,,,,,,,,,,,,,,,,,,,,,,,,
YEL050C,28951,19782,,,,,,,,,,,,,,,,,,,,,,,,,
YEL051W,84280,44540,,,,,,,,,,,,,,,,,,,,,,,,,
YEL052W,44432,19672,,,,,,,,,,,,,,,,,,,,,,,,,
YEL053C,31853,10983,,,,,,,,,,,,,,,,,,,,,,,,,
YEL056W,42551,15244,,,,,,,,,,,,,,,,,,,,,,,,,
YEL057C,2477,359,,,,,,,,,,,,,,,,,,,,,,,,,
YEL058W,103460,101078,,,,,,,,,,,,,,,,,,,,,,,,,
YEL060C,43961,61964,,,,,,,,,,,,,,,,,,,,,,,,,
YEL061C,28181,10760,,,,,,,,,,,,,,,,,,,,,,,,,
YEL062W,15928,5265,,,,,,,,,,,,,,,,,,,,,,,,,
YEL064C,14469,6588,,,,,,,,,,,,,,,,,,,,,,,,,
YEL065W,68135,71052,,,,,,,,,,,,,,,,,,,,,,,,,
YEL066W,19198,14299,,,,,,,,,,,,,,,,,,,,,,,,,
YER001W,52478,38398,,,,,,,,,,,,,,,,,,,,,,,,,
YER002W,72023,40832,,,,,,,,,,,,,,,,,,,,,,,,,
YER004W,75252,61201,,,,,,,,,,,,,,,,,,,,,,,,,
YER005W,35725,9446,,,,,,,,,,,,,,,,,,,,,,,,,
YER006W,76384,69972,,,,,,,,,,,,,,,,,,,,,,,,,
YER007W,15766,3249,,,,,,,,,,,,,,,,,,,,,,,,,
YER008C,37873,27019,,,,,,,,,,,,,,,,,,,,,,,,,
YER009W,175148,116589,,,,,,,,,,,,,,,,,,,,,,,,,
YER010C,30052,18799,,,,,,,,,,,,,,,,,,,,,,,,,
YER012W,95659,51842,,,,,,,,,,,,,,,,,,,,,,,,,
YER013W,18542,10731,,,,,,,,,,,,,,,,,,,,,,,,,
YER014W,41358,17322,,,,,,,,,,,,,,,,,,,,,,,,,
YER015W,9629,1807,,,,,,,,,,,,,,,,,,,,,,,,,
YER016W,48458,17072,,,,,,,,,,,,,,,,,,,,,,,,,
YER018C,19736,10162,,,,,,,,,,,,,,,,,,,,,,,,,
YER019W,54388,30296,,,,,,,,,,,,,,,,,,,,,,,,,
YER020W,48756,16098,,,,,,,,,,,,,,,,,,,,,,,,,
YER021W,129817,102077,,,,,,,,,,,,,,,,,,,,,,,,,
YER022W,35443,14365,,,,,,,,,,,,,,,,,,,,,,,,,
YER023W,184424,141614,,,,,,,,,,,,,,,,,,,,,,,,,
YER024W,16938,1624,,,,,,,,,,,,,,,,,,,,,,,,,
YER025W,102609,170750,,,,,,,,,,,,,,,,,,,,,,,,,
YER026C,143363,61555,,,,,,,,,,,,,,,,,,,,,,,,,
YER027C,54942,52247,,,,,,,,,,,,,,,,,,,,,,,,,
YER028C,47476,7227,,,,,,,,,,,,,,,,,,,,,,,,,
YER029C,35220,16211,,,,,,,,,,,,,,,,,,,,,,,,,
YER030W,55539,37869,,,,,,,,,,,,,,,,,,,,,,,,,
YER031C,77095,33925,,,,,,,,,,,,,,,,,,,,,,,,,
YER032W,25674,18809,,,,,,,,,,,,,,,,,,,,,,,,,
YER033C,12305,7370,,,,,,,,,,,,,,,,,,,,,,,,,
YER034W,17695,15353,,,,,,,,,,,,,,,,,,,,,,,,,
YER035W,28373,32452,,,,,,,,,,,,,,,,,,,,,,,,,
YER036C,154164,206295,,,,,,,,,,,,,,,,,,,,,,,,,
YER037W,18811,6036,,,,,,,,,,,,,,,,,,,,,,,,,
YER038C,10549,2075,,,,,,,,,,,,,,,,,,,,,,,,,
YER039C,3424,84,,,,,,,,,,,,,,,,,,,,,,,,,
YER040W,21321,10442,,,,,,,,,,,,,,,,,,,,,,,,,
YER041W,21704,1927,,,,,,,,,,,,,,,,,,,,,,,,,
YER042W,25256,19204,,,,,,,,,,,,,,,,,,,,,,,,,
YER043C,305760,556504,,,,,,,,,,,,,,,,,,,,,,,,,
YER044C,28486,17811,,,,,,,,,,,,,,,,,,,,,,,,,
YER045C,14769,6162,,,,,,,,,,,,,,,,,,,,,,,,,
YER046W,10874,1438,,,,,,,,,,,,,,,,,,,,,,,,,
YER047C,21029,10379,,,,,,,,,,,,,,,,,,,,,,,,,
YER048C,89990,59522,,,,,,,,,,,,,,,,,,,,,,,,,
YER049W,86995,68625,,,,,,,,,,,,,,,,,,,,,,,,,
YER050C,30338,17294,,,,,,,,,,,,,,,,,,,,,,,,,
YER051W,19592,4586,,,,,,,,,,,,,,,,,,,,,,,,,
YER052C,42698,74279,,,,,,,,,,,,,,,,,,,,,,,,,
YER053C,32489,5623,,,,,,,,,,,,,,,,,,,,,,,,,
YER054C,10222,877,,,,,,,,,,,,,,,,,,,,,,,,,
YER055C,330545,216227,,,,,,,,,,,,,,,,,,,,,,,,,
YER056C,7409,3101,,,,,,,,,,,,,,,,,,,,,,,,,
YER056C-A,215077,148135,,,,,,,,,,,,,,,,,,,,,,,,,
YER057C,98199,112959,,,,,,,,,,,,,,,,,,,,,,,,,
YER058W,7140,6777,,,,,,,,,,,,,,,,,,,,,,,,,
YER059W,36375,12414,,,,,,,,,,,,,,,,,,,,,,,,,
YER061C,20907,8881,,,,,,,,,,,,,,,,,,,,,,,,,
YER062C,93320,62246,,,,,,,,,,,,,,,,,,,,,,,,,
YER063W,75992,54343,,,,,,,,,,,,,,,,,,,,,,,,,
YER064C,145253,47589,,,,,,,,,,,,,,,,,,,,,,,,,
YER065C,11154,754,,,,,,,,,,,,,,,,,,,,,,,,,
YER067W,69584,6784,,,,,,,,,,,,,,,,,,,,,,,,,
YER068W,53694,47970,,,,,,,,,,,,,,,,,,,,,,,,,
YER069W,34091,12038,,,,,,,,,,,,,,,,,,,,,,,,,
YER071C,15059,5864,,,,,,,,,,,,,,,,,,,,,,,,,
YER072W,427421,492956,,,,,,,,,,,,,,,,,,,,,,,,,
YER075C,25477,11770,,,,,,,,,,,,,,,,,,,,,,,,,
YER077C,2252,1392,,,,,,,,,,,,,,,,,,,,,,,,,
YER078C,30330,8724,,,,,,,,,,,,,,,,,,,,,,,,,
YER079W,20051,10153,,,,,,,,,,,,,,,,,,,,,,,,,
YER080W,80394,68335,,,,,,,,,,,,,,,,,,,,,,,,,
YER082C,66782,34012,,,,,,,,,,,,,,,,,,,,,,,,,
YER083C,64778,68953,,,,,,,,,,,,,,,,,,,,,,,,,
YER086W,77518,106339,,,,,,,,,,,,,,,,,,,,,,,,,
YER087W,24316,6714,,,,,,,,,,,,,,,,,,,,,,,,,
YER088C,70175,52652,,,,,,,,,,,,,,,,,,,,,,,,,
YER089C,80160,69684,,,,,,,,,,,,,,,,,,,,,,,,,
YER090W,124156,137137,,,,,,,,,,,,,,,,,,,,,,,,,
YER091C,48439,278101,,,,,,,,,,,,,,,,,,,,,,,,,
YER092W,31847,12423,,,,,,,,,,,,,,,,,,,,,,,,,
YER094C,86953,57476,,,,,,,,,,,,,,,,,,,,,,,,,
YER095W,37037,22513,,,,,,,,,,,,,,,,,,,,,,,,,
YER096W,2829,755,,,,,,,,,,,,,,,,,,,,,,,,,
YER098W,13330,1897,,,,,,,,,,,,,,,,,,,,,,,,,
YER099C,50189,24237,,,,,,,,,,,,,,,,,,,,,,,,,
YER100W,50522,56969,,,,,,,,,,,,,,,,,,,,,,,,,
YER104W,10963,4980,,,,,,,,,,,,,,,,,,,,,,,,,
YER106W,670,169,,,,,,,,,,,,,,,,,,,,,,,,,
YER107C,43495,19650,,,,,,,,,,,,,,,,,,,,,,,,,
YER110C,108121,465809,,,,,,,,,,,,,,,,,,,,,,,,,
YER111C,25444,13796,,,,,,,,,,,,,,,,,,,,,,,,,
YER112W,52687,24355,,,,,,,,,,,,,,,,,,,,,,,,,
YER113C,36038,17185,,,,,,,,,,,,,,,,,,,,,,,,,
YER114C,44263,48310,,,,,,,,,,,,,,,,,,,,,,,,,
YER115C,24442,1668,,,,,,,,,,,,,,,,,,,,,,,,,
YER116C,10400,5303,,,,,,,,,,,,,,,,,,,,,,,,,
YER118C,55114,26458,,,,,,,,,,,,,,,,,,,,,,,,,
YER119C,42692,23639,,,,,,,,,,,,,,,,,,,,,,,,,
YER120W,176084,281804,,,,,,,,,,,,,,,,,,,,,,,,,
YER122C,130875,116696,,,,,,,,,,,,,,,,,,,,,,,,,
YER123W,19461,14489,,,,,,,,,,,,,,,,,,,,,,,,,
YER124C,184000,60830,,,,,,,,,,,,,,,,,,,,,,,,,
YER125W,31420,89290,,,,,,,,,,,,,,,,,,,,,,,,,
YER126C,31312,40323,,,,,,,,,,,,,,,,,,,,,,,,,
YER127W,47722,33599,,,,,,,,,,,,,,,,,,,,,,,,,
YER128W,10137,6105,,,,,,,,,,,,,,,,,,,,,,,,,
YER129W,51272,12696,,,,,,,,,,,,,,,,,,,,,,,,,
YER130C,44448,8085,,,,,,,,,,,,,,,,,,,,,,,,,
YER132C,19088,9032,,,,,,,,,,,,,,,,,,,,,,,,,
YER133W,54031,31050,,,,,,,,,,,,,,,,,,,,,,,,,
YER136W,96565,65389,,,,,,,,,,,,,,,,,,,,,,,,,
YER137C,7452,3140,,,,,,,,,,,,,,,,,,,,,,,,,
YER139C,7399,3181,,,,,,,,,,,,,,,,,,,,,,,,,
YER140W,21903,4820,,,,,,,,,,,,,,,,,,,,,,,,,
YER141W,50060,54742,,,,,,,,,,,,,,,,,,,,,,,,,
YER142C,17927,4361,,,,,,,,,,,,,,,,,,,,,,,,,
YER143W,44810,33077,,,,,,,,,,,,,,,,,,,,,,,,,
YER144C,32922,9956,,,,,,,,,,,,,,,,,,,,,,,,,
YER145C,138885,94975,,,,,,,,,,,,,,,,,,,,,,,,,
YER146W,45388,33953,,,,,,,,,,,,,,,,,,,,,,,,,
YER147C,18581,7164,,,,,,,,,,,,,,,,,,,,,,,,,
YER148W,82302,30816,,,,,,,,,,,,,,,,,,,,,,,,,
YER149C,29991,11793,,,,,,,,,,,,,,,,,,,,,,,,,
YER150W,19848,7536,,,,,,,,,,,,,,,,,,,,,,,,,
YER151C,72095,63729,,,,,,,,,,,,,,,,,,,,,,,,,
YER152C,79156,26855,,,,,,,,,,,,,,,,,,,,,,,,,
YER153C,8922,3161,,,,,,,,,,,,,,,,,,,,,,,,,
YER154W,38344,29128,,,,,,,,,,,,,,,,,,,,,,,,,
YER156C,80069,70312,,,,,,,,,,,,,,,,,,,,,,,,,
YER157W,31344,13982,,,,,,,,,,,,,,,,,,,,,,,,,
YER158C,9076,5426,,,,,,,,,,,,,,,,,,,,,,,,,
YER159C,43685,18543,,,,,,,,,,,,,,,,,,,,,,,,,
YER161C,39967,17158,,,,,,,,,,,,,,,,,,,,,,,,,
YER162C,17539,7219,,,,,,,,,,,,,,,,,,,,,,,,,
YER163C,39233,12231,,,,,,,,,,,,,,,,,,,,,,,,,
YER164W,51158,50679,,,,,,,,,,,,,,,,,,,,,,,,,
YER165W,208071,317966,,,,,,,,,,,,,,,,,,,,,,,,,
YER167W,29079,13321,,,,,,,,,,,,,,,,,,,,,,,,,
YER168C,36367,20216,,,,,,,,,,,,,,,,,,,,,,,,,
YER169W,29286,11913,,,,,,,,,,,,,,,,,,,,,,,,,
YER170W,15763,10661,,,,,,,,,,,,,,,,,,,,,,,,,
YER171W,32031,14141,,,,,,,,,,,,,,,,,,,,,,,,,
YER173W,25965,4549,,,,,,,,,,,,,,,,,,,,,,,,,
YER174C,27706,13407,,,,,,,,,,,,,,,,,,,,,,,,,
YER175C,13987,6179,,,,,,,,,,,,,,,,,,,,,,,,,
YER176W,30995,22364,,,,,,,,,,,,,,,,,,,,,,,,,
YER177W,463754,530577,,,,,,,,,,,,,,,,,,,,,,,,,
YER178W,355194,476208,,,,,,,,,,,,,,,,,,,,,,,,,
YER179W,1956,342,,,,,,,,,,,,,,,,,,,,,,,,,
YER180C,29262,337,,,,,,,,,,,,,,,,,,,,,,,,,
YER182W,19608,18652,,,,,,,,,,,,,,,,,,,,,,,,,
YER183C,38130,13240,,,,,,,,,,,,,,,,,,,,,,,,,
YFL001W,27093,10167,,,,,,,,,,,,,,,,,,,,,,,,,
YFL002C,41220,23796,,,,,,,,,,,,,,,,,,,,,,,,,
YFL003C,3373,234,,,,,,,,,,,,,,,,,,,,,,,,,
YFL004W,141673,135020,,,,,,,,,,,,,,,,,,,,,,,,,
YFL005W,55336,44152,,,,,,,,,,,,,,,,,,,,,,,,,
YFL007W,75309,68366,,,,,,,,,,,,,,,,,,,,,,,,,
YFL008W,43606,22385,,,,,,,,,,,,,,,,,,,,,,,,,
YFL009W,37775,24999,,,,,,,,,,,,,,,,,,,,,,,,,
YFL010C,154656,280466,,,,,,,,,,,,,,,,,,,,,,,,,
YFL013C,42217,22386,,,,,,,,,,,,,,,,,,,,,,,,,
YFL014W,4361,3845,,,,,,,,,,,,,,,,,,,,,,,,,
YFL016C,66694,42536,,,,,,,,,,,,,,,,,,,,,,,,,
YFL017C,33617,26438,,,,,,,,,,,,,,,,,,,,,,,,,
YFL018C,179153,154422,,,,,,,,,,,,,,,,,,,,,,,,,
YFL021W,20683,12366,,,,,,,,,,,,,,,,,,,,,,,,,
YFL022C,127560,188545,,,,,,,,,,,,,,,,,,,,,,,,,
YFL023W,36979,23747,,,,,,,,,,,,,,,,,,,,,,,,,
YFL024C,27314,9600,,,,,,,,,,,,,,,,,,,,,,,,,
YFL025C,17201,10088,,,,,,,,,,,,,,,,,,,,,,,,,
YFL026W,5742,581,,,,,,,,,,,,,,,,,,,,,,,,,
YFL027C,21036,4272,,,,,,,,,,,,,,,,,,,,,,,,,
YFL028C,29633,14965,,,,,,,,,,,,,,,,,,,,,,,,,
YFL029C,29699,10030,,,,,,,,,,,,,,,,,,,,,,,,,
YFL030W,5414,979,,,,,,,,,,,,,,,,,,,,,,,,,
YFL033C,18989,17717,,,,,,,,,,,,,,,,,,,,,,,,,
YFL034C-A,96792,47724,,,,,,,,,,,,,,,,,,,,,,,,,
YFL034W,36324,20872,,,,,,,,,,,,,,,,,,,,,,,,,
YFL036W,30925,23639,,,,,,,,,,,,,,,,,,,,,,,,,
YFL037W,169258,189646,,,,,,,,,,,,,,,,,,,,,,,,,
YFL038C,215205,187169,,,,,,,,,,,,,,,,,,,,,,,,,
YFL039C,217161,319018,,,,,,,,,,,,,,,,,,,,,,,,,
YFL040W,82,0,,,,,,,,,,,,,,,,,,,,,,,,,
YFL041W,39156,36042,,,,,,,,,,,,,,,,,,,,,,,,,
YFL042C,31970,12769,,,,,,,,,,,,,,,,,,,,,,,,,
YFL044C,23228,20237,,,,,,,,,,,,,,,,,,,,,,,,,
YFL045C,333587,235553,,,,,,,,,,,,,,,,,,,,,,,,,
YFL046W,20282,6465,,,,,,,,,,,,,,,,,,,,,,,,,
YFL047W,48057,15823,,,,,,,,,,,,,,,,,,,,,,,,,
YFL048C,70105,44160,,,,,,,,,,,,,,,,,,,,,,,,,
YFR001W,37281,18307,,,,,,,,,,,,,,,,,,,,,,,,,
YFR002W,75040,37014,,,,,,,,,,,,,,,,,,,,,,,,,
YFR003C,28364,16775,,,,,,,,,,,,,,,,,,,,,,,,,
YFR004W,105791,56400,,,,,,,,,,,,,,,,,,,,,,,,,
YFR005C,42375,12164,,,,,,,,,,,,,,,,,,,,,,,,,
YFR006W,75414,68974,,,,,,,,,,,,,,,,,,,,,,,,,
YFR007W,12705,6165,,,,,,,,,,,,,,,,,,,,,,,,,
YFR008W,14045,4329,,,,,,,,,,,,,,,,,,,,,,,,,
YFR009W,100650,91511,,,,,,,,,,,,,,,,,,,,,,,,,
YFR010W,72111,63526,,,,,,,,,,,,,,,,,,,,,,,,,
YFR011C,21164,10694,,,,,,,,,,,,,,,,,,,,,,,,,
YFR013W,36281,18103,,,,,,,,,,,,,,,,,,,,,,,,,
YFR014C,38364,17095,,,,,,,,,,,,,,,,,,,,,,,,,
YFR016C,59393,35340,,,,,,,,,,,,,,,,,,,,,,,,,
YFR017C,22362,5848,,,,,,,,,,,,,,,,,,,,,,,,,
YFR018C,46961,16985,,,,,,,,,,,,,,,,,,,,,,,,,
YFR019W,24629,19756,,,,,,,,,,,,,,,,,,,,,,,,,
YFR021W,22731,14585,,,,,,,,,,,,,,,,,,,,,,,,,
YFR022W,12391,1910,,,,,,,,,,,,,,,,,,,,,,,,,
YFR023W,717,28,,,,,,,,,,,,,,,,,,,,,,,,,
YFR024C-A,92491,104884,,,,,,,,,,,,,,,,,,,,,,,,,
YFR025C,40997,12692,,,,,,,,,,,,,,,,,,,,,,,,,
YFR027W,13472,5343,,,,,,,,,,,,,,,,,,,,,,,,,
YFR028C,79286,28873,,,,,,,,,,,,,,,,,,,,,,,,,
YFR029W,12303,6291,,,,,,,,,,,,,,,,,,,,,,,,,
YFR030W,25411,10944,,,,,,,,,,,,,,,,,,,,,,,,,
YFR031C,30882,7615,,,,,,,,,,,,,,,,,,,,,,,,,
YFR032C,3192,494,,,,,,,,,,,,,,,,,,,,,,,,,
YFR033C,58223,19587,,,,,,,,,,,,,,,,,,,,,,,,,
YFR034C,40500,40714,,,,,,,,,,,,,,,,,,,,,,,,,
YFR036W,8257,11043,,,,,,,,,,,,,,,,,,,,,,,,,
YFR037C,119689,81482,,,,,,,,,,,,,,,,,,,,,,,,,
YFR038W,46702,17013,,,,,,,,,,,,,,,,,,,,,,,,,
YFR039C,48917,13206,,,,,,,,,,,,,,,,,,,,,,,,,
YFR040W,55163,25771,,,,,,,,,,,,,,,,,,,,,,,,,
YFR041C,40506,15079,,,,,,,,,,,,,,,,,,,,,,,,,
YFR042W,21117,9103,,,,,,,,,,,,,,,,,,,,,,,,,
YFR043C,14598,4251,,,,,,,,,,,,,,,,,,,,,,,,,
YFR044C,199672,280132,,,,,,,,,,,,,,,,,,,,,,,,,
YFR046C,16835,5156,,,,,,,,,,,,,,,,,,,,,,,,,
YFR047C,55846,34223,,,,,,,,,,,,,,,,,,,,,,,,,
YFR048W,35735,9599,,,,,,,,,,,,,,,,,,,,,,,,,
YFR049W,24095,23887,,,,,,,,,,,,,,,,,,,,,,,,,
YFR050C,99470,73009,,,,,,,,,,,,,,,,,,,,,,,,,
YFR051C,120119,122088,,,,,,,,,,,,,,,,,,,,,,,,,
YFR052W,102327,75298,,,,,,,,,,,,,,,,,,,,,,,,,
YGL002W,29712,13749,,,,,,,,,,,,,,,,,,,,,,,,,
YGL003C,25786,9286,,,,,,,,,,,,,,,,,,,,,,,,,
YGL004C,22718,8471,,,,,,,,,,,,,,,,,,,,,,,,,
YGL005C,26698,7180,,,,,,,,,,,,,,,,,,,,,,,,,
YGL006W,50516,15289,,,,,,,,,,,,,,,,,,,,,,,,,
YGL007W,36,0,,,,,,,,,,,,,,,,,,,,,,,,,
YGL009C,67301,89806,,,,,,,,,,,,,,,,,,,,,,,,,
YGL010W,12374,4399,,,,,,,,,,,,,,,,,,,,,,,,,
YGL011C,163565,78615,,,,,,,,,,,,,,,,,,,,,,,,,
YGL012W,210570,189690,,,,,,,,,,,,,,,,,,,,,,,,,
YGL013C,41151,23961,,,,,,,,,,,,,,,,,,,,,,,,,
YGL014W,39762,49420,,,,,,,,,,,,,,,,,,,,,,,,,
YGL015C,270,0,,,,,,,,,,,,,,,,,,,,,,,,,
YGL016W,31733,19926,,,,,,,,,,,,,,,,,,,,,,,,,
YGL017W,29937,11842,,,,,,,,,,,,,,,,,,,,,,,,,
YGL018C,12471,7624,,,,,,,,,,,,,,,,,,,,,,,,,
YGL019W,49579,35901,,,,,,,,,,,,,,,,,,,,,,,,,
YGL020C,55337,30445,,,,,,,,,,,,,,,,,,,,,,,,,
YGL021W,75114,25339,,,,,,,,,,,,,,,,,,,,,,,,,
YGL022W,132190,114998,,,,,,,,,,,,,,,,,,,,,,,,,
YGL023C,67562,29384,,,,,,,,,,,,,,,,,,,,,,,,,
YGL025C,28689,16053,,,,,,,,,,,,,,,,,,,,,,,,,
YGL026C,128572,307012,,,,,,,,,,,,,,,,,,,,,,,,,
YGL027C,70446,56414,,,,,,,,,,,,,,,,,,,,,,,,,
YGL028C,81335,186076,,,,,,,,,,,,,,,,,,,,,,,,,
YGL029W,12014,8612,,,,,,,,,,,,,,,,,,,,,,,,,
YGL031C,275893,302878,,,,,,,,,,,,,,,,,,,,,,,,,
YGL035C,60944,36713,,,,,,,,,,,,,,,,,,,,,,,,,
YGL036W,51083,14189,,,,,,,,,,,,,,,,,,,,,,,,,
YGL037C,197306,110054,,,,,,,,,,,,,,,,,,,,,,,,,
YGL038C,38811,28985,,,,,,,,,,,,,,,,,,,,,,,,,
YGL039W,55602,29652,,,,,,,,,,,,,,,,,,,,,,,,,
YGL040C,98444,77710,,,,,,,,,,,,,,,,,,,,,,,,,
YGL041W-A,22142,8891,,,,,,,,,,,,,,,,,,,,,,,,,
YGL043W,60143,61580,,,,,,,,,,,,,,,,,,,,,,,,,
YGL044C,26933,20684,,,,,,,,,,,,,,,,,,,,,,,,,
YGL045W,13013,2179,,,,,,,,,,,,,,,,,,,,,,,,,
YGL047W,20726,7298,,,,,,,,,,,,,,,,,,,,,,,,,
YGL048C,126670,95730,,,,,,,,,,,,,,,,,,,,,,,,,
YGL049C,40161,59152,,,,,,,,,,,,,,,,,,,,,,,,,
YGL050W,28766,12162,,,,,,,,,,,,,,,,,,,,,,,,,
YGL054C,67607,30313,,,,,,,,,,,,,,,,,,,,,,,,,
YGL055W,58810,110574,,,,,,,,,,,,,,,,,,,,,,,,,
YGL056C,37387,31377,,,,,,,,,,,,,,,,,,,,,,,,,
YGL057C,9242,11177,,,,,,,,,,,,,,,,,,,,,,,,,
YGL058W,15058,16768,,,,,,,,,,,,,,,,,,,,,,,,,
YGL059W,11663,1862,,,,,,,,,,,,,,,,,,,,,,,,,
YGL060W,31396,17101,,,,,,,,,,,,,,,,,,,,,,,,,
YGL061C,20586,8817,,,,,,,,,,,,,,,,,,,,,,,,,
YGL063W,17572,2535,,,,,,,,,,,,,,,,,,,,,,,,,
YGL064C,12333,10208,,,,,,,,,,,,,,,,,,,,,,,,,
YGL065C,42456,21566,,,,,,,,,,,,,,,,,,,,,,,,,
YGL066W,39572,22208,,,,,,,,,,,,,,,,,,,,,,,,,
YGL067W,50473,18420,,,,,,,,,,,,,,,,,,,,,,,,,
YGL068W,47985,33208,,,,,,,,,,,,,,,,,,,,,,,,,
YGL070C,28509,23798,,,,,,,,,,,,,,,,,,,,,,,,,
YGL071W,44917,14934,,,,,,,,,,,,,,,,,,,,,,,,,
YGL073W,60117,18047,,,,,,,,,,,,,,,,,,,,,,,,,
YGL075C,11055,4222,,,,,,,,,,,,,,,,,,,,,,,,,
YGL077C,122387,64509,,,,,,,,,,,,,,,,,,,,,,,,,
YGL078C,71669,79609,,,,,,,,,,,,,,,,,,,,,,,,,
YGL079W,19272,5973,,,,,,,,,,,,,,,,,,,,,,,,,
YGL080W,31741,22273,,,,,,,,,,,,,,,,,,,,,,,,,
YGL081W,4122,1595,,,,,,,,,,,,,,,,,,,,,,,,,
YGL082W,45884,26581,,,,,,,,,,,,,,,,,,,,,,,,,
YGL083W,22343,12290,,,,,,,,,,,,,,,,,,,,,,,,,
YGL084C,52760,38821,,,,,,,,,,,,,,,,,,,,,,,,,
YGL085W,13907,1875,,,,,,,,,,,,,,,,,,,,,,,,,
YGL086W,44040,9355,,,,,,,,,,,,,,,,,,,,,,,,,
YGL087C,30166,31597,,,,,,,,,,,,,,,,,,,,,,,,,
YGL089C,165277,239417,,,,,,,,,,,,,,,,,,,,,,,,,
YGL090W,15912,1663,,,,,,,,,,,,,,,,,,,,,,,,,
YGL091C,27632,15115,,,,,,,,,,,,,,,,,,,,,,,,,
YGL092W,71891,64497,,,,,,,,,,,,,,,,,,,,,,,,,
YGL093W,35576,19014,,,,,,,,,,,,,,,,,,,,,,,,,
YGL094C,30742,10888,,,,,,,,,,,,,,,,,,,,,,,,,
YGL095C,45682,12543,,,,,,,,,,,,,,,,,,,,,,,,,
YGL096W,7525,1328,,,,,,,,,,,,,,,,,,,,,,,,,
YGL097W,84306,74711,,,,,,,,,,,,,,,,,,,,,,,,,
YGL098W,20600,9629,,,,,,,,,,,,,,,,,,,,,,,,,
YGL099W,59604,75315,,,,,,,,,,,,,,,,,,,,,,,,,
YGL100W,78820,26144,,,,,,,,,,,,,,,,,,,,,,,,,
YGL101W,34439,17367,,,,,,,,,,,,,,,,,,,,,,,,,
YGL103W,687890,562434,,,,,,,,,,,,,,,,,,,,,,,,,
YGL104C,18355,5395,,,,,,,,,,,,,,,,,,,,,,,,,
YGL105W,265574,258395,,,,,,,,,,,,,,,,,,,,,,,,,
YGL106W,78023,85360,,,,,,,,,,,,,,,,,,,,,,,,,
YGL107C,32216,19288,,,,,,,,,,,,,,,,,,,,,,,,,
YGL108C,16431,9083,,,,,,,,,,,,,,,,,,,,,,,,,
YGL110C,37791,11809,,,,,,,,,,,,,,,,,,,,,,,,,
YGL111W,69599,35805,,,,,,,,,,,,,,,,,,,,,,,,,
YGL112C,62894,27609,,,,,,,,,,,,,,,,,,,,,,,,,
YGL113W,21181,2547,,,,,,,,,,,,,,,,,,,,,,,,,
YGL114W,36878,11848,,,,,,,,,,,,,,,,,,,,,,,,,
YGL115W,77005,22234,,,,,,,,,,,,,,,,,,,,,,,,,
YGL116W,39542,16887,,,,,,,,,,,,,,,,,,,,,,,,,
YGL117W,10782,1184,,,,,,,,,,,,,,,,,,,,,,,,,
YGL119W,18318,11108,,,,,,,,,,,,,,,,,,,,,,,,,
YGL120C,91352,98518,,,,,,,,,,,,,,,,,,,,,,,,,
YGL121C,1402,525,,,,,,,,,,,,,,,,,,,,,,,,,
YGL122C,70043,71918,,,,,,,,,,,,,,,,,,,,,,,,,
YGL124C,22823,4062,,,,,,,,,,,,,,,,,,,,,,,,,
YGL125W,5729,6044,,,,,,,,,,,,,,,,,,,,,,,,,
YGL126W,46056,22834,,,,,,,,,,,,,,,,,,,,,,,,,
YGL127C,9576,11177,,,,,,,,,,,,,,,,,,,,,,,,,
YGL128C,12998,8633,,,,,,,,,,,,,,,,,,,,,,,,,
YGL129C,34371,17797,,,,,,,,,,,,,,,,,,,,,,,,,
YGL130W,27965,21379,,,,,,,,,,,,,,,,,,,,,,,,,
YGL131C,13202,3064,,,,,,,,,,,,,,,,,,,,,,,,,
YGL133W,24904,11263,,,,,,,,,,,,,,,,,,,,,,,,,
YGL134W,29274,4177,,,,,,,,,,,,,,,,,,,,,,,,,
YGL136C,16066,2065,,,,,,,,,,,,,,,,,,,,,,,,,
YGL138C,176,0,,,,,,,,,,,,,,,,,,,,,,,,,
YGL140C,37850,24380,,,,,,,,,,,,,,,,,,,,,,,,,
YGL141W,27673,12004,,,,,,,,,,,,,,,,,,,,,,,,,
YGL142C,26072,10870,,,,,,,,,,,,,,,,,,,,,,,,,
YGL143C,19016,7544,,,,,,,,,,,,,,,,,,,,,,,,,
YGL144C,12314,3240,,,,,,,,,,,,,,,,,,,,,,,,,
YGL145W,44984,16476,,,,,,,,,,,,,,,,,,,,,,,,,
YGL146C,5244,522,,,,,,,,,,,,,,,,,,,,,,,,,
