ORF,RNA_Prints,Ribo_Prints
YBR101C,2899,590
YBR102C,1605,115
YBR103W,1230,193
YBR104W,751,125
YBR105C,733,81
YBR106W,9119,3037
YBR107C,214,18
YBR108W,883,97
YBR109C,3381,1027
YBR110W,1078,164
YBR111C,2722,351
YBR111W-A,442,60
YBR112C,2656,268
YBR114W,679,59
YBR115C,20472,2973
YBR117C,45,5
YBR118W,591538,137339
YBR119W,320,32
YBR120C,568,342
YBR121C,10166,1900
YBR122C,2536,192
YBR123C,915,113
YBR125C,1224,170
YBR126C,4149,1137
YBR126W-A,1552,306
YBR127C,15811,4010
YBR128C,274,7
YBR129C,512,46
YBR130C,936,88
YBR131W,481,50
YBR132C,761,99
YBR133C,2112,166
YBR135W,638,67
YBR136W,1959,124
YBR137W,609,97
YBR138C,205,39
YBR139W,1754,285
YBR140C,6514,375
YBR141C,263,47
YBR142W,2348,318
YBR143C,7183,1396
YBR145W,542,83
YBR146W,3276,356
YBR147W,391,55
YBR148W,85,5
YBR149W,2996,671
YBR150C,1034,57
YBR151W,1447,129
YBR152W,229,20
YBR153W,469,67
YBR154C,1557,442
YBR155W,1265,163
YBR156C,355,23
YBR157C,193,37
YBR158W,2379,167
YBR159W,2125,377
YBR160W,1230,313
YBR161W,248,61
YBR162C,12103,1807
YBR162W-A,615,42
YBR163W,594,33
YBR164C,1298,111
YBR165W,343,53
YBR166C,1259,229
YBR167C,188,29
YBR168W,303,53
YBR169C,874,114
YBR170C,2162,344
YBR171W,805,231
YBR172C,1366,209
YBR173C,1027,227
YBR175W,697,77
YBR176W,390,123
YBR177C,5437,1002
YBR179C,1521,293
YBR180W,6,11
YBR181C,53872,7749
YBR182C,247,42
YBR182C-A,5,0
YBR183W,470,59
YBR184W,29,5
YBR185C,1630,272
YBR186W,26,0
YBR187W,1909,326
YBR188C,241,39
YBR189W,73290,9675
YBR191W,23362,2305
YBR192W,1101,230
YBR193C,368,89
YBR194W,366,28
YBR195C,737,192
YBR196C,20264,5480
YBR196C-A,967,138
YBR196C-B,39,0
YBR197C,472,75
YBR198C,2034,201
YBR199W,2736,429
YBR200W,794,97
YBR200W-A,0,0
YBR201C-A,26,1
YBR201W,424,26
YBR202W,2588,326
YBR203W,1328,112
YBR204C,693,83
YBR205W,1771,401
YBR207W,1679,301
YBR208C,1832,91
YBR210W,539,30
YBR211C,589,69
YBR212W,2047,223
YBR213W,1801,319
YBR214W,543,49
YBR215W,498,51
YBR216C,741,47
YBR217W,97,2
YBR218C,15918,3044
YBR219C,340,22
YBR220C,1175,93
YBR221C,8550,1061
YBR221W-A,0,0
YBR222C,1397,197
YBR223C,362,40
YBR225W,742,58
YBR227C,972,133
YBR228W,209,6
YBR229C,1828,269
YBR230C,1752,289
YBR230W-A,148,10
YBR231C,754,79
YBR233W,610,94
YBR233W-A,262,24
YBR234C,1995,341
YBR235W,1382,123
YBR236C,1264,191
YBR237W,804,40
YBR238C,817,113
YBR239C,340,27
YBR240C,103,6
YBR241C,520,91
YBR242W,763,126
YBR243C,1770,218
YBR244W,299,28
YBR245C,3768,478
YBR246W,890,81
YBR247C,1512,270
YBR248C,4905,1015
YBR249C,7283,2212
YBR250W,35,3
YBR251W,1174,237
YBR252W,1541,356
YBR253W,850,32
YBR254C,464,145
YBR255C-A,458,52
YBR255W,539,30
YBR256C,2130,131
YBR257W,432,50
YBR258C,178,10
YBR259W,318,27
YBR260C,1412,338
YBR261C,2577,383
YBR262C,2135,180
YBR263W,7928,1472
YBR264C,391,65
YBR265W,998,181
YBR267W,1153,181
YBR268W,1048,95
YBR269C,609,63
YBR270C,234,7
YBR271W,924,93
YBR272C,1035,153
YBR273C,1681,310
YBR274W,753,66
YBR275C,2225,159
YBR276C,2157,70
YBR278W,332,33
YBR279W,1655,307
YBR280C,496,66
YBR281C,1944,284
YBR282W,1013,148
YBR283C,5351,1170
