ORF,Ribo_Prints
YAL001C,1874
YAL002W,1148
YAL003W,250336
YAL004W,19
YAL005C,377239
YAL007C,6191
YAL008W,1073
YAL009W,585
YAL010C,935
YAL011W,1695
YAL012W,47180
YAL013W,5614
YAL014C,2038
YAL015C,1940
YAL016C-A,54
YAL016C-B,2
YAL016W,24879
YAL017W,3795
YAL018C,32
YAL019W-A,96
YAL019W,8726
YAL020C,1828
YAL021C,11669
YAL022C,1489
YAL023C,6492
YAL024C,1313
YAL025C,9979
YAL026C-A,9
YAL026C,1622
YAL027W,656
YAL028W,240
YAL029C,4807
YAL030W,2700
YAL031C,1016
YAL031W-A,68
YAL032C,3055
YAL033W,4385
YAL034C-B,15
YAL034C,207
YAL034W-A,1285
YAL035W,62330
YAL036C,13878
YAL037C-A,0
YAL037C-B,99
YAL037W,322
YAL038W,1611692
YAL039C,3458
YAL040C,1197
YAL041W,4059
YAL042C-A,74
YAL042W,4547
YAL043C,4372
YAL044C,17593
YAL044W-A,4076
YAL045C,16
YAL046C,4313
YAL047C,1064
YAL047W-A,22
YAL048C,1389
YAL049C,2425
YAL051W,3108
YAL053W,1160
YAL054C,1981
YAL055W,552
YAL056C-A,7
YAL056W,901
YAL058W,308
YAL059C-A,44
YAL059W,7940
YAL060W,3923
YAL061W,898
YAL062W,992
YAL063C-A,5
YAL063C,236
YAL064C-A,36
YAL064W-B,16
YAL064W,2
YAL065C,12
YAL066W,0
YAL067C,120
YAL067W-A,6
YAL068C,41
YAL068W-A,0
YAL069W,37
YAR002C-A,6566
YAR002W,6346
YAR003W,1448
YAR007C,8622
YAR008W,767
YAR014C,6688
YAR015W,14915
YAR018C,1739
YAR019C,938
YAR019W-A,22
YAR020C,259
YAR023C,31
YAR027W,1540
YAR028W,1400
YAR029W,39
YAR030C,14
YAR031W,374
YAR033W,295
YAR035C-A,3
YAR035W,798
YAR042W,4243
YAR047C,2
YAR050W,286
YAR053W,20
YAR060C,21
YAR064W,82
YAR066W,443
YAR068W,377
YAR069C,19
YAR070C,152
YAR071W,12588
YAR073W,4378
YAR075W,599
YBL001C,16675
YBL002W,47085
YBL003C,50509
YBL004W,8305
YBL005W,804
YBL006C,2948
YBL006W-A,11
YBL007C,20609
YBL008W-A,12
YBL008W,1807
YBL009W,3830
YBL010C,2225
YBL011W,1187
YBL012C,83
YBL013W,261
YBL014C,2495
YBL015W,1087
YBL016W,3909
YBL017C,1202
YBL018C,1570
YBL019W,879
YBL020W,562
YBL021C,3706
YBL022C,7511
YBL023C,5838
YBL024W,34047
YBL025W,1196
YBL026W,2626
YBL027W,331219
YBL028C,17846
YBL029C-A,2712
YBL029W,462
YBL030C,29141
YBL031W,3258
YBL032W,34539
YBL033C,9424
YBL034C,1961
YBL035C,3811
YBL036C,2660
YBL037W,1971
YBL038W,1298
YBL039C-A,0
YBL039C,37201
YBL039W-B,374
YBL040C,1602
YBL041W,9273
YBL042C,2278
YBL043W,466
YBL044W,74
YBL045C,6995
YBL046W,2450
YBL047C,18246
YBL048W,14
YBL049W,99
YBL050W,8735
YBL051C,6509
YBL052C,829
YBL053W,4
YBL054W,6617
YBL055C,1521
YBL056W,7921
YBL057C,2075
YBL058W,18696
YBL059C-A,2011
YBL059W,1161
YBL060W,1197
YBL061C,2670
YBL062W,34
YBL063W,1957
YBL064C,3854
YBL065W,24
YBL066C,994
YBL067C,2880
YBL068W-A,0
YBL068W,4415
YBL069W,8968
YBL070C,24
YBL071C-B,13
YBL071C,74
YBL071W-A,8393
YBL072C,294847
YBL073W,10
YBL074C,812
YBL075C,368
YBL076C,62105
YBL077W,6
YBL078C,836
YBL079W,5700
YBL080C,549
YBL081W,4298
YBL082C,496
YBL083C,1
YBL084C,1164
YBL085W,4256
YBL086C,2047
YBL087C,76355
YBL088C,908
YBL089W,498
YBL090W,2468
YBL091C-A,1244
YBL091C,16687
YBL092W,335994
YBL093C,3836
YBL094C,34
YBL095W,1009
YBL096C,12
YBL097W,1770
YBL098W,2755
YBL099W,19818
YBL100C,14
YBL100W-C,9
YBL101C,3120
YBL102W,3510
YBL103C,3935
YBL104C,2068
YBL105C,4501
YBL106C,561
YBL107C,2529
YBL107W-A,4
YBL108C-A,12
YBL108W,13
YBL109W,2
YBL111C,215
YBL112C,11
YBL113C,175
YBL113W-A,8
YBR001C,3165
YBR002C,2035
YBR003W,780
YBR004C,280
YBR005W,645
YBR006W,780
YBR007C,2565
YBR008C,163
YBR009C,110017
YBR010W,131086
YBR011C,119269
YBR012C,71
YBR013C,151
YBR014C,1246
YBR015C,1443
YBR016W,4452
YBR017C,10711
YBR018C,94
YBR019C,283
YBR020W,193
YBR021W,595
YBR022W,1118
YBR023C,2319
YBR024W,599
YBR025C,64916
YBR026C,1900
YBR027C,12
YBR028C,3671
YBR029C,4494
YBR030W,2096
YBR031W,396598
YBR032W,28
YBR033W,1740
YBR034C,14679
YBR035C,16326
YBR036C,2242
YBR037C,1152
YBR038W,4943
YBR039W,9319
YBR040W,80
YBR041W,707
YBR042C,970
YBR043C,754
YBR044C,209
YBR045C,288
YBR046C,1831
YBR047W,524
YBR048W,166883
YBR049C,15381
YBR050C,205
YBR051W,20
YBR052C,5652
YBR053C,4240
YBR054W,1142
YBR055C,2969
YBR056C-B,31
YBR056W-A,397
YBR056W,3543
YBR057C,4681
YBR058C-A,1731
YBR058C,7563
YBR059C,6622
YBR060C,3256
YBR061C,5815
YBR062C,1012
YBR063C,71
YBR064W,13
YBR065C,1961
YBR066C,1462
YBR067C,27055
