ORF,Ribo_Prints,RNA_Prints
YAL008W,430,445
YBR255W,737,488
YGR131W,8,115
YPL144W,361,1028
YBR135W,1134,375
YBR160W,1730,751
YJL082W,1098,97
YPL191C,440,132
YGL215W,1394,231
YKL074C,1416,807
YJL077C,8,2
YKL096W-A,36040,7075
YIL124W,2414,1898
YPL039W,305,494
YGL141W,1129,986
YJL179W,2148,6911
YOR009W,7,56
YKL029C,18165,2570
YPL166W,219,55
YLR220W,1937,911
YHR025W,8355,2853
YOL034W,841,856
YBL008W,955,428
YIL062C,4214,5025
YOL116W,884,273
YDR196C,1032,1690
YNL255C,14821,8048
YNR032W,429,524
YNR045W,214,132
YML105C,4012,3166
YNL288W,2338,475
YIL004C,1302,1181
YNR018W,7968,2360
YNL003C,613,788
YFR047C,1360,1712
YER087C-B,2045,1340
YHR078W,377,603
YJR115W,53,8
YLR355C,139848,8241
YGR099W,408,662
YLR300W,13988,1699
YCL028W,7379,1074
YJR140C,829,410
YOR033C,651,1064
YOR062C,81,629
YBR043C,537,1145
YHR112C,1374,520
YLR011W,479,398
YHR007C,44837,8822
YKR103W,4,131
YKR084C,3122,1540
YER121W,34,165
YCR046C,1110,771
YNL144C,179,170
YKL204W,2903,405
YOR266W,282,79
YDR421W,484,574
YGR186W,5507,3809
YPR194C,1,79
YGR019W,1167,528
YNL208W,7696,4430
YLL057C,28,96
YBR296C,6,4
YNL277W,140,370
YMR040W,16,594
YDR077W,51819,2223
YMR266W,2630,929
YKR064W,589,528
YPL089C,943,446
YGR277C,1119,1209
YDL139C,654,689
YDR246W,901,388
YOR288C,1347,925
YCR028C,480,100
YML054C,53,60
YPR070W,867,545
YOR141C,3112,475
YPL280W,0,1
YBL106C,429,322
YGL044C,1715,540
YER107C,2262,1078
YBR038W,3946,722
YEL047C,10852,2946
YPR016C,6419,1361
YOR208W,406,390
YDL055C,37396,6653
YML009C,697,1688
YML072C,16416,4167
YDR142C,268,403
YFL044C,1539,273
YKL019W,602,686
YJL130C,39155,4672
YBL085W,4630,1457
YFL011W,1,3
YDR082W,49,345
YDR348C,3582,1335
YKL182W,81582,12730
YDR333C,2309,959
YKL018C-A,159,872
YPL027W,2,10
YIR012W,3297,3382
YLR363C,802,183
YDR179C,480,1797
YLR431C,212,264
YKR046C,10232,1997
YJR005W,1530,594
